Date,Open,High,Low,Close,Volume
12-05-2012,19.77,19.82,19.73,19.79,262679
12-06-2012,19.79,19.79,19.54,19.68,233766
12-07-2012,19.71,19.79,19.71,19.79,47536
12-10-2012,19.79,19.80,19.75,19.79,44339
12-11-2012,19.80,19.83,19.71,19.73,46304
12-12-2012,19.79,19.81,19.75,19.75,25186
12-13-2012,19.78,19.79,19.64,19.66,70251
12-14-2012,19.75,19.79,19.64,19.72,35845
12-17-2012,19.79,19.79,19.66,19.67,26324
12-18-2012,19.76,19.77,19.67,19.67,40765
12-19-2012,19.74,19.74,19.67,19.69,22345
12-20-2012,19.73,19.79,19.71,19.78,30893
12-21-2012,19.79,19.79,19.65,19.75,37812
12-24-2012,19.75,19.75,19.75,19.75,4292
12-26-2012,19.73,19.78,19.63,19.78,13256
12-27-2012,19.70,19.78,19.70,19.78,24077
12-28-2012,19.73,19.76,19.71,19.76,21284
12-31-2012,19.73,19.81,19.73,19.81,20067
01-02-2013,19.76,19.89,19.76,19.83,50601
01-03-2013,19.89,19.94,19.82,19.94,44861
01-04-2013,19.93,19.95,19.91,19.91,23288
01-07-2013,19.91,19.94,19.83,19.83,29347
01-08-2013,19.90,19.90,19.78,19.79,17146
01-09-2013,19.84,19.85,19.75,19.82,29183
01-10-2013,19.81,19.88,19.79,19.88,47543
01-11-2013,19.89,19.90,19.79,19.83,39303
01-14-2013,19.84,19.88,19.81,19.87,13621
01-15-2013,19.91,19.91,19.81,19.89,28249
01-16-2013,19.91,19.94,19.87,19.91,17322
01-17-2013,19.93,19.93,19.86,19.90,5364
01-18-2013,19.94,20.00,19.92,19.94,19546
01-22-2013,20.06,20.06,19.95,19.98,24055
01-23-2013,19.97,19.97,19.91,19.94,20267
01-24-2013,19.92,19.99,19.91,19.93,20504
01-25-2013,19.93,19.94,19.90,19.94,8622
01-28-2013,19.88,19.90,19.86,19.87,12170
01-29-2013,19.83,19.89,19.78,19.78,23265
01-30-2013,19.85,19.85,19.76,19.80,16280
01-31-2013,19.80,19.84,19.80,19.83,4849
02-01-2013,19.80,19.85,19.80,19.82,2170
02-04-2013,19.85,19.85,19.78,19.83,7245
02-05-2013,19.85,19.85,19.79,19.83,14634
02-06-2013,19.85,19.86,19.80,19.86,20425
02-07-2013,19.77,19.86,19.77,19.86,10156
02-08-2013,19.86,19.95,19.86,19.95,76186
02-11-2013,19.98,19.98,19.97,19.97,3539
02-12-2013,19.95,19.95,19.85,19.85,15510
02-13-2013,19.84,19.90,19.84,19.86,17175
02-14-2013,19.90,19.91,19.86,19.91,11260
02-15-2013,19.92,19.93,19.87,19.93,4095
02-19-2013,19.90,19.94,19.90,19.90,8678
02-20-2013,19.90,19.94,19.90,19.94,3798
02-21-2013,19.92,19.94,19.86,19.90,8443
02-22-2013,19.88,19.93,19.86,19.86,6675
02-25-2013,19.89,19.93,19.87,19.92,11721
02-26-2013,20.05,20.06,19.95,20.06,19600
02-27-2013,20.06,20.07,20.03,20.07,5785
02-28-2013,20.06,20.06,19.98,19.98,15136
03-01-2013,20.03,20.05,20.03,20.04,7546
03-04-2013,20.01,20.09,20.01,20.09,9880
03-05-2013,20.09,20.17,20.09,20.13,17800
03-06-2013,20.17,20.18,20.10,20.10,12881
03-07-2013,20.06,20.13,20.05,20.06,18873
03-08-2013,20.14,20.14,19.96,20.03,23715
03-11-2013,20.11,20.11,19.97,19.98,17888
03-12-2013,19.97,20.03,19.93,19.97,6296
03-13-2013,20.02,20.07,19.99,20.05,8552
03-14-2013,20.10,20.10,19.97,19.99,7474
03-15-2013,20.06,20.06,20.00,20.05,5464
03-18-2013,20.06,20.16,20.01,20.13,13990
03-19-2013,20.07,20.09,19.97,19.99,19567
03-20-2013,20.01,20.01,19.94,19.94,6623
