Date,Open,High,Low,Close,Volume
02-07-2012,12.00,12.00,12.00,12.00,0
02-08-2012,13.75,15.05,13.25,14.00,3335543
02-09-2012,14.17,14.22,13.75,13.91,580536
02-10-2012,14.00,14.03,13.77,13.96,336271
02-13-2012,13.91,14.42,13.63,13.65,175907
02-14-2012,13.60,13.79,13.30,13.44,122157
02-15-2012,13.50,14.07,13.30,13.40,175037
02-16-2012,13.40,13.70,13.40,13.54,71242
02-17-2012,13.61,13.99,13.50,13.58,142812
02-21-2012,13.61,14.34,13.56,13.71,248631
02-22-2012,13.99,14.22,13.75,13.96,274843
02-23-2012,13.97,14.00,13.84,13.94,82439
02-24-2012,13.93,13.93,13.55,13.71,119906
02-27-2012,13.65,13.84,13.63,13.66,235225
02-28-2012,13.75,13.84,13.75,13.83,68021
02-29-2012,13.88,14.15,13.85,14.13,68094
03-01-2012,14.15,15.35,14.10,15.00,610075
03-02-2012,15.07,15.70,14.97,15.14,237640
03-05-2012,15.07,15.15,14.78,15.09,184818
03-06-2012,14.98,15.27,14.84,15.00,130512
03-07-2012,15.04,15.34,15.04,15.23,110004
03-08-2012,14.54,15.53,14.45,15.23,120590
03-09-2012,15.18,15.59,15.08,15.32,166176
03-12-2012,14.95,15.40,14.95,15.14,91217
03-13-2012,15.14,16.48,15.07,15.78,316517
03-14-2012,15.67,16.35,15.67,16.20,160283
03-15-2012,16.18,17.13,16.18,17.00,228738
03-16-2012,16.91,17.26,16.20,16.80,326022
03-19-2012,17.12,17.92,16.90,17.41,297709
03-20-2012,17.44,17.50,16.90,17.41,96768
03-21-2012,17.50,17.75,17.24,17.38,210993
03-22-2012,17.18,17.32,16.44,16.60,99140
03-23-2012,16.56,17.35,16.56,17.10,227588
03-26-2012,17.31,17.38,16.75,16.98,144101
03-27-2012,17.75,21.25,17.58,21.11,1373143
03-28-2012,21.00,21.05,18.99,20.00,851067
03-29-2012,19.73,20.80,19.00,20.10,544893
03-30-2012,20.29,20.70,19.75,20.52,408490
04-02-2012,20.39,21.99,20.39,21.71,440439
04-03-2012,21.52,22.23,21.11,22.20,212177
04-04-2012,21.79,21.86,20.56,21.15,193358
04-05-2012,21.03,21.40,20.61,20.96,102004
04-09-2012,20.58,21.43,19.76,21.27,96916
04-10-2012,21.14,22.07,21.06,21.80,204487
04-11-2012,21.93,23.61,21.78,22.59,199796
04-12-2012,22.67,23.53,22.35,23.25,93465
04-13-2012,23.12,23.12,22.45,22.65,99931
04-16-2012,22.87,23.21,20.91,21.20,146340
04-17-2012,21.28,21.28,19.97,20.26,134976
04-18-2012,20.14,21.11,19.80,20.18,138778
04-19-2012,20.25,20.70,19.77,20.39,78131
04-20-2012,20.56,20.92,20.01,20.04,107454
04-23-2012,19.63,20.60,19.08,20.17,135896
04-24-2012,20.24,21.27,19.38,19.78,194230
04-25-2012,20.00,20.18,19.38,19.84,76644
04-26-2012,19.88,20.24,19.76,20.05,124620
04-27-2012,20.10,20.82,19.85,20.09,162190
04-30-2012,20.01,21.23,19.93,20.64,188576
05-01-2012,20.61,21.18,20.35,20.73,97745
05-02-2012,20.66,22.10,20.40,21.90,239454
05-03-2012,21.76,21.76,20.64,21.05,170881
05-04-2012,20.98,20.98,20.10,20.46,113895
05-07-2012,20.38,20.86,20.00,20.12,202664
05-08-2012,19.88,19.88,17.60,18.08,351200
05-09-2012,17.92,18.00,17.28,17.75,167488
05-10-2012,17.93,17.93,17.43,17.62,146768
05-11-2012,17.49,17.72,17.13,17.36,35673
05-14-2012,17.13,17.15,15.50,16.02,175702
05-15-2012,15.96,15.96,14.93,15.31,208812
05-16-2012,15.87,16.64,15.60,15.65,239714
05-17-2012,15.72,15.74,15.05,15.06,105075
05-18-2012,15.20,15.75,14.84,14.97,177193
05-21-2012,15.06,16.27,14.72,15.67,174430
05-22-2012,15.64,15.80,15.14,15.69,191948
05-23-2012,15.58,16.67,15.57,16.60,168314
05-24-2012,16.65,16.98,16.25,16.95,97853
05-25-2012,16.93,17.16,16.77,16.99,112527
05-29-2012,17.13,17.23,17.00,17.20,168086
05-30-2012,16.97,17.33,16.89,17.30,78704
05-31-2012,17.28,17.58,17.23,17.50,100036
06-01-2012,17.16,17.16,16.38,16.52,75411
06-04-2012,16.59,16.59,16.28,16.42,33494
06-05-2012,16.37,16.98,16.32,16.75,155449
06-06-2012,16.86,17.43,16.59,16.60,433174
06-07-2012,16.88,16.88,16.38,16.51,34983
06-08-2012,16.44,16.86,16.21,16.78,11687
06-11-2012,16.89,17.42,16.83,16.88,61264
06-12-2012,16.94,17.44,16.80,17.37,50396
06-13-2012,17.41,18.14,17.20,17.97,82417
06-14-2012,17.88,18.06,17.74,17.79,40619
06-15-2012,17.84,17.86,17.57,17.61,76004
06-18-2012,17.67,17.95,17.61,17.62,34938
06-19-2012,17.76,17.76,17.55,17.56,40719
06-20-2012,17.60,17.89,17.38,17.88,139480
06-21-2012,18.13,18.27,17.79,17.87,67950
06-22-2012,17.98,18.26,17.80,17.99,171295
06-25-2012,17.80,17.85,17.27,17.37,44838
06-26-2012,17.36,17.50,16.65,16.93,47716
06-27-2012,17.01,17.15,16.85,17.00,107975
06-28-2012,16.94,16.95,16.36,16.60,41684
06-29-2012,17.02,17.14,16.73,16.99,76711
07-02-2012,16.99,17.38,16.94,17.20,64695
07-03-2012,17.26,17.29,16.94,17.06,10062
07-05-2012,17.02,17.14,16.93,16.99,51625
07-06-2012,16.86,16.86,15.96,16.12,11509
07-09-2012,16.16,16.16,15.43,15.69,19041
07-10-2012,15.71,16.06,15.41,15.45,28207
07-11-2012,15.47,15.62,15.08,15.24,23593
07-12-2012,15.08,15.08,13.94,14.40,157851
07-13-2012,14.47,15.59,14.47,15.41,67336
07-16-2012,15.31,16.22,15.27,16.17,35760
07-17-2012,16.08,16.08,15.56,15.78,33405
07-18-2012,15.58,16.10,15.58,15.88,18336
07-19-2012,15.89,15.89,15.54,15.63,14510
07-20-2012,15.47,15.47,15.05,15.26,17603
07-23-2012,14.90,14.92,14.20,14.75,45460
07-24-2012,14.86,14.86,14.10,14.12,50796
07-25-2012,14.26,14.37,14.10,14.12,18715
07-26-2012,14.32,14.50,13.95,14.47,63701
07-27-2012,14.54,15.68,14.54,15.32,121395
07-30-2012,15.25,16.37,15.18,16.17,130089
07-31-2012,16.07,16.08,15.58,16.04,86386
08-01-2012,16.10,16.10,15.68,15.78,23575
08-02-2012,15.56,16.40,15.32,15.70,66627
08-03-2012,15.99,16.55,15.44,16.00,88262
08-06-2012,16.11,16.91,16.01,16.62,40936
08-07-2012,16.65,17.27,16.44,16.82,102888
08-08-2012,16.78,17.10,16.60,16.85,18117
