Date,Open,High,Low,Close,Volume
05-30-2013,15.00,15.00,15.00,15.00,0
05-31-2013,20.00,23.63,18.60,22.99,3287229
06-03-2013,23.50,30.86,23.21,27.99,426111
06-04-2013,29.00,30.00,24.13,26.78,259094
06-05-2013,26.18,26.69,22.64,25.73,116130
06-06-2013,24.20,27.60,24.04,25.67,70427
06-07-2013,25.88,26.64,25.00,26.00,40654
06-10-2013,26.00,26.89,25.06,25.80,38853
06-11-2013,25.35,25.35,24.08,24.94,14701
06-12-2013,24.84,24.84,23.75,23.82,106865
06-13-2013,23.82,23.94,22.50,22.80,64263
06-14-2013,22.01,22.95,20.90,22.33,197391
06-17-2013,22.41,25.71,22.26,24.71,178893
06-18-2013,24.46,24.79,24.02,24.72,65602
06-19-2013,24.64,26.18,24.64,26.00,67191
06-20-2013,25.70,26.00,24.79,25.81,52551
06-21-2013,26.05,27.00,25.57,26.30,127079
06-24-2013,26.01,27.55,24.00,27.55,77921
06-25-2013,27.92,28.00,26.52,26.94,132380
06-26-2013,26.94,27.74,26.26,26.96,37732
06-27-2013,27.38,28.00,26.18,27.56,97192
06-28-2013,27.97,28.19,27.36,28.13,820068
07-01-2013,28.25,31.07,27.83,29.95,264746
07-02-2013,30.11,30.97,29.90,30.59,166273
07-03-2013,30.53,31.02,30.16,30.54,71025
07-05-2013,30.91,31.10,30.02,30.39,96039
07-08-2013,30.77,34.93,30.72,34.73,143436
07-09-2013,35.52,38.69,34.70,37.00,154951
07-10-2013,37.19,37.19,34.52,35.99,93979
07-11-2013,36.08,36.74,34.72,36.00,156137
07-12-2013,36.04,39.66,36.04,37.08,469698
07-15-2013,38.25,41.38,37.65,40.17,515836
07-16-2013,42.09,44.75,41.50,43.60,405604
07-17-2013,43.13,45.72,41.85,42.69,379716
07-18-2013,42.60,43.80,41.50,42.72,207344
07-19-2013,42.42,42.58,38.10,38.75,366594
07-22-2013,39.01,40.24,34.06,34.62,386234
07-23-2013,34.03,35.39,33.50,34.34,390542
07-24-2013,34.43,35.27,30.50,35.10,397506
07-25-2013,35.19,35.77,33.58,34.64,123411
07-26-2013,34.30,34.46,32.24,32.84,143106
07-29-2013,33.48,33.48,31.50,31.62,108459
07-30-2013,31.93,34.40,31.70,34.27,231268
07-31-2013,34.45,37.00,34.45,36.10,228833
08-01-2013,36.15,38.00,35.17,35.90,171372
08-02-2013,36.38,36.88,35.54,35.99,62758
08-05-2013,35.84,37.60,35.01,37.44,81373
08-06-2013,37.56,38.49,35.50,36.27,91506
08-07-2013,36.20,37.22,35.50,36.72,44858
08-08-2013,36.72,36.98,35.80,36.09,60858
08-09-2013,36.07,36.44,34.62,35.11,51616
08-12-2013,35.10,35.37,32.88,33.27,106214
08-13-2013,33.12,33.27,31.90,32.76,84438
08-14-2013,32.53,34.20,32.52,33.44,55390
08-15-2013,33.18,33.42,30.75,31.14,134929
08-16-2013,31.52,32.50,31.18,31.34,61978
08-19-2013,31.48,32.10,26.19,26.93,346453
08-20-2013,27.15,29.64,26.06,28.57,237592
08-21-2013,28.61,29.84,28.02,28.16,102277
08-22-2013,28.25,29.85,28.21,29.30,31015
08-23-2013,29.54,29.64,28.54,29.09,58339
08-26-2013,29.21,30.49,29.10,29.75,51023
08-27-2013,29.70,29.70,27.78,28.04,103705
08-28-2013,28.12,29.88,28.03,29.17,99779
08-29-2013,29.00,29.47,28.32,28.86,62902
08-30-2013,28.89,28.95,27.71,27.75,59228
09-03-2013,27.87,28.80,27.13,28.04,96771
09-04-2013,28.00,30.00,27.74,29.61,87517
09-05-2013,29.61,30.00,29.06,29.75,298178
09-06-2013,29.65,30.30,29.10,29.87,135114
09-09-2013,30.01,32.37,29.45,31.76,149748
09-10-2013,32.12,33.10,31.50,32.92,105507
