Date,Open,High,Low,Close,Volume
08-11-2000,355.14,389.96,334.25,365.59,910449
08-14-2000,364.72,365.59,334.25,334.25,92151
08-15-2000,338.60,344.70,334.25,337.73,55623
08-16-2000,335.99,363.85,335.99,344.70,48433
08-17-2000,341.21,348.18,332.51,334.25,54271
08-18-2000,349.05,400.40,344.70,398.66,69301
08-21-2000,419.55,452.63,388.22,423.04,76468
08-22-2000,428.26,436.96,376.03,376.03,38912
08-23-2000,377.77,382.99,355.14,362.10,20586
08-24-2000,360.36,363.85,335.99,335.99,21178
08-25-2000,349.92,360.36,337.73,358.62,23099
08-28-2000,373.42,377.34,348.18,365.59,22383
08-29-2000,374.29,376.03,351.66,372.55,26105
08-30-2000,371.68,409.11,369.07,395.18,22845
08-31-2000,419.55,459.59,414.33,450.89,100397
09-01-2000,449.15,452.63,417.81,438.70,31860
09-05-2000,440.44,452.63,431.74,433.48,26445
09-06-2000,449.15,452.63,424.78,431.74,23611
09-07-2000,445.67,445.67,372.55,400.40,27520
09-08-2000,397.14,403.89,382.99,389.96,18324
09-11-2000,384.74,389.96,376.03,386.48,39681
09-12-2000,378.64,384.74,358.62,362.10,38885
09-13-2000,355.14,365.59,344.70,348.18,11897
09-14-2000,386.48,386.48,348.18,353.40,9310
09-15-2000,349.92,362.10,348.18,349.92,4129
09-18-2000,365.59,369.07,332.51,335.99,21430
09-19-2000,364.72,365.59,299.43,313.36,55355
09-20-2000,320.32,322.06,271.58,288.99,27683
09-21-2000,287.25,299.43,283.76,295.95,28996
09-22-2000,267.23,301.17,262.87,294.21,9709
09-25-2000,295.95,301.17,261.13,262.87,24194
09-26-2000,275.06,276.80,250.69,257.65,22550
09-27-2000,262.00,262.87,240.24,260.26,19244
09-28-2000,257.65,299.43,254.17,278.54,25314
09-29-2000,281.15,282.02,242.85,247.21,21963
10-02-2000,261.13,262.87,233.28,236.76,7905
10-03-2000,239.37,247.21,215.87,221.09,11628
10-04-2000,222.83,224.57,188.02,198.46,16763
10-05-2000,193.24,226.32,181.05,182.79,17430
10-06-2000,193.67,194.98,165.38,169.74,13102
10-09-2000,182.79,186.27,161.03,172.35,12228
10-10-2000,175.83,177.57,153.20,158.42,15261
10-11-2000,146.23,160.16,113.16,114.90,48803
10-12-2000,141.88,146.23,125.34,144.49,42841
10-13-2000,158.42,219.35,154.07,210.65,49234
10-16-2000,226.32,228.06,205.42,226.32,44259
10-17-2000,236.76,238.50,212.39,217.61,12683
