Date,Open,High,Low,Close,Volume
01-22-2013,12.00,18.50,12.00,18.05,64350
01-23-2013,18.25,19.00,18.25,18.86,83800
01-24-2013,18.85,19.50,18.50,19.11,39650
01-25-2013,18.70,19.75,18.70,19.50,10100
01-28-2013,19.65,20.00,19.00,19.65,63302
01-29-2013,19.50,20.00,19.24,20.00,54628
01-30-2013,19.75,20.00,19.01,19.90,116071
01-31-2013,19.41,20.60,19.41,20.39,207079
02-01-2013,20.19,22.10,20.06,21.60,832366
02-04-2013,21.60,22.00,20.80,21.44,396197
02-05-2013,21.48,23.80,21.25,23.80,333137
02-06-2013,23.45,23.48,21.53,22.49,327538
02-07-2013,22.05,22.22,20.86,21.70,306952
02-08-2013,21.70,21.70,20.67,21.25,310113
02-11-2013,20.65,21.31,20.55,21.09,436128
02-12-2013,20.81,21.44,20.47,21.21,142381
02-13-2013,21.35,21.61,20.72,21.00,220017
02-14-2013,20.89,21.06,20.50,20.82,248368
02-15-2013,20.85,21.15,20.57,20.87,368645
02-19-2013,21.00,21.00,20.70,20.99,301599
02-20-2013,21.00,21.00,20.42,20.75,57736
02-21-2013,20.90,21.00,20.56,20.94,46326
02-22-2013,20.95,21.36,20.79,21.00,101980
02-25-2013,21.25,21.36,20.34,20.54,76200
02-26-2013,20.61,21.00,20.61,20.77,108436
02-27-2013,20.76,20.77,20.13,20.32,97398
02-28-2013,20.26,20.56,20.10,20.19,180809
03-01-2013,19.85,20.06,19.38,19.79,182027
03-04-2013,19.89,19.97,19.35,19.75,74370
03-05-2013,19.95,20.26,19.40,20.00,198649
03-06-2013,19.92,20.18,19.84,19.88,140485
03-07-2013,19.89,19.89,18.55,19.54,375037
03-08-2013,19.50,20.37,19.26,20.36,125831
03-11-2013,20.38,20.38,19.24,20.06,89867
03-12-2013,19.99,20.18,19.73,19.98,154659
03-13-2013,20.06,20.48,19.91,20.46,76016
03-14-2013,20.40,20.62,20.24,20.61,34640
03-15-2013,20.59,20.59,20.00,20.39,373664
03-18-2013,20.22,20.60,20.05,20.60,79554
03-19-2013,20.55,20.59,20.10,20.48,41946
03-20-2013,20.54,20.54,20.05,20.39,79276
03-21-2013,20.31,20.75,20.22,20.69,83148
03-22-2013,20.70,21.00,20.63,20.96,225340
03-25-2013,20.90,21.07,20.75,21.07,338021
03-26-2013,21.00,21.03,20.77,20.82,55353
03-27-2013,20.70,21.00,20.51,20.96,94875
03-28-2013,20.97,21.11,20.77,21.00,1206894
04-01-2013,20.99,21.01,20.90,21.00,167989
04-02-2013,21.00,21.37,20.92,21.29,491486
04-03-2013,21.30,21.57,21.11,21.30,704275
04-04-2013,21.23,21.30,20.85,21.05,105277
04-05-2013,20.91,21.71,20.86,21.59,273769
04-08-2013,21.79,22.32,21.66,22.32,102350
04-09-2013,22.28,22.94,22.25,22.75,116112
04-10-2013,22.74,24.05,22.73,24.05,139633
04-11-2013,24.00,25.10,23.91,25.10,250791
04-12-2013,25.17,25.22,24.56,24.91,181074
04-15-2013,24.67,25.09,23.44,23.55,47183
04-16-2013,23.68,24.12,23.14,23.29,155754
04-17-2013,23.19,23.53,23.09,23.26,54135
04-18-2013,23.33,23.33,23.02,23.09,58763
04-19-2013,23.19,23.19,22.69,23.08,52899
04-22-2013,23.19,23.19,22.66,22.71,178309
04-23-2013,22.79,23.10,22.79,23.06,81746
04-24-2013,23.10,23.40,22.88,23.13,46666
04-25-2013,23.18,23.18,22.45,22.60,81546
04-26-2013,22.70,22.97,22.47,22.79,208046
04-29-2013,22.82,22.90,22.66,22.80,69226
04-30-2013,22.88,22.94,22.76,22.85,78961
05-01-2013,22.80,23.49,22.72,23.22,120943
05-02-2013,23.34,23.74,23.34,23.48,44709
05-03-2013,23.56,24.82,23.56,24.24,93732
05-06-2013,24.24,24.50,23.97,24.44,24342
05-07-2013,24.34,24.95,24.34,24.91,40911
05-08-2013,24.99,25.00,24.37,24.80,65817
05-09-2013,24.76,25.07,24.50,24.89,51618
05-10-2013,24.80,25.02,24.80,25.02,23187
05-13-2013,24.71,25.16,24.54,24.97,40523
05-14-2013,24.89,24.93,24.38,24.79,26034
05-15-2013,24.89,26.74,24.82,26.48,95995
05-16-2013,26.55,27.72,25.30,25.39,64020
05-17-2013,25.31,25.45,24.66,24.92,107742
05-20-2013,24.67,25.18,24.40,24.61,55571
05-21-2013,24.82,26.40,24.82,26.36,174280
05-22-2013,26.25,26.35,25.15,25.47,26718
05-23-2013,25.24,25.61,24.74,25.55,21821
05-24-2013,25.46,25.61,24.82,25.01,61100
05-28-2013,25.20,25.44,24.97,25.10,23076
05-29-2013,25.08,26.28,24.73,25.97,23662
05-30-2013,25.99,26.05,25.66,25.99,26882
05-31-2013,25.92,26.07,25.51,25.76,46491
06-03-2013,26.26,26.82,25.80,26.50,134656
06-04-2013,26.50,27.00,25.06,25.15,284683
06-05-2013,25.29,25.29,24.16,24.30,62183
06-06-2013,24.24,25.21,24.10,25.11,45983
06-07-2013,25.19,26.23,24.88,25.59,55380
06-10-2013,25.25,25.49,24.89,25.22,35001
06-11-2013,24.97,25.60,24.88,25.47,21161
06-12-2013,25.60,25.98,25.45,25.80,46425
06-13-2013,25.84,27.46,25.80,27.44,95327
06-14-2013,27.25,28.03,26.93,27.67,95238
06-17-2013,27.66,27.66,26.29,26.56,54593
06-18-2013,26.50,27.71,25.96,27.57,75121
06-19-2013,27.44,27.75,26.63,26.87,50301
06-20-2013,26.37,27.18,25.58,26.23,89476
