Date,Open,High,Low,Close,Volume
11-12-2013,11.00,11.00,11.00,11.00,0
11-13-2013,11.10,11.40,10.75,10.88,1390960
11-14-2013,10.88,11.05,10.84,11.00,75798
11-15-2013,11.05,11.33,11.00,11.01,60527
11-18-2013,11.01,11.14,11.00,11.14,46316
11-19-2013,11.00,11.15,10.85,11.00,211395
11-20-2013,11.00,11.05,10.97,11.05,47565
11-21-2013,11.05,11.14,11.03,11.10,102160
11-22-2013,11.10,11.10,11.00,11.02,86860
11-25-2013,11.00,11.04,10.95,11.00,223948
11-26-2013,10.99,11.00,10.95,10.96,50959
11-27-2013,10.95,11.00,10.95,11.00,24331
11-29-2013,11.00,11.10,11.00,11.10,33185
12-02-2013,11.10,11.10,10.95,10.95,58320
12-03-2013,10.95,10.96,10.95,10.95,10993
12-04-2013,10.95,11.00,10.95,11.00,44649
12-05-2013,11.08,11.08,10.76,10.80,803108
12-06-2013,10.80,11.00,10.79,10.90,52733
12-09-2013,11.00,11.00,10.90,10.93,108429
12-10-2013,11.00,11.00,10.88,10.97,77363
12-11-2013,10.40,10.90,10.40,10.88,21233
12-12-2013,10.80,10.80,10.55,10.55,15601
12-13-2013,10.40,10.54,10.35,10.45,21585
12-16-2013,10.50,10.50,10.01,10.15,25571
12-17-2013,10.01,10.10,9.53,9.74,72374
12-18-2013,10.00,10.20,9.84,9.95,142895
12-19-2013,10.00,10.00,9.86,9.94,137155
12-20-2013,10.00,10.08,9.99,10.01,218621
12-23-2013,9.96,10.50,9.94,10.46,36339
12-24-2013,10.25,10.69,10.15,10.59,71097
12-26-2013,10.69,10.69,10.40,10.63,12829
12-27-2013,11.10,11.21,10.82,11.09,44417
12-30-2013,11.25,11.25,11.00,11.01,40298
12-31-2013,11.00,11.11,10.90,11.11,203224
01-02-2014,11.00,11.10,10.92,11.07,36233
01-03-2014,11.10,11.10,10.95,11.04,20139
01-06-2014,11.10,11.10,10.77,11.07,16390
01-07-2014,11.08,11.09,10.95,10.95,77505
01-08-2014,10.87,11.00,10.87,11.00,14017
01-09-2014,11.02,11.05,10.70,10.94,16968
01-10-2014,10.94,10.97,10.84,10.84,17138
01-13-2014,10.82,10.87,10.71,10.80,31280
01-14-2014,11.00,11.00,10.66,10.66,9902
01-15-2014,10.52,10.63,10.40,10.61,18403
01-16-2014,10.50,10.71,10.50,10.59,13901
01-17-2014,10.43,10.68,10.07,10.36,49964
01-21-2014,10.57,10.80,10.30,10.35,17970
01-22-2014,10.34,10.39,10.25,10.30,43005
01-23-2014,10.32,10.32,9.74,9.86,90521
01-24-2014,9.78,9.87,9.25,9.27,103225
01-27-2014,9.17,9.41,8.60,9.36,41411
01-28-2014,9.46,9.93,9.45,9.69,43421
01-29-2014,9.65,9.74,9.56,9.56,24137
01-30-2014,9.65,9.65,9.52,9.56,17706
01-31-2014,9.44,9.45,9.35,9.40,84886
02-03-2014,9.32,9.39,9.18,9.39,14221
02-04-2014,9.43,9.43,8.94,8.95,131272
02-05-2014,8.90,8.94,8.83,8.94,129638
02-06-2014,8.90,9.39,8.90,9.39,7260
02-07-2014,9.45,9.96,9.43,9.90,12448
02-10-2014,10.00,10.75,10.00,10.53,33856
02-11-2014,10.56,10.75,10.42,10.71,21104
02-12-2014,10.80,11.00,10.72,10.81,72075
02-13-2014,10.80,10.80,9.46,10.34,206586
02-14-2014,10.33,10.40,10.24,10.26,56585
02-18-2014,10.26,10.40,9.99,10.21,18340
02-19-2014,10.20,10.30,10.12,10.15,39473
02-20-2014,10.21,10.50,10.00,10.25,402021
02-21-2014,10.25,10.30,9.91,10.30,82754
02-24-2014,10.26,10.61,10.26,10.61,13827
02-25-2014,10.65,11.47,10.50,11.35,175641
02-26-2014,11.41,12.41,11.20,12.15,192709
02-27-2014,12.15,12.27,12.00,12.15,73024
02-28-2014,12.33,13.17,12.21,13.03,205106
03-03-2014,12.90,13.70,12.87,13.40,74232
03-04-2014,13.40,14.10,13.30,14.10,231552
03-05-2014,14.06,15.00,13.63,14.92,205942
03-06-2014,14.96,15.24,14.48,15.20,84227
03-07-2014,15.23,15.52,14.15,14.24,213630
03-10-2014,14.20,15.00,13.79,14.99,65887
03-11-2014,14.99,15.26,14.55,14.92,239986
03-12-2014,14.96,15.26,14.87,15.19,48581
03-13-2014,15.30,15.45,14.97,14.99,258371
03-14-2014,15.05,15.20,14.83,15.03,152907
03-17-2014,15.40,15.40,14.94,15.00,97898
03-18-2014,14.89,15.04,14.81,14.99,178427
03-19-2014,15.00,15.12,14.47,14.91,44800
03-20-2014,14.85,14.85,14.45,14.70,12437
03-21-2014,14.72,14.84,14.52,14.67,24459
