Date,Open,High,Low,Close,Volume
06-30-2000,45.88,56.00,36.75,43.88,12103000
07-03-2000,42.25,42.88,39.50,40.44,1049300
07-05-2000,40.00,47.75,39.75,45.56,1325200
07-06-2000,46.50,48.63,42.75,44.88,676000
07-07-2000,45.63,53.38,44.50,50.50,1490100
07-10-2000,49.94,66.63,49.38,59.94,3645300
07-11-2000,60.06,70.50,59.88,68.19,2578000
07-12-2000,75.50,83.13,74.00,80.00,1960600
07-13-2000,81.25,85.50,72.13,76.81,971800
07-14-2000,78.00,79.00,65.00,65.00,829800
07-17-2000,68.50,74.25,67.75,71.75,942700
07-18-2000,71.47,76.00,65.06,72.44,700700
07-19-2000,72.44,82.50,70.50,75.00,1181300
07-20-2000,78.13,86.50,77.00,83.31,988900
07-21-2000,79.50,84.88,78.50,79.25,497100
07-24-2000,81.75,92.50,80.50,85.25,1274000
07-25-2000,77.44,80.00,66.25,70.00,1873200
07-26-2000,70.69,72.69,64.25,68.00,767600
07-27-2000,67.00,67.00,56.94,57.81,554900
07-28-2000,58.00,58.00,48.50,50.94,1114400
07-31-2000,51.81,55.38,44.69,51.81,905100
08-01-2000,52.94,52.94,48.56,48.88,426700
08-02-2000,48.69,52.00,46.50,48.25,482000
08-03-2000,46.00,52.88,42.00,51.75,1508400
08-04-2000,55.56,58.25,51.25,53.81,594200
08-07-2000,55.63,61.81,51.63,61.00,799000
08-08-2000,60.88,61.00,55.44,57.06,490300
08-09-2000,59.00,61.00,53.50,55.81,475200
08-10-2000,56.88,56.94,51.94,52.00,142100
08-11-2000,50.88,52.75,48.31,51.94,229700
08-14-2000,50.38,51.00,47.00,48.00,360900
08-15-2000,47.63,53.75,45.31,52.75,1095200
08-16-2000,52.88,56.75,52.25,54.50,529200
08-17-2000,53.44,63.13,53.25,60.50,845100
08-18-2000,61.50,61.63,58.25,58.88,391500
08-21-2000,60.13,62.00,59.38,59.38,288600
08-22-2000,60.00,64.00,59.81,62.13,355600
08-23-2000,62.06,62.13,59.00,60.00,151300
08-24-2000,61.00,62.50,58.56,59.00,232100
08-25-2000,59.06,60.25,57.88,60.00,212800
08-28-2000,59.25,66.00,59.25,61.94,742000
08-29-2000,61.53,61.56,59.75,60.31,226200
08-30-2000,59.19,60.50,55.00,56.38,521900
08-31-2000,56.50,58.25,56.13,56.75,341600
09-01-2000,57.88,63.00,56.75,57.75,545700
09-05-2000,57.44,58.00,54.50,55.13,460100
09-06-2000,55.13,55.75,52.00,52.81,160900
09-07-2000,52.63,53.06,50.44,50.44,329200
09-08-2000,50.50,50.50,46.81,46.94,405500
09-11-2000,47.63,50.00,46.50,46.69,422400
09-12-2000,47.13,49.50,45.25,45.94,453400
09-13-2000,45.00,48.38,44.50,48.19,267800
09-14-2000,51.00,51.63,48.19,49.69,265000
09-15-2000,51.25,54.00,50.63,52.13,755400
09-18-2000,52.63,53.13,48.88,50.82,305900
09-19-2000,51.00,54.50,49.75,54.25,246000
09-20-2000,54.13,54.38,50.00,51.56,128700
09-21-2000,51.13,51.13,49.00,50.13,146900
09-22-2000,46.06,49.00,45.00,48.94,616900
09-25-2000,51.19,52.38,48.31,48.38,369000
09-26-2000,49.00,50.00,47.19,47.31,155300
09-27-2000,48.50,49.25,44.50,44.63,283200
