Date,Open,High,Low,Close,Volume
05-12-2010,16.44,16.44,16.44,16.44,0
05-13-2010,16.44,16.83,15.96,16.20,9090917
05-14-2010,16.30,16.30,15.08,15.34,1777504
05-17-2010,15.34,15.57,14.77,15.48,923430
05-18-2010,15.47,15.59,14.91,15.09,792010
05-19-2010,15.28,15.28,14.17,14.36,1067699
05-20-2010,14.17,14.29,13.75,14.26,673708
05-21-2010,14.24,14.49,14.17,14.26,623375
05-24-2010,14.18,14.47,13.84,14.26,416634
05-25-2010,14.03,14.26,13.79,14.02,469679
05-26-2010,14.01,14.03,13.13,13.83,311128
05-27-2010,14.01,14.82,13.82,13.88,505414
05-28-2010,13.97,14.15,13.71,13.83,344664
06-01-2010,13.93,14.03,13.66,13.77,327488
06-02-2010,13.60,13.88,13.37,13.84,496739
06-03-2010,14.02,14.25,13.86,14.18,782365
06-04-2010,13.83,13.98,13.32,13.52,126518
06-07-2010,13.49,13.67,13.06,13.07,420743
06-08-2010,12.96,13.09,12.47,12.83,597727
06-09-2010,12.85,13.10,12.57,13.00,892580
06-10-2010,13.08,13.94,12.86,13.55,137364
06-11-2010,13.78,15.47,13.71,15.14,523454
06-14-2010,15.18,16.48,15.11,16.15,682143
06-15-2010,16.05,16.44,15.23,16.38,452414
06-16-2010,16.13,16.39,15.78,16.32,182658
06-17-2010,16.14,16.34,15.64,16.24,136754
06-18-2010,16.02,16.44,16.02,16.39,158104
06-21-2010,16.44,16.68,16.19,16.38,308950
06-22-2010,16.78,17.26,16.52,16.64,694777
06-23-2010,16.76,17.02,16.12,16.19,446293
06-24-2010,16.33,16.42,15.37,15.62,288667
06-25-2010,15.83,16.26,15.50,16.01,2066658
06-28-2010,16.01,16.20,15.89,16.10,469872
06-29-2010,15.89,16.30,15.75,16.12,367192
06-30-2010,16.17,16.44,15.78,15.83,354833
07-01-2010,15.61,15.77,15.28,15.47,364450
07-02-2010,15.51,15.53,14.49,14.74,493709
07-06-2010,14.94,15.53,14.94,15.43,509921
07-07-2010,15.53,15.53,14.91,15.26,273692
07-08-2010,15.48,15.57,15.02,15.22,253238
07-09-2010,15.18,15.30,14.99,15.27,103296
07-12-2010,15.26,15.59,15.22,15.56,414830
07-13-2010,15.73,16.28,15.46,16.27,252543
07-14-2010,16.06,16.61,16.06,16.56,301333
07-15-2010,16.56,16.84,16.34,16.74,224792
07-16-2010,16.68,16.68,16.17,16.32,347974
07-19-2010,16.33,16.67,16.22,16.62,264031
07-20-2010,16.43,17.37,16.42,17.33,323220
07-21-2010,17.37,17.39,16.60,16.64,174710
07-22-2010,16.98,17.67,16.89,17.60,519805
07-23-2010,17.47,18.13,17.28,18.02,175721
07-26-2010,18.04,18.42,17.92,18.36,194615
07-27-2010,18.45,18.47,18.08,18.13,138845
07-28-2010,18.04,18.26,17.20,17.24,143889
07-29-2010,17.35,17.41,16.63,16.82,140365
07-30-2010,16.82,17.15,16.82,16.97,130362
08-02-2010,17.41,17.41,16.41,16.48,184599
08-03-2010,16.37,16.43,16.08,16.14,101170
08-04-2010,16.16,16.32,16.10,16.18,177405
08-05-2010,16.21,16.25,15.78,15.81,277565
08-06-2010,15.77,15.78,15.24,15.28,109801
08-09-2010,15.41,15.54,14.94,15.02,124249
08-10-2010,14.87,14.87,14.13,14.15,202751
08-11-2010,13.69,14.10,13.64,13.71,144090
08-12-2010,13.67,14.40,13.57,14.31,228202
08-13-2010,14.30,14.81,13.96,14.07,223804
08-16-2010,13.93,14.50,13.92,14.27,243782
08-17-2010,14.39,14.55,13.92,13.96,219501
08-18-2010,13.96,14.00,13.66,13.84,446565
08-19-2010,13.82,14.21,13.79,14.00,187641
