Date,Open,High,Low,Close,Volume
04-14-2000,4.88,4.88,4.84,4.84,8085071
04-17-2000,4.84,4.86,4.84,4.84,1449252
04-18-2000,4.84,4.86,4.68,4.76,863230
04-19-2000,4.72,4.76,4.68,4.74,373223
04-20-2000,4.74,4.78,4.68,4.76,165078
04-24-2000,4.72,4.78,4.68,4.70,240966
04-25-2000,4.68,4.77,4.60,4.66,271938
04-26-2000,4.66,4.66,4.60,4.64,473269
04-27-2000,4.60,4.70,4.58,4.70,442606
04-28-2000,4.66,4.82,4.66,4.76,342250
05-01-2000,4.72,4.74,4.64,4.64,99104
05-02-2000,4.64,4.70,4.62,4.66,527163
05-03-2000,4.64,4.66,4.46,4.52,565569
05-04-2000,4.52,4.56,4.48,4.52,202866
05-05-2000,4.52,4.74,4.42,4.74,129151
05-08-2000,4.72,4.74,4.64,4.64,150519
05-09-2000,4.64,4.88,4.64,4.76,517250
05-10-2000,4.80,4.92,4.76,4.90,669021
05-11-2000,4.90,4.92,4.84,4.90,224552
05-12-2000,4.90,4.90,4.88,4.88,44281
05-15-2000,4.84,5.08,4.80,5.08,147113
05-16-2000,5.07,5.21,5.07,5.19,162913
05-17-2000,5.17,5.17,5.04,5.07,135038
05-18-2000,5.04,5.04,5.00,5.00,81449
05-19-2000,4.96,4.96,4.88,4.96,152070
05-22-2000,4.92,4.92,4.84,4.84,133180
05-23-2000,4.84,4.84,4.78,4.78,57910
05-24-2000,4.78,4.96,4.76,4.94,78662
05-25-2000,4.94,4.96,4.86,4.88,122026
05-26-2000,4.88,4.92,4.82,4.90,70301
05-30-2000,4.90,5.11,4.90,5.08,180260
05-31-2000,5.02,5.13,5.00,5.13,115519
06-01-2000,5.08,5.17,5.07,5.17,109637
06-02-2000,5.21,5.41,5.21,5.37,304152
06-05-2000,5.35,5.43,5.35,5.43,56360
06-06-2000,5.41,5.41,5.37,5.39,240658
06-07-2000,5.35,5.47,5.33,5.45,148351
06-08-2000,5.41,5.57,5.41,5.53,94460
06-09-2000,5.51,5.65,5.51,5.65,39019
06-12-2000,5.61,5.61,5.53,5.53,40566
06-13-2000,5.51,5.63,5.49,5.55,72470
06-14-2000,5.55,5.65,5.53,5.65,66584
06-15-2000,5.65,5.81,5.63,5.77,153931
06-16-2000,5.77,5.79,5.65,5.65,256761
06-19-2000,5.65,5.71,5.63,5.69,428974
06-20-2000,5.67,5.67,5.61,5.61,75874
06-21-2000,5.61,5.63,5.57,5.63,235080
06-22-2000,5.61,5.65,5.61,5.63,33751
06-23-2000,5.63,5.67,5.61,5.65,45211
06-26-2000,5.65,5.65,5.55,5.55,81141
06-27-2000,5.55,5.61,5.53,5.61,68132
06-28-2000,5.61,5.93,5.61,5.93,47998
06-29-2000,5.91,6.01,5.87,5.87,122337
06-30-2000,5.87,5.93,5.85,5.93,194194
07-03-2000,5.93,5.93,5.91,5.93,8663
07-05-2000,6.01,6.09,5.97,6.01,30653
07-06-2000,6.05,6.11,6.05,6.09,64108
07-07-2000,6.07,6.58,6.07,6.46,119548
07-10-2000,6.46,6.50,6.32,6.40,30033
07-11-2000,6.38,6.50,6.38,6.38,26008
07-12-2000,6.38,6.42,6.28,6.40,26626
07-13-2000,6.38,6.44,6.36,6.40,110256
07-14-2000,6.40,6.56,6.40,6.54,27866
07-17-2000,6.54,6.58,6.54,6.54,70301
07-18-2000,6.54,7.00,6.54,6.76,299816
07-19-2000,6.78,6.80,6.72,6.80,566811
07-20-2000,6.94,6.94,6.76,6.86,244064
07-21-2000,6.90,7.10,6.90,7.04,156406
07-24-2000,7.08,7.26,7.08,7.26,49861
07-25-2000,7.34,7.51,7.34,7.45,310346
07-26-2000,7.41,7.49,7.16,7.22,165701
07-27-2000,7.14,7.24,7.06,7.22,39324
07-28-2000,7.22,7.26,7.06,7.06,74017
07-31-2000,7.06,7.08,7.06,7.06,20434
08-01-2000,7.06,7.06,6.86,6.86,70301
08-02-2000,6.82,6.82,6.38,6.38,104992
08-03-2000,6.38,6.38,6.21,6.34,241274
08-04-2000,6.32,6.70,6.32,6.66,435484
08-07-2000,6.62,6.84,6.62,6.70,98178
08-08-2000,6.70,6.84,6.70,6.80,124507
08-09-2000,6.78,6.90,6.78,6.78,242513
08-10-2000,6.76,6.82,6.76,6.78,138754
08-11-2000,6.74,6.78,6.74,6.78,348444
08-14-2000,6.76,6.90,6.70,6.90,428357
08-15-2000,6.86,6.94,6.82,6.90,140610
08-16-2000,6.90,7.02,6.90,6.96,173753
08-17-2000,6.94,6.98,6.78,6.78,264195
08-18-2000,6.78,6.82,6.76,6.76,54503
08-21-2000,6.78,6.78,6.64,6.64,25388
08-22-2000,6.60,6.62,6.56,6.58,198226
08-23-2000,6.56,6.62,6.54,6.54,152070
08-24-2000,6.62,6.62,6.54,6.54,124815
08-25-2000,6.54,6.62,6.54,6.56,81141
08-28-2000,6.52,6.54,6.38,6.38,38398
08-29-2000,6.38,6.54,6.36,6.54,132558
08-30-2000,6.62,6.62,6.54,6.56,52647
08-31-2000,6.56,6.56,6.46,6.50,45211
09-01-2000,6.50,6.64,6.50,6.58,29725
09-05-2000,6.62,6.74,6.62,6.70,224241
09-06-2000,6.74,7.02,6.74,6.92,72157
09-07-2000,6.92,6.92,6.92,6.92,299
09-08-2000,6.92,6.92,6.92,6.92,8354
09-11-2000,6.92,7.26,6.92,7.10,516944
09-12-2000,7.10,7.20,7.10,7.12,190169
09-13-2000,7.04,7.06,6.78,6.78,271633
09-14-2000,6.78,6.82,6.60,6.64,233533
09-15-2000,6.64,6.64,6.54,6.54,34990
09-18-2000,6.46,6.46,6.01,6.13,117069
09-19-2000,6.13,6.26,6.13,6.21,73087
09-20-2000,6.17,6.17,6.01,6.01,188309
09-21-2000,6.01,6.01,5.49,5.83,769998
09-22-2000,5.73,6.26,5.73,6.20,112734
09-25-2000,6.24,6.36,6.11,6.11,23528
09-26-2000,6.11,6.20,6.03,6.05,50479
09-27-2000,6.05,6.21,6.05,6.09,52026
09-28-2000,6.05,6.34,6.05,6.17,84858
09-29-2000,6.26,6.86,6.24,6.36,464907
10-02-2000,6.36,6.46,6.26,6.40,71231
10-03-2000,6.40,6.44,6.13,6.21,170035
10-04-2000,6.17,6.17,6.05,6.09,139682
10-05-2000,6.09,6.34,6.09,6.21,580130
10-06-2000,6.20,6.26,6.13,6.13,101894
10-09-2000,6.05,6.11,6.05,6.11,43974
10-10-2000,6.09,6.09,5.73,5.79,523756
10-11-2000,5.71,5.71,5.39,5.41,286498
10-12-2000,5.37,5.37,5.37,5.37,7422
10-13-2000,5.33,5.33,5.19,5.23,84547
10-16-2000,5.19,5.29,5.13,5.13,153307
10-17-2000,5.15,5.15,4.76,4.84,502696
10-18-2000,4.80,4.80,4.52,4.56,424330
10-19-2000,4.58,4.84,4.58,4.84,709909
10-20-2000,4.86,4.92,4.76,4.78,274723
10-23-2000,4.78,4.84,4.74,4.84,85169
10-24-2000,4.84,4.88,4.72,4.78,96318
10-25-2000,4.78,4.78,4.76,4.76,17334
10-26-2000,4.72,5.02,4.72,5.02,234151
10-27-2000,5.21,5.35,5.21,5.35,43042
10-30-2000,5.33,5.43,5.33,5.43,10521
10-31-2000,5.53,5.57,5.49,5.57,54503
11-01-2000,5.45,5.45,5.45,5.45,51097
11-02-2000,5.45,5.45,5.45,5.45,15787
11-03-2000,5.39,5.39,5.35,5.35,20434
11-06-2000,5.27,5.29,5.19,5.29,52953
11-07-2000,5.25,5.31,5.25,5.31,12998
11-08-2000,5.29,5.29,5.17,5.17,324904
11-09-2000,5.15,5.15,5.08,5.08,91982
11-10-2000,5.04,5.04,5.00,5.00,73087
11-13-2000,5.00,5.00,4.88,4.94,28489
11-14-2000,4.98,4.98,4.86,4.90,96008
11-15-2000,4.90,4.90,4.90,4.90,170349
11-16-2000,4.84,4.86,4.84,4.84,37469
11-17-2000,4.76,4.76,4.60,4.60,237559
11-20-2000,4.60,4.60,4.46,4.50,131317
11-21-2000,4.48,4.52,4.48,4.50,214330
11-22-2000,4.50,4.60,4.46,4.50,367336
11-24-2000,4.48,4.48,4.30,4.30,29725
11-27-2000,4.34,4.38,4.26,4.30,230126
11-28-2000,4.26,4.34,4.26,4.28,138442
11-29-2000,4.30,4.38,4.30,4.36,367031
11-30-2000,4.28,4.28,4.20,4.20,115212
12-01-2000,4.20,4.24,4.18,4.24,86097
12-04-2000,4.14,4.20,4.06,4.20,122337
12-05-2000,4.24,4.68,4.24,4.64,117689
12-06-2000,4.68,4.68,4.68,4.68,30033
12-07-2000,4.72,4.80,4.70,4.80,139061
12-08-2000,4.82,4.88,4.82,4.86,187382
12-11-2000,4.88,4.92,4.84,4.92,232913
12-12-2000,4.80,4.80,4.70,4.70,129460
12-13-2000,4.70,4.72,4.60,4.60,61937
12-14-2000,4.60,4.60,4.42,4.44,128222
12-15-2000,4.32,4.32,4.26,4.28,54814
12-18-2000,4.22,4.24,4.20,4.22,245610
12-19-2000,4.22,4.28,4.18,4.28,145258
12-20-2000,4.20,4.24,4.20,4.20,205349
12-21-2000,4.22,4.28,4.22,4.28,9904
12-22-2000,4.28,4.28,4.28,4.28,30033
12-26-2000,4.26,4.26,4.20,4.24,56053
12-27-2000,4.28,4.48,4.28,4.48,20124
12-28-2000,4.28,4.56,4.28,4.52,204725
12-29-2000,4.48,4.52,4.44,4.50,43662
01-02-2001,4.56,4.56,4.40,4.40,188932
01-03-2001,4.40,4.70,4.34,4.70,296715
01-04-2001,4.72,4.84,4.72,4.76,354950
01-05-2001,4.78,4.80,4.76,4.80,78354
01-08-2001,4.76,4.82,4.72,4.82,224858
01-09-2001,4.84,5.00,4.84,5.00,60080
01-10-2001,4.96,4.96,4.92,4.94,77734
01-11-2001,4.96,5.02,4.92,5.02,292379
01-12-2001,5.00,5.00,4.90,4.92,283710
01-16-2001,4.80,4.80,4.74,4.78,161364
01-17-2001,4.82,4.84,4.80,4.84,336055
01-18-2001,4.82,4.92,4.80,4.88,512297
01-19-2001,4.88,4.90,4.84,4.88,253047
01-22-2001,4.84,4.96,4.80,4.96,179326
01-23-2001,5.04,5.21,5.02,5.19,31582
01-24-2001,5.21,5.33,5.21,5.21,313444
01-25-2001,5.25,5.37,5.25,5.31,284948
01-26-2001,5.29,5.37,5.21,5.33,255216
01-29-2001,5.28,5.36,5.25,5.28,310346
01-30-2001,5.23,5.25,5.13,5.25,355874
01-31-2001,5.28,5.28,5.10,5.16,227649
02-01-2001,5.04,5.04,4.94,5.03,276586
02-02-2001,5.03,5.03,4.86,4.90,206587
02-05-2001,4.84,4.89,4.81,4.89,494022
02-06-2001,4.92,4.92,4.87,4.91,243135
02-07-2001,4.84,4.91,4.84,4.86,533359
02-08-2001,4.89,5.00,4.84,4.84,528715
02-09-2001,4.87,4.91,4.79,4.82,119857
02-12-2001,4.84,4.84,4.78,4.78,303842
02-13-2001,4.81,4.83,4.78,4.81,36850
02-14-2001,4.83,4.83,4.74,4.74,9904
02-15-2001,4.70,4.79,4.67,4.70,173136
02-16-2001,4.63,4.63,4.36,4.54,360212
02-20-2001,4.45,4.45,4.36,4.42,269771
02-21-2001,4.36,4.36,4.33,4.33,255216
02-22-2001,4.36,4.36,4.34,4.36,213710
02-23-2001,4.36,4.42,4.36,4.42,37781
02-26-2001,4.42,4.45,4.42,4.45,1536
02-27-2001,4.55,4.58,4.55,4.58,37157
02-28-2001,4.55,4.55,4.45,4.49,110566
03-01-2001,4.45,4.49,4.45,4.45,266364
03-02-2001,4.45,4.48,4.45,4.47,165392
03-05-2001,4.45,4.55,4.45,4.55,84237
03-06-2001,4.52,4.55,4.49,4.50,122026
03-07-2001,4.50,4.52,4.47,4.52,157956
03-08-2001,4.52,4.56,4.52,4.56,115832
03-09-2001,4.54,4.54,4.51,4.52,167556
03-12-2001,4.55,4.55,4.41,4.41,90435
03-13-2001,4.41,4.41,4.33,4.33,73399
03-14-2001,4.29,4.29,4.07,4.07,77734
03-15-2001,4.07,4.10,4.07,4.07,126981
03-16-2001,4.05,4.05,3.97,4.00,94148
03-19-2001,4.00,4.10,4.00,4.10,173136
03-20-2001,4.20,4.34,4.20,4.32,100034
03-21-2001,4.32,4.33,4.26,4.26,192340
03-22-2001,4.23,4.23,3.74,3.90,223620
03-23-2001,3.87,3.97,3.87,3.97,181496
03-26-2001,4.10,4.13,4.10,4.13,82071
03-27-2001,4.16,4.24,4.16,4.24,264195
03-28-2001,4.20,4.20,4.13,4.20,47067
03-29-2001,4.20,4.20,4.08,4.08,173753
03-30-2001,3.94,3.98,3.89,3.96,36540
04-02-2001,3.99,4.08,3.99,4.05,26626
04-03-2001,3.97,3.97,3.68,3.81,231364
04-04-2001,3.79,3.92,3.76,3.86,270390
04-05-2001,3.89,4.04,3.89,4.04,216805
04-06-2001,4.04,4.07,4.00,4.02,37469
04-09-2001,3.99,3.99,3.92,3.94,106539
04-10-2001,3.97,4.10,3.97,4.04,305699
04-11-2001,4.08,4.09,4.00,4.02,134103
04-12-2001,3.99,4.16,3.99,4.16,571150
04-16-2001,4.16,4.16,3.94,3.97,201316
04-17-2001,3.99,4.00,3.87,3.93,56984
04-18-2001,3.99,4.33,3.99,4.29,264506
04-19-2001,4.26,4.29,4.07,4.20,621016
04-20-2001,4.04,4.09,3.98,4.04,739022
04-23-2001,4.00,4.07,3.90,4.05,131629
04-24-2001,4.07,4.07,4.02,4.02,19815
04-25-2001,3.99,4.07,3.96,4.04,323666
04-26-2001,4.04,4.20,4.04,4.16,36233
04-27-2001,4.20,4.39,4.20,4.39,379108
04-30-2001,4.42,4.52,4.42,4.49,125434
05-01-2001,4.51,4.51,4.49,4.49,4325
05-02-2001,4.45,4.45,4.29,4.31,133796
05-03-2001,4.31,4.33,4.28,4.33,40875
05-04-2001,4.34,4.39,4.34,4.39,124507
05-07-2001,4.39,4.46,4.36,4.39,50166
05-08-2001,4.42,4.42,4.29,4.36,77734
05-09-2001,4.33,4.44,4.29,4.42,765662
05-10-2001,4.55,4.78,4.55,4.68,1163053
05-11-2001,4.65,4.65,4.55,4.55,440440
05-14-2001,4.52,4.52,4.33,4.37,90435
05-15-2001,4.39,4.43,4.24,4.24,888935
05-16-2001,4.29,4.34,4.28,4.34,371674
05-17-2001,4.34,4.39,4.22,4.28,335433
05-18-2001,4.28,4.29,4.26,4.28,76492
05-21-2001,4.28,4.37,4.28,4.32,275966
05-22-2001,4.32,4.32,4.24,4.24,56360
05-23-2001,4.24,4.26,4.13,4.17,153307
05-24-2001,4.20,4.24,4.18,4.21,150519
05-25-2001,4.20,4.24,4.19,4.22,102821
05-29-2001,4.21,4.21,4.15,4.15,83930
05-30-2001,4.15,4.26,4.15,4.19,285880
05-31-2001,4.21,4.21,4.16,4.18,119857
06-01-2001,4.18,4.21,4.14,4.21,270390
06-04-2001,4.57,4.65,4.52,4.54,269152
06-05-2001,4.53,4.55,4.52,4.55,315614
06-06-2001,4.58,4.71,4.58,4.70,195743
06-07-2001,4.71,4.87,4.70,4.87,400791
06-08-2001,4.87,4.92,4.84,4.92,245299
06-11-2001,4.94,4.99,4.92,4.99,270390
06-12-2001,5.03,5.12,5.03,5.12,780529
06-13-2001,5.10,5.12,5.10,5.11,179947
06-14-2001,5.13,5.13,5.10,5.10,280922
06-15-2001,5.10,5.16,5.10,5.13,199150
06-18-2001,5.09,5.09,4.84,4.84,325836
06-19-2001,4.83,4.83,4.70,4.70,1011594
06-20-2001,4.60,4.66,4.45,4.49,91361
06-21-2001,4.49,4.58,4.49,4.58,246848
06-22-2001,4.58,4.67,4.56,4.56,101582
06-25-2001,4.57,4.60,4.57,4.60,21364
06-26-2001,4.63,4.68,4.62,4.68,169724
06-27-2001,4.65,4.74,4.65,4.71,95698
06-28-2001,4.71,4.75,4.71,4.71,151449
06-29-2001,4.71,4.87,4.71,4.87,339769
07-02-2001,4.84,4.92,4.84,4.84,116451
07-03-2001,4.84,4.84,4.75,4.75,21673
07-05-2001,4.65,4.68,4.31,4.33,951198
07-06-2001,4.33,4.38,4.23,4.33,262340
07-09-2001,4.33,4.33,4.31,4.32,13927
07-10-2001,4.29,4.29,4.20,4.20,28175
07-11-2001,4.12,4.12,3.94,3.96,243754
07-12-2001,3.96,3.97,3.81,3.91,476366
07-13-2001,3.87,4.04,3.87,3.91,94460
07-16-2001,3.87,3.91,3.87,3.91,39637
07-17-2001,3.90,4.13,3.85,4.13,118931
07-18-2001,4.09,4.10,3.94,3.95,117069
