Date,Open,High,Low,Close,Volume
09-19-2013,20.00,20.00,20.00,20.00,0
09-20-2013,40.30,44.89,35.28,36.00,16875368
09-23-2013,35.25,38.48,35.25,37.45,2404078
09-24-2013,37.55,38.40,36.24,37.01,1219599
09-25-2013,37.50,40.00,37.25,38.80,994720
09-26-2013,39.45,41.78,39.00,41.63,1097162
09-27-2013,41.68,43.00,40.02,41.11,1273723
09-30-2013,41.08,42.72,40.18,41.53,925873
10-01-2013,42.33,42.90,39.57,40.38,616583
10-02-2013,39.51,40.90,39.50,40.70,321581
10-03-2013,41.53,41.53,40.00,40.47,209805
10-04-2013,41.00,43.84,40.45,42.69,952431
10-07-2013,43.93,43.93,41.59,42.65,476970
10-08-2013,42.50,42.65,39.68,39.89,661174
10-09-2013,40.10,40.75,38.61,38.81,537922
10-10-2013,40.40,41.89,40.00,41.49,425942
10-11-2013,42.39,42.50,40.90,42.07,374144
10-14-2013,42.07,42.49,41.25,41.55,183339
10-15-2013,41.99,42.00,39.87,40.77,762181
10-16-2013,40.69,41.25,39.21,39.87,477845
10-17-2013,40.01,42.25,40.01,42.20,348433
10-18-2013,42.60,44.55,41.05,42.37,682364
10-21-2013,42.19,42.25,40.75,41.00,295752
10-22-2013,40.59,41.11,39.76,39.85,499312
10-23-2013,39.85,39.99,38.40,39.75,276327
10-24-2013,40.10,42.70,39.81,42.51,429687
10-25-2013,43.08,43.14,40.50,41.22,239270
10-28-2013,41.15,41.15,39.52,39.99,216810
10-29-2013,40.00,40.82,39.96,40.22,219971
10-30-2013,40.00,40.00,38.17,38.69,300241
10-31-2013,38.69,38.70,36.15,37.90,769988
11-01-2013,38.37,39.00,37.21,38.43,394431
11-04-2013,38.15,38.38,37.47,37.83,315991
11-05-2013,38.29,38.29,36.32,37.36,439342
11-06-2013,38.18,39.97,37.28,39.89,697688
11-07-2013,39.80,39.91,37.52,38.03,1175691
11-08-2013,41.50,41.50,35.50,37.73,2358948
11-11-2013,37.69,38.05,36.75,37.33,739735
11-12-2013,37.72,37.77,36.47,36.73,401256
11-13-2013,37.29,38.82,36.68,38.66,291706
11-14-2013,39.08,39.08,37.60,38.67,210578
11-15-2013,39.17,39.25,38.28,38.86,136487
11-18-2013,39.00,39.00,36.97,37.27,275239
11-19-2013,37.19,37.50,35.93,36.01,342961
11-20-2013,36.20,37.00,33.30,33.60,531398
11-21-2013,33.61,35.11,33.60,34.22,371799
11-22-2013,34.41,35.00,34.10,34.90,272677
11-25-2013,35.27,35.27,33.60,33.71,418472
