Date,Open,High,Low,Close,Volume
12-12-2013,16.33,16.33,16.33,16.33,0
12-13-2013,18.25,18.34,17.49,18.11,4139895
12-16-2013,18.23,18.89,17.87,18.25,345794
12-17-2013,18.25,18.54,17.80,17.93,188043
12-18-2013,17.98,18.20,17.66,18.01,125756
12-19-2013,17.89,18.12,17.76,18.09,48675
12-20-2013,17.96,18.30,17.82,18.20,210397
12-23-2013,18.37,18.60,17.96,18.42,600288
12-24-2013,18.64,18.64,18.32,18.40,99742
12-26-2013,18.63,18.63,18.21,18.32,11764
12-27-2013,18.48,18.48,18.11,18.26,59124
12-30-2013,18.70,18.70,17.99,18.07,72468
12-31-2013,18.20,18.35,18.06,18.19,23584
01-02-2014,18.19,18.19,17.40,17.87,126836
01-03-2014,17.87,18.11,17.43,17.84,130063
01-06-2014,18.05,18.06,17.77,17.77,103605
01-07-2014,17.77,18.35,17.77,18.03,99003
01-08-2014,18.11,18.63,17.79,17.96,59568
01-09-2014,18.06,18.62,17.78,18.14,280510
01-10-2014,18.33,18.49,18.15,18.25,177168
01-13-2014,18.43,18.45,17.94,18.26,171719
01-14-2014,18.09,18.35,18.06,18.25,47134
01-15-2014,18.23,18.45,18.23,18.45,50928
01-16-2014,18.99,18.99,18.41,18.63,56537
01-17-2014,18.54,18.86,18.35,18.70,187120
01-21-2014,18.96,19.19,18.76,18.81,161326
01-22-2014,18.79,19.24,18.73,18.89,174695
01-23-2014,18.95,19.37,18.83,19.20,379199
01-24-2014,19.21,19.32,18.84,19.07,157956
01-27-2014,19.16,19.25,18.78,18.97,117240
01-28-2014,19.07,19.40,18.90,19.01,130549
01-29-2014,18.84,19.25,18.44,19.08,158310
01-30-2014,19.26,19.39,19.00,19.19,70509
01-31-2014,18.93,19.04,18.63,18.94,31122
02-03-2014,18.85,19.11,18.84,18.92,98087
02-04-2014,18.65,19.10,18.63,18.96,213976
02-05-2014,18.94,18.94,18.47,18.63,162374
02-06-2014,18.68,19.20,18.35,19.18,122711
02-07-2014,19.69,20.17,19.22,19.64,64300
02-10-2014,19.57,20.06,19.57,19.97,32464
02-11-2014,20.05,20.05,19.72,19.88,119594
02-12-2014,19.96,19.96,19.65,19.74,53091
02-13-2014,19.73,19.73,19.00,19.12,208268
02-14-2014,19.18,19.21,18.97,19.19,28574
02-18-2014,19.29,19.32,19.16,19.21,12700
02-19-2014,19.26,19.47,19.08,19.21,46784
02-20-2014,19.31,19.45,18.78,19.03,75871
02-21-2014,19.14,19.69,18.89,19.60,95543
02-24-2014,19.60,19.60,19.15,19.34,47690
02-25-2014,19.33,20.06,19.23,19.85,101750
02-26-2014,19.89,20.05,19.72,19.84,51566
02-27-2014,19.89,20.07,19.59,19.98,45905
02-28-2014,20.06,21.57,19.81,20.80,200741
03-03-2014,20.75,21.61,20.24,21.13,180391
03-04-2014,21.36,21.42,21.18,21.27,80400
03-05-2014,21.13,21.61,20.87,21.41,71712
03-06-2014,21.49,22.42,21.09,22.13,169632
03-07-2014,22.29,22.97,21.77,22.30,255290
03-10-2014,22.31,22.65,21.95,22.23,250157
03-11-2014,22.25,22.26,21.77,22.09,271098
03-12-2014,21.99,22.43,21.94,22.42,277879
03-13-2014,22.45,23.40,22.33,22.97,129094
03-14-2014,23.00,23.41,22.65,22.66,86205
03-17-2014,22.63,22.99,22.51,22.65,151024
03-18-2014,22.63,22.63,22.05,22.12,177777
03-19-2014,22.15,22.39,21.32,22.23,235700
03-20-2014,22.22,22.39,21.71,21.91,300273
03-21-2014,22.06,22.37,20.90,21.04,687879
03-24-2014,21.13,21.16,20.27,20.61,246345
03-25-2014,20.78,21.32,20.78,21.19,228103
03-26-2014,21.41,22.07,21.02,21.71,267242
03-27-2014,21.86,22.26,21.02,21.48,202466
03-28-2014,21.38,21.82,21.38,21.52,124503
03-31-2014,21.72,23.03,21.46,22.73,1001622
04-01-2014,22.73,22.73,22.30,22.59,188500
04-02-2014,22.71,22.97,22.24,22.57,173668
04-03-2014,22.48,23.62,22.48,23.00,240413
04-04-2014,23.11,23.11,22.30,22.64,228367
04-07-2014,22.58,22.66,22.01,22.30,128629
04-08-2014,22.28,22.61,21.85,22.11,134453
04-09-2014,22.19,22.62,22.17,22.53,162071
04-10-2014,22.53,22.53,21.92,22.10,96982
04-11-2014,21.94,21.94,21.14,21.35,125235
04-14-2014,21.49,21.59,21.25,21.54,60425
04-15-2014,21.65,22.48,21.62,22.43,91300
04-16-2014,21.86,21.97,21.32,21.77,153573
04-17-2014,21.66,21.80,21.28,21.72,88063
04-21-2014,21.54,21.91,21.14,21.87,79122
04-22-2014,21.19,21.58,20.84,21.44,144728
04-23-2014,21.48,21.48,20.90,21.00,34022
04-24-2014,21.03,21.26,20.74,21.24,110045
04-25-2014,21.24,21.24,20.49,20.57,34055
04-28-2014,20.57,20.57,19.56,19.81,90462
04-29-2014,19.97,20.62,19.97,20.57,58294
04-30-2014,20.48,20.67,20.13,20.65,59900
05-01-2014,20.53,20.99,20.30,20.95,80115
05-02-2014,21.07,21.29,20.59,20.82,83489
05-05-2014,20.64,20.97,20.42,20.91,77717
05-06-2014,20.78,21.12,20.41,20.72,70094
05-07-2014,20.84,20.99,20.53,20.93,40920
05-08-2014,20.99,21.04,19.98,20.20,55817
05-09-2014,19.74,20.25,19.55,19.93,55269
05-12-2014,19.87,19.95,19.48,19.74,161405
05-13-2014,19.74,20.03,19.74,19.89,206500
05-14-2014,19.81,20.00,19.74,19.89,137178
05-15-2014,19.81,20.04,19.81,19.85,107096
05-16-2014,19.79,19.79,19.26,19.61,105963
05-19-2014,19.51,19.86,19.51,19.79,60587
05-20-2014,19.70,19.88,19.52,19.62,63212
05-21-2014,19.66,20.02,19.33,19.62,42422
05-22-2014,19.62,20.16,19.59,20.05,67406
05-23-2014,20.13,20.40,20.13,20.27,56759
05-27-2014,20.40,20.63,20.35,20.53,60022
05-28-2014,20.44,20.92,20.44,20.78,52594
05-29-2014,20.85,20.90,20.69,20.81,51517
05-30-2014,20.85,20.92,20.55,20.68,132240
06-02-2014,20.91,21.17,20.86,21.01,111711
06-03-2014,21.01,21.07,20.88,20.92,158187
06-04-2014,20.81,21.20,20.81,21.14,63551
06-05-2014,21.12,21.64,21.12,21.45,87981
06-06-2014,21.57,21.69,21.36,21.45,91168
06-09-2014,21.51,21.73,21.49,21.69,77134
06-10-2014,21.59,21.73,21.46,21.70,52866
06-11-2014,21.58,21.88,21.53,21.82,32057
06-12-2014,21.73,22.28,21.73,21.97,35678
06-13-2014,22.08,22.29,21.73,21.81,31773
06-16-2014,22.06,22.17,21.88,21.95,251909
06-17-2014,21.85,22.18,21.80,21.93,59800
06-18-2014,21.95,22.06,21.86,21.97,39951
06-19-2014,21.94,22.08,21.90,22.04,25717
06-20-2014,22.20,22.96,22.08,22.90,120347
06-23-2014,22.82,23.05,22.72,22.99,46945
06-24-2014,22.25,23.56,22.25,23.01,40383
06-25-2014,22.91,23.41,22.82,23.33,52444
06-26-2014,23.31,23.38,23.14,23.28,35485
06-27-2014,23.11,23.47,22.96,23.40,167592
06-30-2014,23.29,23.29,22.92,23.13,121108
07-01-2014,23.03,23.19,22.79,22.84,102749
07-02-2014,22.94,23.02,22.29,22.41,89809
07-03-2014,22.35,22.90,22.35,22.87,13219
07-07-2014,22.84,23.19,22.50,22.82,56407
07-08-2014,22.82,23.00,22.50,22.65,47960
07-09-2014,22.65,22.77,22.29,22.65,34276
07-10-2014,22.30,22.30,20.75,21.73,96855
07-11-2014,21.63,21.83,21.20,21.68,33615
07-14-2014,21.79,21.79,20.74,21.38,69432
07-15-2014,21.42,21.64,21.06,21.46,65821
07-16-2014,21.62,22.18,21.48,21.60,55457
07-17-2014,21.58,21.74,21.18,21.31,46124
07-18-2014,21.28,22.18,21.28,22.00,56181
07-21-2014,21.88,22.84,21.45,22.65,73334
07-22-2014,22.70,22.73,22.03,22.16,28681
07-23-2014,21.97,22.37,21.84,22.19,21054
07-24-2014,22.33,22.64,21.81,21.95,56131
07-25-2014,21.78,22.07,21.72,21.87,21815
07-28-2014,22.00,22.00,21.43,21.69,39407
07-29-2014,21.74,21.74,21.18,21.22,80360
07-30-2014,21.28,21.35,21.06,21.24,46304
07-31-2014,21.04,21.20,20.68,20.88,56173
08-01-2014,20.85,21.07,20.59,20.92,44183
