Date,Open,High,Low,Close,Volume
03-18-1994,1.90,1.90,1.78,1.81,0
03-21-1994,1.78,1.84,1.78,1.78,0
03-22-1994,1.75,1.81,1.75,1.75,981600
03-23-1994,1.75,1.81,1.75,1.75,613600
03-24-1994,1.75,1.78,1.72,1.72,1198400
03-25-1994,1.72,1.78,1.72,1.73,26400
03-28-1994,1.72,1.75,1.72,1.72,350400
03-29-1994,1.72,1.72,1.69,1.69,2008000
03-30-1994,1.69,1.69,1.59,1.59,415200
03-31-1994,1.59,1.59,1.56,1.56,135200
04-04-1994,1.53,1.53,1.50,1.50,50400
04-05-1994,1.55,1.55,1.50,1.50,251200
04-06-1994,1.53,1.53,1.50,1.50,272800
04-07-1994,1.50,1.53,1.50,1.53,28000
04-08-1994,1.53,1.55,1.50,1.50,281600
04-11-1994,1.50,1.53,1.50,1.53,124000
04-12-1994,1.59,1.66,1.59,1.59,433600
04-13-1994,1.63,1.66,1.56,1.63,2951200
04-14-1994,1.59,1.63,1.56,1.56,136000
04-15-1994,1.63,1.63,1.56,1.59,34400
04-18-1994,1.56,1.61,1.53,1.53,117600
04-19-1994,1.50,1.50,1.34,1.38,100000
04-20-1994,1.38,1.38,1.09,1.20,620000
04-21-1994,1.19,1.25,1.16,1.19,253600
04-22-1994,1.22,1.22,1.16,1.22,450400
04-25-1994,1.22,1.25,1.22,1.25,24800
04-26-1994,1.34,1.38,1.33,1.38,100000
04-28-1994,1.31,1.38,1.31,1.38,4800
04-29-1994,1.41,1.41,1.34,1.38,40000
05-02-1994,1.41,1.66,1.38,1.50,333600
05-03-1994,1.59,1.63,1.56,1.63,180800
05-04-1994,1.59,1.75,1.59,1.72,320000
05-05-1994,1.75,1.75,1.69,1.75,136000
05-06-1994,1.66,1.66,1.53,1.59,380800
05-09-1994,1.59,1.63,1.50,1.50,745600
05-10-1994,1.50,1.56,1.50,1.56,56000
05-11-1994,1.56,1.56,1.53,1.53,16000
05-12-1994,1.50,1.50,1.50,1.50,21600
05-13-1994,1.56,1.59,1.50,1.56,254400
05-16-1994,1.52,1.56,1.47,1.50,732000
05-17-1994,1.56,1.59,1.53,1.55,364800
05-18-1994,1.53,1.56,1.50,1.50,695200
05-19-1994,1.56,1.56,1.50,1.50,32000
05-20-1994,1.50,1.50,1.50,1.50,15200
05-23-1994,1.56,1.56,1.50,1.53,280800
05-24-1994,1.50,1.56,1.50,1.56,296000
05-25-1994,1.56,1.56,1.44,1.50,99200
05-26-1994,1.47,1.53,1.47,1.50,74400
05-27-1994,1.53,1.53,1.45,1.48,33600
05-31-1994,1.44,1.50,1.44,1.50,29600
06-01-1994,1.44,1.44,1.33,1.34,352800
06-02-1994,1.34,1.38,1.34,1.34,60800
06-03-1994,1.41,1.41,1.32,1.34,104000
06-06-1994,1.41,1.41,1.31,1.31,48000
06-07-1994,1.38,1.38,1.31,1.31,8000
06-08-1994,1.41,1.41,1.31,1.31,69600
06-09-1994,1.33,1.44,1.31,1.44,1534400
06-10-1994,1.44,1.50,1.44,1.47,508800
06-13-1994,1.44,1.45,1.44,1.44,164000
06-14-1994,1.47,1.53,1.47,1.47,71200
06-15-1994,1.53,1.53,1.48,1.50,54400
06-16-1994,1.48,1.53,1.48,1.53,31200
06-17-1994,1.48,1.53,1.47,1.53,10400
06-20-1994,1.47,1.53,1.47,1.53,24000
06-21-1994,1.47,1.47,1.38,1.38,168000
06-22-1994,1.39,1.44,1.38,1.44,41600
06-23-1994,1.38,1.38,1.31,1.31,40000
06-24-1994,1.28,1.28,1.22,1.28,140000
06-27-1994,1.22,1.26,1.09,1.09,558400
06-28-1994,1.16,1.17,1.13,1.16,5164800
06-29-1994,1.16,1.27,1.13,1.22,548000
06-30-1994,1.25,1.25,1.17,1.17,243200
07-01-1994,1.22,1.22,1.16,1.19,30400
07-05-1994,1.19,1.22,1.19,1.22,68000
07-06-1994,1.23,1.25,1.19,1.25,427200
07-07-1994,1.25,1.31,1.22,1.30,236800
