Date,Open,High,Low,Close,Volume
09-21-1995,3.93,3.93,3.90,3.90,33331
09-22-1995,3.93,3.93,3.93,3.93,8079
09-25-1995,3.83,3.83,3.83,3.83,11110
09-26-1995,3.83,3.83,3.83,3.83,0
09-27-1995,3.83,3.87,3.83,3.87,19190
09-28-1995,3.87,3.87,3.87,3.87,3029
09-29-1995,3.87,3.87,3.87,3.87,0
10-02-1995,3.83,3.93,3.83,3.89,13130
10-03-1995,3.93,3.93,3.93,3.93,1009
10-04-1995,3.93,3.93,3.87,3.93,71712
10-05-1995,3.93,3.93,3.90,3.93,84843
10-06-1995,3.93,3.93,3.93,3.93,9089
10-09-1995,3.90,3.90,3.90,3.90,33331
10-10-1995,3.90,3.90,3.90,3.90,0
10-11-1995,3.90,3.90,3.90,3.90,0
10-12-1995,3.90,3.90,3.90,3.90,0
10-13-1995,3.90,3.90,3.90,3.90,0
10-16-1995,3.90,3.90,3.90,3.90,0
10-17-1995,3.90,3.90,3.90,3.90,13130
10-18-1995,3.90,3.90,3.90,3.90,0
10-19-1995,3.99,3.99,3.90,3.99,18180
10-20-1995,3.99,3.99,3.99,3.99,0
10-23-1995,3.99,3.99,3.99,3.99,1009
10-24-1995,3.99,3.99,3.99,3.99,4039
10-25-1995,3.99,3.99,3.99,3.99,0
10-26-1995,3.99,3.99,3.99,3.99,8079
10-27-1995,3.99,3.99,3.99,3.99,0
10-30-1995,3.99,3.99,3.99,3.99,0
10-31-1995,3.96,4.05,3.96,4.05,14139
11-01-1995,4.05,4.05,4.05,4.05,0
11-02-1995,4.08,4.11,4.08,4.10,18180
11-03-1995,4.11,4.11,4.11,4.11,6060
11-06-1995,4.11,4.11,4.11,4.11,1009
11-07-1995,4.11,4.11,4.11,4.11,0
11-08-1995,4.08,4.17,4.08,4.17,9089
11-09-1995,4.17,4.17,4.17,4.17,0
11-10-1995,4.17,4.17,4.17,4.17,0
11-13-1995,4.17,4.17,4.17,4.17,0
11-14-1995,4.17,4.17,4.17,4.17,0
11-15-1995,4.17,4.17,4.17,4.17,0
11-16-1995,4.17,4.17,4.17,4.17,0
11-17-1995,4.17,4.17,4.17,4.17,0
11-20-1995,4.17,4.17,4.17,4.17,0
11-21-1995,4.17,4.17,4.17,4.17,0
11-22-1995,4.17,4.17,4.17,4.17,0
11-24-1995,4.17,4.17,4.17,4.17,0
11-27-1995,4.17,4.17,4.17,4.17,0
11-28-1995,4.17,4.17,4.17,4.17,0
11-29-1995,4.17,4.17,4.17,4.17,0
11-30-1995,4.17,4.17,4.17,4.17,0
12-01-1995,4.17,4.17,4.17,4.17,0
12-04-1995,4.17,4.17,4.17,4.17,0
12-05-1995,4.11,4.11,4.11,4.11,1009
12-06-1995,4.17,4.17,4.17,4.17,6060
12-07-1995,4.17,4.17,4.17,4.17,0
12-08-1995,4.17,4.17,4.17,4.17,0
12-11-1995,4.17,4.17,4.17,4.17,0
12-12-1995,4.17,4.17,4.17,4.17,0
12-13-1995,4.17,4.17,4.17,4.17,1009
12-14-1995,4.17,4.17,4.17,4.17,0
12-15-1995,4.17,4.17,4.17,4.17,0
12-18-1995,4.17,4.17,4.17,4.17,0
12-19-1995,4.17,4.17,4.17,4.17,0
12-20-1995,4.17,4.17,4.17,4.17,0
12-21-1995,4.17,4.17,4.17,4.17,0
12-22-1995,4.17,4.17,4.17,4.17,0
12-26-1995,4.17,4.17,4.17,4.17,0
12-27-1995,4.17,4.17,4.17,4.17,0
12-28-1995,4.17,4.17,4.17,4.17,0
12-29-1995,4.17,4.17,4.17,4.17,0
01-02-1996,4.17,4.17,4.17,4.17,0
01-03-1996,4.17,4.23,4.17,4.23,9089
01-04-1996,4.17,4.23,4.17,4.23,13130
01-05-1996,4.17,4.17,4.17,4.17,16160
01-08-1996,4.23,4.23,4.23,4.23,4039
01-09-1996,4.23,4.23,4.19,4.19,11110
01-10-1996,4.19,4.23,4.19,4.23,13130
01-11-1996,4.23,4.23,4.23,4.23,0
01-12-1996,4.23,4.23,4.23,4.23,6060
01-15-1996,4.23,4.23,4.23,4.23,0
01-16-1996,4.23,4.23,4.23,4.23,0
01-17-1996,4.23,4.23,4.23,4.23,0
01-18-1996,4.20,4.28,4.20,4.28,13130
01-19-1996,4.28,4.28,4.28,4.28,1009
01-22-1996,4.28,4.28,4.28,4.28,0
01-23-1996,4.28,4.28,4.28,4.28,0
01-24-1996,4.28,4.28,4.28,4.28,1009
01-25-1996,4.28,4.28,4.28,4.28,0
01-26-1996,4.28,4.28,4.28,4.28,0
01-29-1996,4.23,4.23,4.22,4.22,4039
01-30-1996,4.23,4.23,4.23,4.23,3029
01-31-1996,4.26,4.26,4.26,4.26,8079
02-01-1996,4.26,4.26,4.26,4.26,4039
02-02-1996,4.26,4.26,4.26,4.26,0
02-05-1996,4.26,4.26,4.26,4.26,0
02-06-1996,4.23,4.23,4.23,4.23,16160
02-07-1996,4.29,4.29,4.29,4.29,16160
02-08-1996,4.28,4.28,4.28,4.28,8079
02-09-1996,4.28,4.28,4.28,4.28,0
02-12-1996,4.28,4.28,4.28,4.28,0
02-13-1996,4.28,4.28,4.28,4.28,0
02-14-1996,4.28,4.28,4.28,4.28,0
02-15-1996,4.28,4.28,4.28,4.28,0
02-16-1996,4.28,4.28,4.28,4.28,0
02-20-1996,4.28,4.28,4.28,4.28,0
02-21-1996,4.28,4.28,4.28,4.28,0
02-22-1996,4.28,4.28,4.28,4.28,0
02-23-1996,4.28,4.28,4.28,4.28,6060
02-26-1996,4.28,4.28,4.28,4.28,0
02-27-1996,4.34,4.34,4.34,4.34,1009
02-28-1996,4.34,4.34,4.34,4.34,0
02-29-1996,4.34,4.34,4.34,4.34,0
03-01-1996,4.34,4.34,4.34,4.34,0
03-04-1996,4.34,4.34,4.34,4.34,1009
03-05-1996,4.34,4.34,4.34,4.34,0
03-06-1996,4.34,4.34,4.34,4.34,1009
03-07-1996,4.34,4.34,4.34,4.34,0
03-08-1996,4.34,4.34,4.34,4.34,0
03-11-1996,4.34,4.34,4.34,4.34,0
03-12-1996,4.34,4.34,4.34,4.34,0
03-13-1996,4.34,4.34,4.34,4.34,0
03-14-1996,4.34,4.34,4.34,4.34,0
03-15-1996,4.34,4.34,4.34,4.34,0
03-18-1996,4.34,4.34,4.34,4.34,0
03-19-1996,4.34,4.34,4.34,4.34,0
03-20-1996,4.34,4.34,4.34,4.34,0
03-21-1996,4.34,4.34,4.34,4.34,0
03-22-1996,4.34,4.34,4.34,4.34,0
03-25-1996,4.34,4.34,4.34,4.34,0
03-26-1996,4.34,4.34,4.34,4.34,0
03-27-1996,4.34,4.34,4.34,4.34,0
03-28-1996,4.34,4.34,4.34,4.34,0
03-29-1996,4.34,4.34,4.34,4.34,0
04-01-1996,4.34,4.34,4.34,4.34,0
04-02-1996,4.34,4.34,4.34,4.34,0
04-03-1996,4.34,4.34,4.34,4.34,0
04-04-1996,4.34,4.34,4.34,4.34,0
04-08-1996,4.29,4.29,4.28,4.28,14139
