Date,Open,High,Low,Close,Volume
01-02-1990,5.63,5.74,5.58,5.74,0
01-03-1990,5.74,5.74,5.63,5.63,0
01-04-1990,5.65,5.84,5.63,5.79,0
01-05-1990,5.79,5.89,5.76,5.84,0
01-08-1990,5.82,6.01,5.82,5.90,0
01-09-1990,5.85,5.88,5.74,5.74,0
01-10-1990,5.68,5.76,5.63,5.68,0
01-11-1990,5.65,5.73,5.60,5.68,0
01-12-1990,5.57,5.60,5.43,5.49,0
01-15-1990,5.41,5.43,5.24,5.27,0
01-16-1990,5.19,5.46,5.17,5.41,0
01-17-1990,5.38,5.43,5.35,5.35,0
01-18-1990,5.29,5.35,5.19,5.24,0
01-19-1990,5.24,5.30,4.97,5.08,0
01-22-1990,4.91,5.02,4.75,4.75,0
01-23-1990,4.81,4.89,4.54,4.59,0
01-24-1990,4.37,4.81,4.37,4.78,0
01-25-1990,4.80,4.86,4.61,4.64,0
01-26-1990,4.62,4.64,4.48,4.56,0
01-29-1990,4.50,4.56,4.42,4.45,0
01-30-1990,4.48,4.48,4.27,4.32,0
01-31-1990,4.34,4.48,4.34,4.48,0
02-01-1990,4.53,4.67,4.42,4.64,0
02-02-1990,4.72,4.91,4.67,4.86,0
02-05-1990,4.86,5.18,4.83,5.13,0
02-06-1990,5.16,5.16,4.97,5.05,0
02-07-1990,4.98,5.11,4.98,5.03,0
02-08-1990,5.03,5.17,5.00,5.00,0
02-09-1990,5.11,5.11,4.97,4.97,0
02-12-1990,4.97,5.00,4.80,4.83,0
02-13-1990,4.83,4.86,4.78,4.83,0
02-14-1990,4.88,5.04,4.82,4.99,0
02-15-1990,4.96,5.02,4.91,4.99,0
02-16-1990,5.02,5.02,4.88,4.88,0
02-20-1990,4.82,4.82,4.69,4.74,0
02-21-1990,4.72,4.85,4.63,4.80,0
02-22-1990,4.86,5.00,4.80,4.83,0
02-23-1990,4.80,4.83,4.69,4.72,0
02-26-1990,4.72,4.77,4.69,4.77,0
02-27-1990,4.77,5.10,4.77,5.05,0
02-28-1990,5.22,5.27,5.14,5.22,0
03-01-1990,5.22,5.22,5.05,5.08,0
03-02-1990,5.02,5.19,5.02,5.02,0
03-05-1990,5.10,5.16,5.10,5.16,0
03-06-1990,5.16,5.16,5.10,5.13,0
03-07-1990,5.18,5.18,5.07,5.10,0
03-08-1990,5.10,5.16,5.07,5.13,0
03-09-1990,5.16,5.16,5.10,5.10,0
03-12-1990,5.13,5.13,5.05,5.10,0
03-13-1990,5.11,5.14,5.03,5.08,0
03-14-1990,5.05,5.38,5.05,5.24,0
03-15-1990,5.27,5.29,5.21,5.24,0
03-16-1990,5.27,5.55,5.27,5.44,0
03-19-1990,5.44,5.77,5.38,5.77,0
