Date,Open,High,Low,Close,Volume
04-08-1993,1.65,1.65,1.51,1.63,5215387
04-12-1993,1.63,1.63,1.53,1.58,924412
04-13-1993,1.63,1.63,1.53,1.60,891000
04-14-1993,1.56,1.60,1.53,1.56,912262
04-15-1993,1.60,1.63,1.53,1.58,1076793
04-16-1993,1.63,1.63,1.53,1.53,453093
04-19-1993,1.60,1.60,1.48,1.53,110362
04-20-1993,1.58,1.58,1.51,1.51,362475
04-21-1993,1.56,1.58,1.53,1.58,402975
04-22-1993,1.63,1.63,1.56,1.63,701662
04-23-1993,1.63,1.63,1.58,1.63,297168
04-26-1993,1.63,1.63,1.48,1.53,377155
04-27-1993,1.60,1.60,1.51,1.58,77455
04-28-1993,1.53,1.63,1.53,1.63,173643
04-29-1993,1.58,1.63,1.48,1.56,358930
04-30-1993,1.51,1.73,1.48,1.65,1380037
05-03-1993,1.73,1.73,1.63,1.65,352350
05-04-1993,1.68,1.85,1.68,1.80,963900
05-05-1993,1.80,1.85,1.75,1.75,480430
05-06-1993,1.83,1.83,1.73,1.75,309318
05-07-1993,1.75,1.95,1.75,1.88,2161687
05-10-1993,1.98,1.98,1.78,1.88,518905
05-11-1993,1.75,1.85,1.75,1.85,331087
05-12-1993,1.88,1.88,1.80,1.80,332605
05-13-1993,1.85,1.85,1.70,1.80,232875
05-14-1993,1.73,1.80,1.70,1.73,308305
05-17-1993,1.78,1.78,1.70,1.73,374118
05-18-1993,1.70,1.78,1.70,1.70,62775
05-19-1993,1.75,1.80,1.70,1.80,362475
05-20-1993,1.80,1.80,1.73,1.78,401962
05-21-1993,1.80,1.85,1.78,1.85,685968
05-24-1993,1.88,1.95,1.83,1.95,193387
05-25-1993,1.95,2.05,1.85,1.95,719380
05-26-1993,1.88,1.98,1.88,1.93,182250
05-27-1993,1.98,2.02,1.93,1.98,345262
05-28-1993,1.98,2.02,1.93,2.00,342225
06-01-1993,2.05,2.17,1.98,2.17,832275
06-02-1993,2.17,2.27,2.07,2.17,520425
06-03-1993,2.17,2.20,2.10,2.17,98718
06-04-1993,2.15,2.22,2.12,2.20,157443
06-07-1993,2.12,2.20,2.12,2.20,165543
06-08-1993,2.20,2.20,2.10,2.10,93655
06-09-1993,2.17,2.17,2.07,2.07,174150
06-10-1993,2.07,2.17,2.07,2.12,153900
06-11-1993,2.17,2.17,2.07,2.17,209587
06-14-1993,2.17,2.22,2.07,2.17,296662
06-15-1993,2.20,2.20,2.10,2.17,74925
06-16-1993,2.17,2.20,2.12,2.17,127575
06-17-1993,2.15,2.22,2.15,2.17,455118
06-18-1993,2.17,2.17,2.07,2.15,140737
06-21-1993,2.10,2.15,2.10,2.15,131118
06-22-1993,2.15,2.15,2.07,2.07,212118
06-23-1993,2.07,2.20,1.98,1.98,314887
06-24-1993,2.07,2.07,1.93,1.95,169087
06-25-1993,1.98,2.05,1.93,1.98,170100
06-28-1993,1.93,2.02,1.93,1.98,73912
06-29-1993,1.95,2.05,1.95,2.05,182250
06-30-1993,2.05,2.17,2.00,2.15,293118
07-01-1993,2.17,2.17,2.10,2.12,1113243
07-02-1993,2.10,2.17,2.10,2.12,658630
07-06-1993,2.10,2.17,2.10,2.12,238950
07-07-1993,2.17,2.17,2.10,2.10,150862
07-08-1993,2.10,2.17,2.10,2.10,147318
07-09-1993,2.12,2.20,2.10,2.17,946180
07-12-1993,2.17,2.20,2.12,2.17,52650
07-13-1993,2.20,2.22,2.12,2.17,26830
07-14-1993,2.15,2.22,2.12,2.22,180730
