Date,Open,High,Low,Close,Volume
12-08-2010,24.19,24.19,24.19,24.19,0
12-09-2010,25.85,26.66,25.60,26.48,11185287
12-10-2010,25.99,26.29,25.67,26.00,1272257
12-13-2010,26.08,26.29,25.61,25.99,498837
12-14-2010,26.27,26.53,25.63,25.90,377554
12-15-2010,25.80,26.27,25.79,26.04,255242
12-16-2010,26.18,26.23,25.80,26.23,274059
12-17-2010,26.13,26.62,26.08,26.62,136214
12-20-2010,26.65,26.96,26.41,26.69,69438
12-21-2010,26.72,27.55,26.57,27.42,221501
12-22-2010,27.51,28.95,27.47,27.93,108570
12-23-2010,28.15,28.15,27.40,27.60,69614
12-27-2010,27.65,27.85,27.38,27.49,31349
12-28-2010,27.50,27.63,27.33,27.55,95084
12-29-2010,27.74,27.74,27.36,27.58,89906
12-30-2010,27.73,28.41,27.14,27.47,157889
12-31-2010,27.51,27.62,27.35,27.62,72429
01-03-2011,27.98,27.99,27.26,27.49,243330
01-04-2011,27.73,27.73,27.03,27.06,59539
01-05-2011,27.20,27.41,26.84,26.95,188339
01-06-2011,27.14,27.71,27.06,27.51,204593
01-07-2011,29.44,29.59,28.60,28.97,2260996
01-10-2011,29.30,29.72,29.23,29.34,655354
01-11-2011,29.59,29.63,28.84,29.01,348643
01-12-2011,29.20,29.31,28.66,28.74,228184
01-13-2011,28.82,29.18,28.74,28.94,139951
01-14-2011,29.09,29.74,29.02,29.74,283620
01-18-2011,29.55,29.85,28.74,29.30,290553
01-19-2011,29.09,29.24,28.84,28.95,316458
01-20-2011,28.74,29.49,28.44,29.02,163673
01-21-2011,29.13,29.13,28.45,28.66,160476
01-24-2011,28.63,28.87,28.27,28.74,89586
01-25-2011,28.66,28.76,28.46,28.76,56967
01-26-2011,28.71,28.87,28.52,28.79,65900
01-27-2011,29.13,29.40,28.73,28.75,177527
01-28-2011,28.64,28.65,27.79,28.19,328437
01-31-2011,28.25,28.25,28.04,28.20,60401
02-01-2011,28.22,28.32,27.72,27.77,208513
02-02-2011,27.63,27.97,27.55,27.62,105906
02-03-2011,27.59,27.79,27.39,27.41,178735
02-04-2011,27.40,27.72,27.13,27.70,154188
02-07-2011,28.21,28.21,27.93,27.98,156304
02-08-2011,28.14,28.35,27.70,28.30,113049
02-09-2011,28.10,28.22,27.89,27.94,37723
02-10-2011,27.75,27.91,27.11,27.74,208075
02-11-2011,27.70,27.86,27.36,27.63,96505
02-14-2011,27.51,27.60,27.18,27.35,79908
02-15-2011,27.32,27.65,27.32,27.55,62970
02-16-2011,27.54,27.64,27.32,27.64,79901
02-17-2011,27.65,27.82,27.49,27.53,52355
02-18-2011,27.53,28.23,27.51,28.23,62287
02-22-2011,27.98,28.18,27.51,27.71,154117
02-23-2011,27.51,28.08,27.51,27.56,167081
02-24-2011,27.58,27.90,27.53,27.60,107842
02-25-2011,27.62,28.34,27.62,27.79,104916
02-28-2011,27.83,28.34,27.70,27.74,192716
03-01-2011,27.89,27.94,27.46,27.56,140214
03-02-2011,27.51,27.58,27.03,27.26,187171
03-03-2011,27.11,27.60,27.11,27.58,106999
03-04-2011,27.60,27.72,27.22,27.32,125856
03-07-2011,27.43,27.43,26.52,26.56,193669
03-08-2011,26.56,27.38,26.49,27.26,277428
03-09-2011,27.16,27.54,26.79,27.41,155692
03-10-2011,27.18,27.27,26.71,27.03,141348
03-11-2011,26.58,26.97,26.33,26.82,150859
03-14-2011,26.54,26.83,26.46,26.73,125534
03-15-2011,26.28,27.74,26.18,27.57,293770
03-16-2011,27.52,27.92,26.88,27.85,444395
03-17-2011,27.95,28.46,27.89,28.43,162677
03-18-2011,28.46,28.78,28.36,28.78,220483
03-21-2011,28.84,29.11,28.37,29.02,88124
03-22-2011,28.93,28.93,28.09,28.24,120313
03-23-2011,28.09,28.47,28.09,28.36,29788
03-24-2011,28.47,28.62,28.05,28.19,116391
03-25-2011,28.29,29.33,28.19,28.53,213989
03-28-2011,28.51,28.92,28.36,28.81,167228
03-29-2011,28.71,28.81,28.42,28.55,74449
03-30-2011,28.54,29.14,28.32,28.96,156984
03-31-2011,28.85,29.40,28.85,29.32,100246
04-01-2011,29.32,29.34,28.79,29.14,143323
04-04-2011,29.31,29.35,28.16,28.62,291900
04-05-2011,28.52,28.68,28.00,28.29,205330
04-06-2011,28.29,28.61,28.10,28.33,90303
04-07-2011,28.40,28.45,28.18,28.36,56568
04-08-2011,28.53,28.72,27.62,27.73,122511
04-11-2011,29.11,29.11,27.91,28.36,206621
04-12-2011,28.22,28.42,27.88,28.27,62875
04-13-2011,28.28,28.46,28.07,28.15,60520
04-14-2011,28.14,28.46,27.98,28.43,151784
04-15-2011,28.49,28.50,28.20,28.46,146709
04-18-2011,28.27,28.50,27.83,28.28,48169
04-19-2011,28.31,28.54,28.30,28.44,101172
04-20-2011,28.59,28.91,28.29,28.84,321575
04-21-2011,28.87,29.37,28.82,29.37,432367
04-25-2011,29.39,29.49,29.18,29.42,144488
04-26-2011,29.40,30.70,29.27,30.18,267468
04-27-2011,30.29,30.37,29.28,30.06,172947
04-28-2011,29.97,30.02,29.78,30.02,72028
04-29-2011,30.04,30.05,29.27,29.74,169262
05-02-2011,29.75,30.24,29.35,29.97,283601
05-03-2011,29.97,30.10,29.39,29.68,59113
05-04-2011,29.77,29.83,29.33,29.69,122977
05-05-2011,29.66,30.01,29.37,29.60,122293
05-06-2011,29.72,29.72,29.31,29.48,92194
