Date,Open,High,Low,Close,Volume
05-01-2014,11.00,11.00,11.00,11.00,0
05-02-2014,12.10,12.10,11.02,11.05,4445375
05-05-2014,11.10,11.55,11.05,11.33,509597
05-06-2014,11.58,11.59,11.11,11.26,259831
05-07-2014,11.45,11.45,10.99,11.10,664684
05-08-2014,11.08,11.10,10.99,11.04,186780
05-09-2014,11.20,11.20,10.85,10.89,352162
05-12-2014,11.05,11.05,10.64,10.72,233347
05-13-2014,10.60,10.74,10.60,10.65,99895
05-14-2014,10.98,10.98,10.58,10.60,73939
05-15-2014,10.52,10.60,10.47,10.51,146465
05-16-2014,10.65,10.78,10.35,10.69,212446
05-19-2014,10.69,10.69,10.46,10.52,247517
05-20-2014,10.50,10.50,9.83,10.16,445607
05-21-2014,10.15,10.15,9.60,9.76,342584
05-22-2014,9.80,9.85,8.93,9.05,665245
05-23-2014,9.68,9.68,9.30,9.34,360028
05-27-2014,9.50,9.85,9.35,9.77,799261
05-28-2014,9.84,9.95,9.50,9.56,290216
05-29-2014,9.54,9.98,9.50,9.86,395082
05-30-2014,9.95,11.12,9.90,10.95,642221
06-02-2014,10.94,10.94,9.91,10.20,375835
06-03-2014,10.20,10.25,9.70,10.06,372144
06-04-2014,10.00,10.18,9.92,9.99,129973
06-05-2014,9.99,10.09,9.84,9.97,187105
06-06-2014,10.15,10.15,9.76,9.81,142163
06-09-2014,9.79,9.79,9.30,9.34,206798
06-10-2014,9.29,9.39,8.82,8.98,381119
06-11-2014,8.80,8.80,8.32,8.50,659149
06-12-2014,8.51,8.75,8.50,8.58,267023
06-13-2014,8.80,9.17,8.62,9.03,379316
06-16-2014,9.08,9.29,8.92,9.17,234594
06-17-2014,9.13,9.24,9.00,9.19,113801
06-18-2014,9.27,9.27,9.09,9.20,230442
06-19-2014,9.26,9.65,9.18,9.53,360945
06-20-2014,9.50,9.59,9.09,9.15,298605
06-23-2014,9.19,9.39,9.10,9.27,105311
06-24-2014,9.24,9.80,9.07,9.11,212291
06-25-2014,9.10,9.70,8.86,9.31,87484
06-26-2014,9.35,9.46,9.08,9.22,67070
06-27-2014,9.22,9.77,9.21,9.23,790099
06-30-2014,9.52,9.84,9.35,9.58,120106
07-01-2014,9.60,10.50,9.60,10.11,165532
07-02-2014,10.11,10.41,9.68,9.78,154471
07-03-2014,9.79,10.16,9.72,9.83,94298
07-07-2014,9.78,10.00,9.63,9.70,99462
07-08-2014,9.65,9.65,9.10,9.35,202104
07-09-2014,9.33,9.44,9.25,9.28,84663
07-10-2014,9.15,9.37,8.80,8.82,210645
07-11-2014,8.77,9.11,8.60,8.96,115510
07-14-2014,9.00,9.30,9.00,9.14,217761
07-15-2014,9.17,9.25,9.00,9.12,44434
07-16-2014,9.17,9.25,8.73,8.83,163064
07-17-2014,8.79,9.18,8.79,8.90,72716
07-18-2014,8.87,9.08,8.78,8.95,60272
07-21-2014,9.00,9.00,8.78,8.83,16109
07-22-2014,8.83,9.00,8.65,8.76,92270
07-23-2014,8.78,9.00,8.67,8.78,49298
07-24-2014,8.83,9.11,8.72,8.99,74130
07-25-2014,8.98,8.98,8.71,8.86,68308
