Date,Open,High,Low,Close,Volume
06-12-2008,4.73,4.81,4.14,4.37,10844209
06-13-2008,4.37,4.44,4.28,4.42,1044882
06-16-2008,4.41,4.52,4.38,4.47,326083
06-17-2008,4.58,4.58,4.47,4.49,252647
06-18-2008,4.49,4.52,4.22,4.22,760316
06-19-2008,4.22,4.33,3.94,4.07,1654412
06-20-2008,4.06,4.06,3.88,3.93,1184151
06-23-2008,3.97,4.00,3.72,3.94,313067
06-24-2008,3.97,4.01,3.84,3.93,283353
06-25-2008,3.95,3.95,3.86,3.86,236718
06-26-2008,3.80,3.84,3.64,3.71,692789
06-27-2008,3.77,3.90,3.70,3.70,85834
06-30-2008,3.70,3.86,3.70,3.71,532363
07-01-2008,3.70,3.79,3.67,3.70,873045
07-02-2008,3.67,3.68,3.61,3.66,79794
07-03-2008,3.61,3.61,3.49,3.54,137515
07-07-2008,3.54,3.59,3.46,3.59,179213
07-08-2008,3.57,3.60,3.29,3.46,131489
07-09-2008,3.46,3.47,2.93,3.25,492206
07-10-2008,3.18,3.31,3.18,3.28,83303
07-11-2008,3.28,3.34,3.25,3.34,89447
07-14-2008,3.28,3.31,3.10,3.19,155653
07-15-2008,3.12,3.13,2.73,2.93,857488
07-16-2008,2.92,3.08,2.89,3.06,121585
07-17-2008,3.07,3.13,3.03,3.07,119644
07-18-2008,3.07,3.20,3.07,3.17,70451
07-21-2008,3.25,3.34,3.24,3.29,114874
07-22-2008,3.28,3.34,3.28,3.31,82564
07-23-2008,3.34,3.35,3.30,3.34,130683
07-24-2008,3.34,3.34,3.25,3.34,342645
07-25-2008,3.34,3.35,3.28,3.34,27226
07-28-2008,3.34,3.34,3.28,3.29,10744
07-29-2008,3.18,3.28,3.18,3.26,114376
07-30-2008,3.27,3.32,3.21,3.30,38874
07-31-2008,3.30,3.54,3.30,3.48,60419
08-01-2008,3.48,3.57,3.37,3.57,34274
08-04-2008,3.60,3.60,3.48,3.50,37708
08-05-2008,3.54,3.61,3.48,3.55,99947
08-06-2008,3.46,3.63,3.43,3.52,84948
08-07-2008,3.52,3.61,3.44,3.53,46209
08-08-2008,3.44,3.50,3.38,3.43,91375
08-11-2008,3.42,3.56,3.42,3.53,79050
08-12-2008,3.58,3.72,3.50,3.59,325015
08-13-2008,3.59,3.64,3.48,3.57,214687
08-14-2008,3.61,3.68,3.59,3.68,232925
08-15-2008,3.73,3.88,3.73,3.83,186630
08-18-2008,3.93,3.93,3.71,3.78,143007
08-19-2008,3.72,4.00,3.72,3.93,117875
08-20-2008,4.00,4.00,3.74,3.85,73914
08-21-2008,3.88,3.88,3.83,3.88,24995
08-22-2008,3.96,3.96,3.70,3.83,82096
08-25-2008,3.87,3.87,3.72,3.79,95788
08-26-2008,3.77,3.84,3.52,3.64,139596
08-27-2008,3.64,3.77,3.64,3.77,40374
08-28-2008,3.79,4.02,3.79,4.01,169350
08-29-2008,3.97,4.02,3.81,4.02,59795
09-02-2008,4.14,4.14,3.93,3.97,67267
09-03-2008,4.01,4.06,3.97,4.04,41497
09-04-2008,4.04,4.04,3.91,3.94,90071
09-05-2008,3.94,4.00,3.94,4.00,89712
09-08-2008,3.99,4.05,3.86,3.99,47161
09-09-2008,3.90,3.98,3.66,3.82,196083
09-10-2008,3.75,3.84,3.75,3.76,120542
09-11-2008,3.75,3.77,3.68,3.77,34778
09-12-2008,3.71,3.74,3.62,3.62,49361
09-15-2008,3.67,3.67,3.52,3.56,206872
09-16-2008,3.53,3.59,3.51,3.53,298262
09-17-2008,3.58,3.58,3.30,3.33,484148
09-18-2008,3.32,3.35,3.05,3.11,253722
09-19-2008,3.53,3.53,3.25,3.34,93970
09-22-2008,3.36,3.49,2.97,3.39,265291
09-23-2008,3.40,3.45,3.06,3.34,152321
09-24-2008,3.34,3.62,3.33,3.33,255115
09-25-2008,3.30,3.42,3.27,3.29,96586
09-26-2008,3.12,3.53,3.12,3.43,262945
09-29-2008,3.34,3.56,3.23,3.53,724523
09-30-2008,3.51,3.94,3.44,3.73,2055065
10-01-2008,3.76,3.80,3.53,3.60,629208
10-02-2008,3.56,3.59,3.16,3.16,463556
10-03-2008,3.16,3.24,2.93,2.93,243510
10-06-2008,2.88,2.88,2.69,2.80,186863
10-07-2008,2.81,2.83,2.56,2.66,153819
10-08-2008,2.60,2.69,2.49,2.53,307721
10-09-2008,2.58,2.58,2.06,2.23,273670
10-10-2008,2.06,2.25,1.86,2.08,321108
10-13-2008,2.28,2.77,2.15,2.74,724449
10-14-2008,2.95,2.98,2.85,2.95,284271
10-15-2008,2.97,2.98,2.67,2.67,211633
10-16-2008,2.74,3.03,2.47,3.03,285704
10-17-2008,2.87,3.25,2.78,2.88,318120
10-20-2008,2.93,3.02,2.87,2.96,119281
10-21-2008,2.88,2.97,2.79,2.88,135785
10-22-2008,2.78,2.78,2.68,2.70,165229
10-23-2008,2.75,3.03,2.46,2.53,497787
10-24-2008,2.44,2.44,2.23,2.25,460213
10-27-2008,2.26,2.27,2.11,2.16,343505
10-28-2008,2.16,2.25,2.13,2.17,864095
10-29-2008,2.17,2.36,2.12,2.26,426900
10-30-2008,2.34,2.38,2.27,2.35,178434
10-31-2008,2.33,2.52,2.32,2.52,166643
11-03-2008,2.64,2.64,2.54,2.61,95695
11-04-2008,2.69,2.91,2.62,2.83,145471
11-05-2008,2.79,2.93,2.69,2.73,161691
11-06-2008,2.70,2.72,2.49,2.54,95213
11-07-2008,2.55,2.55,2.36,2.50,128732
11-10-2008,2.55,2.75,2.42,2.45,111463
11-11-2008,2.36,2.41,2.23,2.36,170484
11-12-2008,2.39,2.43,2.25,2.26,99250
11-13-2008,2.26,2.52,2.21,2.49,159388
11-14-2008,2.45,2.61,2.39,2.45,212225
11-17-2008,2.41,2.41,2.25,2.39,56214
11-18-2008,2.39,2.46,2.33,2.38,94912
11-19-2008,2.32,2.38,2.22,2.22,403678
11-20-2008,2.22,2.52,2.22,2.45,227750
11-21-2008,2.38,2.56,2.21,2.55,216644
11-24-2008,2.68,2.68,2.55,2.58,234023
11-25-2008,2.63,2.69,2.45,2.45,319346
11-26-2008,2.41,2.60,2.41,2.60,113078
11-28-2008,2.63,2.76,2.62,2.72,77859
12-01-2008,2.72,2.74,2.51,2.51,140011
12-02-2008,2.53,2.58,2.48,2.55,98753
12-03-2008,2.47,2.65,2.42,2.56,59920
12-04-2008,2.55,2.61,2.45,2.46,164577
12-05-2008,2.42,2.55,2.42,2.54,259094
12-08-2008,2.57,2.63,2.52,2.55,235663
12-09-2008,2.51,2.56,2.47,2.51,145249
12-10-2008,2.52,2.56,2.48,2.53,155977
12-11-2008,2.58,2.84,2.58,2.69,255409
12-12-2008,2.63,2.85,2.53,2.85,196310
12-15-2008,2.85,3.10,2.78,2.88,306041
12-16-2008,2.95,3.08,2.88,3.08,263565
12-17-2008,3.15,3.15,2.90,3.14,187305
12-18-2008,3.14,3.23,3.10,3.16,193013
12-19-2008,3.26,3.34,3.09,3.27,334591
12-22-2008,3.32,3.32,2.98,3.16,515068
12-23-2008,3.20,3.28,2.98,2.99,265941
12-24-2008,3.01,3.11,2.93,3.04,77352
12-26-2008,3.11,3.12,3.02,3.06,274528
12-29-2008,3.05,3.05,2.89,2.94,162918
12-30-2008,2.96,3.00,2.93,2.99,153293
12-31-2008,2.96,3.10,2.96,3.06,149294
01-02-2009,3.10,3.10,3.00,3.04,453893
01-05-2009,3.09,3.09,2.91,3.04,151382
01-06-2009,3.04,3.04,2.95,2.98,190816
01-07-2009,2.94,3.01,2.93,2.96,115802
01-08-2009,2.94,2.97,2.94,2.96,174316
01-09-2009,2.96,2.97,2.93,2.94,139321
01-12-2009,2.94,2.98,2.92,2.94,178660
01-13-2009,2.87,2.96,2.87,2.93,133159
01-14-2009,2.89,2.94,2.84,2.85,115337
01-15-2009,2.84,2.84,2.66,2.80,267147
01-16-2009,2.83,2.84,2.72,2.73,120054
01-20-2009,2.70,2.70,2.42,2.46,282831
01-21-2009,2.49,2.61,2.45,2.58,204653
01-22-2009,2.56,2.61,2.54,2.54,216946
01-23-2009,2.52,2.61,2.35,2.47,468761
01-26-2009,2.54,2.63,2.45,2.47,116451
01-27-2009,2.50,2.56,2.46,2.47,57791
01-28-2009,2.48,2.55,2.46,2.48,234934
01-29-2009,2.47,2.48,2.41,2.43,242223
01-30-2009,2.43,2.65,2.41,2.58,264600
02-02-2009,2.58,2.67,2.49,2.64,121942
02-03-2009,2.65,2.71,2.52,2.61,365520
02-04-2009,2.62,2.62,2.39,2.43,161000
02-05-2009,2.41,2.60,2.41,2.60,98960
02-06-2009,2.59,3.02,2.59,2.95,307815
02-09-2009,2.91,2.93,2.80,2.93,103751
02-10-2009,2.91,3.02,2.82,2.82,144529
02-11-2009,2.80,2.92,2.78,2.89,97913
02-12-2009,2.86,2.89,2.82,2.86,158932
02-13-2009,2.85,2.87,2.79,2.81,47999
02-17-2009,2.64,2.74,2.63,2.69,115747
02-18-2009,2.69,2.81,2.62,2.67,156777
02-19-2009,2.70,2.76,2.70,2.73,157288
02-20-2009,2.69,2.74,2.69,2.73,167537
