Date,Open,High,Low,Close,Volume
11-16-2006,20.00,20.00,20.00,20.00,0
11-17-2006,24.50,25.18,23.50,24.74,18358156
11-20-2006,24.69,25.67,24.29,25.00,1688963
11-21-2006,25.00,25.19,24.31,24.60,1179813
11-22-2006,24.57,26.88,24.50,26.88,1260752
11-24-2006,27.00,27.96,26.88,27.75,350251
11-27-2006,28.39,28.50,27.92,28.35,910473
11-28-2006,28.53,28.90,27.75,28.17,587427
11-29-2006,28.50,28.95,28.00,28.27,414635
11-30-2006,28.80,28.80,28.00,28.30,245668
12-01-2006,28.30,28.30,27.56,27.89,257298
12-04-2006,28.00,28.40,27.56,27.88,482991
12-05-2006,27.62,27.89,26.40,27.08,782351
12-06-2006,26.80,27.63,26.77,27.20,138236
12-07-2006,27.70,27.74,27.32,27.32,155032
12-08-2006,27.50,27.57,27.20,27.53,55222
12-11-2006,27.32,28.40,27.32,27.95,232649
12-12-2006,28.20,28.20,26.91,27.20,371691
12-13-2006,27.30,28.11,26.50,27.64,547779
12-14-2006,27.62,28.62,27.32,27.93,837635
12-15-2006,28.36,29.28,27.77,29.05,2069209
12-18-2006,29.32,29.87,28.42,28.59,738847
12-19-2006,28.00,28.20,26.54,27.79,470726
12-20-2006,27.88,28.92,27.01,27.78,284125
12-21-2006,27.50,27.85,26.66,26.69,616652
12-22-2006,26.99,27.70,26.86,27.53,151163
12-26-2006,27.63,28.34,27.04,27.10,87501
12-27-2006,28.24,28.81,27.74,28.81,788267
12-28-2006,28.72,29.98,28.00,29.86,1395990
12-29-2006,29.99,30.00,29.02,29.84,355445
01-03-2007,30.17,30.29,28.20,28.50,489943
01-04-2007,28.11,28.84,28.00,28.75,325428
01-05-2007,28.65,28.65,27.73,28.15,524303
01-08-2007,28.26,29.00,28.26,28.90,317098
01-09-2007,29.00,29.77,28.95,29.27,232733
01-10-2007,29.22,29.67,29.09,29.16,267718
01-11-2007,29.19,29.73,28.75,29.34,362361
01-12-2007,29.27,29.61,29.27,29.53,176341
01-16-2007,29.56,30.47,29.00,29.27,214440
01-17-2007,29.26,29.26,28.85,29.02,256793
01-18-2007,29.27,29.56,28.05,28.32,258483
01-19-2007,28.24,28.32,27.70,27.71,352910
01-22-2007,27.75,28.13,27.54,27.88,400630
01-23-2007,28.00,29.38,27.87,28.85,504190
01-24-2007,29.07,29.15,28.42,29.15,211244
01-25-2007,29.25,30.30,29.24,29.43,472375
01-26-2007,29.71,29.73,28.89,29.14,211002
01-29-2007,29.15,31.44,29.00,31.14,569040
01-30-2007,31.10,33.89,30.86,32.72,990156
01-31-2007,32.65,33.14,32.06,32.37,460432
02-01-2007,32.53,33.03,32.09,32.66,142618
02-02-2007,32.79,33.19,31.16,31.20,461026
02-05-2007,31.20,33.99,31.14,32.78,456111
02-06-2007,33.11,33.93,32.50,32.81,246357
02-07-2007,32.79,33.73,32.55,33.44,241923
02-08-2007,33.73,34.47,32.96,33.79,350365
02-09-2007,33.91,33.99,32.60,32.86,478002
02-12-2007,32.91,33.77,32.60,33.10,344452
02-13-2007,33.52,34.74,33.00,34.28,1122898
02-14-2007,40.38,44.85,40.01,43.72,5904415
02-15-2007,44.08,46.86,42.87,44.98,2143825
02-16-2007,45.05,45.75,44.53,45.26,432070
02-20-2007,44.97,49.95,44.90,49.21,1228607
02-21-2007,49.15,51.89,48.34,51.19,1787907
02-22-2007,51.20,51.57,48.25,49.20,1057934
02-23-2007,49.01,49.97,47.26,49.43,935908
02-26-2007,49.70,52.70,49.70,51.85,1293780
02-27-2007,49.50,51.19,48.27,49.01,1729999
02-28-2007,49.55,51.00,46.89,47.75,1582936
03-01-2007,46.15,48.86,45.20,47.88,939527
03-02-2007,47.53,48.82,45.85,46.27,786899
03-05-2007,45.00,45.21,42.60,44.13,1155380
03-06-2007,45.36,46.44,45.00,46.30,1133739
03-07-2007,46.24,47.96,45.77,47.62,761871
03-08-2007,49.73,52.07,49.64,51.87,1892216
03-09-2007,52.69,54.10,51.94,52.06,1498842
03-12-2007,51.99,57.94,51.61,57.91,2413823
03-13-2007,57.59,57.59,52.73,53.72,2634804
03-14-2007,53.53,55.45,51.40,54.46,2063299
03-15-2007,55.65,55.65,52.10,52.69,1657391
03-16-2007,52.83,52.83,50.23,51.52,1734197
