Date,Open,High,Low,Close,Volume
10-27-2008,0.380,0.394,0.331,0.345,62137
10-28-2008,0.346,0.350,0.308,0.340,23450
10-29-2008,0.377,0.414,0.368,0.395,114400
10-30-2008,0.443,0.447,0.380,0.417,72950
10-31-2008,0.393,0.426,0.388,0.390,63200
11-03-2008,0.422,0.449,0.408,0.410,117810
11-04-2008,0.442,0.578,0.442,0.526,1085800
11-05-2008,0.552,0.660,0.544,0.596,132300
11-06-2008,0.597,0.636,0.535,0.576,67996
11-07-2008,0.540,0.640,0.540,0.620,40220
11-10-2008,0.647,0.647,0.498,0.524,50370
11-11-2008,0.496,0.521,0.428,0.428,50100
11-12-2008,0.423,0.423,0.360,0.367,61800
11-13-2008,0.359,0.402,0.346,0.381,77520
11-14-2008,0.404,0.448,0.380,0.440,37150
11-17-2008,0.419,0.451,0.394,0.405,63100
11-18-2008,0.440,0.491,0.408,0.410,54747
11-19-2008,0.400,0.419,0.366,0.366,48600
11-20-2008,0.365,0.435,0.350,0.360,273900
11-21-2008,0.387,0.456,0.352,0.419,255400
11-24-2008,0.505,0.547,0.454,0.497,74169
11-25-2008,0.530,0.563,0.471,0.471,34000
11-26-2008,0.505,0.536,0.390,0.533,17750
11-28-2008,0.520,0.530,0.520,0.530,11250
12-01-2008,0.505,0.528,0.488,0.497,45700
12-02-2008,0.479,0.488,0.430,0.459,30600
12-03-2008,0.488,0.488,0.456,0.482,18000
12-04-2008,0.481,0.489,0.475,0.475,20000
12-05-2008,0.445,0.456,0.379,0.414,30100
12-08-2008,0.450,0.516,0.420,0.435,69920
12-09-2008,0.409,0.451,0.409,0.440,11800
12-10-2008,0.550,0.550,0.463,0.479,243900
12-11-2008,0.517,0.576,0.482,0.559,63150
12-12-2008,0.540,0.544,0.495,0.544,16600
12-15-2008,0.559,0.584,0.524,0.572,19000
12-16-2008,0.575,0.599,0.550,0.580,59300
12-17-2008,0.580,0.580,0.580,0.580,0
12-18-2008,0.590,0.614,0.540,0.559,68620
12-19-2008,0.557,0.560,0.469,0.469,34392
12-22-2008,0.482,0.547,0.482,0.498,16500
12-23-2008,0.511,0.516,0.468,0.468,31900
12-24-2008,0.475,0.498,0.445,0.489,16100
12-26-2008,0.489,0.489,0.489,0.489,0
12-29-2008,0.503,0.604,0.470,0.555,46200
12-30-2008,0.608,0.608,0.508,0.508,39720
12-31-2008,0.547,0.622,0.519,0.573,83600
01-02-2009,0.613,0.667,0.596,0.641,90515
01-05-2009,0.740,0.811,0.692,0.760,63415
01-06-2009,0.767,0.794,0.750,0.766,36600
01-07-2009,0.773,0.822,0.753,0.766,101100
01-08-2009,0.803,0.890,0.737,0.817,33852
01-09-2009,0.795,0.836,0.786,0.786,23375
01-12-2009,0.754,0.770,0.707,0.727,48800
01-13-2009,0.727,0.730,0.705,0.708,21400
01-14-2009,0.720,0.767,0.715,0.751,17990
01-15-2009,0.703,0.757,0.686,0.748,16075
01-16-2009,0.790,0.820,0.755,0.807,31800
01-20-2009,0.873,0.873,0.797,0.797,24600
01-21-2009,0.814,0.814,0.676,0.710,32850
01-22-2009,0.722,0.722,0.649,0.649,24073
01-23-2009,0.701,0.758,0.692,0.738,32875
01-26-2009,0.760,0.817,0.748,0.783,29806
01-27-2009,0.803,0.839,0.751,0.839,22650
01-28-2009,0.814,0.822,0.752,0.752,21500
01-29-2009,0.759,0.784,0.742,0.758,14115
01-30-2009,0.747,0.785,0.721,0.772,90050
02-02-2009,0.743,0.770,0.687,0.687,27800
02-03-2009,0.675,0.691,0.666,0.687,20000
02-04-2009,0.698,0.711,0.690,0.711,18500
02-05-2009,0.706,0.772,0.696,0.750,24399
02-06-2009,0.775,0.812,0.761,0.779,38574
02-09-2009,0.783,0.868,0.783,0.826,28999
02-10-2009,0.846,0.889,0.775,0.775,28800
02-11-2009,0.794,0.927,0.794,0.866,44998
02-12-2009,0.830,0.926,0.830,0.926,43600
02-13-2009,0.910,0.928,0.859,0.920,44900
02-17-2009,0.922,0.947,0.802,0.855,112600
02-18-2009,0.809,0.837,0.774,0.823,80900
02-19-2009,0.819,0.860,0.811,0.822,23900
02-20-2009,0.835,0.895,0.835,0.895,30300
02-23-2009,0.878,0.879,0.805,0.861,32900
02-24-2009,0.852,0.852,0.819,0.840,1058400
02-25-2009,0.822,0.859,0.821,0.827,162875
02-26-2009,0.813,0.818,0.813,0.815,72400
02-27-2009,0.824,0.828,0.798,0.806,71000
03-02-2009,0.815,0.815,0.661,0.661,237900
03-03-2009,0.663,0.697,0.651,0.651,21700
03-04-2009,0.766,0.766,0.688,0.688,700
03-05-2009,0.757,0.766,0.757,0.766,1350
03-06-2009,0.763,0.767,0.750,0.764,3500
03-09-2009,0.748,0.749,0.695,0.714,12450
03-10-2009,0.714,0.714,0.590,0.643,241220
03-11-2009,0.645,0.689,0.643,0.689,6700
03-12-2009,0.681,0.681,0.649,0.649,7900
03-13-2009,0.711,0.747,0.688,0.720,49694
03-16-2009,0.724,0.768,0.720,0.757,240100
03-17-2009,0.750,0.750,0.702,0.738,267300
03-18-2009,0.723,0.810,0.705,0.810,208618
03-19-2009,0.845,0.868,0.809,0.837,327400
03-20-2009,0.835,0.846,0.750,0.769,229300
03-23-2009,0.772,0.838,0.764,0.838,39100
03-24-2009,0.808,0.825,0.780,0.796,142600
03-25-2009,0.822,0.825,0.776,0.788,225100
03-26-2009,0.820,0.848,0.796,0.815,108330
03-27-2009,0.830,0.831,0.793,0.803,24800
03-30-2009,0.780,0.816,0.748,0.763,26200
03-31-2009,0.807,0.824,0.807,0.822,18200
04-01-2009,0.795,0.863,0.778,0.851,113590
04-02-2009,0.880,0.901,0.811,0.820,39550
04-03-2009,0.855,0.893,0.855,0.874,44900
04-06-2009,0.837,0.837,0.788,0.788,29700
04-07-2009,0.808,0.856,0.808,0.846,32000
04-08-2009,0.857,0.872,0.835,0.862,28900
04-09-2009,0.860,0.869,0.835,0.860,13800
04-13-2009,0.862,0.900,0.839,0.890,104300
04-14-2009,0.877,0.878,0.837,0.871,20600
04-15-2009,0.828,0.870,0.825,0.853,22000
04-16-2009,0.821,0.827,0.782,0.782,36500
04-17-2009,0.770,0.804,0.737,0.804,38900
04-20-2009,0.757,0.789,0.750,0.757,20272
04-21-2009,0.675,0.750,0.631,0.670,508264
04-22-2009,0.641,0.692,0.633,0.666,186648
04-23-2009,0.650,0.723,0.625,0.673,59515
04-24-2009,0.731,0.731,0.680,0.700,208300
04-27-2009,0.700,0.707,0.626,0.658,83183
04-28-2009,0.674,0.674,0.658,0.668,2500
04-29-2009,0.683,0.720,0.659,0.700,35850
04-30-2009,0.716,0.716,0.665,0.700,24816
05-01-2009,0.709,0.714,0.680,0.695,46438
05-04-2009,0.671,0.747,0.671,0.737,166534
05-05-2009,0.740,0.762,0.732,0.754,33970
05-06-2009,0.756,0.785,0.752,0.785,102876
05-07-2009,0.783,0.792,0.753,0.753,85000
05-08-2009,0.763,0.804,0.762,0.804,52021
05-11-2009,0.807,0.841,0.790,0.837,88152
05-12-2009,0.849,0.894,0.836,0.881,162433
05-13-2009,0.879,0.888,0.835,0.847,32900
05-14-2009,0.832,0.832,0.762,0.775,45500
05-15-2009,0.800,0.800,0.757,0.767,59000
05-18-2009,0.767,0.767,0.767,0.767,0
05-19-2009,0.789,0.802,0.773,0.802,20250
05-20-2009,0.839,0.863,0.818,0.818,40498
05-21-2009,0.808,0.820,0.786,0.812,45478
05-22-2009,0.803,0.840,0.803,0.834,42800
05-26-2009,0.854,0.864,0.834,0.853,42616
05-27-2009,0.840,0.860,0.840,0.848,15000
05-28-2009,0.848,0.911,0.828,0.883,110667
05-29-2009,0.905,0.930,0.886,0.930,71037
06-01-2009,0.936,0.989,0.908,0.922,147700
06-02-2009,0.925,0.950,0.900,0.929,106700
06-03-2009,0.909,0.929,0.852,0.871,112300
06-04-2009,0.860,0.900,0.852,0.888,105282
06-05-2009,0.908,0.915,0.856,0.880,66100
06-08-2009,0.871,0.887,0.832,0.876,108900
06-09-2009,0.886,0.920,0.874,0.895,49200
06-10-2009,0.891,0.906,0.882,0.898,73739
06-11-2009,0.913,0.962,0.893,0.938,266225
06-12-2009,0.896,0.924,0.873,0.899,44000
06-15-2009,0.873,0.873,0.805,0.816,74500
06-16-2009,0.864,0.864,0.832,0.832,5414
06-17-2009,0.817,0.834,0.799,0.834,23225
06-18-2009,0.836,0.853,0.827,0.844,4850
06-19-2009,0.831,0.850,0.831,0.844,30860
06-22-2009,0.813,0.823,0.749,0.759,87150
06-23-2009,0.760,0.789,0.756,0.777,34100
06-24-2009,0.774,0.816,0.758,0.758,55300
