Date,Open,High,Low,Close,Volume
12-14-2010,7.49,7.49,7.49,7.49,0
12-15-2010,7.49,7.66,6.84,7.33,5197933
12-16-2010,7.33,7.48,7.08,7.16,661544
12-17-2010,7.14,7.24,6.69,7.00,571225
12-20-2010,6.91,7.06,6.69,7.04,207604
12-21-2010,7.03,7.08,6.92,7.04,329191
12-22-2010,6.99,7.12,6.95,7.03,105347
12-23-2010,7.06,7.19,6.94,7.04,204314
12-27-2010,7.08,7.17,7.02,7.04,40613
12-28-2010,7.04,7.11,6.95,7.04,86658
12-29-2010,7.10,7.28,7.04,7.23,133277
12-30-2010,7.29,7.49,7.26,7.45,163343
12-31-2010,7.45,7.74,7.37,7.62,174005
01-03-2011,7.65,7.67,7.39,7.58,151013
01-04-2011,7.56,7.61,7.48,7.56,78232
01-05-2011,7.67,7.83,6.66,7.83,150438
01-06-2011,7.72,8.08,7.72,8.04,125675
01-07-2011,8.20,8.25,7.95,8.25,68780
01-10-2011,8.25,8.25,8.06,8.20,58055
01-11-2011,8.18,8.26,7.99,8.26,43998
01-12-2011,8.18,8.24,7.91,7.92,81707
01-13-2011,7.86,7.91,7.45,7.73,80007
01-14-2011,7.82,7.91,7.62,7.91,294625
01-18-2011,7.74,8.09,7.69,8.06,210245
01-19-2011,7.99,8.24,7.87,7.96,140696
01-20-2011,7.96,8.03,7.87,7.96,115306
01-21-2011,8.03,8.26,8.02,8.15,452649
01-24-2011,8.28,8.47,8.06,8.26,154746
01-25-2011,8.44,8.45,7.84,7.99,286707
01-26-2011,8.07,8.13,7.87,7.96,183159
01-27-2011,7.91,8.09,7.91,8.01,132211
01-28-2011,8.00,8.06,7.76,7.80,11763
01-31-2011,7.87,7.97,7.78,7.97,107983
02-01-2011,7.99,8.03,7.82,7.96,96571
02-02-2011,8.01,8.05,7.86,7.91,26973
02-03-2011,7.94,7.94,7.73,7.84,82178
02-04-2011,7.79,7.80,7.34,7.44,38880
02-07-2011,7.50,7.50,7.03,7.19,334603
02-08-2011,7.26,7.46,7.14,7.44,79632
02-09-2011,7.45,7.62,7.45,7.56,57832
02-10-2011,7.48,7.57,7.44,7.57,13419
02-11-2011,7.51,7.73,7.43,7.54,69141
02-14-2011,7.46,7.58,7.05,7.37,385535
02-15-2011,7.20,7.53,7.14,7.29,190422
02-16-2011,7.29,7.29,6.75,6.95,353369
02-17-2011,6.93,7.04,6.54,6.71,118378
02-18-2011,6.75,6.96,6.68,6.93,73324
02-22-2011,6.95,7.03,6.81,6.90,145189
02-23-2011,6.97,6.97,6.40,6.46,244764
02-24-2011,6.46,6.54,6.29,6.34,90500
02-25-2011,6.38,6.54,6.28,6.54,80275
02-28-2011,6.62,6.62,6.38,6.41,56550
03-01-2011,6.40,6.66,6.29,6.54,90569
03-02-2011,6.51,6.67,6.38,6.63,90868
03-03-2011,6.63,6.79,6.46,6.54,95089
03-04-2011,6.55,6.62,6.34,6.42,30275
03-07-2011,6.39,6.46,6.30,6.42,25207
03-08-2011,6.43,6.70,6.37,6.65,74711
03-09-2011,6.71,6.71,6.37,6.42,12581
03-10-2011,6.32,6.52,6.21,6.51,47535
03-11-2011,6.42,6.75,6.42,6.74,23597
03-14-2011,6.78,6.78,6.53,6.72,38642
03-15-2011,6.59,6.77,6.38,6.56,32792
03-16-2011,6.57,6.73,6.38,6.39,89217
03-17-2011,6.56,6.66,6.43,6.43,48447
03-18-2011,6.48,6.61,5.97,6.11,196914
03-21-2011,6.21,6.62,6.21,6.61,56542
03-22-2011,6.57,6.77,6.54,6.71,67870
03-23-2011,6.64,6.74,6.54,6.64,56708
03-24-2011,6.55,6.60,6.45,6.56,32869
03-25-2011,6.45,6.62,6.43,6.57,24214
03-28-2011,6.45,6.59,6.37,6.54,80107
03-29-2011,6.51,6.62,6.42,6.57,66824
03-30-2011,6.54,6.61,6.42,6.46,85121
03-31-2011,6.42,6.62,6.29,6.35,537920
04-01-2011,6.36,6.47,6.04,6.15,318030
04-04-2011,6.15,6.18,5.88,6.05,195253
04-05-2011,5.91,6.06,5.90,6.05,35339
04-06-2011,6.05,6.23,5.89,5.92,116605
04-07-2011,5.90,6.00,5.82,5.89,85150
04-08-2011,5.97,6.00,5.71,5.71,235369
04-11-2011,5.56,5.66,5.03,5.49,256722
04-12-2011,5.46,5.61,5.44,5.51,39782
04-13-2011,5.51,5.56,5.41,5.41,256106
04-14-2011,5.37,5.41,5.33,5.41,49791
04-15-2011,5.39,5.50,5.39,5.46,463243
04-18-2011,5.45,5.45,5.25,5.41,63241
04-19-2011,5.42,5.49,5.34,5.37,20511
04-20-2011,5.51,5.54,5.46,5.50,32527
04-21-2011,5.54,5.61,5.36,5.39,49812
04-25-2011,5.36,5.41,5.32,5.38,83108
04-26-2011,5.41,5.42,5.35,5.38,37841
04-27-2011,5.40,5.49,5.30,5.46,416634
04-28-2011,5.50,5.50,5.26,5.33,124993
04-29-2011,5.31,5.34,5.19,5.31,40010
05-02-2011,5.30,5.35,5.14,5.18,96277
05-03-2011,5.20,5.23,5.12,5.18,51104
05-04-2011,5.22,5.27,5.13,5.24,56242
05-05-2011,5.15,5.39,5.15,5.34,172539
05-06-2011,5.37,5.37,5.27,5.27,25158
05-09-2011,5.29,5.30,5.17,5.30,159150
05-10-2011,5.33,5.46,5.33,5.46,131898
05-11-2011,5.41,5.48,5.30,5.40,37353
05-12-2011,5.38,5.63,5.38,5.58,73867
05-13-2011,5.60,5.73,5.51,5.56,101431
05-16-2011,4.96,5.40,4.64,5.22,831140
05-17-2011,5.17,5.35,5.02,5.12,199238
05-18-2011,5.14,5.23,5.07,5.11,508203
05-19-2011,5.12,5.17,4.98,5.03,102681
05-20-2011,5.03,5.11,5.03,5.06,77236
05-23-2011,5.05,5.08,4.98,5.03,25908
05-24-2011,5.01,5.04,4.94,4.97,76892
05-25-2011,4.98,5.05,4.94,4.98,41184
05-26-2011,5.03,5.07,4.98,5.04,41067
05-27-2011,5.04,5.07,5.01,5.05,66389
05-31-2011,5.06,5.12,4.96,4.99,217993
06-01-2011,5.03,5.03,4.96,4.98,65104
06-02-2011,4.96,4.98,4.96,4.97,53567
06-03-2011,4.96,5.03,4.96,5.01,56544
06-06-2011,4.98,5.02,4.96,4.98,44233
06-07-2011,5.02,5.03,4.96,4.98,45117
06-08-2011,4.96,5.01,4.96,4.96,117727
06-09-2011,4.98,5.01,4.97,4.98,21640
06-10-2011,4.96,5.05,4.96,5.05,33444
06-13-2011,5.04,5.10,4.98,5.10,38146
06-14-2011,5.11,5.27,4.99,5.03,108290
06-15-2011,5.00,5.24,5.00,5.12,114656
06-16-2011,5.14,5.53,5.05,5.50,110696
06-17-2011,5.51,5.54,5.40,5.42,122878
06-20-2011,5.40,5.49,5.26,5.49,95040
06-21-2011,5.50,5.56,5.42,5.53,46784
06-22-2011,5.52,5.56,5.41,5.44,58097
06-23-2011,5.40,5.56,5.32,5.55,27493
06-24-2011,5.56,5.84,5.50,5.73,672630
06-27-2011,5.68,5.84,5.51,5.82,38364
06-28-2011,5.84,5.84,5.58,5.65,236157
06-29-2011,5.66,5.72,5.59,5.65,49074
06-30-2011,5.69,5.69,5.59,5.64,31242
07-01-2011,5.61,5.66,5.58,5.63,61087
07-05-2011,5.68,5.68,5.54,5.57,55861
07-06-2011,5.57,5.67,5.47,5.59,88122
07-07-2011,5.62,5.62,5.39,5.60,46845
07-08-2011,5.56,5.60,5.53,5.55,31938
07-11-2011,5.55,5.59,5.38,5.55,124651
07-12-2011,5.56,5.58,5.46,5.56,15453
07-13-2011,5.60,5.60,5.51,5.58,51562
07-14-2011,5.60,5.60,5.46,5.46,60618
07-15-2011,5.55,5.63,5.48,5.50,58842
07-18-2011,5.51,5.51,4.94,5.02,217987
07-19-2011,5.06,5.27,4.83,5.27,60537
07-20-2011,5.24,5.29,5.21,5.25,15077
07-21-2011,5.28,5.42,5.22,5.38,38280
07-22-2011,5.38,5.62,5.34,5.59,42082
07-25-2011,5.57,5.63,5.41,5.55,20427
07-26-2011,5.57,5.57,5.32,5.47,35144
07-27-2011,5.41,5.43,5.34,5.34,28072
07-28-2011,5.32,5.37,5.17,5.20,28111
07-29-2011,4.20,5.09,4.20,5.01,160466
08-01-2011,4.98,5.21,4.96,5.21,83613
08-02-2011,5.15,5.19,4.99,5.10,22815
08-03-2011,5.04,5.13,4.95,4.98,113586
08-04-2011,4.97,5.06,4.65,4.74,123444
08-05-2011,4.74,4.87,4.74,4.79,121575
08-08-2011,4.62,4.83,4.20,4.42,186796
08-09-2011,4.37,4.59,3.97,4.50,180467
08-10-2011,4.45,4.52,4.14,4.28,108748
08-11-2011,4.31,4.55,4.20,4.46,88763
08-12-2011,4.47,4.60,4.18,4.26,75880
08-15-2011,4.29,4.64,4.29,4.53,47050
08-16-2011,4.48,4.58,4.30,4.45,100660
08-17-2011,4.48,4.60,4.48,4.55,62535
08-18-2011,4.50,4.66,4.33,4.33,94906
08-19-2011,4.32,4.56,4.32,4.40,76792
08-22-2011,4.45,4.52,4.23,4.23,43278
