Date,Open,High,Low,Close,Volume
05-14-2007,15.50,15.50,15.50,15.50,0
05-15-2007,16.00,16.57,15.90,15.90,9713200
05-16-2007,16.10,16.20,16.00,16.00,888400
05-17-2007,15.90,16.02,15.71,15.85,786000
05-18-2007,15.90,15.91,15.22,15.51,613000
05-21-2007,15.51,15.60,15.47,15.50,638500
05-22-2007,15.55,16.05,15.50,16.05,343900
05-23-2007,16.12,16.12,15.54,15.74,124800
05-24-2007,15.70,15.70,15.50,15.51,354300
05-25-2007,15.51,15.54,15.49,15.51,83000
05-29-2007,15.65,15.78,15.51,15.51,116500
05-30-2007,15.51,15.56,15.50,15.56,72900
05-31-2007,15.50,16.19,15.50,15.83,96600
06-01-2007,15.93,15.99,15.65,15.80,79200
06-04-2007,15.70,15.98,15.60,15.84,403500
06-05-2007,15.70,15.75,15.50,15.50,94500
06-06-2007,15.51,15.59,15.24,15.50,536200
06-07-2007,15.51,15.54,15.48,15.51,223200
06-08-2007,15.50,15.51,15.34,15.43,139200
06-11-2007,15.33,15.53,15.33,15.49,263700
06-12-2007,15.59,15.59,15.05,15.25,210100
06-13-2007,15.10,15.14,14.91,15.10,598800
06-14-2007,15.01,15.07,14.90,15.04,295300
06-15-2007,15.00,15.05,14.83,15.05,91600
06-18-2007,15.05,15.12,14.75,15.00,217800
06-19-2007,15.00,15.41,14.91,15.31,285800
06-20-2007,15.40,16.10,15.31,15.90,486400
06-21-2007,15.90,16.05,15.77,15.95,249300
06-22-2007,15.93,16.04,15.75,16.03,1108100
06-25-2007,16.42,16.50,15.95,16.00,343700
06-26-2007,16.00,16.10,15.69,15.77,113200
06-27-2007,15.88,16.00,15.75,15.95,235400
06-28-2007,15.85,15.88,15.71,15.85,82700
06-29-2007,15.85,15.85,15.50,15.51,98700
07-02-2007,15.64,15.73,15.54,15.69,264400
07-03-2007,15.69,15.78,15.57,15.71,126700
07-05-2007,15.69,15.77,15.65,15.73,132500
07-06-2007,15.83,15.93,15.71,15.91,109600
07-09-2007,15.80,16.27,15.75,15.82,234200
07-10-2007,15.25,15.83,14.67,15.67,276200
07-11-2007,15.68,15.89,15.37,15.76,138300
07-12-2007,16.05,16.14,15.66,15.78,144600
07-13-2007,15.82,15.92,15.69,15.88,120200
07-16-2007,15.90,15.90,15.70,15.77,58500
07-17-2007,15.77,15.88,15.37,15.51,258400
07-18-2007,15.37,15.44,15.27,15.40,100000
07-19-2007,15.54,15.56,15.45,15.46,65100
07-20-2007,15.45,15.50,15.11,15.28,163300
07-23-2007,14.92,15.18,14.88,15.09,342200
07-24-2007,14.94,14.95,14.46,14.91,438500
07-25-2007,15.01,15.23,14.68,14.74,132200
07-26-2007,14.65,14.77,13.59,14.31,129800
07-27-2007,14.30,14.60,13.31,13.88,182000
07-30-2007,13.86,14.07,13.32,13.92,104000
07-31-2007,13.95,14.19,13.69,13.89,330200
08-01-2007,13.79,14.09,13.39,13.72,199500
08-02-2007,13.67,14.23,13.31,14.13,404500
08-03-2007,14.10,14.10,13.58,13.66,139100
08-06-2007,13.50,14.08,13.31,13.75,466900
08-07-2007,13.75,14.19,13.68,13.96,300100
08-08-2007,14.20,14.74,13.71,14.70,183100
08-09-2007,14.70,14.75,14.14,14.23,125000
08-10-2007,14.00,15.26,14.00,15.00,116500
08-13-2007,15.25,15.74,14.82,15.19,112900
08-14-2007,15.09,16.05,14.73,14.73,65400
08-15-2007,14.74,15.03,13.99,14.04,90600
08-16-2007,14.35,15.07,13.02,14.82,225400
08-17-2007,15.75,15.76,15.10,15.19,118400
08-20-2007,15.19,15.34,14.66,15.00,31700
08-21-2007,14.89,15.14,14.77,14.82,29000
08-22-2007,15.00,15.00,14.29,14.47,38700
08-23-2007,14.57,14.57,13.57,14.10,51500
08-24-2007,14.08,14.45,14.00,14.20,70900
08-27-2007,14.18,14.82,13.88,14.68,83100
08-28-2007,14.47,14.48,14.15,14.30,93100
08-29-2007,14.35,14.65,13.95,14.45,126200
08-30-2007,14.30,14.80,14.30,14.56,51400
08-31-2007,14.70,14.71,14.16,14.53,44000
09-04-2007,14.44,14.94,14.40,14.74,50800
09-05-2007,14.62,14.78,14.17,14.49,34500
09-06-2007,14.60,15.04,14.35,14.85,93600
09-07-2007,14.59,14.70,14.50,14.70,56200
09-10-2007,14.76,14.76,14.54,14.62,31700
09-11-2007,14.75,15.04,14.64,14.96,110600
09-12-2007,14.96,15.00,14.59,14.90,26900
09-13-2007,15.00,15.00,14.82,14.94,58500
09-14-2007,14.77,14.77,14.57,14.75,18400
09-17-2007,14.77,14.77,14.35,14.39,70400
09-18-2007,14.47,15.30,14.29,14.99,72100
