Date,Open,High,Low,Close,Volume
08-01-1994,3.23,3.30,3.23,3.30,347854
08-02-1994,3.33,3.36,3.30,3.33,572572
08-03-1994,3.30,3.33,3.30,3.33,399770
08-04-1994,3.33,3.36,3.33,3.33,472525
08-05-1994,3.33,3.33,3.30,3.33,281536
08-08-1994,3.30,3.40,3.30,3.40,547943
08-09-1994,3.36,3.40,3.36,3.36,392945
08-10-1994,3.36,3.43,3.36,3.40,423264
08-11-1994,3.36,3.40,3.33,3.40,352779
08-12-1994,3.33,3.36,3.33,3.33,219009
08-15-1994,3.36,3.40,3.36,3.40,330798
08-16-1994,3.40,3.40,3.36,3.40,319432
08-17-1994,3.40,3.43,3.40,3.43,337618
08-18-1994,3.40,3.43,3.36,3.40,256140
08-19-1994,3.40,3.43,3.36,3.43,376649
08-22-1994,3.36,3.43,3.36,3.40,369069
08-23-1994,3.40,3.43,3.36,3.40,426678
08-24-1994,3.40,3.46,3.40,3.46,544903
08-25-1994,3.46,3.46,3.43,3.46,291775
08-26-1994,3.46,3.50,3.43,3.46,366801
08-29-1994,3.46,3.50,3.43,3.43,291010
08-30-1994,3.43,3.46,3.43,3.43,320945
08-31-1994,3.43,3.50,3.43,3.43,306921
09-01-1994,3.43,3.46,3.40,3.40,406965
09-02-1994,3.43,3.46,3.43,3.43,183387
09-06-1994,3.46,3.46,3.43,3.46,367560
09-07-1994,3.46,3.46,3.43,3.46,444864
09-08-1994,3.46,3.50,3.43,3.46,470632
09-09-1994,3.46,3.50,3.43,3.43,430462
09-12-1994,3.43,3.46,3.40,3.43,456230
09-13-1994,3.40,3.43,3.36,3.43,289868
09-14-1994,3.40,3.43,3.36,3.40,330422
09-15-1994,3.43,3.43,3.40,3.43,257661
09-16-1994,3.36,3.40,3.36,3.36,391433
09-19-1994,3.33,3.36,3.30,3.33,372484
09-20-1994,3.30,3.30,3.27,3.27,595306
09-21-1994,3.27,3.30,3.23,3.27,441077
09-22-1994,3.27,3.30,3.27,3.30,197030
09-23-1994,3.30,3.33,3.27,3.30,297823
09-26-1994,3.30,3.30,3.23,3.30,209911
09-27-1994,3.30,3.30,3.23,3.27,113278
09-28-1994,3.27,3.30,3.23,3.27,129953
09-29-1994,3.23,3.27,3.20,3.27,186420
09-30-1994,3.23,3.23,3.20,3.20,123514
10-03-1994,3.20,3.23,3.13,3.13,315646
10-04-1994,3.10,3.17,3.10,3.17,349366
10-05-1994,3.17,3.17,3.03,3.10,443346
10-06-1994,3.03,3.10,3.03,3.07,215598
10-07-1994,3.03,3.13,3.03,3.07,192480
10-10-1994,3.17,3.27,3.17,3.27,476696
10-11-1994,3.27,3.36,3.27,3.33,563476
10-12-1994,3.33,3.36,3.33,3.36,336480
10-13-1994,3.33,3.40,3.33,3.36,240607
10-14-1994,3.36,3.40,3.33,3.36,430081
10-17-1994,3.36,3.43,3.33,3.40,347095
10-18-1994,3.36,3.40,3.36,3.40,368697
10-19-1994,3.36,3.40,3.33,3.36,240230
10-20-1994,3.36,3.36,3.30,3.33,272064
10-21-1994,3.27,3.27,3.23,3.23,229997
10-24-1994,3.23,3.27,3.20,3.23,411891
10-25-1994,3.20,3.23,3.17,3.19,337245
10-26-1994,3.23,3.27,3.20,3.23,285699
10-27-1994,3.23,3.27,3.23,3.27,172775
10-28-1994,3.23,3.33,3.23,3.30,428187
10-31-1994,3.33,3.36,3.30,3.33,185655
11-01-1994,3.36,3.36,3.30,3.30,247053
11-02-1994,3.27,3.30,3.23,3.30,215979
11-03-1994,3.27,3.36,3.23,3.30,178076
11-04-1994,3.27,3.30,3.23,3.27,163678
11-07-1994,3.23,3.23,3.17,3.23,349366
11-08-1994,3.20,3.27,3.20,3.23,262206
11-09-1994,3.23,3.27,3.17,3.20,358082
11-10-1994,3.17,3.20,3.17,3.20,156105
11-11-1994,3.17,3.20,3.17,3.17,128059
11-14-1994,3.20,3.23,3.17,3.23,317155
11-15-1994,3.20,3.23,3.20,3.23,312990
11-16-1994,3.20,3.23,3.20,3.20,233403
11-17-1994,3.17,3.20,3.17,3.17,216353
11-18-1994,3.17,3.20,3.13,3.13,224689
11-21-1994,3.13,3.17,3.10,3.10,308063
11-22-1994,3.07,3.07,3.00,3.03,585080
11-23-1994,2.97,3.03,2.94,2.97,473287
11-25-1994,2.97,3.03,2.97,3.00,313742
11-28-1994,3.03,3.07,3.00,3.07,345198
11-29-1994,3.07,3.10,3.03,3.10,234918
11-30-1994,3.07,3.13,3.07,3.10,231892
12-01-1994,3.07,3.10,3.07,3.07,376278
12-02-1994,3.07,3.13,3.07,3.13,206122
12-05-1994,3.13,3.17,3.10,3.17,564235
12-06-1994,3.13,3.17,3.10,3.13,306921
12-07-1994,3.10,3.13,3.10,3.13,215979
12-08-1994,3.10,3.13,3.00,3.00,389160
12-09-1994,3.00,3.03,2.97,2.97,259175
12-12-1994,2.97,3.03,2.97,3.00,298973
12-13-1994,2.97,3.07,2.97,3.07,338758
12-14-1994,3.03,3.10,3.03,3.10,303130
12-15-1994,3.10,3.13,3.03,3.07,261070
12-16-1994,3.10,3.13,3.03,3.03,523684
12-19-1994,3.03,3.07,3.00,3.03,315646
12-20-1994,3.03,3.10,3.03,3.07,260690
12-21-1994,3.03,3.10,3.03,3.07,228856
12-22-1994,3.03,3.07,3.00,3.00,231511
12-23-1994,3.03,3.03,3.00,3.00,201575
12-27-1994,3.00,3.03,3.00,3.00,278505
12-28-1994,3.00,3.03,3.00,3.00,175053
12-29-1994,3.00,3.03,2.97,3.00,248565
12-30-1994,3.03,3.07,3.00,3.03,307683
01-03-1995,3.00,3.03,2.97,3.00,225075
01-04-1995,2.97,3.03,2.97,2.97,147762
01-05-1995,2.97,3.03,2.97,3.00,134498
01-06-1995,3.00,3.00,2.97,2.97,208398
01-09-1995,3.00,3.07,3.00,3.07,352401
01-10-1995,3.03,3.10,3.03,3.07,642680
01-11-1995,3.03,3.10,3.03,3.07,376649
01-12-1995,3.10,3.17,3.10,3.13,360743
01-13-1995,3.13,3.17,3.10,3.13,496405
01-16-1995,3.20,3.23,3.17,3.23,409999
01-17-1995,3.20,3.23,3.20,3.20,367560
01-18-1995,3.17,3.23,3.17,3.23,320187
01-19-1995,3.23,3.23,3.20,3.23,305030
01-20-1995,3.20,3.20,3.13,3.17,346715
01-23-1995,3.13,3.17,3.10,3.10,282669
01-24-1995,3.07,3.17,3.07,3.13,272436
01-25-1995,3.13,3.17,3.13,3.13,142836
01-26-1995,3.10,3.13,3.10,3.13,186039
01-27-1995,3.10,3.13,3.03,3.07,588482
01-30-1995,3.03,3.10,3.03,3.07,143217
01-31-1995,3.07,3.10,3.03,3.10,137149
02-01-1995,3.07,3.10,3.03,3.03,333830
02-02-1995,3.03,3.07,3.03,3.07,150037
02-03-1995,3.07,3.10,3.07,3.10,238708
02-06-1995,3.10,3.13,3.07,3.13,313742
02-07-1995,3.10,3.13,3.10,3.13,264483
02-08-1995,3.13,3.17,3.10,3.17,254251
02-09-1995,3.17,3.20,3.13,3.17,359975
02-10-1995,3.20,3.23,3.17,3.23,391433
02-13-1995,3.20,3.23,3.20,3.20,353915
02-14-1995,3.23,3.23,3.20,3.20,247053
02-15-1995,3.20,3.23,3.20,3.23,226210
02-16-1995,3.20,3.20,3.17,3.20,316015
02-17-1995,3.17,3.20,3.17,3.20,322462
02-21-1995,3.17,3.20,3.17,3.17,507013
02-22-1995,3.17,3.20,3.17,3.17,246288
02-23-1995,3.20,3.23,3.17,3.20,384231
02-24-1995,3.20,3.23,3.20,3.20,203849
02-27-1995,3.20,3.20,3.17,3.17,248947
02-28-1995,3.17,3.20,3.17,3.20,264857
03-01-1995,3.20,3.23,3.20,3.23,259553
03-02-1995,3.23,3.23,3.20,3.20,190205
03-03-1995,3.20,3.23,3.20,3.20,186420
03-06-1995,3.20,3.23,3.17,3.23,397116
03-07-1995,3.20,3.27,3.20,3.23,435772
03-08-1995,3.20,3.27,3.20,3.23,332309
03-09-1995,3.20,3.23,3.17,3.20,334963
