Date,Open,High,Low,Close,Volume
08-01-1994,1.61,1.64,1.61,1.64,1065842
08-02-1994,1.64,1.64,1.61,1.64,648549
08-03-1994,1.61,1.64,1.61,1.61,448478
08-04-1994,1.64,1.64,1.61,1.64,633907
08-05-1994,1.64,1.64,1.61,1.61,649398
08-08-1994,1.61,1.64,1.61,1.64,569016
08-09-1994,1.61,1.64,1.61,1.61,1476030
08-10-1994,1.61,1.64,1.58,1.64,485741
08-11-1994,1.61,1.61,1.58,1.61,761149
08-12-1994,1.60,1.61,1.58,1.58,534280
08-15-1994,1.61,1.66,1.58,1.61,867859
08-16-1994,1.61,1.61,1.58,1.61,1382285
08-17-1994,1.58,1.61,1.58,1.61,833971
08-18-1994,1.58,1.61,1.58,1.60,752778
08-19-1994,1.61,1.61,1.58,1.61,1251693
08-22-1994,1.58,1.64,1.58,1.61,1358840
08-23-1994,1.64,1.64,1.61,1.61,774544
08-24-1994,1.61,1.64,1.58,1.61,1180951
08-25-1994,1.61,1.61,1.58,1.58,784164
08-26-1994,1.58,1.61,1.58,1.61,646890
08-29-1994,1.61,1.61,1.58,1.61,777042
08-30-1994,1.61,1.61,1.58,1.61,1134496
08-31-1994,1.61,1.64,1.58,1.63,1127809
09-01-1994,1.61,1.64,1.61,1.64,2335334
09-02-1994,1.61,1.64,1.61,1.64,1409051
09-06-1994,1.61,1.64,1.61,1.61,735197
09-07-1994,1.61,1.64,1.61,1.64,837755
09-08-1994,1.61,1.64,1.61,1.64,621333
09-09-1994,1.61,1.64,1.61,1.64,1968260
09-12-1994,1.61,1.61,1.58,1.61,1294369
09-13-1994,1.61,1.61,1.58,1.58,1236206
09-14-1994,1.58,1.61,1.58,1.61,790024
09-15-1994,1.58,1.61,1.58,1.61,1165053
09-16-1994,1.58,1.61,1.58,1.58,1081760
09-19-1994,1.58,1.61,1.58,1.58,697526
09-20-1994,1.58,1.61,1.58,1.58,1424116
09-21-1994,1.61,1.61,1.58,1.61,1318661
09-22-1994,1.58,1.61,1.58,1.61,842774
09-23-1994,1.58,1.61,1.58,1.61,1555544
09-26-1994,1.61,1.64,1.58,1.61,945717
09-27-1994,1.61,1.64,1.58,1.61,990523
09-28-1994,1.61,1.64,1.58,1.61,679119
09-29-1994,1.64,1.64,1.61,1.61,591199
09-30-1994,1.61,1.64,1.61,1.64,813463
10-03-1994,1.61,1.64,1.60,1.61,1727159
10-04-1994,1.61,1.64,1.61,1.64,752366
10-05-1994,1.61,1.64,1.58,1.58,816818
10-06-1994,1.58,1.61,1.58,1.61,682878
10-07-1994,1.58,1.61,1.58,1.61,684969
10-10-1994,1.61,1.64,1.58,1.64,988421
10-11-1994,1.61,1.61,1.58,1.61,865342
10-12-1994,1.61,1.61,1.58,1.58,821413
10-13-1994,1.61,1.61,1.58,1.61,777042
10-14-1994,1.61,1.61,1.58,1.61,739373
10-17-1994,1.61,1.61,1.58,1.61,751520
10-18-1994,1.61,1.61,1.58,1.61,612546
10-19-1994,1.61,1.61,1.58,1.61,640186
10-20-1994,1.61,1.61,1.58,1.58,710907
10-21-1994,1.61,1.61,1.58,1.58,755704
10-24-1994,1.61,1.61,1.58,1.61,882118
10-25-1994,1.61,1.61,1.55,1.58,1443401
10-26-1994,1.58,1.61,1.55,1.61,995112
10-27-1994,1.58,1.61,1.55,1.58,641851
10-28-1994,1.58,1.58,1.55,1.58,955338
10-31-1994,1.58,1.58,1.55,1.58,624268
11-01-1994,1.55,1.58,1.55,1.58,1568547
11-02-1994,1.55,1.58,1.55,1.58,782057
11-03-1994,1.55,1.58,1.49,1.52,3072808
11-04-1994,1.52,1.55,1.52,1.55,1229080
11-07-1994,1.55,1.55,1.52,1.55,790858
11-08-1994,1.52,1.52,1.49,1.52,1271338
11-09-1994,1.49,1.52,1.49,1.52,1015227
11-10-1994,1.49,1.52,1.49,1.52,1753557
11-11-1994,1.52,1.55,1.49,1.52,1094306
11-14-1994,1.52,1.55,1.52,1.54,1188482
11-15-1994,1.52,1.55,1.52,1.55,1641778
11-16-1994,1.52,1.55,1.52,1.55,2039821
11-17-1994,1.55,1.58,1.52,1.55,5842810
11-18-1994,1.52,1.55,1.52,1.55,1351303
11-21-1994,1.55,1.58,1.52,1.58,2002149
11-22-1994,1.55,1.61,1.55,1.58,3402226
11-23-1994,1.55,1.61,1.55,1.61,1910083
11-25-1994,1.61,1.64,1.61,1.61,1322433
11-28-1994,1.64,1.64,1.61,1.64,1292312
11-29-1994,1.61,1.64,1.60,1.60,1296062
11-30-1994,1.61,1.64,1.61,1.61,1204386
12-01-1994,1.61,1.64,1.61,1.63,1852327
12-02-1994,1.61,1.64,1.61,1.64,943213
12-05-1994,1.64,1.64,1.61,1.64,1142454
12-06-1994,1.64,1.64,1.61,1.61,941129
12-07-1994,1.61,1.64,1.61,1.64,849031
12-08-1994,1.61,1.64,1.58,1.61,1210246
12-09-1994,1.58,1.61,1.55,1.58,1333323
12-12-1994,1.58,1.61,1.55,1.58,1315316
