Date,Open,High,Low,Close,Volume
06-24-2015,18.00,18.00,18.00,18.00,0
06-25-2015,29.11,31.95,28.00,31.22,7563434
06-26-2015,30.39,30.39,27.51,28.00,1116482
06-29-2015,27.70,28.48,27.51,28.00,386879
06-30-2015,27.39,29.89,27.39,28.98,223926
07-01-2015,28.83,29.00,27.87,28.00,150040
07-02-2015,27.80,28.21,27.04,28.09,178652
07-06-2015,28.00,30.99,28.00,30.01,166536
07-07-2015,30.45,30.94,28.55,29.00,63174
07-08-2015,29.57,29.73,27.51,29.00,345267
07-09-2015,29.10,30.63,29.00,30.24,107754
07-10-2015,30.99,33.35,30.33,30.75,162985
07-13-2015,31.00,31.25,29.77,30.00,170776
07-14-2015,29.90,30.20,29.54,29.75,136901
07-15-2015,29.65,29.80,29.10,29.18,74079
07-16-2015,29.15,29.98,28.06,28.64,1030538
07-17-2015,28.32,32.72,28.32,31.95,1024125
07-20-2015,31.29,31.95,29.78,31.01,228582
07-21-2015,31.45,32.25,30.09,31.98,168333
07-22-2015,32.10,32.10,30.65,30.72,35474
07-23-2015,30.38,32.29,30.38,32.00,131852
07-24-2015,32.40,32.91,31.08,32.12,153854
07-27-2015,31.73,31.73,30.57,30.61,149908
07-28-2015,30.53,30.78,28.50,30.77,144821
07-29-2015,30.77,32.76,29.83,32.00,126066
07-30-2015,31.70,33.44,31.30,32.32,187441
07-31-2015,32.25,32.75,31.76,31.79,174572
08-03-2015,32.18,33.25,31.38,31.69,131497
08-04-2015,31.76,33.09,31.56,32.26,118713
08-05-2015,33.08,33.10,32.13,32.30,61336
08-06-2015,32.54,32.54,29.50,30.20,173828
08-07-2015,30.65,31.03,29.50,30.60,67906
08-10-2015,31.07,31.86,30.90,31.48,71090
08-11-2015,32.00,32.86,30.26,32.74,351853
08-12-2015,32.69,33.48,30.61,31.87,230674
08-13-2015,30.30,33.13,30.25,32.73,228823
08-14-2015,32.68,32.90,31.03,31.80,100940
08-17-2015,32.00,32.95,31.32,31.87,105761
08-18-2015,32.17,33.57,31.91,32.91,112215
08-19-2015,32.75,33.92,32.31,32.85,135238
08-20-2015,32.85,32.85,31.66,32.01,90614
08-21-2015,32.05,33.19,31.55,32.64,151071
08-24-2015,31.30,31.98,28.80,28.80,221269
08-25-2015,29.00,30.40,27.84,27.84,195253
08-26-2015,28.00,28.65,27.61,28.11,120194
08-27-2015,28.85,29.82,27.82,27.85,165461
08-28-2015,28.10,28.80,27.91,28.74,82936
08-31-2015,28.92,29.61,28.26,29.37,102783
09-01-2015,29.22,30.08,28.33,29.51,131371
09-02-2015,29.48,30.98,29.48,29.85,225945
09-03-2015,29.68,30.57,29.67,29.90,128647
09-04-2015,29.63,30.48,29.44,30.26,102171
09-08-2015,30.31,32.59,30.31,32.19,150496
09-09-2015,32.48,33.74,30.79,31.29,121351
09-10-2015,31.13,32.11,31.13,31.74,76998
09-11-2015,31.58,32.18,31.40,31.70,82019
09-14-2015,31.69,32.30,30.64,30.90,122679
09-15-2015,30.60,31.95,30.60,31.45,190762
09-16-2015,31.50,32.22,30.60,31.39,136438
09-17-2015,31.15,31.96,30.50,31.70,244612
09-18-2015,31.50,32.00,30.51,30.55,680037
09-21-2015,29.15,29.68,26.12,27.28,707195
09-22-2015,27.40,28.20,26.87,27.51,326831
09-23-2015,27.69,27.92,26.56,26.90,142453
09-24-2015,26.63,26.75,25.35,25.64,156248
09-25-2015,25.57,25.83,24.33,24.72,193676
09-28-2015,24.48,24.48,21.59,22.69,209363
09-29-2015,22.59,25.25,22.59,23.50,285498
09-30-2015,23.57,25.31,22.67,24.19,1224829
10-01-2015,24.13,24.28,22.36,22.45,102719
10-02-2015,22.35,22.35,21.46,22.01,130832
10-05-2015,22.11,22.54,20.98,21.00,154109
10-06-2015,21.03,21.03,20.13,20.43,184521
10-07-2015,20.65,21.55,20.53,21.43,107449
10-08-2015,21.28,21.48,20.50,20.85,139986
10-09-2015,20.96,20.96,20.32,20.68,111684
10-12-2015,20.49,21.07,20.04,20.85,122041
10-13-2015,20.63,22.00,20.63,21.93,174014
10-14-2015,21.92,22.15,21.25,21.70,169119
10-15-2015,21.50,22.40,21.50,22.34,79087
10-16-2015,22.34,22.98,22.15,22.88,138933
10-19-2015,22.77,23.28,22.74,23.01,186845
10-20-2015,22.99,23.09,22.25,22.43,192734
10-21-2015,22.51,22.51,21.86,21.93,198281
10-22-2015,21.93,22.06,20.79,21.27,233563
10-23-2015,21.56,22.12,21.14,21.96,173740
10-26-2015,21.90,22.15,21.43,21.71,140596
10-27-2015,21.62,22.00,20.78,21.00,206953
10-28-2015,21.04,21.04,19.79,20.32,171662
10-29-2015,20.29,20.91,20.12,20.29,188169
10-30-2015,20.51,20.59,19.71,20.04,427034
11-02-2015,20.11,20.21,19.30,19.56,259207
11-03-2015,19.55,20.51,19.40,20.34,176599
11-04-2015,20.31,21.15,20.27,20.85,122077
11-05-2015,20.85,21.04,19.17,19.46,128436
11-06-2015,19.50,19.64,19.03,19.54,90725
11-09-2015,19.70,19.70,18.84,19.07,217820
11-10-2015,19.11,19.28,18.53,18.76,171050
11-11-2015,22.84,22.84,20.55,21.99,867243
11-12-2015,21.99,22.18,21.52,21.99,289650
11-13-2015,22.18,24.30,22.18,24.11,294503
11-16-2015,24.09,24.67,23.86,24.27,152997
11-17-2015,24.46,24.73,23.80,24.54,97578
11-18-2015,24.54,25.68,24.54,25.62,124230
11-19-2015,25.57,25.90,25.31,25.61,77824
11-20-2015,25.95,27.64,25.80,25.91,177164
11-23-2015,26.00,26.51,25.09,25.33,111193
11-24-2015,25.12,26.52,25.12,26.34,83966
11-25-2015,26.41,26.97,26.26,26.87,98642
11-27-2015,26.93,26.93,26.20,26.26,21923
11-30-2015,26.27,26.27,25.48,25.90,130498
12-01-2015,25.88,25.88,24.55,24.81,134017
12-02-2015,24.72,25.22,24.35,24.62,97266
12-03-2015,24.53,24.92,23.20,23.33,122204
12-04-2015,23.23,23.76,23.03,23.67,71852
12-07-2015,23.59,23.89,23.12,23.45,62735
12-08-2015,23.45,23.68,23.17,23.53,71920
12-09-2015,23.59,23.96,23.35,23.82,73451
12-10-2015,23.95,24.23,23.48,23.74,88069
12-11-2015,23.43,23.65,22.05,22.21,71601
12-14-2015,22.18,22.38,21.82,21.97,67514
12-15-2015,22.20,23.38,22.20,23.15,89381
12-16-2015,23.49,24.80,23.32,24.78,114337
12-17-2015,24.80,24.97,24.46,24.82,86841
12-18-2015,24.65,24.95,24.08,24.36,163325
12-21-2015,24.32,25.46,24.32,24.43,127006
12-22-2015,24.25,25.30,24.15,25.21,87384
12-23-2015,24.64,26.36,24.25,25.91,114656
12-24-2015,25.98,26.34,25.82,25.98,25034
12-28-2015,25.81,26.01,25.13,25.58,111576
12-29-2015,25.53,25.60,24.24,25.03,108823
12-30-2015,24.89,25.24,24.75,24.86,55437
12-31-2015,24.85,25.09,24.33,24.69,72201
01-04-2016,24.16,24.48,23.43,23.85,136067
01-05-2016,23.89,25.19,23.68,24.87,65535
01-06-2016,24.65,25.47,24.46,24.84,101228
01-07-2016,24.30,25.34,24.10,25.00,111534
01-08-2016,25.09,25.50,24.71,24.94,210883
01-11-2016,25.08,25.19,24.64,25.02,125198
01-12-2016,24.95,25.97,24.86,25.12,121070
01-13-2016,24.42,24.50,18.15,18.59,791535
01-14-2016,18.58,19.71,18.00,19.53,295006
01-15-2016,19.06,19.27,18.53,19.12,124663
01-19-2016,19.00,19.18,16.14,16.23,370932
01-20-2016,16.13,16.32,15.02,16.24,273809
01-21-2016,16.25,16.95,15.68,16.19,248505
01-22-2016,16.39,16.44,15.93,16.34,157666
01-25-2016,16.15,16.41,15.66,15.74,175454
01-26-2016,15.86,15.86,15.14,15.40,171842
01-27-2016,15.34,15.37,14.33,14.92,224249
01-28-2016,15.00,15.18,14.36,15.00,215797
01-29-2016,15.08,16.46,15.08,16.32,187727
02-01-2016,16.10,17.08,15.89,16.46,451876
02-02-2016,16.33,17.01,16.21,16.85,276237
02-03-2016,16.92,16.92,16.41,16.69,331980
02-04-2016,16.68,17.38,16.67,16.75,138777
02-05-2016,16.64,16.70,15.64,15.82,270608
02-08-2016,15.53,15.53,14.25,14.81,342913
02-09-2016,14.96,15.84,14.70,14.91,262381
02-10-2016,15.31,16.28,14.87,15.60,191526
02-11-2016,15.28,16.01,14.99,15.49,200343
02-12-2016,15.71,16.45,15.25,15.36,207002
02-16-2016,15.51,15.72,14.96,15.48,168094
02-17-2016,15.58,16.70,15.38,16.30,229128
02-18-2016,16.28,17.19,15.68,16.18,205388
02-19-2016,16.17,17.01,15.81,16.57,122113
02-22-2016,16.60,17.09,16.39,16.73,193677
