Date,Open,High,Low,Close,Volume
07-15-2014,210.00,210.00,210.00,210.00,12500
07-16-2014,210.50,212.50,210.00,212.50,37506
07-17-2014,215.50,215.50,212.50,215.00,16638
07-18-2014,215.00,215.00,215.00,215.00,0
07-21-2014,216.00,216.00,215.00,215.00,1520
07-22-2014,216.00,216.00,214.50,214.50,100
07-23-2014,214.50,214.50,214.50,214.50,1000
07-24-2014,214.50,214.50,214.50,214.50,0
07-25-2014,215.00,217.50,213.00,213.00,6770
07-28-2014,213.00,213.00,213.00,213.00,18808
07-29-2014,215.00,215.00,215.00,215.00,20
07-30-2014,213.00,213.00,213.00,213.00,4980
07-31-2014,210.00,215.00,210.00,215.00,20060
08-01-2014,215.00,215.00,215.00,215.00,0
08-04-2014,210.00,215.00,210.00,215.00,4836
08-05-2014,215.00,215.00,215.00,215.00,400
08-06-2014,215.00,215.00,215.00,215.00,0
08-07-2014,205.00,215.00,205.00,215.00,24045
08-08-2014,215.00,215.00,215.00,215.00,40
08-11-2014,215.00,215.00,215.00,215.00,0
08-12-2014,205.00,215.00,205.00,205.00,327
08-13-2014,215.00,215.00,215.00,215.00,1135
08-14-2014,215.00,215.00,215.00,215.00,0
08-15-2014,215.00,215.00,215.00,215.00,0
08-18-2014,210.00,210.00,210.00,210.00,10000
08-19-2014,210.00,210.00,210.00,210.00,0
08-20-2014,215.00,215.00,215.00,215.00,20
08-21-2014,215.00,215.00,215.00,215.00,50
08-22-2014,215.00,215.00,215.00,215.00,0
08-25-2014,215.00,215.00,215.00,215.00,100
08-26-2014,215.00,215.00,215.00,215.00,0
08-27-2014,213.00,213.00,213.00,213.00,130
08-28-2014,213.00,213.00,213.00,213.00,0
08-29-2014,210.00,210.00,210.00,210.00,1768
09-02-2014,210.00,210.50,210.00,210.50,5000
09-03-2014,215.00,215.00,213.00,213.00,250
09-04-2014,215.00,215.00,215.00,215.00,450
09-05-2014,215.00,215.00,215.00,215.00,0
09-08-2014,213.00,213.00,213.00,213.00,20
09-09-2014,212.50,212.50,210.00,210.00,5030
09-10-2014,210.00,210.00,210.00,210.00,0
09-11-2014,212.50,212.50,211.00,211.00,210
09-12-2014,210.00,210.00,210.00,210.00,10
