Date,Open,High,Low,Close,Volume
02-11-2010,8.57,8.73,8.17,8.46,14610391
02-12-2010,8.41,8.84,8.41,8.84,1341573
02-16-2010,8.83,8.84,8.51,8.78,253270
02-17-2010,8.71,9.23,8.70,8.76,607603
02-18-2010,8.63,8.66,8.47,8.59,610517
02-19-2010,8.57,8.72,8.50,8.72,494028
02-22-2010,8.75,9.03,8.61,8.63,288117
02-23-2010,8.60,8.76,8.57,8.61,166902
02-24-2010,8.57,8.60,8.51,8.60,55703
02-25-2010,8.57,8.70,8.56,8.70,292159
02-26-2010,8.58,8.92,8.57,8.85,109351
03-01-2010,8.90,8.93,8.64,8.73,139824
03-02-2010,8.73,8.82,8.60,8.72,152340
03-03-2010,8.65,8.74,8.59,8.66,60227
03-04-2010,8.59,8.80,8.57,8.73,81206
03-05-2010,8.70,8.70,8.60,8.63,66762
03-08-2010,8.65,8.93,8.64,8.88,49569
03-09-2010,8.80,8.95,8.70,8.95,46563
03-10-2010,8.83,9.11,8.82,9.06,115253
03-11-2010,8.90,9.28,8.90,9.22,193695
03-12-2010,9.12,9.36,9.03,9.32,223160
03-15-2010,9.23,10.34,9.23,9.88,626850
03-16-2010,10.09,10.40,9.65,10.10,439669
03-17-2010,10.06,10.21,9.48,10.15,255279
03-18-2010,10.08,10.18,10.02,10.14,58574
03-19-2010,9.96,10.21,9.42,10.15,309861
03-22-2010,10.04,10.18,9.91,9.96,145725
03-23-2010,10.00,10.36,9.75,9.98,260526
03-24-2010,9.96,10.06,9.83,10.00,85410
03-25-2010,9.90,10.00,9.76,9.90,76456
03-26-2010,9.82,10.17,9.56,9.72,402778
03-29-2010,8.90,9.63,8.90,9.50,533205
03-30-2010,9.72,10.01,9.26,9.32,386374
03-31-2010,9.39,9.48,9.11,9.23,2322816
04-01-2010,9.26,9.47,9.19,9.42,303894
04-05-2010,9.50,9.58,9.44,9.49,149632
04-06-2010,9.39,9.77,9.32,9.75,110282
04-07-2010,9.69,9.82,9.59,9.82,100568
04-08-2010,9.82,10.15,9.73,10.13,95607
04-09-2010,10.05,10.13,10.02,10.09,145542
04-12-2010,10.11,10.24,10.02,10.04,138905
04-13-2010,9.99,10.15,9.78,10.03,124338
04-14-2010,10.11,10.21,9.95,10.04,200199
04-15-2010,10.10,10.16,10.02,10.08,334734
04-16-2010,10.10,10.24,10.02,10.07,127583
04-19-2010,10.06,10.16,9.86,10.05,71239
04-20-2010,10.06,10.06,9.92,10.01,139403
04-21-2010,10.02,10.16,9.98,10.09,70752
04-22-2010,10.06,10.15,10.00,10.15,127729
04-23-2010,10.12,10.12,10.01,10.11,90667
04-26-2010,10.07,10.10,9.98,10.04,192549
04-27-2010,10.02,10.07,9.95,10.02,85734
04-28-2010,10.04,10.07,9.88,10.02,128578
04-29-2010,10.07,10.07,9.88,10.05,81976
04-30-2010,10.00,10.18,9.90,9.94,140742
05-03-2010,9.94,10.02,9.86,10.00,110046
05-04-2010,9.98,9.98,9.61,9.76,151448
05-05-2010,9.76,9.81,9.60,9.68,174417
05-06-2010,9.65,9.88,8.96,9.29,143501
05-07-2010,9.23,9.23,8.84,8.91,232997
05-10-2010,9.06,9.18,8.76,8.99,239205
05-11-2010,8.92,9.39,8.89,9.30,92124
