Date,Open,High,Low,Close,Volume
01-26-2011,9.75,9.75,9.75,9.75,0
01-27-2011,9.75,9.76,9.72,9.76,1356243
01-28-2011,9.76,12.00,9.75,10.24,209180
01-31-2011,10.61,10.61,9.77,9.90,157809
02-01-2011,10.11,10.11,9.83,10.00,112252
02-02-2011,10.09,10.19,9.92,10.09,118260
02-03-2011,10.04,10.09,9.90,10.07,102121
02-04-2011,10.05,10.09,9.95,10.03,99536
02-07-2011,10.09,10.09,9.91,10.04,81755
02-08-2011,10.04,10.09,9.97,10.04,72972
02-09-2011,10.03,10.11,9.95,10.00,67089
02-10-2011,10.00,10.09,9.95,10.02,68366
02-11-2011,10.10,10.23,10.02,10.11,154281
02-14-2011,10.23,10.24,10.09,10.24,79274
02-15-2011,10.23,10.42,10.17,10.17,101768
02-16-2011,10.25,10.25,10.10,10.19,95099
02-17-2011,10.21,10.24,10.18,10.22,108355
02-18-2011,10.20,10.21,10.13,10.20,57857
02-22-2011,10.09,10.21,10.05,10.08,95139
02-23-2011,10.14,10.22,10.00,10.09,115860
02-24-2011,10.13,10.25,10.12,10.19,266768
02-25-2011,10.19,10.25,10.14,10.24,67915
02-28-2011,10.24,10.24,10.09,10.18,156077
03-01-2011,10.22,10.22,9.80,9.87,237138
03-02-2011,9.82,10.04,9.82,10.00,118376
03-03-2011,10.14,10.14,9.84,9.95,101662
03-04-2011,9.99,10.04,9.91,9.95,64989
03-07-2011,10.03,10.03,9.84,9.84,74395
03-08-2011,9.91,9.97,9.81,9.86,130300
03-09-2011,9.81,9.85,9.75,9.75,734311
03-10-2011,9.80,9.92,9.69,9.77,374702
03-11-2011,9.75,9.79,9.75,9.78,132560
03-14-2011,9.78,9.78,9.51,9.53,217520
03-15-2011,9.47,9.47,9.03,9.32,306543
03-16-2011,9.36,9.41,9.23,9.27,90092
03-17-2011,9.31,9.47,9.22,9.26,213348
03-18-2011,9.32,9.40,9.26,9.32,153853
03-21-2011,9.36,9.46,9.36,9.36,105737
03-22-2011,9.36,9.51,9.27,9.45,140276
03-23-2011,9.42,9.75,9.42,9.60,158054
03-24-2011,9.56,9.69,9.47,9.60,272257
03-25-2011,9.65,9.68,9.59,9.60,117956
03-28-2011,9.60,9.63,9.46,9.50,159846
03-29-2011,9.46,9.51,9.42,9.47,115883
03-30-2011,9.50,9.59,9.49,9.59,124447
03-31-2011,9.59,9.60,9.50,9.57,65496
04-01-2011,9.60,9.63,9.53,9.63,82048
04-04-2011,9.64,9.74,9.63,9.72,123927
04-05-2011,9.73,9.73,9.66,9.71,121810
04-06-2011,9.73,9.88,9.68,9.85,188481
04-07-2011,9.93,9.98,9.76,9.87,159457
04-08-2011,9.83,9.83,9.70,9.76,128219
04-11-2011,9.77,9.95,9.75,9.75,197325
04-12-2011,9.71,9.75,9.41,9.55,125724
04-13-2011,9.60,9.72,9.60,9.66,83357
04-14-2011,9.71,9.76,9.58,9.70,76514
04-15-2011,9.76,9.82,9.68,9.75,139840
04-18-2011,9.80,9.80,9.53,9.72,131569
04-19-2011,9.68,9.77,9.63,9.70,80980
04-20-2011,9.71,9.82,9.71,9.77,160105
04-21-2011,10.05,10.05,9.73,9.81,77927
04-25-2011,9.82,9.82,9.65,9.69,67614
04-26-2011,9.66,9.72,9.52,9.66,105413
04-27-2011,9.71,9.77,9.59,9.66,104449
04-28-2011,9.61,9.77,9.61,9.74,120952
04-29-2011,9.70,9.86,9.62,9.75,183974
05-02-2011,9.74,9.84,9.62,9.72,97276
05-03-2011,9.74,9.80,9.55,9.58,137651
05-04-2011,9.67,9.72,9.44,9.50,141848
05-05-2011,9.48,9.48,9.24,9.33,230550
05-06-2011,9.42,9.59,9.31,9.37,119421
05-09-2011,9.45,9.57,9.34,9.48,226915
05-10-2011,9.44,9.64,9.44,9.62,66571
05-11-2011,9.60,9.60,9.33,9.38,186566
05-12-2011,9.24,9.37,9.14,9.31,151975
05-13-2011,9.27,9.35,9.14,9.27,135350
05-16-2011,9.16,9.24,9.01,9.12,221323
05-17-2011,9.12,9.12,8.69,8.87,251690
05-18-2011,8.91,9.14,8.91,9.07,191511
05-19-2011,9.04,9.08,8.98,9.01,145516
05-20-2011,9.03,9.16,8.98,9.11,158070
05-23-2011,9.06,9.07,8.88,9.01,215166
05-24-2011,9.10,9.18,8.93,8.95,205677
05-25-2011,8.98,9.24,8.98,9.09,190106
05-26-2011,9.09,9.27,9.08,9.27,103685
05-27-2011,9.21,9.36,9.21,9.33,88983
05-31-2011,9.38,9.43,9.31,9.35,108186
06-01-2011,9.28,9.35,9.17,9.22,94648
06-02-2011,9.16,9.21,9.14,9.21,89819
06-03-2011,9.13,9.23,9.09,9.11,76229
06-06-2011,9.06,9.18,8.97,9.01,115516
06-07-2011,9.10,9.10,9.01,9.04,111909
06-08-2011,9.33,9.33,8.79,8.94,172558
06-09-2011,8.95,9.05,8.85,8.91,149286
06-10-2011,8.86,8.93,8.72,8.75,129406
06-13-2011,8.71,8.78,8.47,8.52,252873
06-14-2011,8.69,8.74,8.53,8.65,307382
06-15-2011,8.63,8.73,8.52,8.69,267090
