Date,Open,High,Low,Close,Volume
06-19-2007,-23.39,-23.26,-23.39,-23.26,0
06-20-2007,-22.76,-22.73,-22.76,-22.73,0
06-21-2007,-22.47,-22.47,-22.47,-22.47,0
06-22-2007,-22.06,-22.06,-22.06,-22.06,0
06-25-2007,-21.75,-21.65,-21.75,-21.65,0
06-26-2007,-21.70,-21.54,-21.70,-21.67,0
06-27-2007,-21.91,-21.91,-22.10,-22.10,0
06-28-2007,-22.24,-22.24,-22.43,-22.43,0
06-29-2007,-21.67,-21.67,-22.03,-21.87,0
07-02-2007,-22.24,-22.14,-22.34,-22.21,0
07-03-2007,-22.16,-21.58,-22.20,-21.62,0
07-05-2007,-21.40,-21.07,-21.43,-21.36,0
07-06-2007,-21.17,-20.98,-21.21,-21.14,0
07-09-2007,-20.97,-20.92,-21.38,-21.33,0
07-10-2007,-20.62,-20.29,-20.62,-20.41,0
07-11-2007,-20.05,-20.05,-20.30,-20.07,0
07-12-2007,-20.99,-20.86,-21.09,-20.93,0
07-13-2007,-20.48,-20.35,-20.61,-20.52,0
07-16-2007,-20.06,-19.92,-20.13,-19.93,0
07-17-2007,-19.98,-19.97,-20.04,-20.02,0
07-18-2007,-19.73,-19.71,-19.81,-19.75,0
07-19-2007,-20.27,-19.29,-20.32,-19.71,0
07-20-2007,-19.09,-18.72,-19.10,-18.72,0
07-23-2007,-18.28,-17.99,-18.31,-18.13,0
07-24-2007,-17.27,-17.10,-17.53,-17.53,0
07-25-2007,-17.46,-17.43,-18.13,-17.87,0
07-26-2007,-17.53,-17.53,-18.18,-17.98,0
07-27-2007,-17.82,-17.11,-17.95,-17.11,0
07-30-2007,-17.54,-17.40,-17.76,-17.48,0
07-31-2007,-16.92,-16.86,-17.12,-17.12,0
08-01-2007,-17.41,-17.12,-17.54,-17.48,0
08-02-2007,-17.70,-17.63,-17.77,-17.66,0
08-03-2007,-16.98,-16.98,-17.14,-17.14,0
08-06-2007,-18.67,-18.58,-18.87,-18.83,0
08-07-2007,-20.01,-19.97,-20.05,-20.03,0
08-08-2007,-21.20,-21.20,-21.36,-21.30,0
08-09-2007,-21.55,-21.48,-21.58,-21.58,0
08-10-2007,-21.24,-21.23,-21.32,-21.23,0
08-13-2007,-19.91,-19.71,-20.07,-19.87,0
08-14-2007,-19.71,-19.71,-19.89,-19.83,0
08-15-2007,-20.17,-20.16,-20.32,-20.25,0
08-16-2007,-20.94,-20.89,-21.34,-21.25,0
08-17-2007,-21.98,-21.85,-22.11,-21.85,0
08-20-2007,-21.53,-21.53,-21.75,-21.74,0
08-21-2007,-22.25,-22.19,-22.37,-22.27,0
08-22-2007,-22.44,-22.40,-22.88,-22.48,0
08-23-2007,-21.96,-21.87,-22.02,-21.87,0
08-24-2007,-22.03,-21.90,-22.06,-22.03,0
08-27-2007,-21.70,-21.70,-21.83,-21.77,0
08-28-2007,-21.44,-21.39,-21.50,-21.50,0
08-29-2007,-22.23,-22.23,-22.36,-22.36,0
08-30-2007,-21.95,-21.92,-21.99,-21.95,0
08-31-2007,-22.25,-22.21,-22.34,-22.21,0
09-04-2007,-22.15,-21.90,-22.18,-22.14,0
09-05-2007,-21.66,-21.59,-21.72,-21.65,0
09-06-2007,-22.01,-21.98,-22.04,-22.03,0
09-07-2007,-21.19,-21.19,-21.23,-21.20,0
09-10-2007,-20.94,-20.92,-21.12,-21.12,0
09-11-2007,-22.02,-21.95,-22.02,-22.01,0
09-12-2007,-21.32,-21.12,-21.32,-21.19,0
09-13-2007,-21.35,-21.29,-21.45,-21.45,0
09-14-2007,-21.59,-21.56,-21.62,-21.60,0
09-17-2007,-22.16,-22.01,-22.17,-22.13,0
09-18-2007,-23.69,-23.69,-23.79,-23.77,0
09-19-2007,-24.04,-24.02,-24.14,-24.13,0
09-20-2007,-23.72,-23.63,-23.72,-23.70,0
09-21-2007,-23.29,-23.19,-23.31,-23.20,0
09-24-2007,-22.44,-22.33,-22.48,-22.48,0
09-25-2007,-22.23,-22.23,-22.33,-22.33,0
09-26-2007,-22.35,-22.30,-22.37,-22.33,0
09-27-2007,-22.53,-22.51,-22.56,-22.56,0
09-28-2007,-22.20,-22.17,-22.25,-22.24,0
10-01-2007,-22.55,-22.49,-22.56,-22.49,0
10-02-2007,-23.52,-23.49,-23.56,-23.51,0
10-03-2007,-23.14,-23.13,-23.17,-23.17,0
10-04-2007,-23.22,-23.20,-23.22,-23.22,0
10-05-2007,-23.58,-23.53,-23.59,-23.58,0
10-08-2007,-23.47,-23.47,-23.52,-23.51,0
10-09-2007,-23.68,-23.67,-23.84,-23.69,0
10-10-2007,-23.71,-23.70,-23.81,-23.74,0
10-11-2007,-23.50,-23.47,-23.60,-23.54,0
10-12-2007,-23.66,-23.63,-23.71,-23.66,0
10-15-2007,-22.83,-22.80,-22.89,-22.88,0
10-16-2007,-21.91,-21.81,-21.94,-21.84,0
10-17-2007,-21.63,-21.57,-21.71,-21.57,0
10-18-2007,-21.41,-21.36,-21.45,-21.43,0
10-19-2007,-20.45,-20.42,-20.46,-20.46,0
10-22-2007,-21.08,-21.03,-21.09,-21.07,0
10-23-2007,-20.49,-20.47,-20.50,-20.50,0
10-24-2007,-20.13,-20.03,-20.15,-20.12,0
10-25-2007,-19.78,-19.75,-19.79,-19.76,0
10-26-2007,-20.76,-20.63,-20.76,-20.76,0
10-29-2007,-20.55,-20.35,-20.55,-20.50,0
10-30-2007,-21.16,-21.15,-21.24,-21.23,0
10-31-2007,-21.75,-21.71,-21.76,-21.76,0
11-01-2007,-20.53,-20.53,-20.66,-20.65,0
11-02-2007,-20.14,-20.10,-20.21,-20.21,0
11-05-2007,-20.21,-20.15,-20.21,-20.21,0
11-06-2007,-20.72,-20.63,-20.72,-20.64,0
11-07-2007,-19.60,-19.60,-19.64,-19.64,0
11-08-2007,-20.31,-20.16,-20.95,-20.69,0
11-09-2007,-21.07,-20.97,-21.09,-21.01,0
11-12-2007,-21.60,-21.57,-21.61,-21.59,0
11-13-2007,-22.55,-22.51,-22.65,-22.62,0
11-14-2007,-22.10,-22.05,-22.10,-22.08,0
11-15-2007,-21.01,-20.88,-21.01,-20.91,0
11-16-2007,-20.86,-20.80,-20.88,-20.86,0
11-19-2007,-19.62,-19.62,-19.78,-19.78,0
11-20-2007,-20.61,-20.59,-20.71,-20.69,0
11-21-2007,-21.25,-21.25,-21.29,-21.29,0
11-23-2007,-21.59,-21.50,-21.59,-21.52,0
11-26-2007,-20.13,-20.04,-20.16,-20.11,0
11-27-2007,-20.49,-20.42,-20.49,-20.45,0
11-28-2007,-21.91,-21.80,-21.93,-21.82,0
11-29-2007,-21.32,-21.31,-21.36,-21.32,0
11-30-2007,-22.06,-21.91,-22.08,-21.99,0
12-03-2007,-21.54,-21.42,-21.54,-21.52,0
12-04-2007,-21.14,-21.09,-21.16,-21.11,0
12-05-2007,-21.81,-21.66,-21.88,-21.69,0
12-06-2007,-22.54,-22.54,-22.60,-22.58,0
12-07-2007,-21.68,-21.68,-21.80,-21.80,0
12-10-2007,-22.06,-22.03,-22.06,-22.06,0
12-11-2007,-20.39,-20.37,-20.53,-20.52,0
12-12-2007,-20.14,-20.09,-20.18,-20.14,0
12-13-2007,-20.07,-20.04,-20.09,-20.08,0
12-14-2007,-19.48,-19.48,-19.55,-19.55,0
12-17-2007,-19.31,-19.29,-19.42,-19.32,0
12-18-2007,-20.01,-19.95,-20.12,-20.10,0
12-19-2007,-19.87,-19.79,-19.87,-19.82,0
