Date,Open,High,Low,Close,Volume
10-02-2008,10.57,10.57,10.57,10.57,0
10-03-2008,10.57,11.21,10.55,11.02,454403
10-06-2008,10.80,11.03,10.55,11.03,312332
10-07-2008,10.89,10.89,10.44,10.48,186614
10-08-2008,10.55,10.55,10.25,10.46,73599
10-09-2008,10.55,10.55,9.93,9.93,108709
10-10-2008,9.93,10.12,9.59,9.83,86433
10-13-2008,10.06,10.55,10.06,10.42,21306
10-14-2008,10.55,10.55,10.36,10.46,54775
10-15-2008,10.41,10.41,9.90,9.90,27620
10-16-2008,9.84,9.98,9.84,9.89,20499
10-17-2008,9.93,10.02,9.87,10.01,46447
10-20-2008,10.27,10.35,9.94,10.02,6149
10-21-2008,10.02,10.12,10.02,10.12,10830
10-22-2008,10.12,10.12,10.02,10.02,10262
10-23-2008,10.02,10.02,9.88,9.93,83862
10-24-2008,9.88,9.93,9.74,9.82,35490
10-27-2008,9.82,9.88,9.79,9.87,42865
10-28-2008,9.88,9.88,9.59,9.80,51921
10-29-2008,9.80,9.80,9.64,9.78,49825
10-30-2008,9.80,9.90,9.78,9.82,53663
10-31-2008,9.82,10.02,9.80,9.89,107745
11-03-2008,9.93,9.95,9.90,9.93,40468
11-04-2008,9.99,10.02,9.88,9.88,66311
11-05-2008,9.98,10.00,9.89,9.89,10731
11-06-2008,9.88,9.88,9.77,9.77,40675
11-07-2008,9.76,9.88,9.74,9.88,19196
11-10-2008,9.93,9.93,9.78,9.88,9586
11-11-2008,9.77,9.96,9.77,9.88,10418
11-12-2008,9.77,9.83,9.69,9.69,13883
11-13-2008,9.64,9.83,9.64,9.83,5928
11-14-2008,9.59,9.70,9.59,9.70,2393
11-17-2008,9.59,9.86,9.59,9.83,6186
11-18-2008,9.53,9.73,9.53,9.73,5013
11-19-2008,9.50,9.82,9.50,9.59,7344
11-20-2008,9.59,9.59,9.51,9.51,8230
11-21-2008,9.50,9.58,9.42,9.52,40282
11-24-2008,9.40,9.55,9.40,9.45,5540
11-25-2008,9.44,9.45,9.40,9.40,53782
11-26-2008,9.40,9.50,9.35,9.50,26680
11-28-2008,9.50,9.50,9.40,9.40,1404
12-01-2008,9.42,9.50,9.42,9.44,4752
12-02-2008,9.40,9.50,9.40,9.45,8797
12-03-2008,9.31,9.50,9.31,9.50,4231
12-04-2008,9.45,9.45,9.40,9.40,8084
12-05-2008,9.31,9.40,9.31,9.40,6509
12-08-2008,9.49,9.49,9.45,9.45,3750
12-09-2008,9.46,9.46,9.28,9.28,7552
12-10-2008,9.31,9.31,9.27,9.31,10669
