Date,Open,High,Low,Close,Volume
09-03-1996,53.89,53.89,51.06,51.06,404
09-04-1996,51.06,55.31,51.06,55.31,728
09-05-1996,53.89,53.89,53.89,53.89,79
09-06-1996,55.31,55.31,55.31,55.31,22
09-09-1996,51.06,51.06,51.06,51.06,0
09-10-1996,49.64,49.64,46.80,46.80,58
09-11-1996,46.80,49.64,46.80,49.64,134
09-12-1996,49.64,49.64,49.64,49.64,5
09-13-1996,49.64,53.61,48.22,53.61,524
09-16-1996,53.89,53.89,53.89,53.89,0
09-17-1996,49.64,49.64,49.64,49.64,0
09-18-1996,49.64,49.64,49.64,49.64,0
09-19-1996,49.64,49.64,49.64,49.64,0
09-20-1996,49.64,49.64,49.64,49.64,0
09-23-1996,51.06,51.06,51.06,51.06,0
09-24-1996,49.64,49.64,49.64,49.64,415
09-25-1996,49.64,51.06,49.64,51.06,1684
09-26-1996,49.64,51.06,49.64,51.06,1087
09-27-1996,49.64,49.64,48.22,49.64,498
09-30-1996,49.64,49.64,49.64,49.64,112
10-01-1996,46.80,49.64,46.80,49.64,177
10-02-1996,48.22,52.47,48.22,49.64,35
10-03-1996,49.64,49.64,49.64,49.64,0
10-04-1996,49.64,49.64,49.64,49.64,334
10-07-1996,48.22,48.22,48.22,48.22,19
10-08-1996,48.22,48.22,48.22,48.22,181
10-09-1996,47.09,48.22,45.38,45.38,700
10-10-1996,45.38,49.64,45.38,49.64,52
10-11-1996,48.22,49.64,48.22,49.64,2630
10-14-1996,49.64,49.64,49.64,49.64,0
10-15-1996,49.64,49.64,45.67,45.67,404
10-16-1996,45.38,45.38,43.97,43.97,160
10-17-1996,42.55,42.55,38.29,38.29,50
10-18-1996,44.53,45.38,41.13,42.26,632
10-21-1996,42.26,42.55,38.29,42.55,2839
10-22-1996,48.22,48.22,38.29,38.29,440
10-23-1996,39.71,42.55,38.29,42.55,244
10-24-1996,41.13,41.13,41.13,41.13,51
10-25-1996,41.13,41.13,41.13,41.13,0
10-28-1996,39.71,39.71,39.71,39.71,38
10-29-1996,38.29,38.29,36.87,36.87,543
10-30-1996,36.87,38.29,36.87,38.29,163
10-31-1996,36.87,36.87,36.87,36.87,455
11-01-1996,39.71,39.71,38.29,39.71,1340
11-04-1996,36.87,39.71,36.87,39.71,603
11-05-1996,38.29,39.43,36.87,39.43,825
11-06-1996,36.87,42.55,36.87,41.13,1685
11-07-1996,40.85,42.55,40.85,42.55,589
11-08-1996,42.55,43.40,42.55,42.55,193
11-11-1996,43.40,45.38,43.11,45.38,434
11-12-1996,45.38,47.94,45.38,45.38,441
11-13-1996,45.38,46.80,42.55,42.55,13039
11-14-1996,42.55,42.55,41.13,41.13,38
11-15-1996,41.13,41.13,41.13,41.13,112
11-18-1996,41.13,41.13,41.13,41.13,98
11-19-1996,41.70,43.97,41.70,43.97,163
11-20-1996,42.55,43.11,41.70,43.11,247
11-21-1996,45.38,45.38,42.55,43.97,438
11-22-1996,42.55,42.55,41.13,41.13,421
11-25-1996,41.13,41.70,41.13,41.13,330
11-26-1996,41.13,41.13,41.13,41.13,126
11-27-1996,41.13,41.13,41.13,41.13,0
11-29-1996,38.29,38.29,38.29,38.29,4
12-02-1996,38.29,38.29,38.29,38.29,0
12-03-1996,38.29,38.29,38.29,38.29,0
12-04-1996,38.29,39.43,38.29,39.43,95
12-05-1996,39.43,39.71,38.29,39.71,11007
12-06-1996,36.87,36.87,32.62,33.19,231
12-09-1996,35.46,36.59,33.47,36.59,329
12-10-1996,37.73,38.01,35.46,36.02,542
12-11-1996,34.89,35.46,32.62,32.62,1171
12-12-1996,28.36,28.36,28.36,28.36,0
12-13-1996,28.65,28.65,28.65,28.65,247
12-16-1996,34.04,34.04,32.90,32.90,45
12-17-1996,31.20,31.20,30.35,30.35,369
12-18-1996,30.07,30.07,30.07,30.07,128
12-19-1996,26.95,26.95,26.95,26.95,19
12-20-1996,28.36,28.36,28.36,28.36,1690
12-23-1996,28.36,28.36,25.53,25.53,57
12-24-1996,28.36,28.36,21.27,21.27,230
12-26-1996,21.27,21.27,21.27,21.27,0
12-27-1996,28.36,28.36,28.36,28.36,0
