Date,Open,High,Low,Close,Volume
06-26-2013,18.00,18.00,18.00,18.00,0
06-27-2013,18.00,19.25,17.80,18.66,34989468
06-28-2013,18.65,18.97,18.26,18.79,3850387
07-01-2013,18.78,19.20,18.53,18.92,2050840
07-02-2013,19.00,19.40,18.77,19.11,2127750
07-03-2013,19.25,19.55,19.12,19.38,1320886
07-05-2013,19.46,19.70,19.40,19.61,1445426
07-08-2013,19.75,19.87,19.56,19.80,1147261
07-09-2013,19.90,20.09,19.46,19.77,1610158
07-10-2013,19.63,19.65,19.29,19.50,991024
07-11-2013,19.42,19.78,19.28,19.30,1978868
07-12-2013,19.25,19.55,19.00,19.33,1402403
07-15-2013,19.35,19.48,19.05,19.32,1656539
07-16-2013,19.40,19.48,19.22,19.26,2158876
07-17-2013,19.21,19.42,19.04,19.05,3239778
07-18-2013,19.05,19.59,18.99,19.51,4890950
07-19-2013,19.37,20.59,19.34,20.36,5291894
07-22-2013,20.60,21.00,20.37,20.82,2767828
07-23-2013,20.84,21.55,20.12,21.49,2418869
07-24-2013,21.71,21.92,20.67,21.64,1160613
07-25-2013,21.65,21.95,21.15,21.29,939870
07-26-2013,21.47,21.62,21.25,21.39,399834
07-29-2013,21.39,21.49,20.99,21.20,458315
07-30-2013,21.52,21.75,21.09,21.40,343670
07-31-2013,21.45,21.55,21.21,21.44,375033
08-01-2013,21.59,22.43,21.41,22.08,3734417
08-02-2013,22.06,22.62,22.02,22.57,1777704
08-05-2013,22.52,23.33,22.52,23.00,1470194
08-06-2013,23.73,23.83,22.66,23.40,3294125
08-07-2013,23.42,23.65,23.15,23.28,1449942
08-08-2013,23.36,23.43,23.11,23.27,780894
08-09-2013,23.68,23.75,23.00,23.08,669906
08-12-2013,24.00,24.00,23.36,23.47,1534755
08-13-2013,23.70,23.95,23.23,23.90,1582890
08-14-2013,24.06,24.20,23.60,23.67,713007
08-15-2013,23.75,23.75,22.60,22.81,1590841
08-16-2013,22.84,23.42,22.83,23.18,1055222
08-19-2013,23.28,23.48,22.68,22.69,757070
08-20-2013,23.02,23.83,22.35,23.25,1211523
08-21-2013,23.36,23.85,22.97,23.37,982857
08-22-2013,23.44,23.77,22.95,23.34,550696
08-23-2013,23.47,23.79,22.89,23.55,718126
08-26-2013,23.72,23.81,23.32,23.81,662158
08-27-2013,23.69,23.69,22.58,22.88,907722
08-28-2013,22.95,23.25,22.50,22.87,384788
08-29-2013,22.85,23.38,22.55,23.04,463022
08-30-2013,23.09,23.09,22.70,22.74,255329
09-03-2013,22.92,23.22,22.81,23.01,536593
09-04-2013,23.01,23.31,22.79,23.22,639749
09-05-2013,23.35,24.30,23.32,23.95,1143302
09-06-2013,24.05,24.22,23.77,23.95,772126
09-09-2013,24.20,25.06,24.01,24.75,2260266
09-10-2013,22.60,22.65,21.29,21.97,9570223
09-11-2013,21.71,22.37,21.42,22.18,2597713
09-12-2013,22.12,23.13,22.12,22.71,1800665
09-13-2013,22.68,23.15,22.51,22.87,748367
09-16-2013,23.22,23.34,22.51,22.89,634035
09-17-2013,22.83,23.20,22.83,23.05,1086165
09-18-2013,23.00,23.50,22.68,23.12,1811026
09-19-2013,23.21,23.50,23.10,23.34,2032094
09-20-2013,23.43,23.78,22.64,22.75,3576139
09-23-2013,22.72,22.90,21.94,21.98,1813304
09-24-2013,22.11,22.74,21.92,22.38,760896
09-25-2013,23.49,23.49,22.11,22.15,459492
09-26-2013,22.11,22.62,22.11,22.47,934032
09-27-2013,22.31,22.46,21.87,22.03,1382409
09-30-2013,21.72,22.28,21.52,21.97,4945143
10-01-2013,21.84,22.44,21.79,22.22,1015471
10-02-2013,22.00,22.84,21.88,22.40,884993
10-03-2013,22.56,22.58,22.03,22.15,637863
10-04-2013,22.21,22.43,22.09,22.20,409056
10-07-2013,21.91,22.11,21.54,21.87,896171
