Date,Open,High,Low,Close,Volume
03-26-1990,2.27,2.29,2.23,2.23,0
03-27-1990,2.25,2.29,2.25,2.25,0
03-28-1990,2.29,2.29,2.21,2.23,0
03-29-1990,2.21,2.23,2.17,2.17,0
03-30-1990,2.23,2.23,2.17,2.19,0
04-02-1990,2.12,2.16,2.08,2.12,0
04-03-1990,2.10,2.16,2.10,2.10,0
04-04-1990,2.16,2.18,2.10,2.10,0
04-05-1990,2.15,2.29,2.15,2.23,0
04-06-1990,2.27,2.29,2.25,2.27,0
04-09-1990,2.27,2.27,2.17,2.23,0
04-10-1990,2.23,2.23,2.17,2.21,0
04-11-1990,2.21,2.23,2.17,2.23,0
04-12-1990,2.19,2.23,2.19,2.23,0
04-16-1990,2.19,2.23,2.19,2.21,0
04-17-1990,2.16,2.16,2.12,2.12,0
04-18-1990,2.12,2.12,2.00,2.06,0
04-19-1990,2.04,2.10,2.04,2.04,0
04-20-1990,2.02,2.08,2.02,2.04,0
04-23-1990,2.00,2.04,1.98,2.04,0
04-24-1990,2.06,2.08,1.98,2.00,0
04-25-1990,2.00,2.02,1.98,2.02,0
04-26-1990,2.02,2.02,1.96,1.96,0
04-27-1990,1.98,2.02,1.98,2.00,0
04-30-1990,2.00,2.04,1.98,2.04,0
05-01-1990,2.04,2.08,2.02,2.06,0
05-02-1990,2.08,2.10,2.06,2.10,0
05-03-1990,2.11,2.15,2.09,2.15,0
05-04-1990,2.12,2.16,2.10,2.10,0
05-07-1990,2.10,2.14,2.08,2.10,0
05-08-1990,2.12,2.12,2.10,2.12,0
05-09-1990,2.10,2.10,2.06,2.06,0
05-10-1990,2.06,2.10,2.04,2.04,0
05-11-1990,2.07,2.15,2.04,2.15,0
05-14-1990,2.17,2.23,2.11,2.23,0
05-15-1990,2.19,2.23,2.19,2.19,0
05-16-1990,2.23,2.23,2.19,2.21,0
05-17-1990,2.23,2.29,2.21,2.27,0
05-18-1990,2.29,2.29,2.25,2.25,0
05-21-1990,2.25,2.31,2.25,2.31,0
05-22-1990,2.31,2.31,2.25,2.25,0
05-23-1990,2.25,2.27,2.23,2.25,0
05-24-1990,2.27,2.31,2.23,2.27,0
05-25-1990,2.27,2.31,2.27,2.27,0
05-29-1990,2.29,2.31,2.27,2.31,0
05-30-1990,2.27,2.39,2.27,2.33,0
05-31-1990,2.34,2.38,2.32,2.38,0
06-01-1990,2.31,2.42,2.31,2.42,0
06-04-1990,2.38,2.44,2.36,2.40,0
06-05-1990,2.39,2.68,2.39,2.56,0
06-06-1990,2.60,2.60,2.56,2.58,0
06-07-1990,2.54,2.54,2.46,2.50,0
06-08-1990,2.46,2.46,2.42,2.44,0
06-11-1990,2.38,2.44,2.38,2.40,0
06-12-1990,2.44,2.52,2.39,2.50,0
06-13-1990,2.54,2.54,2.46,2.50,0
06-14-1990,2.46,2.50,2.46,2.46,0
06-15-1990,2.46,2.50,2.46,2.50,0
06-18-1990,2.48,2.48,2.44,2.46,0
06-19-1990,2.42,2.46,2.40,2.46,0
06-20-1990,2.46,2.46,2.44,2.46,0
06-21-1990,2.42,2.48,2.42,2.44,0
06-22-1990,2.44,2.46,2.44,2.46,0
06-25-1990,2.48,2.48,2.44,2.48,0
06-26-1990,2.44,2.48,2.44,2.46,0
06-27-1990,2.44,2.48,2.44,2.44,0
06-28-1990,2.46,2.48,2.44,2.46,0
06-29-1990,2.44,2.48,2.44,2.48,0
07-02-1990,2.44,2.48,2.25,2.27,0
07-03-1990,2.25,2.29,1.96,1.98,0
