Date,Open,High,Low,Close,Volume
11-09-2010,36.50,36.50,36.50,36.50,0
11-10-2010,35.50,37.74,34.50,36.90,1862407
11-11-2010,36.25,37.87,36.25,37.35,746611
11-12-2010,37.03,37.35,36.50,36.96,343332
11-15-2010,37.10,41.31,37.00,40.75,562664
11-16-2010,41.53,43.78,39.00,40.30,460117
11-17-2010,40.10,40.50,39.13,39.94,349040
11-18-2010,40.93,40.93,39.30,40.05,289525
11-19-2010,40.10,43.25,39.91,42.23,1479245
11-22-2010,42.34,42.35,40.26,41.63,161332
11-23-2010,41.32,41.89,40.62,41.70,135154
11-24-2010,41.70,42.22,41.70,42.05,233092
11-26-2010,42.05,42.23,41.80,41.94,34870
11-29-2010,41.80,41.96,41.25,41.42,244827
11-30-2010,41.00,41.71,40.00,40.77,299658
12-01-2010,41.86,43.10,41.50,41.95,234157
12-02-2010,41.95,43.38,41.95,43.15,347222
12-03-2010,43.10,44.90,43.06,44.34,464757
12-06-2010,44.45,46.07,44.45,45.30,396576
12-07-2010,46.50,47.19,46.06,47.08,335068
12-08-2010,47.40,49.24,47.20,48.46,282463
12-09-2010,49.93,50.50,49.00,49.94,421339
12-10-2010,50.16,52.20,48.98,51.85,429901
12-13-2010,52.81,54.70,52.46,54.39,388576
12-14-2010,54.35,54.78,53.28,54.60,249599
12-15-2010,54.00,54.43,53.38,53.53,211879
12-16-2010,53.77,54.80,53.54,54.51,171484
12-17-2010,54.50,55.05,53.83,54.95,494129
12-20-2010,54.77,56.10,54.77,56.00,261126
12-21-2010,56.10,56.25,54.85,55.14,129216
12-22-2010,55.01,55.14,51.74,53.96,324757
12-23-2010,53.96,53.96,52.04,52.11,199797
12-27-2010,52.06,52.06,50.44,51.93,131491
12-28-2010,51.82,54.15,50.90,53.46,137075
12-29-2010,53.66,55.19,53.46,54.56,196489
12-30-2010,54.77,54.77,54.03,54.47,93923
12-31-2010,54.48,54.66,54.21,54.42,91685
01-03-2011,54.52,54.69,52.85,54.60,266913
01-04-2011,54.32,54.50,53.92,54.30,127646
01-05-2011,53.95,54.60,53.79,54.58,152116
01-06-2011,54.69,55.21,54.50,54.83,235881
01-07-2011,55.00,55.89,54.83,54.96,258989
01-10-2011,54.51,54.57,53.40,53.83,67321
01-11-2011,53.81,53.81,52.31,53.16,116529
01-12-2011,53.32,53.45,52.35,53.25,172848
01-13-2011,53.35,53.52,52.89,53.50,74012
01-14-2011,53.50,53.92,52.89,53.42,161309
01-18-2011,53.07,53.88,52.83,53.33,161153
01-19-2011,53.10,53.72,52.40,52.54,103740
01-20-2011,52.37,53.06,51.84,52.48,139225
01-21-2011,52.86,53.03,51.17,51.98,169037
01-24-2011,51.67,53.00,51.35,52.95,128006
01-25-2011,52.82,52.92,51.97,52.69,69746
01-26-2011,52.77,52.77,52.13,52.30,109130
01-27-2011,52.18,52.22,51.30,51.57,89977
01-28-2011,51.51,51.56,50.41,50.53,104570
01-31-2011,50.00,50.28,49.00,50.28,316566
02-01-2011,50.36,51.07,49.85,50.73,158780
02-02-2011,50.72,51.11,50.32,50.43,60274
02-03-2011,50.19,51.85,50.19,51.72,125738
02-04-2011,52.45,53.01,51.73,52.32,151624
02-07-2011,52.31,53.01,52.23,52.69,176424
02-08-2011,52.69,52.72,52.40,52.60,136368
02-09-2011,52.34,53.25,52.34,53.16,145572
02-10-2011,53.02,53.37,52.68,53.07,57057
02-11-2011,52.90,53.52,52.90,53.40,61556
02-14-2011,53.45,53.72,53.01,53.37,33051
02-15-2011,53.34,53.60,52.79,52.82,51797
02-16-2011,52.77,53.60,52.62,53.56,71691
02-17-2011,53.46,54.57,53.36,54.46,106524
02-18-2011,54.54,56.78,54.08,55.83,169457
02-22-2011,55.41,56.09,54.97,55.48,89286
02-23-2011,55.35,55.63,54.16,54.73,65577
02-24-2011,54.55,55.02,53.79,54.50,45633
02-25-2011,55.01,56.34,54.88,56.32,69762
02-28-2011,56.58,58.94,56.00,57.77,230693
03-01-2011,57.95,59.44,56.82,59.18,244619
03-02-2011,59.27,62.16,58.75,61.82,207846
03-03-2011,62.46,63.39,62.22,62.92,165503
03-04-2011,63.28,63.49,61.60,63.00,116347
03-07-2011,63.11,63.46,62.65,62.82,94715
03-08-2011,62.75,63.93,62.38,63.56,79334
03-09-2011,63.91,64.54,63.75,63.94,130188
03-10-2011,63.70,64.10,62.75,63.04,108624
03-11-2011,63.06,65.93,62.31,65.67,223491
03-14-2011,65.30,67.70,65.30,67.13,243800
03-15-2011,65.87,67.36,64.60,66.71,198500
03-16-2011,66.39,66.39,64.65,64.80,194427
03-17-2011,65.12,66.48,64.70,66.34,157717
03-18-2011,66.96,68.42,65.00,68.33,576365
03-21-2011,68.30,71.94,68.21,69.74,251599
03-22-2011,69.99,70.21,68.65,70.00,140983
03-23-2011,69.61,69.73,68.13,68.49,114741
