Date,Open,High,Low,Close,Volume
03-20-2008,13.29,13.29,13.29,13.29,1602
03-24-2008,13.66,14.95,13.66,14.58,13528
03-25-2008,14.95,16.98,14.95,16.98,14337
03-26-2008,16.98,17.42,16.98,16.98,5126
03-27-2008,16.98,17.36,16.83,17.22,38583
03-28-2008,17.24,17.38,17.09,17.09,119054
03-31-2008,16.99,17.40,15.53,16.31,5103153
04-01-2008,16.17,16.31,14.76,15.87,2750547
04-02-2008,15.95,17.69,15.43,15.43,1796448
04-03-2008,16.09,16.09,14.47,14.99,3205804
04-04-2008,15.13,15.22,14.79,15.04,1364028
04-07-2008,14.54,14.76,14.03,14.55,2590321
04-08-2008,13.53,14.85,13.53,14.74,1136574
04-09-2008,14.33,14.96,14.33,14.80,851930
04-10-2008,14.76,15.01,14.24,14.34,1570180
04-11-2008,14.34,14.43,13.77,14.39,1183266
04-14-2008,14.39,14.66,14.32,14.55,909133
04-15-2008,14.48,14.48,13.99,14.31,1247962
04-16-2008,14.25,14.25,13.90,13.97,537853
04-17-2008,13.83,13.86,13.27,13.29,1002261
04-18-2008,13.47,13.59,13.21,13.44,540906
04-21-2008,13.40,13.54,13.21,13.38,624402
04-22-2008,13.32,13.52,13.24,13.46,512691
04-23-2008,13.44,13.44,13.10,13.30,200608
04-24-2008,13.22,13.55,13.14,13.45,316516
04-25-2008,13.69,14.75,13.58,14.52,259787
04-28-2008,14.45,14.48,13.66,14.07,169176
04-29-2008,14.16,14.16,13.36,13.50,401409
04-30-2008,13.46,14.12,13.36,14.06,183561
05-01-2008,14.17,14.27,13.77,14.25,236383
05-02-2008,14.28,14.36,13.90,14.23,157988
05-05-2008,14.25,14.37,13.99,14.08,118335
05-06-2008,13.95,14.14,13.88,14.01,171950
05-07-2008,14.01,14.35,13.97,14.26,177127
05-08-2008,14.23,14.62,14.23,14.43,149571
05-09-2008,14.33,14.70,14.33,14.63,46412
05-12-2008,14.63,15.41,14.63,15.36,216174
05-13-2008,15.14,15.93,14.97,15.82,414535
05-14-2008,15.69,17.24,15.69,16.65,582308
05-15-2008,16.61,17.68,16.59,17.35,596936
05-16-2008,17.53,17.69,17.35,17.39,332753
05-19-2008,17.64,17.97,17.60,17.93,288982
05-20-2008,17.72,17.89,17.35,17.54,172636
05-21-2008,17.71,17.71,17.29,17.44,272514
05-22-2008,17.35,17.44,17.03,17.18,192942
05-23-2008,17.45,17.45,16.91,16.93,107248
05-27-2008,16.93,17.02,16.29,16.34,159020
05-28-2008,16.50,16.65,15.74,15.96,191999
05-29-2008,15.95,16.06,15.86,16.00,260824
05-30-2008,15.84,16.35,15.84,16.35,678953
06-02-2008,16.09,17.06,16.09,16.94,187846
06-03-2008,16.78,17.16,16.39,16.54,101603
06-04-2008,16.54,16.99,16.31,16.96,193652
06-05-2008,16.84,17.13,16.76,17.04,182896
06-06-2008,16.98,16.98,16.72,16.97,166690
06-09-2008,16.98,17.20,16.79,16.99,263845
06-10-2008,16.99,17.53,16.62,17.39,484165
06-11-2008,17.32,17.51,16.62,17.06,289336
06-12-2008,17.08,17.30,16.48,16.82,208039
06-13-2008,16.82,17.00,16.12,16.35,190295
06-16-2008,16.32,16.64,16.31,16.38,163177
06-17-2008,16.49,17.15,16.18,17.02,340292
06-18-2008,17.19,17.34,16.60,17.17,174848
06-19-2008,17.42,17.42,16.92,17.12,104895
06-20-2008,17.80,17.84,17.28,17.75,695982
06-23-2008,17.75,17.75,17.34,17.68,141942
06-24-2008,17.62,17.86,16.96,16.96,175725
06-25-2008,16.96,17.26,16.71,16.71,323650
06-26-2008,16.44,16.83,16.39,16.59,221799
06-27-2008,16.78,17.65,16.44,17.43,739229
06-30-2008,17.43,17.96,15.92,15.92,263502
07-01-2008,16.11,16.85,15.99,16.80,322098
07-02-2008,17.04,17.04,16.24,16.29,151974
07-03-2008,16.29,16.69,16.15,16.53,84710
07-07-2008,16.53,16.64,16.21,16.21,169959
07-08-2008,16.21,16.91,15.96,16.88,126506
07-09-2008,16.67,17.11,16.66,16.89,119861
07-10-2008,16.89,17.48,16.67,17.22,240932
07-11-2008,17.22,17.51,16.76,17.31,285129
07-14-2008,17.50,17.56,16.89,17.19,163765
07-15-2008,16.91,17.17,16.60,16.98,182165
07-16-2008,16.98,17.28,16.93,17.11,64276
07-17-2008,16.99,17.22,16.99,17.14,239331
07-18-2008,17.31,17.35,17.12,17.25,73619
07-21-2008,17.50,17.57,17.25,17.34,53045
07-22-2008,17.34,17.34,16.96,17.17,198900
07-23-2008,17.17,17.37,16.82,17.08,162892
07-24-2008,17.11,17.18,16.75,16.85,227264
07-25-2008,16.70,17.40,16.70,17.23,154097
07-28-2008,17.23,17.56,16.99,17.07,78200
07-29-2008,17.11,17.39,17.03,17.16,205134
07-30-2008,17.49,17.55,17.14,17.49,108823
07-31-2008,17.44,17.56,17.05,17.23,137301
08-01-2008,17.66,17.66,17.11,17.43,97577
08-04-2008,17.26,17.42,17.17,17.23,53583
08-05-2008,17.17,17.55,17.17,17.52,131349
08-06-2008,17.32,17.57,17.31,17.55,135849
08-07-2008,17.65,17.82,17.26,17.82,126686
08-08-2008,17.86,18.00,17.57,18.00,139125
08-11-2008,18.01,18.45,17.74,17.75,242607
08-12-2008,17.82,17.98,17.23,17.87,172289
08-13-2008,17.93,17.93,17.42,17.84,113205
08-14-2008,17.88,17.93,17.76,17.89,103527
08-15-2008,17.88,18.03,17.67,17.98,199697
08-18-2008,18.06,18.06,17.49,17.62,136519
08-19-2008,17.73,17.76,17.26,17.59,65300
08-20-2008,17.72,17.75,17.20,17.37,73138
08-21-2008,17.31,17.31,16.16,16.79,197620
08-22-2008,16.69,17.13,16.41,17.13,116327
08-25-2008,17.18,17.23,17.01,17.10,205991
08-26-2008,17.01,17.22,17.01,17.20,145532
08-27-2008,17.08,17.35,17.04,17.18,135558
08-28-2008,17.18,17.66,17.18,17.40,60704
08-29-2008,17.25,17.74,17.20,17.69,124843
09-02-2008,17.85,17.86,17.60,17.63,54100
09-03-2008,17.45,17.86,17.45,17.66,119440
09-04-2008,17.71,17.72,17.44,17.44,92296
09-05-2008,17.54,17.63,17.29,17.49,177560
09-08-2008,17.63,17.95,17.49,17.86,87694
09-09-2008,17.98,17.98,16.98,16.98,102934
09-10-2008,16.93,17.18,16.86,17.01,402200
09-11-2008,16.89,17.11,16.81,17.04,358799
09-12-2008,16.94,17.17,16.64,17.17,434704
09-15-2008,16.91,16.97,16.42,16.76,443676
09-16-2008,16.50,16.78,16.33,16.68,324960
09-17-2008,16.50,17.06,16.50,16.88,369712
09-18-2008,16.84,17.04,16.49,16.65,393282
09-19-2008,14.89,17.14,14.11,16.47,570042
09-22-2008,16.27,16.44,15.95,16.15,263090
09-23-2008,16.03,16.40,15.61,15.61,340579
09-24-2008,15.79,15.83,15.19,15.23,321912
09-25-2008,15.18,15.34,14.96,15.16,931042
09-26-2008,15.08,15.33,14.78,15.16,466462
09-29-2008,13.88,15.14,13.52,14.84,355792
09-30-2008,15.00,15.32,14.31,15.12,463033
10-01-2008,15.17,15.74,15.00,15.66,414851
10-02-2008,15.48,15.83,15.38,15.63,262770
10-03-2008,15.63,15.83,15.27,15.27,287976
10-06-2008,13.90,15.08,13.90,14.85,490680
10-07-2008,14.85,15.16,13.81,14.01,345335
10-08-2008,13.58,14.06,13.50,13.66,557953
10-09-2008,13.95,14.21,13.58,13.64,449171
10-10-2008,12.75,13.91,12.75,12.94,581633
10-13-2008,13.09,14.17,13.00,13.88,386346
10-14-2008,14.60,14.60,13.53,13.70,168314
10-15-2008,13.50,13.59,12.56,12.56,205170
10-16-2008,12.64,13.31,12.38,13.19,538852
10-17-2008,13.18,13.72,12.74,13.58,318778
10-20-2008,13.57,13.58,13.43,13.58,495272
10-21-2008,13.63,13.86,13.47,13.70,498836
10-22-2008,13.59,13.66,13.19,13.48,347564
10-23-2008,13.48,14.03,12.98,13.64,416847
10-24-2008,13.73,13.73,12.95,13.25,264062
10-27-2008,13.28,13.47,12.95,13.06,433404
10-28-2008,13.37,14.48,13.16,14.43,172724
10-29-2008,14.57,15.08,13.89,14.00,267185
10-30-2008,14.24,14.43,13.70,14.04,176307
10-31-2008,14.08,14.45,13.97,14.25,411084
11-03-2008,14.18,14.31,14.04,14.15,333402
11-04-2008,14.27,14.64,14.15,14.16,143216
11-05-2008,14.16,14.40,14.15,14.15,144928
11-06-2008,14.00,14.30,14.00,14.15,258336
11-07-2008,14.09,14.58,14.09,14.35,133179
11-10-2008,14.33,14.43,13.88,14.20,174050
11-11-2008,13.99,14.54,13.89,13.89,154297
11-12-2008,13.68,14.21,13.68,13.96,177179
11-13-2008,14.18,14.29,13.50,14.29,237962
11-14-2008,14.69,14.69,14.02,14.06,97627
11-17-2008,13.90,14.07,13.66,13.69,265397
11-18-2008,13.70,13.76,12.81,13.19,268706
11-19-2008,13.19,13.27,11.85,11.90,309797
11-20-2008,11.63,11.80,10.80,10.82,515193
11-21-2008,11.11,11.24,9.96,10.47,406225
11-24-2008,10.55,11.32,10.50,11.13,380944
11-25-2008,11.63,12.71,11.46,12.27,426934
11-26-2008,11.93,12.41,11.74,12.35,380439
11-28-2008,12.47,12.64,11.94,11.94,107970
12-01-2008,11.75,12.12,11.49,11.52,249981
12-02-2008,11.72,11.72,11.03,11.15,401263
12-03-2008,11.10,11.80,10.95,11.70,242462
12-04-2008,11.57,11.84,11.51,11.67,205597
12-05-2008,11.72,11.82,11.27,11.57,270066
12-08-2008,11.72,12.38,11.72,12.27,391094
12-09-2008,11.96,12.66,11.96,12.23,351402
12-10-2008,12.18,12.68,12.11,12.53,254239
12-11-2008,12.72,12.73,12.12,12.27,212514
12-12-2008,12.23,12.24,11.81,11.92,331988
12-15-2008,12.01,12.06,11.29,11.35,387396
12-16-2008,11.33,11.65,10.96,11.60,431858
12-17-2008,11.57,11.72,11.08,11.50,379243
12-18-2008,11.50,11.53,11.06,11.37,541823
12-19-2008,11.29,11.94,11.13,11.68,1380920
12-22-2008,11.71,12.28,11.60,12.20,613044
12-23-2008,12.32,12.93,12.15,12.33,312426
12-24-2008,12.17,12.29,11.77,12.24,227241
12-26-2008,12.24,12.46,12.24,12.45,199345
12-29-2008,12.37,12.40,12.01,12.28,365824
12-30-2008,12.45,12.54,12.20,12.45,209851
12-31-2008,12.59,12.80,12.30,12.66,277109
01-02-2009,12.53,13.72,12.39,13.62,483918
01-05-2009,13.67,13.67,12.94,13.04,319818
01-06-2009,13.29,13.59,13.21,13.58,265981
01-07-2009,13.30,13.55,13.11,13.25,188527
01-08-2009,13.21,13.42,13.03,13.39,257837
01-09-2009,13.30,13.47,12.92,13.05,243050
01-12-2009,12.89,13.01,12.74,12.80,448656
01-13-2009,12.60,14.02,12.30,13.99,530184
01-14-2009,14.00,14.00,13.36,13.82,520732
01-15-2009,13.66,13.74,13.23,13.42,235927
01-16-2009,13.38,14.68,13.38,14.46,357153
01-20-2009,14.27,14.27,13.41,13.42,278134
01-21-2009,13.67,14.54,13.54,14.34,392282
01-22-2009,14.40,14.40,13.46,13.79,390091
01-23-2009,13.93,13.99,13.52,13.60,478639
01-26-2009,13.82,14.31,13.72,14.26,132526
01-27-2009,14.49,14.55,14.07,14.52,150397
01-28-2009,14.65,14.84,14.44,14.71,311101
01-29-2009,14.57,14.85,14.20,14.26,222209
01-30-2009,14.08,14.16,13.79,14.03,225178
02-02-2009,13.96,14.43,13.83,14.36,231718
02-03-2009,14.70,14.70,14.16,14.42,238567
02-04-2009,14.61,14.61,14.07,14.16,208903
02-05-2009,14.26,14.36,13.93,14.01,176097
02-06-2009,14.20,14.59,14.15,14.54,228139
02-09-2009,14.42,14.86,14.24,14.70,282259
02-10-2009,14.65,15.15,14.43,14.59,466728
02-11-2009,14.65,14.65,13.84,14.37,341338
02-12-2009,14.34,14.48,13.92,14.48,213243
02-13-2009,14.30,14.52,14.24,14.46,244636
02-17-2009,13.61,14.17,13.55,13.63,322621
02-18-2009,13.89,13.93,13.26,13.71,274292
02-19-2009,13.81,14.02,13.50,13.71,279779
02-20-2009,13.33,13.80,13.32,13.62,177886
02-23-2009,13.90,14.16,13.28,13.30,162664
02-24-2009,13.25,13.37,13.00,13.33,204794
02-25-2009,13.40,13.61,13.11,13.38,148574
02-26-2009,13.33,13.38,12.94,13.10,318340
02-27-2009,12.90,12.95,12.61,12.73,194056
03-02-2009,12.48,12.51,11.95,12.02,246760
03-03-2009,12.13,13.10,12.10,12.79,571652
03-04-2009,12.92,12.94,12.24,12.29,376556
03-05-2009,12.10,12.17,11.76,11.87,453875
03-06-2009,11.82,12.23,11.46,12.18,526716
03-09-2009,11.85,12.26,11.63,11.75,702673
03-10-2009,11.91,12.23,11.70,12.03,528238
03-11-2009,12.29,12.29,11.88,11.91,349478
03-12-2009,11.80,12.86,11.80,12.79,557264
03-13-2009,12.81,13.04,12.48,12.85,609872
03-16-2009,13.04,13.04,12.65,12.79,282311
03-17-2009,12.75,12.93,12.68,12.85,295708
03-18-2009,12.93,13.01,12.24,12.30,528470
03-19-2009,12.53,12.59,11.98,12.05,462973
03-20-2009,12.15,12.42,12.09,12.16,288846
03-23-2009,12.20,12.58,11.93,12.38,410257
03-24-2009,12.45,12.52,11.83,11.86,384853
03-25-2009,11.75,12.01,11.23,11.26,893241
03-26-2009,11.43,12.31,11.26,12.31,481949
03-27-2009,11.59,12.36,11.59,12.16,345838
03-30-2009,12.28,12.28,11.71,11.82,431586
03-31-2009,11.82,12.43,11.82,12.28,236821
04-01-2009,12.27,12.37,11.91,12.31,245653
04-02-2009,12.44,13.04,12.39,12.96,349068
04-03-2009,12.85,13.04,12.84,13.04,277167
04-06-2009,12.66,13.04,12.37,12.48,257384
04-07-2009,12.40,12.48,11.63,11.69,618128
04-08-2009,11.68,12.35,11.65,12.29,454088
04-09-2009,12.61,13.04,12.08,13.04,827780
04-13-2009,12.67,12.81,12.16,12.29,380640
04-14-2009,12.29,12.43,12.02,12.10,379065
04-15-2009,12.09,12.33,12.09,12.31,232771
04-16-2009,12.45,12.65,12.22,12.65,334587
04-17-2009,12.61,13.09,12.45,13.04,494656
