Date,Open,High,Low,Close,Volume
11-25-2014,14.96,15.02,14.96,14.96,646436
11-26-2014,14.96,15.02,14.96,14.99,31836
11-28-2014,14.99,15.03,14.99,15.03,8570
12-01-2014,15.03,15.22,14.96,14.96,67797
12-02-2014,14.96,15.02,14.96,14.96,42695
12-03-2014,15.03,15.10,14.96,15.03,51482
12-04-2014,15.07,15.25,15.03,15.03,39199
12-05-2014,15.22,15.52,15.14,15.52,52942
12-08-2014,16.08,16.83,15.32,15.41,65692
12-09-2014,16.83,16.83,15.38,15.62,64549
12-10-2014,15.56,16.30,15.21,16.15,46993
12-11-2014,16.07,16.27,15.61,15.75,48357
12-12-2014,15.18,15.65,15.18,15.59,28765
12-15-2014,15.71,15.71,15.47,15.55,37946
12-16-2014,15.71,16.23,14.99,16.05,62167
12-17-2014,15.87,15.87,14.96,14.96,167329
12-18-2014,15.10,15.17,14.99,15.14,52417
12-19-2014,15.22,15.32,15.11,15.19,21285
12-22-2014,15.11,15.18,14.96,14.96,121205
12-23-2014,14.97,15.07,14.96,14.96,53858
12-24-2014,14.96,15.02,14.96,14.96,32941
12-26-2014,14.96,15.03,14.96,14.99,44056
12-29-2014,14.92,15.26,14.87,15.03,513918
12-30-2014,14.99,15.26,14.96,14.96,97298
12-31-2014,15.07,15.11,14.96,14.96,120071
01-02-2015,14.88,15.12,14.88,14.88,139460
01-05-2015,14.88,14.88,14.77,14.77,133175
01-06-2015,14.66,14.72,14.58,14.58,117738
01-07-2015,14.51,14.53,14.47,14.51,150813
01-08-2015,14.43,14.58,14.40,14.56,97044
01-09-2015,14.45,14.73,14.33,14.65,71692
01-12-2015,14.60,15.22,14.60,14.89,30201
01-13-2015,14.90,14.92,14.43,14.52,142494
01-14-2015,14.07,14.24,13.90,14.19,84692
01-15-2015,14.23,14.39,14.07,14.08,30167
01-16-2015,14.51,14.51,14.03,14.03,76718
01-20-2015,13.87,14.11,13.18,14.11,175319
01-21-2015,14.19,15.05,13.56,14.75,93760
01-22-2015,14.61,14.75,14.49,14.64,35177
01-23-2015,14.45,14.60,14.12,14.34,42954
01-26-2015,14.22,14.35,14.00,14.01,35969
01-27-2015,14.28,14.67,14.11,14.66,70824
01-28-2015,14.33,14.67,14.30,14.43,38102
01-29-2015,14.55,14.62,14.30,14.45,51444
01-30-2015,14.75,15.05,14.34,14.67,42933
02-02-2015,14.78,14.78,14.31,14.49,31891
02-03-2015,14.75,15.01,14.40,14.67,47664
02-04-2015,15.05,15.05,14.75,15.00,51687
02-05-2015,15.05,15.05,14.67,14.69,40284
02-06-2015,14.67,14.86,14.49,14.60,29391
02-09-2015,14.47,14.69,14.45,14.54,16701
02-10-2015,14.52,14.80,14.30,14.75,33363
02-11-2015,14.82,15.00,14.30,14.34,28306
02-12-2015,14.48,14.78,14.00,14.05,85960
02-13-2015,14.21,14.25,13.71,14.07,50257
02-17-2015,15.11,15.11,14.10,14.25,37500
02-18-2015,14.67,14.67,14.02,14.02,46494
02-19-2015,14.21,14.39,13.96,13.97,47004
02-20-2015,13.97,14.03,13.64,13.83,54609
02-23-2015,13.66,13.96,13.63,13.81,95034
02-24-2015,13.77,14.35,13.63,14.21,99736
02-25-2015,14.36,14.36,13.88,13.90,36566
02-26-2015,14.00,14.04,13.84,13.91,46010
02-27-2015,14.16,14.30,13.93,14.13,81147
03-02-2015,14.03,14.23,14.03,14.08,30600
03-03-2015,14.21,14.34,14.14,14.34,29262
03-04-2015,14.34,14.44,14.14,14.44,27587
03-05-2015,14.44,14.74,14.34,14.37,39465
03-06-2015,14.47,14.47,13.96,13.97,27062
03-09-2015,13.98,14.11,13.72,13.92,38491
03-10-2015,13.80,13.80,12.86,13.03,195599
03-11-2015,13.40,13.73,13.06,13.71,55744
03-12-2015,13.69,13.74,13.18,13.34,72399
03-13-2015,13.47,13.52,13.04,13.09,66635
03-16-2015,13.11,13.27,12.89,13.06,94884
03-17-2015,13.17,13.18,12.34,12.96,93443
03-18-2015,12.86,13.33,12.86,13.29,74359
03-19-2015,13.08,13.30,13.00,13.01,44230
03-20-2015,13.00,13.26,12.98,12.99,110021
03-23-2015,12.90,13.21,12.88,13.10,102531
03-24-2015,13.03,13.10,12.77,13.00,126658
03-25-2015,12.84,13.07,12.66,12.89,172091
03-26-2015,12.92,13.64,12.79,13.47,178502
03-27-2015,13.51,13.62,13.39,13.49,79825
03-30-2015,13.36,13.94,13.36,13.51,87358
03-31-2015,14.10,14.35,13.73,14.02,134727
04-01-2015,14.08,14.13,13.74,14.13,42353
04-02-2015,13.96,14.09,13.91,13.96,76770
04-06-2015,14.17,14.17,13.83,13.99,47620
04-07-2015,13.84,14.29,13.74,13.83,84146
04-08-2015,13.78,13.92,13.50,13.66,113513
04-09-2015,13.67,14.05,13.64,13.81,51181
04-10-2015,13.72,14.06,13.72,14.03,53762
04-13-2015,14.14,14.14,13.66,13.79,48851
