Date,Open,High,Low,Close,Volume
12-18-1995,14.39,14.42,13.96,14.06,0
12-19-1995,18.00,18.00,17.50,17.64,1488356
12-20-1995,17.64,18.19,17.64,18.10,5298808
12-21-1995,18.05,18.19,17.73,17.87,5281711
12-22-1995,17.96,18.10,17.87,17.96,2945547
12-26-1995,17.96,17.96,17.82,17.91,1269836
12-27-1995,17.87,17.91,17.73,17.73,1888489
12-28-1995,17.64,17.87,17.59,17.73,2691459
12-29-1995,17.64,17.82,17.45,17.82,1395243
01-02-1996,17.73,17.96,17.59,17.87,2227540
01-03-1996,17.82,17.96,17.77,17.82,3452896
01-04-1996,17.68,18.05,17.68,18.00,3187142
01-05-1996,18.00,18.05,17.82,17.96,4382642
01-08-1996,18.14,18.37,18.05,18.37,1474511
01-09-1996,18.37,18.37,18.14,18.33,6055367
01-10-1996,18.10,18.19,17.64,17.77,2449864
01-11-1996,17.96,18.00,17.77,17.96,3422493
01-12-1996,18.33,18.33,17.91,18.28,1844511
01-15-1996,18.37,18.60,18.33,18.60,1283404
01-16-1996,18.93,18.93,18.65,18.70,2567674
01-17-1996,18.51,18.65,18.47,18.47,1499487
01-18-1996,18.37,18.60,18.19,18.51,2696891
01-19-1996,18.37,18.51,18.33,18.42,1383308
01-22-1996,18.33,18.42,18.23,18.42,1661003
01-23-1996,18.60,18.79,18.56,18.74,2761220
01-24-1996,18.70,18.74,18.56,18.60,2931161
01-25-1996,18.51,18.74,18.23,18.33,2945270
01-26-1996,18.23,18.56,18.10,18.56,1934910
01-29-1996,18.42,18.51,18.28,18.42,560247
01-30-1996,18.33,18.42,18.19,18.28,862100
01-31-1996,18.23,18.47,18.14,18.47,2039689
02-01-1996,18.65,18.65,18.51,18.56,1671324
02-02-1996,18.47,18.47,18.19,18.42,1244857
02-05-1996,18.23,18.47,18.23,18.42,952770
02-06-1996,18.42,18.56,18.37,18.51,986431
02-07-1996,18.51,18.60,18.37,18.56,2209351
02-08-1996,18.56,18.88,18.51,18.88,2053803
02-09-1996,18.88,19.02,18.65,18.70,1825236
02-12-1996,18.70,19.02,18.70,18.97,1227494
02-13-1996,18.74,19.25,18.74,19.11,1432708
02-14-1996,19.02,19.29,19.02,19.16,973137
02-15-1996,19.02,19.25,19.02,19.06,938927
02-16-1996,18.97,19.02,18.65,18.74,2041588
02-20-1996,18.42,18.88,18.37,18.74,2209892
02-21-1996,18.60,19.20,18.60,18.93,1354258
02-22-1996,18.79,19.34,18.79,19.29,1548623
02-23-1996,19.34,19.57,19.29,19.43,1620286
02-26-1996,19.43,19.52,19.25,19.52,1015479
02-27-1996,19.48,19.48,19.29,19.39,1061628
02-28-1996,19.25,19.48,19.06,19.06,993489
02-29-1996,18.97,19.34,18.93,18.97,1921873
03-01-1996,18.97,19.43,18.88,19.29,969874
03-04-1996,19.57,19.80,19.34,19.43,1425924
03-05-1996,19.43,19.48,19.16,19.34,1975628
03-06-1996,19.34,19.39,19.16,19.34,832517
03-07-1996,19.29,19.34,19.16,19.20,1503831
03-08-1996,18.51,18.79,18.05,18.51,2641782
03-11-1996,18.37,18.56,18.00,18.23,1154466
03-12-1996,17.96,18.05,17.64,17.87,1585000
03-13-1996,17.82,18.00,17.82,17.87,1255992
03-14-1996,17.82,18.05,17.82,17.87,1382489
03-15-1996,17.87,17.91,17.27,17.36,2491936
03-18-1996,17.54,17.96,17.54,17.91,2674081
03-19-1996,18.00,18.51,18.00,18.42,2472395
03-20-1996,18.42,18.60,18.33,18.51,1325759
03-21-1996,18.51,18.60,18.37,18.56,1142792
03-22-1996,18.65,18.70,18.42,18.42,845275
03-25-1996,18.47,18.79,18.37,18.47,1139262
03-26-1996,18.33,18.51,18.33,18.42,1353985
03-27-1996,18.28,18.47,18.28,18.37,1070317
03-28-1996,18.28,18.33,17.91,17.91,1220973
03-29-1996,17.91,18.10,17.68,18.05,1748144
04-01-1996,18.19,18.23,18.10,18.23,873503
04-02-1996,18.28,18.28,17.96,18.14,1752216
04-03-1996,18.14,18.23,18.00,18.10,1213369
04-04-1996,18.00,18.00,17.77,18.00,860205
04-08-1996,17.59,17.87,17.54,17.73,862651
04-09-1996,17.73,17.77,17.13,17.36,1552430
04-10-1996,17.31,17.31,16.99,17.04,986979
04-11-1996,16.99,16.99,16.39,16.76,2525874
04-12-1996,16.81,17.13,16.76,17.13,2231609
04-15-1996,17.13,17.36,17.13,17.22,681316
04-16-1996,17.22,17.22,16.81,16.81,1356159
04-17-1996,16.81,17.36,16.76,17.22,2445522
04-18-1996,17.18,17.87,17.18,17.73,2127911
04-19-1996,17.64,17.91,17.59,17.68,1590154
04-22-1996,17.68,17.82,17.68,17.77,1128681
04-23-1996,17.68,17.73,17.41,17.50,833603
04-24-1996,17.54,17.59,17.41,17.45,1080627
04-25-1996,17.36,17.36,17.18,17.27,1598033
04-26-1996,17.27,17.31,17.08,17.13,482335
