Date,Open,High,Low,Close,Volume
02-10-2012,11.55,12.04,11.14,11.80,2515634
02-13-2012,11.87,12.48,11.72,12.48,338090
02-14-2012,11.80,12.29,11.80,12.28,66873
02-15-2012,12.55,12.55,12.05,12.31,157879
02-16-2012,12.36,12.37,12.35,12.35,4881
02-17-2012,12.32,12.47,12.31,12.47,31123
02-21-2012,12.73,12.73,12.51,12.60,4910
02-22-2012,12.30,12.61,12.30,12.36,83494
02-23-2012,12.17,12.70,12.17,12.55,52589
02-24-2012,12.69,12.79,12.60,12.76,51267
02-27-2012,12.66,12.76,12.66,12.76,38654
02-28-2012,12.84,13.09,12.78,12.89,158783
02-29-2012,13.09,13.09,12.97,13.03,7842
03-01-2012,13.03,13.15,12.98,13.15,14475
03-02-2012,13.15,15.25,13.11,13.30,101164
03-05-2012,13.29,13.30,13.10,13.16,25492
03-06-2012,13.03,13.08,12.90,12.90,20101
03-07-2012,12.94,12.94,12.78,12.84,21562
03-08-2012,12.93,12.93,12.77,12.84,18071
03-09-2012,13.17,13.17,12.80,13.10,35237
03-12-2012,13.20,13.64,13.08,13.60,67704
03-13-2012,13.74,13.75,13.49,13.52,25405
03-14-2012,13.57,13.74,13.57,13.70,47351
03-15-2012,13.70,14.74,13.54,14.26,45597
03-16-2012,14.31,14.31,13.08,13.62,104604
03-19-2012,13.76,13.91,13.69,13.73,34785
03-20-2012,13.65,13.89,13.65,13.84,8536
03-21-2012,13.82,13.85,13.52,13.69,6065
03-22-2012,13.52,13.52,13.27,13.28,5085
03-23-2012,13.23,13.73,13.03,13.29,8586
03-26-2012,13.47,14.02,13.47,13.67,183062
03-27-2012,13.79,13.79,13.06,13.39,67553
03-28-2012,13.31,13.76,13.31,13.57,26172
03-29-2012,13.57,13.57,13.17,13.26,92860
03-30-2012,13.55,13.92,13.29,13.67,686449
04-02-2012,13.55,13.76,13.42,13.75,167345
04-03-2012,13.72,13.78,13.35,13.67,167893
04-04-2012,13.52,13.74,13.52,13.73,15320
04-05-2012,13.71,13.75,13.57,13.58,3304
04-09-2012,13.40,13.82,13.08,13.74,41091
04-10-2012,13.73,13.74,13.34,13.39,19652
04-11-2012,13.59,13.76,13.57,13.73,28403
04-12-2012,13.75,13.81,13.74,13.81,173071
04-13-2012,13.79,14.07,13.77,13.95,32285
04-16-2012,14.13,15.20,13.92,14.87,44280
04-17-2012,15.00,16.31,14.87,15.97,166725
04-18-2012,15.99,16.87,15.66,16.74,182822
04-19-2012,16.81,17.00,16.35,16.77,178543
04-20-2012,17.02,17.02,16.18,16.70,77768
04-23-2012,16.39,16.64,15.83,15.86,43483
04-24-2012,15.92,16.20,15.88,16.19,17571
04-25-2012,16.25,16.27,15.89,16.27,67400
04-26-2012,16.22,16.24,16.14,16.19,77463
04-27-2012,16.15,16.47,16.15,16.47,121623
04-30-2012,16.56,17.26,16.56,17.17,338305
05-01-2012,17.05,17.47,16.97,17.09,389710
05-02-2012,17.03,17.35,16.99,17.16,41260
05-03-2012,17.20,17.36,16.74,16.86,41514
05-04-2012,16.76,16.83,16.38,16.64,36782
05-07-2012,16.63,17.06,16.44,16.96,60944
05-08-2012,16.77,16.84,16.35,16.81,29117
05-09-2012,16.44,17.16,16.44,17.06,232198
05-10-2012,17.15,17.16,16.74,17.13,97689
05-11-2012,16.97,17.21,16.97,17.11,48799
05-14-2012,16.85,17.16,16.85,17.02,19642
05-15-2012,16.96,16.96,16.59,16.69,53061
05-16-2012,16.68,16.68,16.03,16.29,37574
05-17-2012,16.30,16.51,16.30,16.34,29488
05-18-2012,16.37,16.52,16.31,16.44,26922
05-21-2012,16.41,16.67,16.25,16.32,60757
05-22-2012,16.32,16.46,16.19,16.33,21825
05-23-2012,16.23,16.46,15.90,16.45,12676
05-24-2012,16.49,16.96,16.46,16.96,34706
05-25-2012,16.92,17.16,16.81,16.97,43378
05-29-2012,16.97,17.15,16.84,16.96,12646
05-30-2012,16.72,16.72,16.26,16.33,20886
05-31-2012,16.32,16.36,15.89,16.22,103399
06-01-2012,15.92,16.36,15.79,15.94,43914
06-04-2012,15.99,16.23,15.91,16.03,35531
06-05-2012,16.27,16.27,15.98,16.05,42858
06-06-2012,15.81,16.27,15.81,16.22,16956
06-07-2012,16.27,16.27,15.91,16.00,15036
06-08-2012,16.18,16.27,16.10,16.22,7536
06-11-2012,16.27,16.27,16.03,16.12,23683
06-12-2012,16.13,16.26,15.94,16.22,10880
06-13-2012,16.17,16.27,15.98,16.08,21527
06-14-2012,16.06,16.27,15.27,15.84,31048
06-15-2012,15.75,16.23,15.75,15.79,38966
06-18-2012,15.50,15.98,15.48,15.59,14714
06-19-2012,15.62,16.10,15.51,16.10,12662
06-20-2012,16.00,16.03,15.61,15.84,79155
06-21-2012,15.71,15.93,15.71,15.78,11555
06-22-2012,15.85,16.40,15.85,16.24,270757
06-25-2012,16.22,16.22,15.75,15.91,16903
06-26-2012,15.88,15.91,15.49,15.60,59194
06-27-2012,15.53,15.54,15.41,15.47,17673
06-28-2012,15.42,15.49,15.36,15.41,11134
06-29-2012,15.67,15.73,15.56,15.73,16078
07-02-2012,15.86,15.86,15.61,15.80,97643
07-03-2012,15.75,15.84,15.69,15.83,8425
07-05-2012,15.74,15.74,15.61,15.62,8555
07-06-2012,15.51,15.71,15.38,15.42,13544
07-09-2012,15.23,15.84,15.13,15.52,9368
07-10-2012,15.56,15.96,15.56,15.96,31970
07-11-2012,15.61,17.01,15.61,16.67,31115
07-12-2012,16.53,17.31,16.53,17.19,36111
07-13-2012,17.22,18.68,16.93,18.44,400263
07-16-2012,18.40,18.63,18.17,18.50,85259
07-17-2012,18.61,18.61,17.94,18.25,32104
07-18-2012,18.29,18.43,18.15,18.43,48449
07-19-2012,18.16,18.21,17.95,18.17,18987
07-20-2012,17.94,17.94,17.55,17.55,16531
07-23-2012,17.38,17.69,17.28,17.51,10104
07-24-2012,17.54,18.07,17.38,17.40,13380
07-25-2012,17.59,17.70,17.32,17.55,9257
07-26-2012,17.92,17.92,17.21,17.48,20171
07-27-2012,17.02,17.72,17.02,17.70,39896
07-30-2012,19.42,19.42,16.47,17.83,36475
07-31-2012,17.83,18.26,17.82,18.02,10824
08-01-2012,17.94,17.94,16.71,16.71,43577
08-02-2012,16.13,16.71,16.13,16.51,71199
08-03-2012,16.90,17.50,16.52,17.19,17245
08-06-2012,17.70,17.94,17.23,17.75,38349
08-07-2012,17.79,18.16,17.58,18.16,33204
08-08-2012,18.12,18.18,17.95,18.18,16759
