Date,Open,High,Low,Close,Volume
08-01-1994,2.39,2.42,2.39,2.42,22564
08-02-1994,2.42,2.45,2.39,2.45,24060
08-03-1994,2.45,2.45,2.42,2.45,37627
08-04-1994,2.45,2.49,2.42,2.45,70039
08-05-1994,2.45,2.49,2.45,2.45,25951
08-08-1994,2.49,2.59,2.49,2.52,79452
08-09-1994,2.52,2.55,2.52,2.52,38763
08-10-1994,2.52,2.59,2.52,2.59,54961
08-11-1994,2.59,2.62,2.55,2.62,96408
08-12-1994,2.62,2.65,2.62,2.65,88506
08-15-1994,2.65,2.79,2.65,2.79,91882
08-16-1994,2.79,2.85,2.79,2.85,206063
08-17-1994,2.85,2.85,2.79,2.79,47803
08-18-1994,2.82,2.82,2.79,2.82,35369
08-19-1994,2.79,2.89,2.79,2.85,69661
08-22-1994,2.85,2.85,2.85,2.85,24445
08-23-1994,2.82,2.95,2.82,2.92,96408
08-24-1994,2.92,2.92,2.89,2.89,85111
08-25-1994,2.85,2.92,2.85,2.85,58733
08-26-1994,2.82,2.95,2.82,2.95,120529
08-29-1994,2.92,2.92,2.89,2.92,19925
08-30-1994,2.89,2.89,2.85,2.85,33867
08-31-1994,2.89,2.89,2.85,2.85,33493
09-01-1994,2.85,2.85,2.75,2.75,96408
09-02-1994,2.72,2.75,2.72,2.75,14654
09-06-1994,2.79,2.79,2.69,2.72,14654
09-07-1994,2.69,2.72,2.69,2.72,12763
09-08-1994,2.69,2.69,2.65,2.65,14654
09-09-1994,2.69,2.72,2.65,2.65,28967
09-12-1994,2.69,2.69,2.62,2.62,22183
09-13-1994,2.59,2.65,2.59,2.62,40643
09-14-1994,2.59,2.62,2.59,2.59,40643
09-15-1994,2.62,2.65,2.55,2.65,112999
09-16-1994,2.65,2.65,2.59,2.65,13891
09-19-1994,2.65,2.65,2.62,2.65,38385
09-20-1994,2.65,2.69,2.62,2.62,49310
09-21-1994,2.62,2.65,2.62,2.65,43665
09-22-1994,2.59,2.62,2.59,2.59,22183
09-23-1994,2.62,2.62,2.55,2.59,32355
09-26-1994,2.62,2.62,2.59,2.62,91519
09-27-1994,2.62,2.62,2.59,2.62,12763
09-28-1994,2.59,2.65,2.59,2.65,154443
09-29-1994,2.69,2.69,2.62,2.65,45547
09-30-1994,2.62,2.69,2.62,2.69,77949
10-03-1994,2.65,2.69,2.65,2.65,56092
10-04-1994,2.65,2.65,2.62,2.62,18792
10-05-1994,2.62,2.62,2.59,2.59,18792
10-06-1994,2.62,2.62,2.59,2.59,22564
10-07-1994,2.59,2.62,2.55,2.55,38385
10-10-1994,2.59,2.59,2.55,2.55,2585
10-11-1994,2.59,2.59,2.55,2.59,14271
10-12-1994,2.59,2.59,2.55,2.55,21806
10-13-1994,2.55,2.62,2.55,2.62,65521
10-14-1994,2.59,2.59,2.55,2.55,48560
10-17-1994,2.55,2.59,2.55,2.59,97917
10-18-1994,2.59,2.62,2.59,2.59,43282
10-19-1994,2.62,2.62,2.52,2.52,27462
10-20-1994,2.55,2.55,2.52,2.55,17658
10-21-1994,2.52,2.55,2.49,2.49,39895
10-24-1994,2.49,2.52,2.45,2.52,44787
10-25-1994,2.45,2.45,2.42,2.42,16531
10-26-1994,2.42,2.45,2.39,2.42,101311
10-27-1994,2.42,2.45,2.39,2.42,64764
10-28-1994,2.42,2.49,2.42,2.49,119019
10-31-1994,2.49,2.49,2.45,2.49,47050
11-01-1994,2.45,2.45,2.42,2.42,89634
11-02-1994,2.42,2.45,2.39,2.39,30853
11-03-1994,2.39,2.39,2.36,2.39,51201
11-04-1994,2.39,2.42,2.39,2.39,29718
11-07-1994,2.42,2.42,2.36,2.36,41392
11-08-1994,2.39,2.39,2.32,2.36,36121
11-09-1994,2.45,2.49,2.42,2.42,106207
11-10-1994,2.45,2.45,2.42,2.45,68165
11-11-1994,2.42,2.59,2.42,2.52,415564
11-14-1994,2.52,2.52,2.49,2.49,92636
11-15-1994,2.52,2.52,2.45,2.52,46298
11-16-1994,2.49,2.52,2.45,2.52,65896
11-17-1994,2.45,2.49,2.42,2.45,68910
11-18-1994,2.45,2.49,2.45,2.49,86609
11-21-1994,2.49,2.49,2.42,2.45,37260
11-22-1994,2.42,2.45,2.42,2.42,65521
11-23-1994,2.39,2.42,2.32,2.42,61376
11-25-1994,2.39,2.45,2.39,2.42,13891
11-28-1994,2.39,2.42,2.39,2.39,65896
11-29-1994,2.39,2.42,2.39,2.39,64764
11-30-1994,2.42,2.42,2.39,2.39,36121
12-01-1994,2.39,2.42,2.36,2.39,31233
12-02-1994,2.39,2.39,2.32,2.36,67402
12-05-1994,2.39,2.39,2.32,2.36,103569
12-06-1994,2.32,2.36,2.29,2.29,202670
12-07-1994,2.29,2.29,2.26,2.26,84355
12-08-1994,2.26,2.26,2.19,2.19,165746
12-09-1994,2.16,2.19,2.12,2.16,194381
12-12-1994,2.16,2.22,2.16,2.19,97550
12-13-1994,2.19,2.22,2.19,2.19,148409
12-14-1994,2.19,2.26,2.19,2.22,113743
12-15-1994,2.26,2.26,2.19,2.26,91519
12-16-1994,2.26,2.26,2.19,2.19,44039
12-19-1994,2.19,2.26,2.19,2.26,175542
12-20-1994,2.22,2.26,2.19,2.22,290455
12-21-1994,2.22,2.26,2.19,2.26,116758
12-22-1994,2.19,2.26,2.19,2.26,198528
12-23-1994,2.19,2.26,2.19,2.22,114497
12-27-1994,2.26,2.29,2.26,2.26,340208
12-28-1994,2.29,2.32,2.26,2.29,196261
12-29-1994,2.32,2.36,2.29,2.32,174406
12-30-1994,2.32,2.39,2.32,2.39,281412
01-03-1995,2.36,2.36,2.32,2.32,56092
01-04-1995,2.32,2.36,2.32,2.32,50826
01-05-1995,2.32,2.36,2.32,2.36,15020
01-06-1995,2.32,2.36,2.32,2.32,56475
01-09-1995,2.36,2.36,2.32,2.36,51572
01-10-1995,2.36,2.42,2.36,2.42,94152
01-11-1995,2.39,2.42,2.39,2.39,86235
01-12-1995,2.39,2.42,2.39,2.42,41392
01-13-1995,2.39,2.42,2.39,2.42,27076
01-16-1995,2.42,2.45,2.42,2.42,44419
01-17-1995,2.45,2.45,2.39,2.42,57606
01-18-1995,2.39,2.42,2.39,2.42,34235
01-19-1995,2.39,2.42,2.39,2.39,51572
01-20-1995,2.36,2.42,2.32,2.42,45163
01-23-1995,2.36,2.39,2.36,2.39,53460
01-24-1995,2.36,2.39,2.36,2.36,21059
01-25-1995,2.32,2.36,2.29,2.36,75314
01-26-1995,2.32,2.39,2.32,2.39,67024
01-27-1995,2.42,2.45,2.39,2.45,134853
01-30-1995,2.45,2.49,2.45,2.45,48934
01-31-1995,2.49,2.49,2.45,2.49,21059
02-01-1995,2.52,2.52,2.49,2.49,23302
02-02-1995,2.49,2.55,2.49,2.52,27462
02-03-1995,2.52,2.69,2.52,2.59,103195
02-06-1995,2.59,2.65,2.55,2.55,30853
02-07-1995,2.62,2.65,2.59,2.59,39895
02-08-1995,2.62,2.72,2.62,2.69,91135
02-09-1995,2.72,2.72,2.59,2.62,58733
02-10-1995,2.59,2.62,2.52,2.62,20302
02-13-1995,2.59,2.65,2.59,2.65,72290
02-14-1995,2.62,2.62,2.59,2.62,58351
02-15-1995,2.59,2.62,2.55,2.62,18039
02-16-1995,2.59,2.59,2.59,2.59,6731
02-17-1995,2.55,2.59,2.55,2.59,42908
02-21-1995,2.55,2.59,2.52,2.55,48560
02-22-1995,2.55,2.59,2.55,2.59,19543
02-23-1995,2.55,2.55,2.49,2.52,108471
02-24-1995,2.52,2.55,2.49,2.49,106970
02-27-1995,2.49,2.49,2.39,2.42,296122
02-28-1995,2.45,2.45,2.42,2.45,108850
03-01-1995,2.45,2.45,2.42,2.45,38385
03-02-1995,2.45,2.45,2.42,2.45,70039
03-03-1995,2.42,2.45,2.42,2.45,80581
03-06-1995,2.42,2.49,2.42,2.45,73801
03-07-1995,2.49,2.49,2.45,2.49,39134
03-08-1995,2.49,2.52,2.45,2.45,139000
03-09-1995,2.45,2.49,2.45,2.45,38763
03-10-1995,2.49,2.49,2.45,2.45,57982
03-13-1995,2.45,2.49,2.45,2.45,72290
03-14-1995,2.45,2.49,2.45,2.45,46670
03-15-1995,2.45,2.49,2.45,2.45,21429
03-16-1995,2.45,2.49,2.45,2.49,53834
03-17-1995,2.45,2.49,2.45,2.45,48934
03-20-1995,2.45,2.52,2.45,2.49,77949
03-21-1995,2.49,2.55,2.49,2.52,97170
03-22-1995,2.52,2.55,2.52,2.52,44419
03-23-1995,2.55,2.55,2.49,2.49,32355
03-24-1995,2.52,2.55,2.52,2.52,31607
03-27-1995,2.55,2.55,2.52,2.52,92636
03-28-1995,2.52,2.55,2.52,2.55,31979
03-29-1995,2.52,2.55,2.52,2.55,45163
03-30-1995,2.55,2.59,2.55,2.55,79089
03-31-1995,2.52,2.55,2.52,2.55,13891
04-03-1995,2.52,2.55,2.52,2.55,36876
04-04-1995,2.55,2.55,2.52,2.55,17287
04-05-1995,2.55,2.59,2.55,2.55,33118
04-06-1995,2.55,2.59,2.55,2.55,140874
04-07-1995,2.55,2.59,2.55,2.55,72677
04-10-1995,2.52,2.55,2.52,2.52,24816
04-11-1995,2.55,2.55,2.52,2.52,32737
04-12-1995,2.52,2.55,2.49,2.52,33118
04-13-1995,2.49,2.55,2.45,2.45,134466
04-17-1995,2.45,2.49,2.45,2.45,232814
04-18-1995,2.49,2.52,2.49,2.49,57606
04-19-1995,2.49,2.52,2.49,2.52,43665
04-20-1995,2.49,2.55,2.49,2.55,53834
04-21-1995,2.55,2.55,2.49,2.49,126177
04-24-1995,2.52,2.55,2.49,2.52,68521
04-25-1995,2.52,2.52,2.49,2.49,34994
04-26-1995,2.55,2.59,2.52,2.59,77197
04-27-1995,2.65,2.69,2.65,2.69,425367
04-28-1995,2.69,2.69,2.65,2.65,88882
05-01-1995,2.69,2.69,2.65,2.65,30098
05-02-1995,2.62,2.62,2.52,2.55,73048
05-03-1995,2.55,2.62,2.55,2.62,34994
05-04-1995,2.62,2.62,2.55,2.59,65896
05-05-1995,2.62,2.62,2.55,2.62,30853
05-08-1995,2.62,2.62,2.55,2.62,14271
05-09-1995,2.62,2.62,2.55,2.59,21059
05-10-1995,2.55,2.65,2.55,2.65,45547
05-11-1995,2.62,2.65,2.59,2.59,66268
05-12-1995,2.62,2.62,2.55,2.55,21429
05-15-1995,2.55,2.59,2.55,2.59,43665
05-16-1995,2.55,2.59,2.55,2.55,30853
05-17-1995,2.55,2.55,2.55,2.55,16156
05-18-1995,2.55,2.55,2.52,2.52,16903
05-19-1995,2.52,2.55,2.52,2.52,66651
