Date,Open,High,Low,Close,Volume
09-25-2007,6.61,6.61,6.61,6.61,0
09-26-2007,6.61,6.78,6.59,6.68,1018251
09-27-2007,6.68,6.81,6.61,6.63,113444
09-28-2007,6.64,6.77,6.63,6.74,173963
10-01-2007,6.74,6.77,6.61,6.61,99222
10-02-2007,6.62,6.77,6.62,6.64,151575
10-03-2007,6.68,6.68,6.61,6.61,92869
10-04-2007,6.63,6.66,6.63,6.63,26590
10-05-2007,6.64,6.67,6.61,6.61,30836
10-08-2007,6.63,6.67,6.62,6.67,22055
10-09-2007,6.67,6.68,6.62,6.65,43242
10-10-2007,6.66,6.68,6.63,6.68,29014
10-11-2007,6.68,6.77,6.64,6.64,32346
10-12-2007,6.66,6.69,6.63,6.69,13885
10-15-2007,6.69,6.71,6.68,6.71,4811
10-16-2007,6.67,6.77,6.63,6.69,47479
10-17-2007,6.76,6.77,6.66,6.69,33254
10-18-2007,6.72,6.73,6.66,6.69,24475
10-19-2007,6.72,6.72,6.66,6.66,22658
10-22-2007,6.64,6.70,6.61,6.61,30226
10-23-2007,6.62,6.63,6.61,6.61,34463
10-24-2007,6.56,6.64,6.51,6.61,87721
10-25-2007,6.61,6.64,6.61,6.61,39310
10-26-2007,6.63,6.63,6.61,6.61,60486
10-29-2007,6.61,6.63,6.61,6.63,8745
10-30-2007,6.61,6.67,6.61,6.61,60791
10-31-2007,6.61,6.69,6.61,6.68,36276
11-01-2007,6.66,6.66,6.61,6.61,57156
11-02-2007,6.61,6.61,6.61,6.61,17511
11-05-2007,6.61,6.61,6.61,6.61,5116
11-06-2007,6.61,6.61,6.61,6.61,24785
11-07-2007,6.49,6.61,6.44,6.44,91659
11-08-2007,6.44,6.48,6.44,6.45,71385
11-09-2007,6.45,6.48,6.44,6.44,53533
11-12-2007,6.49,6.56,6.47,6.56,37794
11-13-2007,6.56,6.60,6.28,6.53,229947
11-14-2007,6.51,6.59,6.43,6.53,79248
11-15-2007,6.59,6.73,6.43,6.65,44025
11-16-2007,6.68,6.70,6.63,6.63,20667
11-19-2007,6.59,6.59,6.26,6.26,75676
11-20-2007,6.27,6.29,4.74,5.48,457740
11-21-2007,5.48,5.48,5.26,5.40,269366
11-23-2007,5.47,5.57,5.45,5.57,45215
11-26-2007,5.55,5.74,5.44,5.61,139249
11-27-2007,5.48,5.78,5.38,5.78,225602
11-28-2007,5.70,5.88,5.60,5.87,166166
11-29-2007,5.58,5.90,5.58,5.88,125053
11-30-2007,5.91,6.18,5.44,6.13,117966
12-03-2007,6.04,6.04,5.76,5.92,180951
12-04-2007,5.87,6.08,5.85,5.90,130966
12-05-2007,6.09,6.09,5.92,6.05,103467
12-06-2007,5.99,6.09,5.89,5.97,207859
12-07-2007,5.85,6.05,5.85,5.95,158769
12-10-2007,5.88,6.09,5.83,6.04,188634
12-11-2007,5.95,6.01,5.88,5.90,185672
12-12-2007,5.88,6.00,5.88,5.93,188045
12-13-2007,5.85,6.03,5.85,5.95,167051
12-14-2007,5.89,5.96,5.87,5.96,68869
12-17-2007,5.93,5.99,5.85,5.92,226778
12-18-2007,5.92,6.05,5.90,5.96,39886
12-19-2007,5.92,6.19,5.92,5.92,146942
12-20-2007,5.92,6.00,5.41,5.77,168820
12-21-2007,5.70,5.75,5.44,5.54,331165
12-24-2007,5.54,5.66,5.53,5.61,116478
12-26-2007,5.62,5.68,5.45,5.53,361352
12-27-2007,5.48,5.54,5.43,5.52,193069
12-28-2007,5.46,5.61,5.45,5.58,248761
12-31-2007,5.53,5.60,5.50,5.56,270550
01-02-2008,5.53,5.66,5.51,5.66,202385
01-03-2008,5.69,5.85,5.69,5.85,125031
01-04-2008,5.83,5.91,5.76,5.77,65024
01-07-2008,5.78,5.88,5.67,5.77,72064
01-08-2008,5.82,5.93,5.62,5.72,96072
01-09-2008,5.73,5.74,5.66,5.72,32199
01-10-2008,5.68,5.82,5.66,5.82,68277
01-11-2008,5.78,6.34,5.78,6.04,56748
01-14-2008,6.02,6.40,5.95,6.04,62360
01-15-2008,5.99,6.14,5.89,6.04,94302
01-16-2008,5.97,6.12,5.84,6.06,67569
01-17-2008,6.02,6.12,5.66,5.72,131856
01-18-2008,5.76,5.95,5.45,5.53,142947
01-22-2008,5.24,5.37,5.18,5.29,170595
01-23-2008,5.25,5.41,5.14,5.41,118996
01-24-2008,5.50,5.60,5.38,5.58,110851
01-25-2008,5.56,5.75,5.44,5.50,70940
01-28-2008,5.51,5.69,5.43,5.64,65616
01-29-2008,5.61,5.82,5.61,5.80,62661
01-30-2008,5.77,5.87,5.75,5.87,49645
01-31-2008,5.76,5.80,5.72,5.79,52016
02-01-2008,5.78,5.78,5.65,5.74,63250
02-04-2008,5.75,5.75,5.62,5.70,48167
02-05-2008,5.66,5.68,5.21,5.62,94302
02-06-2008,5.70,5.78,5.68,5.68,64131
02-07-2008,5.67,5.77,5.65,5.68,67684
02-08-2008,5.65,5.69,5.59,5.63,159064
02-11-2008,5.65,5.82,5.58,5.80,92225
02-12-2008,5.94,5.94,5.81,5.87,41434
02-13-2008,5.88,5.90,5.79,5.84,72124
02-14-2008,5.82,5.86,5.68,5.69,80666
02-15-2008,5.67,5.67,5.55,5.62,91640
02-19-2008,5.67,5.72,5.51,5.53,88551
02-20-2008,5.48,5.52,5.38,5.41,89866
02-21-2008,5.38,5.44,5.36,5.41,46396
02-22-2008,5.41,5.42,5.32,5.41,89280
02-25-2008,5.44,5.45,5.33,5.39,112902
02-26-2008,5.38,5.49,5.38,5.49,113517
02-27-2008,5.44,5.55,5.43,5.50,91046
02-28-2008,5.47,5.50,5.44,5.47,52710
02-29-2008,5.44,5.46,5.26,5.28,225602
03-03-2008,5.29,5.32,5.24,5.29,46396
03-04-2008,5.29,5.33,5.08,5.08,97332
03-05-2008,5.22,5.28,5.17,5.26,102581
03-06-2008,5.24,5.28,5.23,5.25,46396
03-07-2008,5.21,5.23,5.16,5.22,74233
03-10-2008,5.18,5.27,5.16,5.24,37288
03-11-2008,5.35,5.35,5.19,5.35,77777
03-12-2008,5.38,5.40,5.24,5.29,70161
03-13-2008,5.24,5.28,5.17,5.28,45615
03-14-2008,5.33,5.33,5.07,5.15,93559
03-17-2008,5.07,5.11,4.91,5.03,151058
03-18-2008,5.03,5.19,5.02,5.16,89827
03-19-2008,5.22,5.24,5.09,5.09,64280
03-20-2008,5.10,5.30,5.10,5.21,79569
03-24-2008,5.25,5.37,5.18,5.34,150688
03-25-2008,5.34,5.34,5.21,5.32,72600
03-26-2008,5.24,5.32,5.19,5.20,96146
03-27-2008,5.25,5.29,5.21,5.29,54516
03-28-2008,5.30,5.35,5.26,5.34,33561
