Date,Open,High,Low,Close,Volume
01-03-1994,17.72,17.72,17.51,17.63,135920
01-04-1994,17.67,17.76,17.63,17.67,77564
01-05-1994,17.72,17.76,17.67,17.72,72061
01-06-1994,17.72,17.72,17.55,17.67,184496
01-07-1994,17.72,17.72,17.67,17.67,57093
01-10-1994,17.67,17.88,17.67,17.88,80007
01-11-1994,17.96,18.04,17.84,17.96,99862
01-12-1994,17.92,18.21,17.92,18.17,46401
01-13-1994,18.29,18.45,18.29,18.37,70229
01-14-1994,18.33,18.49,18.33,18.41,175329
01-17-1994,18.41,18.41,18.33,18.41,100780
01-18-1994,18.41,18.49,18.25,18.25,129807
01-19-1994,18.25,18.66,18.08,18.66,71453
01-20-1994,18.66,18.94,18.66,18.86,159440
01-21-1994,18.86,18.98,18.70,18.70,398970
01-24-1994,18.74,18.78,18.62,18.74,53736
01-25-1994,18.74,18.82,18.66,18.74,112084
01-26-1994,18.70,18.86,18.70,18.86,101390
01-27-1994,18.86,18.98,18.82,18.90,82456
01-28-1994,18.98,19.03,18.90,18.98,53118
01-31-1994,19.03,19.19,18.98,19.19,50372
02-01-1994,19.15,19.39,19.15,19.23,103532
02-02-1994,19.23,19.23,19.11,19.15,50987
02-03-1994,19.15,19.15,19.03,19.07,25929
02-04-1994,18.98,19.11,18.90,19.11,53118
02-07-1994,19.03,19.19,19.03,19.19,32039
02-08-1994,19.15,19.23,19.11,19.23,167081
02-09-1994,19.27,19.27,19.03,19.07,105976
02-10-1994,19.11,19.23,19.03,19.15,76344
02-11-1994,19.07,19.31,19.07,19.31,140500
02-14-1994,19.23,19.31,19.07,19.07,211378
02-15-1994,19.07,19.23,18.98,19.19,56787
02-16-1994,19.15,19.19,19.15,19.15,78480
02-17-1994,19.19,19.23,18.86,19.07,56482
02-18-1994,19.03,19.23,19.03,19.11,29289
02-22-1994,19.03,19.03,18.86,18.90,40598
02-23-1994,18.94,18.98,18.86,18.86,64423
02-24-1994,18.90,18.94,18.82,18.90,23178
02-25-1994,18.86,18.90,18.74,18.74,25314
02-28-1994,18.74,18.86,18.74,18.82,44871
03-01-1994,18.66,18.78,18.53,18.78,63203
03-02-1994,18.74,18.90,18.74,18.86,29599
03-03-1994,18.90,18.90,18.57,18.62,76644
03-04-1994,18.62,18.66,18.53,18.57,60145
03-07-1994,18.62,18.94,18.62,18.74,69928
03-08-1994,18.57,18.78,18.57,18.78,87950
03-09-1994,18.82,18.94,18.78,18.86,68092
03-10-1994,18.86,18.90,18.82,18.82,167693
03-11-1994,18.98,19.15,18.98,19.03,71453
03-14-1994,19.11,19.47,19.07,19.47,105976
03-15-1994,19.47,19.60,19.47,19.47,71149
03-16-1994,19.56,19.56,19.47,19.52,70534
