Date,Open,High,Low,Close,Volume
02-12-2014,11.00,11.00,11.00,11.00,0
02-13-2014,12.30,12.94,12.27,12.80,3809584
02-14-2014,12.76,13.20,12.65,13.00,349850
02-18-2014,12.91,13.20,12.56,12.68,273528
02-19-2014,12.55,12.60,12.06,12.25,266299
02-20-2014,12.39,12.88,12.21,12.78,70072
02-21-2014,12.74,13.24,12.70,13.12,107269
02-24-2014,13.20,13.50,12.82,13.16,114166
02-25-2014,13.28,13.45,13.10,13.29,66000
02-26-2014,13.26,13.80,13.26,13.79,80437
02-27-2014,13.80,14.65,13.80,14.50,229097
02-28-2014,14.31,14.92,14.15,14.90,65242
03-03-2014,14.89,14.90,14.22,14.61,53054
03-04-2014,14.85,14.85,14.31,14.47,44962
03-05-2014,14.54,15.47,14.50,14.99,125671
03-06-2014,15.27,15.47,14.90,15.00,69100
03-07-2014,15.05,15.05,14.50,14.78,39868
03-10-2014,14.53,14.65,13.40,14.37,142171
03-11-2014,14.49,15.00,14.49,14.89,54766
03-12-2014,14.94,15.00,14.56,14.58,48096
03-13-2014,14.59,15.09,14.21,14.53,52495
03-14-2014,14.49,14.69,13.71,14.16,54020
03-17-2014,14.10,14.20,13.75,13.81,107084
03-18-2014,13.80,14.09,13.80,13.95,73278
03-19-2014,14.10,14.20,13.94,13.94,92392
03-20-2014,14.00,14.19,13.95,13.98,40993
03-21-2014,13.94,13.98,13.16,13.50,132581
03-24-2014,13.60,14.24,13.50,13.59,107429
03-25-2014,13.75,14.41,13.30,13.49,120453
03-26-2014,14.28,14.30,12.55,12.86,193643
03-27-2014,12.80,13.12,12.70,12.71,127004
03-28-2014,12.83,13.45,12.03,13.11,166436
03-31-2014,13.19,14.33,13.09,13.95,796186
04-01-2014,13.95,14.32,13.85,14.18,86789
04-02-2014,14.17,14.22,13.85,13.90,55047
04-03-2014,13.88,14.64,13.87,14.48,111315
04-04-2014,14.50,14.50,13.65,13.70,417907
04-07-2014,13.65,13.74,12.93,13.00,55774
04-08-2014,13.02,13.30,12.90,12.94,112705
04-09-2014,13.01,13.38,13.01,13.24,174005
04-10-2014,13.20,13.44,13.20,13.27,166973
04-11-2014,13.15,13.34,13.15,13.25,92260
04-14-2014,13.38,13.39,13.17,13.26,24450
04-15-2014,13.38,13.49,12.99,13.02,61898
04-16-2014,13.18,13.18,12.89,13.11,51197
04-17-2014,13.11,13.23,12.88,13.05,55948
04-21-2014,13.08,13.77,12.89,13.76,22401
04-22-2014,13.81,14.50,13.79,14.43,28481
04-23-2014,14.45,14.45,14.18,14.31,24426
04-24-2014,14.35,14.71,14.29,14.60,46505
04-25-2014,14.50,14.67,14.30,14.36,58054
04-28-2014,14.41,14.41,13.95,14.01,57172
04-29-2014,14.15,14.15,13.95,14.04,29002
04-30-2014,13.96,14.02,13.81,13.91,28586
05-01-2014,13.92,13.92,13.34,13.65,37341
05-02-2014,13.67,14.04,13.56,13.98,31397
05-05-2014,13.93,14.10,13.84,13.90,34841
05-06-2014,13.90,13.90,13.25,13.30,20326
05-07-2014,13.26,13.35,12.91,13.09,25353
05-08-2014,13.00,13.22,13.00,13.13,24482
05-09-2014,13.06,13.17,13.01,13.10,31717
05-12-2014,13.23,13.25,12.55,12.72,54064
05-13-2014,13.50,14.29,13.17,13.75,235944
05-14-2014,13.70,13.91,13.30,13.31,59397
05-15-2014,13.21,13.23,12.97,13.10,71049
05-16-2014,13.17,13.60,13.17,13.24,53899
05-19-2014,13.22,13.29,13.08,13.23,100421
05-20-2014,13.21,13.56,13.14,13.44,91908
05-21-2014,13.48,13.91,13.37,13.86,31806
05-22-2014,13.86,14.06,13.82,13.94,82706
05-23-2014,13.95,14.08,13.52,13.65,104484
05-27-2014,13.80,13.88,13.62,13.68,61322
05-28-2014,13.72,13.72,13.52,13.54,16132
05-29-2014,13.63,13.65,13.54,13.58,12619
05-30-2014,13.50,13.63,13.50,13.56,28821
06-02-2014,13.68,13.70,13.35,13.50,116924
06-03-2014,13.38,13.60,13.30,13.48,39086
06-04-2014,13.48,13.68,13.38,13.56,31540
06-05-2014,13.54,13.79,13.52,13.60,54414
06-06-2014,13.69,13.69,13.10,13.54,34417
06-09-2014,13.47,13.98,13.18,13.48,74360
06-10-2014,12.79,13.12,12.39,13.08,431772
06-11-2014,12.86,13.36,12.74,13.10,435451
06-12-2014,12.45,13.32,12.45,12.95,3131094
06-13-2014,13.04,13.04,12.67,12.73,253520
06-16-2014,12.76,13.04,12.61,12.99,266637
06-17-2014,12.91,13.02,12.54,12.69,313217
06-18-2014,12.63,13.00,12.57,12.77,171823
06-19-2014,12.77,12.88,12.60,12.65,163602
06-20-2014,12.56,12.79,12.24,12.29,652287
06-23-2014,12.36,12.40,12.00,12.10,277144
06-24-2014,12.04,12.23,11.77,11.95,277385
06-25-2014,11.90,11.99,11.75,11.83,162399
06-26-2014,11.84,12.19,11.82,11.96,142108
06-27-2014,11.86,12.05,11.85,12.05,168062
06-30-2014,12.05,12.38,11.93,12.25,145342
07-01-2014,12.31,12.56,12.27,12.40,144218
07-02-2014,12.36,12.59,12.35,12.46,56200
07-03-2014,12.46,12.52,12.36,12.47,44194
07-07-2014,12.43,12.53,12.31,12.39,99985
07-08-2014,12.36,12.37,12.22,12.35,97259
07-09-2014,12.35,12.47,12.26,12.40,163775
07-10-2014,12.25,12.32,12.11,12.26,205207
07-11-2014,12.27,12.33,12.00,12.07,112152
07-14-2014,12.21,12.35,12.04,12.30,158932
07-15-2014,12.33,12.34,11.98,12.08,191000
07-16-2014,12.15,12.33,12.06,12.25,70286
07-17-2014,12.13,12.26,12.04,12.18,137539
07-18-2014,12.14,12.22,12.01,12.20,84920
07-21-2014,12.17,12.23,12.02,12.14,83687
07-22-2014,12.24,12.32,12.04,12.14,50209
07-23-2014,12.13,12.22,11.97,12.14,57225
07-24-2014,12.16,12.30,12.01,12.14,72443
07-25-2014,12.06,12.12,11.84,11.94,66148
07-28-2014,11.90,11.91,11.65,11.75,189320
07-29-2014,11.72,11.72,11.35,11.48,420147
07-30-2014,11.58,11.76,11.40,11.51,88775
07-31-2014,11.41,11.41,10.82,11.08,140699
08-01-2014,11.09,11.19,11.04,11.10,110690
08-04-2014,11.18,11.19,10.95,11.14,49909
08-05-2014,11.12,11.56,11.12,11.54,103388
08-06-2014,11.49,11.64,11.21,11.27,196211
08-07-2014,11.42,11.95,11.20,11.49,139805
08-08-2014,11.53,11.69,11.47,11.60,53875
08-11-2014,11.62,11.99,11.55,11.75,135380
08-12-2014,11.90,11.90,11.53,11.68,391448
08-13-2014,11.69,12.07,11.63,11.69,269557
08-14-2014,11.70,12.02,11.67,11.78,280071
08-15-2014,11.87,12.01,11.76,11.94,104967
08-18-2014,12.00,12.60,12.00,12.60,119673
08-19-2014,12.64,13.09,12.58,12.75,311092
08-20-2014,12.73,12.93,12.67,12.73,270865
08-21-2014,12.71,13.01,12.59,13.01,160441
08-22-2014,13.03,13.23,12.92,13.23,174839
08-25-2014,13.25,13.56,13.22,13.25,101683
08-26-2014,13.37,13.37,13.12,13.16,41336
08-27-2014,13.27,13.70,13.11,13.57,88439
08-28-2014,13.48,13.63,13.36,13.46,52910
08-29-2014,13.46,13.55,13.32,13.37,68537
09-02-2014,13.46,13.81,13.33,13.77,196261
09-03-2014,13.82,14.05,13.77,14.04,128958
09-04-2014,14.11,14.22,13.98,14.05,146121
09-05-2014,14.05,14.15,13.90,14.00,69201
09-08-2014,14.05,14.12,13.94,14.05,51727
09-09-2014,14.03,14.08,13.83,14.00,61600
09-10-2014,14.07,14.36,13.98,14.13,126793
09-11-2014,13.99,14.58,13.93,14.49,88056
09-12-2014,14.54,14.63,14.30,14.56,102502
09-15-2014,14.56,14.56,14.06,14.22,85038
09-16-2014,14.15,14.23,13.91,14.02,75471
09-17-2014,14.01,14.36,13.88,14.24,124677
09-18-2014,14.25,14.37,14.05,14.35,36723
09-19-2014,14.43,14.55,14.30,14.46,97616
09-22-2014,14.45,14.45,13.62,13.77,77365
09-23-2014,13.73,13.95,13.64,13.75,173076
09-24-2014,13.80,13.96,13.77,13.92,35038
09-25-2014,13.90,13.93,13.75,13.79,47523
09-26-2014,13.87,14.49,13.87,14.31,44457
09-29-2014,14.26,14.39,14.26,14.32,43082
09-30-2014,14.35,14.49,13.93,14.05,161682
10-01-2014,13.85,14.11,13.77,14.04,151745
10-02-2014,14.02,14.42,13.97,14.10,110139
10-03-2014,14.10,14.40,14.02,14.13,56235
10-06-2014,14.20,14.46,14.16,14.43,28591
10-07-2014,14.30,14.55,14.12,14.17,184787
10-08-2014,14.12,14.44,14.02,14.28,136914
10-09-2014,14.23,14.41,14.01,14.02,172139
10-10-2014,13.95,14.17,13.89,14.03,72668
10-13-2014,13.96,14.18,13.96,14.03,72746
10-14-2014,14.10,14.25,14.04,14.18,130915
10-15-2014,14.06,14.50,14.01,14.46,248057
10-16-2014,14.27,14.47,14.27,14.33,75100
10-17-2014,14.40,14.53,14.14,14.17,45751
10-20-2014,14.17,14.38,14.17,14.24,165778
10-21-2014,14.38,14.47,14.28,14.40,396724
10-22-2014,14.50,14.94,14.47,14.75,176481
10-23-2014,14.98,16.15,14.98,15.74,451975
10-24-2014,15.69,15.76,14.86,15.09,106559
10-27-2014,15.10,15.10,14.61,14.89,43984
10-28-2014,14.79,15.04,14.64,14.88,85883
10-29-2014,14.88,14.88,14.39,14.46,85737
10-30-2014,14.45,14.57,14.07,14.24,96259
10-31-2014,14.43,14.79,14.34,14.51,72944
11-03-2014,14.57,14.91,14.39,14.63,60138
11-04-2014,14.55,15.23,14.55,14.86,116935
11-05-2014,14.99,15.13,14.89,15.11,52449
