Date,Open,High,Low,Close,Volume
01-02-1990,7.89,7.89,7.83,7.84,0
01-03-1990,7.84,7.90,7.81,7.84,0
01-04-1990,7.86,7.90,7.84,7.89,0
01-05-1990,7.89,7.98,7.77,7.82,0
01-08-1990,7.74,7.77,7.74,7.77,0
01-09-1990,7.74,7.74,7.58,7.61,0
01-10-1990,7.55,7.61,7.51,7.61,0
01-11-1990,7.64,7.73,7.64,7.72,0
01-12-1990,7.66,7.66,7.47,7.48,0
01-15-1990,7.47,7.50,7.34,7.35,0
01-16-1990,7.32,7.38,7.26,7.38,0
01-17-1990,7.41,7.60,7.38,7.48,0
01-18-1990,7.48,7.57,7.35,7.43,0
01-19-1990,7.47,7.63,7.45,7.57,0
01-22-1990,7.54,7.57,7.35,7.35,0
01-23-1990,7.35,7.38,7.20,7.29,0
01-24-1990,7.20,7.20,6.94,7.05,0
01-25-1990,7.09,7.11,6.90,6.90,0
01-26-1990,6.92,7.10,6.89,7.05,0
01-29-1990,7.04,7.09,7.00,7.03,0
01-30-1990,7.00,7.07,6.98,7.03,0
01-31-1990,7.06,7.06,7.00,7.02,0
02-01-1990,7.00,7.00,6.87,6.90,0
02-02-1990,6.89,6.98,6.88,6.98,0
02-05-1990,7.00,7.03,6.97,7.00,0
02-06-1990,6.97,6.97,6.86,6.90,0
02-07-1990,6.87,6.92,6.81,6.84,0
02-08-1990,6.81,6.83,6.62,6.71,0
02-09-1990,6.73,6.85,6.68,6.76,0
02-12-1990,6.76,6.84,6.75,6.76,0
02-13-1990,6.76,6.77,6.68,6.76,0
02-14-1990,6.73,6.76,6.70,6.72,0
02-15-1990,6.74,6.75,6.72,6.74,0
02-16-1990,6.72,6.74,6.71,6.71,0
02-20-1990,6.70,6.70,6.63,6.65,0
02-21-1990,6.59,6.59,6.48,6.53,0
02-22-1990,6.51,6.55,6.45,6.45,0
02-23-1990,6.39,6.47,6.37,6.47,0
02-26-1990,6.47,6.57,6.44,6.57,0
02-27-1990,6.62,6.74,6.62,6.68,0
02-28-1990,6.62,6.70,6.58,6.64,0
03-01-1990,6.60,6.66,6.59,6.62,0
03-02-1990,6.68,6.68,6.62,6.66,0
03-05-1990,6.67,6.68,6.64,6.64,0
03-06-1990,6.65,6.65,6.53,6.59,0
03-07-1990,6.54,6.65,6.50,6.65,0
03-08-1990,6.68,6.91,6.68,6.88,0
03-09-1990,6.88,6.96,6.81,6.88,0
03-12-1990,6.86,6.91,6.82,6.91,0
03-13-1990,6.91,6.91,6.77,6.78,0
03-14-1990,6.78,6.78,6.65,6.66,0
03-15-1990,6.68,6.86,6.67,6.76,0
03-16-1990,6.81,6.93,6.77,6.93,0
03-19-1990,6.87,6.95,6.84,6.95,0
03-20-1990,7.06,7.08,7.00,7.00,0
03-21-1990,7.01,7.06,6.91,6.91,0
03-22-1990,6.98,7.05,6.98,7.04,0
03-23-1990,7.03,7.14,7.02,7.06,0
03-26-1990,7.09,7.12,7.06,7.06,0
03-27-1990,7.09,7.21,7.06,7.21,0
03-28-1990,7.18,7.23,7.17,7.23,0
03-29-1990,7.18,7.30,7.17,7.27,0
03-30-1990,7.30,7.31,7.22,7.30,0
04-02-1990,7.27,7.36,7.21,7.36,0
04-03-1990,7.36,7.41,7.32,7.36,0
04-04-1990,7.39,7.39,7.27,7.30,0
04-05-1990,7.32,7.35,7.30,7.32,0
04-06-1990,7.32,7.33,7.29,7.29,0
04-09-1990,7.28,7.31,7.18,7.21,0
04-10-1990,7.21,7.27,7.21,7.23,0
04-11-1990,7.24,7.27,7.15,7.15,0
04-12-1990,7.14,7.20,7.13,7.20,0
04-16-1990,7.20,7.23,7.18,7.20,0
04-17-1990,7.21,7.21,7.12,7.18,0
04-18-1990,7.16,7.19,7.06,7.09,0
04-19-1990,7.09,7.09,6.93,6.97,0
04-20-1990,7.02,7.06,6.87,7.02,0
04-23-1990,6.99,6.99,6.80,6.90,0
04-24-1990,6.92,6.96,6.87,6.90,0
04-25-1990,6.96,6.96,6.91,6.93,0
04-26-1990,6.99,7.02,6.93,7.02,0
04-27-1990,7.03,7.09,6.97,6.97,0
04-30-1990,6.94,7.06,6.93,7.02,0
05-01-1990,7.05,7.08,7.00,7.02,0
05-02-1990,7.01,7.02,6.98,6.99,0
05-03-1990,7.02,7.10,7.01,7.04,0
05-04-1990,7.07,7.08,7.01,7.08,0
05-07-1990,7.13,7.23,7.13,7.20,0
05-08-1990,7.21,7.21,7.15,7.21,0
05-09-1990,7.21,7.25,7.19,7.25,0
05-10-1990,7.25,7.45,7.21,7.33,0
05-11-1990,7.50,7.61,7.45,7.57,0
05-14-1990,7.59,7.84,7.59,7.78,0
05-15-1990,7.72,7.78,7.69,7.73,0
05-16-1990,7.71,7.74,7.66,7.71,0
05-17-1990,7.67,7.78,7.67,7.72,0
05-18-1990,7.70,7.76,7.67,7.74,0
05-21-1990,7.72,7.80,7.68,7.71,0
05-22-1990,7.69,7.70,7.60,7.69,0
05-23-1990,7.69,7.76,7.66,7.76,0
05-24-1990,7.76,7.92,7.73,7.92,0
05-25-1990,7.90,7.90,7.81,7.81,0
05-29-1990,7.78,7.90,7.76,7.81,0
05-30-1990,7.82,7.96,7.82,7.94,0
05-31-1990,7.97,8.02,7.96,8.02,0
06-01-1990,8.02,8.03,7.90,7.92,0
06-04-1990,7.91,8.01,7.89,8.00,0
06-05-1990,8.04,8.13,8.04,8.13,0
06-06-1990,8.10,8.27,8.10,8.25,0
06-07-1990,8.25,8.25,8.10,8.17,0
06-08-1990,8.12,8.18,8.00,8.08,0
06-11-1990,8.08,8.23,8.08,8.17,0
06-12-1990,8.12,8.21,8.07,8.21,0
06-13-1990,8.22,8.22,8.12,8.21,0
06-14-1990,8.21,8.22,8.15,8.18,0
06-15-1990,8.13,8.17,8.11,8.17,0
06-18-1990,8.11,8.20,8.05,8.11,0
06-19-1990,8.08,8.17,8.08,8.15,0
06-20-1990,8.31,8.44,8.28,8.44,0
06-21-1990,8.47,8.59,8.43,8.49,0
06-22-1990,8.52,8.53,8.21,8.21,0
06-25-1990,8.22,8.25,8.02,8.03,0
06-26-1990,8.10,8.21,8.09,8.13,0
06-27-1990,8.19,8.37,8.19,8.35,0
06-28-1990,8.27,8.32,8.20,8.29,0
06-29-1990,8.31,8.47,8.28,8.41,0
07-02-1990,8.38,8.55,8.35,8.55,0
07-03-1990,8.57,8.57,8.49,8.51,0
07-05-1990,8.47,8.61,8.38,8.58,0
07-06-1990,8.58,8.79,8.55,8.78,0
07-09-1990,8.74,8.76,8.64,8.71,0
07-10-1990,8.68,8.70,8.62,8.62,0
07-11-1990,8.65,8.76,8.65,8.76,0
07-12-1990,8.76,8.85,8.68,8.85,0
07-13-1990,8.85,8.88,8.80,8.80,0
07-16-1990,8.82,8.82,8.76,8.80,0
07-17-1990,8.74,8.74,8.62,8.74,0
07-18-1990,8.71,8.83,8.65,8.83,0
07-19-1990,8.80,8.86,8.74,8.83,0
07-20-1990,8.87,8.97,8.79,8.82,0
07-23-1990,8.73,8.75,8.55,8.73,0
07-24-1990,8.71,8.86,8.71,8.79,0
07-25-1990,8.80,8.89,8.74,8.88,0
07-26-1990,8.85,8.90,8.82,8.87,0
07-27-1990,8.83,8.92,8.82,8.92,0
07-30-1990,8.85,8.85,8.77,8.85,0
07-31-1990,8.85,9.00,8.84,8.87,0
08-01-1990,8.84,8.87,8.81,8.82,0
08-02-1990,8.79,8.79,8.59,8.65,0
08-03-1990,8.63,8.64,8.29,8.40,0
08-06-1990,8.25,8.25,8.00,8.00,0
08-07-1990,8.08,8.14,7.99,8.12,0
08-08-1990,8.06,8.34,8.06,8.31,0
08-09-1990,8.34,8.34,8.21,8.31,0
08-10-1990,8.32,8.37,8.17,8.17,0
08-13-1990,8.14,8.41,8.11,8.35,0
08-14-1990,8.41,8.41,8.34,8.35,0
08-15-1990,8.38,8.41,8.35,8.35,0
08-16-1990,8.37,8.37,8.25,8.26,0
08-17-1990,8.23,8.23,8.06,8.06,0
08-20-1990,8.06,8.17,8.06,8.15,0
08-21-1990,8.05,8.05,7.84,8.03,0
08-22-1990,7.98,8.02,7.92,7.92,0
08-23-1990,7.80,7.88,7.65,7.74,0
08-24-1990,7.85,7.87,7.56,7.81,0
08-27-1990,7.90,8.00,7.87,7.90,0
08-28-1990,7.85,7.96,7.85,7.94,0
08-29-1990,7.91,8.09,7.91,8.04,0
08-30-1990,8.05,8.09,7.96,7.97,0
08-31-1990,7.97,8.00,7.89,8.00,0
09-04-1990,8.06,8.12,8.00,8.12,0
09-05-1990,8.15,8.28,8.15,8.26,0
09-06-1990,8.30,8.30,8.19,8.22,0
09-07-1990,8.20,8.44,8.20,8.44,0
09-10-1990,8.56,8.56,8.44,8.44,0
09-11-1990,8.45,8.48,8.42,8.47,0
09-12-1990,8.51,8.51,8.44,8.51,0
09-13-1990,8.50,8.50,8.26,8.31,0
09-14-1990,8.30,8.30,8.20,8.20,0
09-17-1990,8.16,8.18,8.13,8.13,0
09-18-1990,8.13,8.13,7.86,8.09,0
09-19-1990,8.05,8.08,7.94,8.06,0
09-20-1990,8.16,8.23,8.05,8.23,0
09-21-1990,8.20,8.20,8.08,8.14,0
09-24-1990,8.09,8.09,7.71,7.71,0
09-25-1990,7.71,7.72,7.58,7.66,0
09-26-1990,7.69,7.77,7.66,7.75,0
09-27-1990,7.82,7.86,7.78,7.82,0
09-28-1990,7.77,7.99,7.71,7.99,0
10-01-1990,8.09,8.32,8.04,8.32,0
10-02-1990,8.34,8.45,8.34,8.37,0
10-03-1990,8.38,8.38,8.18,8.20,0
10-04-1990,8.14,8.36,8.10,8.36,0
10-05-1990,8.33,8.33,8.23,8.28,0
10-08-1990,8.31,8.33,8.26,8.28,0
10-09-1990,8.23,8.23,8.04,8.09,0
10-10-1990,8.09,8.09,7.86,7.95,0
10-11-1990,7.98,7.98,7.76,7.78,0
10-12-1990,7.79,7.89,7.75,7.78,0
10-15-1990,7.84,8.04,7.78,8.04,0
10-16-1990,8.08,8.11,7.98,8.02,0
10-17-1990,8.03,8.06,7.95,7.95,0
10-18-1990,7.98,8.01,7.91,7.95,0
10-19-1990,8.08,8.13,7.95,8.03,0
10-22-1990,8.00,8.26,7.98,8.26,0
10-23-1990,8.26,8.46,8.20,8.28,0
10-24-1990,8.26,8.52,8.23,8.52,0
10-25-1990,8.51,8.54,8.42,8.45,0
10-26-1990,8.45,8.45,8.28,8.28,0
10-29-1990,8.32,8.35,8.14,8.15,0
10-30-1990,8.14,8.33,8.06,8.30,0
10-31-1990,8.33,8.45,8.33,8.39,0
11-01-1990,8.39,8.39,8.30,8.39,0
11-02-1990,8.45,8.54,8.43,8.54,0
11-05-1990,8.54,8.85,8.54,8.80,0
11-06-1990,8.80,8.80,8.63,8.68,0
11-07-1990,8.70,8.74,8.60,8.60,0
11-08-1990,8.62,8.66,8.62,8.63,0
11-09-1990,8.62,8.79,8.62,8.79,0
11-12-1990,8.78,8.95,8.73,8.93,0
11-13-1990,8.91,8.95,8.82,8.93,0
11-14-1990,8.91,9.00,8.88,9.00,0
11-15-1990,8.94,8.94,8.76,8.91,0
11-16-1990,8.88,8.89,8.69,8.72,0
11-19-1990,8.72,8.90,8.72,8.90,0
11-20-1990,8.88,8.88,8.79,8.79,0
11-21-1990,8.87,8.98,8.81,8.98,0
11-23-1990,8.94,9.04,8.94,9.00,0
11-26-1990,8.97,9.11,8.86,9.11,0
11-27-1990,9.08,9.11,8.97,9.00,0
11-28-1990,8.98,9.01,8.91,8.91,0
11-29-1990,8.93,8.98,8.85,8.91,0
11-30-1990,8.90,9.28,8.87,9.28,0
12-03-1990,9.21,9.28,9.21,9.28,0
12-04-1990,9.25,9.28,9.17,9.25,0
12-05-1990,9.24,9.25,9.05,9.16,0
12-06-1990,9.16,9.30,9.13,9.16,0
12-07-1990,9.13,9.19,9.05,9.13,0
12-10-1990,9.13,9.19,9.10,9.11,0
12-11-1990,9.13,9.19,9.10,9.13,0
12-12-1990,9.04,9.25,9.04,9.22,0
12-13-1990,9.23,9.24,9.19,9.19,0
12-14-1990,9.16,9.16,9.03,9.16,0
12-17-1990,9.16,9.16,9.07,9.07,0
12-18-1990,9.04,9.08,8.96,9.00,0
12-19-1990,9.13,9.28,9.12,9.28,0
12-20-1990,9.24,9.37,9.20,9.34,0
12-21-1990,9.32,9.40,9.28,9.40,0
12-24-1990,9.34,9.34,9.21,9.21,0
12-26-1990,9.21,9.21,9.18,9.21,0
12-27-1990,9.22,9.29,9.22,9.24,0
12-28-1990,9.24,9.27,9.24,9.26,0
12-31-1990,9.29,9.40,9.23,9.40,0
01-02-1991,9.40,9.53,9.28,9.28,0
01-03-1991,9.28,9.28,9.06,9.23,0
01-04-1991,9.23,9.27,9.11,9.19,0
01-07-1991,9.16,9.20,9.02,9.02,0
01-08-1991,9.04,9.09,8.93,8.93,0
01-09-1991,8.99,9.07,8.86,8.90,0
01-10-1991,8.90,8.98,8.90,8.93,0
01-11-1991,8.93,8.93,8.71,8.79,0
01-14-1991,8.74,8.77,8.67,8.77,0
01-15-1991,8.77,8.80,8.72,8.80,0
01-16-1991,8.80,9.02,8.77,8.98,0
01-17-1991,9.28,9.41,9.19,9.19,0
01-18-1991,9.18,9.30,9.18,9.30,0
01-21-1991,9.29,9.42,9.24,9.40,0
01-22-1991,9.40,9.40,9.37,9.38,0
01-23-1991,9.36,9.40,9.34,9.40,0
01-24-1991,9.42,9.54,9.42,9.43,0
01-25-1991,9.51,9.64,9.48,9.64,0
01-28-1991,9.64,9.70,9.56,9.66,0
01-29-1991,9.67,9.69,9.53,9.59,0
01-30-1991,9.58,9.75,9.58,9.70,0
01-31-1991,9.69,9.74,9.69,9.72,0
02-01-1991,9.71,9.71,9.56,9.56,0
02-04-1991,9.54,9.83,9.54,9.83,0
02-05-1991,9.84,10.09,9.84,10.09,0
02-06-1991,10.08,10.10,9.91,10.08,0
02-07-1991,10.00,10.19,9.99,10.06,0
02-08-1991,10.07,10.32,10.07,10.32,0
02-11-1991,10.29,10.92,10.29,10.92,0
02-12-1991,10.76,10.89,10.62,10.64,0
02-13-1991,10.69,10.69,10.44,10.66,0
02-14-1991,10.62,10.67,10.45,10.51,0
02-15-1991,10.54,10.63,10.47,10.49,0
02-19-1991,10.46,10.60,10.44,10.55,0
02-20-1991,10.55,10.60,10.38,10.41,0
02-21-1991,10.45,10.48,10.35,10.38,0
02-22-1991,10.38,10.44,10.07,10.13,0
02-25-1991,10.22,10.38,10.20,10.35,0
02-26-1991,10.34,10.34,10.22,10.22,0
02-27-1991,10.21,10.45,10.21,10.45,0
02-28-1991,10.41,10.45,10.34,10.45,0
03-01-1991,10.38,10.46,10.37,10.38,0
03-04-1991,10.41,10.43,10.35,10.43,0
03-05-1991,10.39,10.88,10.39,10.82,0
03-06-1991,10.82,10.95,10.82,10.92,0
03-07-1991,10.92,11.03,10.89,10.98,0
03-08-1991,10.92,10.95,10.73,10.73,0
03-11-1991,10.73,10.76,10.51,10.55,0
03-12-1991,10.57,10.59,10.16,10.38,0
03-13-1991,10.16,10.25,10.16,10.25,0
03-14-1991,10.29,10.41,10.26,10.34,0
03-15-1991,10.32,10.45,10.32,10.38,0
03-18-1991,10.34,10.38,10.29,10.38,0
03-19-1991,10.38,10.38,10.25,10.36,0
03-20-1991,10.43,10.43,10.14,10.20,0
03-21-1991,10.24,10.27,10.19,10.19,0
03-22-1991,10.21,10.21,9.95,10.03,0
03-25-1991,10.06,10.09,10.03,10.03,0
03-26-1991,10.06,10.06,9.94,9.99,0
03-27-1991,10.05,10.22,9.95,9.98,0
03-28-1991,9.99,9.99,9.81,9.86,0
04-01-1991,9.86,9.87,9.63,9.86,0
04-02-1991,9.89,10.08,9.85,10.05,0
04-03-1991,10.24,10.43,10.09,10.11,0
04-04-1991,10.17,10.30,10.15,10.22,0
04-05-1991,10.45,10.45,10.22,10.40,0
04-08-1991,10.39,10.43,10.33,10.41,0
04-09-1991,10.36,10.41,10.22,10.28,0
04-10-1991,10.30,10.38,10.28,10.35,0
04-11-1991,10.35,10.44,10.33,10.43,0
04-12-1991,10.49,10.59,10.40,10.59,0
04-15-1991,10.59,10.91,10.59,10.91,0
04-16-1991,10.88,11.10,10.75,11.09,0
04-17-1991,11.07,11.09,10.84,10.84,0
04-18-1991,10.82,10.95,10.78,10.88,0
04-19-1991,10.89,10.91,10.75,10.84,0
04-22-1991,10.81,10.84,10.59,10.64,0
04-23-1991,10.70,10.70,10.52,10.57,0
04-24-1991,10.58,10.58,10.34,10.34,0
04-25-1991,10.36,10.36,10.14,10.28,0
04-26-1991,10.27,10.36,10.27,10.30,0
04-29-1991,10.40,10.53,10.30,10.32,0
04-30-1991,10.35,10.43,10.27,10.30,0
05-01-1991,10.33,10.40,10.33,10.38,0
05-02-1991,10.46,10.56,10.43,10.51,0
05-03-1991,10.58,10.59,10.48,10.59,0
05-06-1991,10.54,10.57,10.49,10.49,0
05-07-1991,10.56,10.56,10.40,10.40,0
05-08-1991,10.40,10.46,10.35,10.38,0
05-09-1991,10.37,10.42,10.21,10.27,0
05-10-1991,10.27,10.30,10.18,10.19,0
05-13-1991,10.19,10.20,10.01,10.07,0
05-14-1991,10.06,10.06,9.98,10.03,0
05-15-1991,10.00,10.17,9.98,10.17,0
05-16-1991,10.20,10.30,10.19,10.30,0
05-17-1991,10.29,10.38,10.24,10.38,0
