Date,Open,High,Low,Close,Volume
02-11-2015,27.00,27.00,27.00,27.00,0
02-12-2015,33.16,33.75,26.98,27.00,19434632
02-13-2015,26.62,29.10,25.89,29.00,4854996
02-17-2015,28.66,30.63,28.66,30.07,1149445
02-18-2015,30.00,30.62,29.23,29.42,703845
02-19-2015,30.00,30.28,29.66,30.10,559054
02-20-2015,30.39,30.39,29.38,29.84,236792
02-23-2015,29.55,30.62,29.48,30.53,311174
02-24-2015,31.32,31.37,30.04,30.97,231321
02-25-2015,30.51,31.93,30.51,31.75,393142
02-26-2015,31.80,32.17,31.09,31.40,242860
02-27-2015,31.00,31.57,30.90,31.06,170422
03-02-2015,31.55,31.72,30.80,31.01,324935
03-03-2015,31.05,31.41,29.78,30.57,424668
03-04-2015,30.08,30.96,30.06,30.88,110946
03-05-2015,31.49,31.49,30.15,30.64,153801
03-06-2015,29.65,30.70,29.60,30.53,325266
03-09-2015,30.00,30.28,27.13,29.76,1236051
03-10-2015,29.00,29.61,26.45,27.55,1342632
03-11-2015,27.50,27.60,26.74,27.51,861520
03-12-2015,28.17,28.17,27.24,27.60,470658
03-13-2015,27.49,28.25,27.45,27.88,237857
03-16-2015,28.00,29.64,27.63,29.29,519214
03-17-2015,29.25,29.53,28.95,29.06,128375
03-18-2015,29.26,29.34,28.51,29.06,228784
03-19-2015,29.11,30.03,28.83,30.00,205228
03-20-2015,30.02,31.91,29.33,31.91,1548969
03-23-2015,31.47,32.42,30.66,30.80,498805
03-24-2015,30.89,31.73,30.33,31.56,244729
03-25-2015,31.53,32.29,30.03,30.34,432082
03-26-2015,30.50,32.11,29.40,31.70,702530
03-27-2015,31.83,31.89,30.40,30.94,376687
03-30-2015,31.02,31.37,29.54,29.68,682192
03-31-2015,29.48,30.83,28.59,30.21,1838450
04-01-2015,30.06,30.55,28.99,29.01,305065
04-02-2015,29.16,29.55,28.26,28.96,594012
04-06-2015,28.82,29.34,28.28,28.59,809493
04-07-2015,28.70,28.76,26.75,26.99,748836
04-08-2015,27.04,28.27,27.00,27.33,425857
04-09-2015,27.29,27.80,27.25,27.66,244964
04-10-2015,27.68,28.99,27.43,28.46,185276
04-13-2015,28.36,29.33,28.21,28.89,247386
04-14-2015,28.89,28.96,27.90,28.14,180945
04-15-2015,28.15,28.69,27.36,27.67,180408
04-16-2015,27.54,27.70,26.88,26.93,500078
04-17-2015,26.79,26.90,25.25,26.39,575819
04-20-2015,26.62,27.31,26.00,26.23,348228
04-21-2015,26.48,26.49,25.29,25.66,207374
04-22-2015,25.67,25.87,24.56,25.83,417685
04-23-2015,25.85,27.45,25.73,26.99,485880
04-24-2015,26.93,27.25,26.51,26.67,904265
04-27-2015,26.70,26.77,26.33,26.43,284951
04-28-2015,26.39,26.55,26.01,26.26,263084
04-29-2015,26.15,26.46,25.64,25.69,988419
04-30-2015,25.54,25.92,25.15,25.25,512107
05-01-2015,25.25,25.49,25.03,25.14,852382
05-04-2015,25.01,25.93,25.00,25.70,473516
05-05-2015,25.52,25.58,24.85,25.28,466874
05-06-2015,25.62,25.88,24.31,24.67,558910
05-07-2015,24.64,24.79,22.06,23.44,4638520
05-08-2015,23.65,24.32,23.28,24.19,436339
05-11-2015,24.20,24.24,23.53,24.00,734142
05-12-2015,23.90,24.09,22.87,22.90,648172
05-13-2015,22.89,23.00,22.30,22.85,441163
05-14-2015,22.91,23.97,22.74,23.95,1369596
05-15-2015,24.75,25.79,24.70,25.70,875044
05-18-2015,25.74,26.33,25.64,26.10,588878
05-19-2015,26.25,26.58,25.73,26.10,582014
05-20-2015,26.17,26.73,25.82,26.71,196433
05-21-2015,26.72,27.12,26.59,26.89,516907
05-22-2015,26.87,27.67,26.74,27.58,269316
05-26-2015,27.59,28.18,27.30,28.01,317513
05-27-2015,28.05,28.05,27.09,27.64,282505
05-28-2015,27.56,28.02,27.52,27.80,440268
05-29-2015,27.82,28.09,26.30,26.58,1020556
06-01-2015,26.75,27.34,25.90,26.35,356554
06-02-2015,26.27,27.17,26.27,27.17,270886
06-03-2015,27.25,27.90,26.85,27.34,172240
06-04-2015,27.22,27.30,26.48,27.23,153840
06-05-2015,27.45,27.87,26.94,27.80,190010
06-08-2015,27.41,28.00,27.41,27.80,328935
06-09-2015,27.72,27.97,27.48,27.82,372370
06-10-2015,27.88,28.38,27.87,28.05,361157
06-11-2015,28.11,28.42,27.78,28.00,188976
06-12-2015,27.90,28.10,27.31,27.43,156336
06-15-2015,27.10,27.81,26.69,27.70,319130
06-16-2015,27.54,28.04,27.37,27.98,695766
06-17-2015,28.12,28.45,27.65,28.00,362736
06-18-2015,27.99,28.76,27.99,28.66,631174
06-19-2015,28.76,29.00,27.56,27.57,1934162
06-22-2015,27.84,28.51,27.60,28.34,422345
06-23-2015,28.44,28.53,28.08,28.27,311501
06-24-2015,28.18,28.33,27.05,27.44,374690
06-25-2015,27.46,27.74,27.02,27.71,144369
06-26-2015,27.76,28.61,27.37,28.14,970126
06-29-2015,27.65,27.84,26.17,27.20,501200
06-30-2015,27.44,28.03,27.21,27.90,335148
07-01-2015,28.33,28.38,26.29,26.47,413772
07-02-2015,26.40,26.98,25.83,26.05,206854
07-06-2015,25.88,27.09,25.54,27.00,273153
07-07-2015,26.91,27.73,26.14,27.65,248938
07-08-2015,27.35,27.43,26.75,27.29,166004
07-09-2015,27.69,27.69,26.43,26.69,240403
07-10-2015,27.11,27.99,26.75,27.01,264704
07-13-2015,27.16,27.38,26.68,27.00,156624
07-14-2015,26.98,27.09,26.20,26.24,204142
07-15-2015,26.31,26.40,25.91,26.26,180684
07-16-2015,26.43,27.06,25.92,27.01,155653
07-17-2015,27.06,27.22,26.23,26.28,74653
07-20-2015,26.27,26.85,25.93,26.37,201350
07-21-2015,26.51,26.62,26.21,26.50,72089
07-22-2015,26.38,26.56,25.93,26.01,161594
07-23-2015,26.14,26.22,25.64,26.01,253176
07-24-2015,26.05,26.18,25.75,25.81,140570
07-27-2015,25.87,25.87,25.04,25.36,277358
07-28-2015,25.51,25.52,24.52,25.15,288703
07-29-2015,24.96,25.32,24.19,24.87,303089
07-30-2015,24.72,25.05,24.15,24.74,164770
07-31-2015,24.81,24.97,24.08,24.16,345020
08-03-2015,24.11,24.75,23.69,23.73,520162
08-04-2015,23.68,25.30,23.68,25.03,306509
08-05-2015,25.05,26.11,24.97,25.40,364219
08-06-2015,22.50,22.98,17.78,19.53,2241269
08-07-2015,20.48,22.67,20.39,21.56,780439
08-10-2015,21.27,22.54,21.27,21.92,222940
08-11-2015,21.79,22.39,21.40,21.48,389423
08-12-2015,21.36,21.58,20.56,21.31,625106
08-13-2015,21.27,21.58,20.92,21.46,196949
08-14-2015,21.50,21.55,21.25,21.48,492013
08-17-2015,21.38,21.48,20.94,21.26,351999
08-18-2015,22.26,23.00,21.50,21.57,517492
08-19-2015,21.46,21.60,21.07,21.46,364330
08-20-2015,21.25,21.30,21.00,21.21,416419
08-21-2015,21.00,21.28,20.57,20.95,625295
08-24-2015,19.70,21.03,18.51,20.61,341983
08-25-2015,21.11,21.55,20.63,20.98,561103
08-26-2015,21.44,21.44,19.98,20.91,593885
08-27-2015,21.02,21.36,20.49,21.19,1015745
08-28-2015,21.28,22.24,21.10,21.73,1112161
08-31-2015,21.61,22.05,21.13,21.89,392895
09-01-2015,21.52,21.81,21.39,21.76,521947
09-02-2015,21.95,22.02,21.40,21.76,480290
09-03-2015,21.70,21.82,21.33,21.43,599124
09-04-2015,21.25,21.31,20.68,20.93,535535
09-08-2015,21.23,21.57,20.92,21.46,343712
09-09-2015,21.60,21.73,21.10,21.12,191977
09-10-2015,21.10,21.45,20.92,21.19,339491
09-11-2015,21.10,21.71,21.06,21.69,160657
09-14-2015,21.58,22.02,21.50,21.91,282297
09-15-2015,21.95,22.27,21.84,22.15,265282
09-16-2015,22.17,22.52,21.52,21.90,290363
09-17-2015,21.83,23.07,21.77,22.80,463711
09-18-2015,22.48,22.72,21.84,22.21,548022
09-21-2015,22.32,23.03,22.13,22.31,340340
09-22-2015,22.09,22.29,21.52,22.18,194809
09-23-2015,22.11,22.14,21.53,21.81,1180173
09-24-2015,21.69,21.69,21.20,21.51,178026
09-25-2015,21.71,21.86,20.82,20.99,600583
09-28-2015,20.96,21.10,19.84,20.31,455500
09-29-2015,20.35,20.81,20.10,20.53,401200
09-30-2015,20.71,20.91,20.37,20.83,895483
10-01-2015,20.93,20.93,20.16,20.36,240375
10-02-2015,20.15,20.77,19.86,20.63,513828
10-05-2015,20.89,21.45,20.35,20.92,558372
10-06-2015,20.86,21.19,20.17,20.59,215949
10-07-2015,20.69,21.59,20.60,21.56,433242
10-08-2015,21.48,21.52,20.80,21.27,337605
10-09-2015,21.21,22.42,21.21,22.38,227378
10-12-2015,22.22,22.36,21.79,22.26,169943
10-13-2015,22.11,22.50,21.43,21.80,288804
10-14-2015,21.90,22.34,21.67,22.00,514103
10-15-2015,22.14,22.53,22.00,22.34,347288
10-16-2015,22.26,22.73,22.03,22.27,362369
10-19-2015,22.36,22.89,22.10,22.77,408827
10-20-2015,22.77,23.37,22.50,23.23,315117
10-21-2015,23.30,23.38,22.93,23.08,236472
10-22-2015,23.12,23.66,22.84,23.00,278855
10-23-2015,23.19,23.37,22.96,23.05,190348
10-26-2015,23.00,23.29,23.00,23.20,218378
10-27-2015,23.09,23.09,22.49,22.60,335415
10-28-2015,22.25,23.37,22.15,23.05,191438
10-29-2015,23.05,23.18,22.91,23.07,145483
10-30-2015,23.03,23.20,22.16,23.05,117182
11-02-2015,23.53,23.87,22.99,23.38,299865
11-03-2015,23.40,23.62,22.99,23.53,322226
11-04-2015,23.47,23.75,23.10,23.19,555845
11-05-2015,21.95,21.95,17.88,19.09,1397370
11-06-2015,19.10,20.23,18.95,19.86,744435
11-09-2015,19.90,20.14,19.65,19.79,801949
11-10-2015,19.72,19.94,18.80,19.10,510763
11-11-2015,19.20,19.23,18.57,18.74,391794
11-12-2015,18.71,18.71,17.36,17.55,446449
11-13-2015,17.57,18.23,17.33,17.83,340502
11-16-2015,17.74,17.94,16.80,16.82,439851
11-17-2015,16.82,17.39,16.51,17.18,420775
11-18-2015,17.39,17.44,16.75,17.32,422436
11-19-2015,17.26,17.94,17.07,17.51,1090509
11-20-2015,17.51,18.13,17.00,17.85,807936
11-23-2015,17.67,18.31,17.55,18.11,555141
11-24-2015,18.04,18.04,17.65,17.89,631241
11-25-2015,17.82,18.69,17.82,18.26,628073
11-27-2015,18.34,18.91,18.34,18.58,200667
11-30-2015,18.45,18.66,18.22,18.56,496295
12-01-2015,18.68,18.72,18.45,18.69,308280
12-02-2015,18.60,18.63,18.16,18.26,443582
12-03-2015,18.25,19.00,18.16,18.76,396556
12-04-2015,18.81,18.89,18.32,18.76,266869
12-07-2015,18.81,19.39,18.66,19.19,417581
12-08-2015,19.40,19.69,18.00,19.59,482920
12-09-2015,19.51,20.09,19.43,19.94,798022
12-10-2015,19.91,20.63,19.89,20.31,510847
