Date,Open,High,Low,Close,Volume
11-10-2010,12.00,12.00,12.00,12.00,0
11-11-2010,15.00,16.20,14.73,15.30,5252322
11-12-2010,15.45,16.00,15.35,15.63,439804
11-15-2010,15.80,16.12,15.40,15.84,238035
11-16-2010,15.68,16.44,15.55,15.90,316510
11-17-2010,16.25,16.25,15.90,16.00,274505
11-18-2010,16.32,16.58,16.01,16.20,282771
11-19-2010,16.28,16.28,15.15,15.18,133658
11-22-2010,15.06,15.37,14.80,15.13,151022
11-23-2010,15.00,15.25,14.85,15.12,78703
11-24-2010,15.42,16.06,15.20,15.65,50904
11-26-2010,15.35,15.50,15.27,15.48,20623
11-29-2010,15.42,15.79,15.42,15.57,74551
11-30-2010,15.52,16.00,15.50,15.90,110260
12-01-2010,15.92,16.08,15.79,15.95,154165
12-02-2010,16.03,16.03,15.54,15.85,93952
12-03-2010,15.57,16.47,15.57,16.20,137765
12-06-2010,16.09,16.96,16.09,16.77,212223
12-07-2010,16.93,18.36,16.85,17.83,255355
12-08-2010,18.18,18.48,17.95,18.28,195320
12-09-2010,18.84,19.83,18.45,19.21,342496
12-10-2010,19.21,19.78,18.57,19.48,87149
12-13-2010,19.40,19.65,19.04,19.61,84734
12-14-2010,19.56,19.56,18.48,18.77,142143
12-15-2010,18.57,18.89,17.49,18.39,96662
12-16-2010,18.42,18.73,17.95,18.26,51070
12-17-2010,18.25,18.56,17.52,18.37,626654
12-20-2010,18.47,18.53,17.90,18.33,95285
12-21-2010,19.00,19.77,18.36,19.76,342167
12-22-2010,19.61,20.19,19.27,19.90,240274
12-23-2010,20.04,20.04,19.37,20.01,76025
12-27-2010,19.88,20.48,19.70,20.39,67435
12-28-2010,20.36,20.94,19.89,20.41,247896
12-29-2010,20.54,20.67,20.40,20.56,113584
12-30-2010,20.56,20.78,20.17,20.20,53487
12-31-2010,20.21,20.60,19.99,20.09,126606
01-03-2011,20.28,21.47,20.20,21.23,151230
01-04-2011,21.32,21.52,19.25,20.74,153094
01-05-2011,20.88,21.75,20.39,21.68,103204
01-06-2011,21.45,21.94,21.45,21.60,44452
01-07-2011,21.58,21.60,20.51,20.63,53794
01-10-2011,20.61,20.98,20.11,20.61,127497
01-11-2011,20.80,20.80,20.19,20.44,204140
01-12-2011,20.60,20.84,20.05,20.44,164043
01-13-2011,20.57,20.78,20.05,20.22,133831
01-14-2011,20.12,20.25,19.90,20.08,179100
01-18-2011,20.10,20.16,19.55,20.05,185250
01-19-2011,20.08,20.50,19.10,19.50,124589
01-20-2011,19.50,19.57,17.84,18.02,152728
01-21-2011,18.07,18.22,17.60,17.99,119697
01-24-2011,18.01,18.42,17.40,17.45,125449
01-25-2011,17.31,17.50,17.16,17.30,45817
01-26-2011,17.26,17.98,16.91,17.85,174704
01-27-2011,17.88,19.28,17.83,18.85,245012
01-28-2011,18.92,19.73,17.85,18.98,161426
01-31-2011,19.01,19.39,18.64,18.93,62506
02-01-2011,19.07,19.58,18.51,19.32,84647
02-02-2011,19.35,19.48,18.96,19.16,87828
02-03-2011,18.90,20.47,18.01,19.59,388912
02-04-2011,19.56,20.60,19.20,20.25,171203
02-07-2011,20.29,21.19,20.14,20.90,159129
02-08-2011,20.85,21.18,20.62,20.90,99108
02-09-2011,20.93,21.20,20.80,21.04,43569
02-10-2011,20.94,21.58,20.47,21.50,59676
02-11-2011,21.39,25.00,21.39,24.32,304951
02-14-2011,24.39,26.35,24.39,25.79,249834
02-15-2011,25.74,25.80,24.71,25.11,147725
02-16-2011,24.93,25.58,24.68,25.31,87971
02-17-2011,24.87,26.67,22.96,26.63,306631
02-18-2011,26.62,27.20,25.92,26.62,111648
02-22-2011,26.31,26.58,23.21,23.38,319786
02-23-2011,23.39,23.66,21.66,23.42,201083
02-24-2011,23.25,23.47,22.64,23.02,68959
02-25-2011,23.21,23.90,22.90,23.56,76211
02-28-2011,23.65,24.00,22.89,23.99,96173
03-01-2011,24.03,24.97,21.97,22.09,135999
03-02-2011,22.11,22.98,21.60,22.85,89724
03-03-2011,23.00,25.52,22.92,25.49,192128
03-04-2011,25.30,26.24,25.22,25.60,165973
03-07-2011,25.35,25.35,24.00,24.53,114364
03-08-2011,24.49,25.10,24.10,24.78,65423
03-09-2011,24.61,24.72,22.51,23.07,219865
03-10-2011,22.59,23.07,20.35,20.54,211798
03-11-2011,20.66,21.53,20.32,21.37,167548
03-14-2011,21.12,22.42,20.83,22.24,85986
03-15-2011,21.16,21.95,20.56,21.05,308944
03-16-2011,21.00,21.44,20.36,20.41,96529
03-17-2011,20.92,21.65,20.45,21.56,62300
03-18-2011,21.78,21.90,21.29,21.54,85576
03-21-2011,22.03,23.34,21.98,22.47,116864
03-22-2011,22.53,22.76,22.10,22.28,46116
03-23-2011,22.27,22.42,22.00,22.05,33155
03-24-2011,22.46,22.61,22.10,22.40,56488
03-25-2011,22.35,22.54,20.42,21.51,210096
03-28-2011,21.44,21.65,20.44,20.54,135642
03-29-2011,20.31,21.23,20.00,21.09,132317
