Date,Open,High,Low,Close,Volume
11-02-2006,8.26,8.61,7.92,8.31,2316347
11-03-2006,8.31,8.56,8.20,8.50,382366
11-06-2006,8.60,9.53,8.55,9.47,252509
11-07-2006,9.23,9.71,9.02,9.32,267225
11-08-2006,9.10,9.57,9.07,9.40,191032
11-09-2006,9.39,9.41,9.17,9.20,35650
11-10-2006,9.57,9.57,9.12,9.27,34793
11-13-2006,9.50,9.72,9.19,9.71,426597
11-14-2006,9.50,9.85,9.50,9.68,148534
11-15-2006,9.68,9.78,9.63,9.68,339036
11-16-2006,9.68,9.91,9.61,9.85,58769
11-17-2006,9.81,9.92,9.64,9.69,168898
11-20-2006,9.76,9.95,9.59,9.64,65512
11-21-2006,9.70,9.70,9.64,9.64,111856
11-22-2006,9.64,9.68,9.59,9.61,93588
11-24-2006,9.58,9.61,9.57,9.61,3605
11-27-2006,9.58,9.61,9.47,9.47,40194
11-28-2006,9.39,9.47,9.18,9.30,16096
11-29-2006,9.36,9.64,9.29,9.40,49269
11-30-2006,9.50,9.50,9.23,9.40,56207
12-01-2006,9.16,9.41,9.14,9.33,84745
12-04-2006,9.01,9.57,9.01,9.37,116204
12-05-2006,9.30,9.57,9.30,9.53,42712
12-06-2006,9.53,9.64,9.06,9.41,27167
12-07-2006,9.38,9.41,9.21,9.30,5062
12-08-2006,8.99,9.32,8.99,9.32,5062
12-11-2006,9.23,9.44,9.23,9.43,19258
12-12-2006,9.37,9.54,9.15,9.26,64997
12-13-2006,9.50,9.50,9.14,9.30,56282
12-14-2006,9.23,9.43,9.23,9.34,8242
12-15-2006,9.34,9.61,9.30,9.53,614451
12-18-2006,9.53,9.90,9.24,9.86,125335
12-19-2006,9.64,9.68,9.37,9.54,60219
12-20-2006,9.46,9.46,9.35,9.42,20214
12-21-2006,9.23,9.50,9.15,9.42,48446
12-22-2006,9.65,9.85,9.32,9.78,10098
12-26-2006,9.75,9.90,9.66,9.83,8242
12-27-2006,9.99,10.05,9.76,9.97,39840
12-28-2006,10.03,10.23,10.03,10.11,19603
12-29-2006,10.21,10.21,9.65,10.11,45635
01-03-2007,9.96,10.40,9.96,10.08,89940
01-04-2007,9.89,9.97,9.64,9.82,167242
01-05-2007,9.72,10.02,9.72,9.81,56272
01-08-2007,9.86,9.86,9.69,9.79,37603
01-09-2007,9.81,9.88,9.69,9.83,26311
01-10-2007,9.83,9.98,9.71,9.95,274433
01-11-2007,9.99,10.77,9.88,9.92,32934
01-12-2007,9.90,9.99,9.68,9.97,79686
01-16-2007,10.06,10.06,9.88,9.99,26200
01-17-2007,9.93,10.06,9.79,10.03,15874
01-18-2007,9.98,9.99,9.85,9.96,39296
01-19-2007,9.93,10.08,9.82,10.08,31585
01-22-2007,10.09,10.22,9.91,10.07,38253
01-23-2007,10.16,10.30,9.88,10.26,43550
01-24-2007,10.30,10.61,10.26,10.60,59015
01-25-2007,10.59,10.69,10.40,10.48,18970
01-26-2007,10.55,10.74,10.40,10.53,23777
01-29-2007,10.75,10.75,10.47,10.55,88763
01-30-2007,10.56,10.80,10.56,10.73,140789
01-31-2007,10.52,10.92,10.52,10.85,189529
02-01-2007,10.95,11.04,10.83,10.97,221653
02-02-2007,11.77,11.77,10.92,11.03,142101
02-05-2007,11.03,11.26,11.03,11.08,57458
02-06-2007,11.29,11.31,11.18,11.23,40847
02-07-2007,11.26,11.26,11.04,11.18,67570
02-08-2007,11.19,11.31,11.07,11.18,47266
02-09-2007,11.16,11.16,10.84,10.97,25693
02-12-2007,11.01,11.01,10.72,10.85,138391
02-13-2007,10.97,11.40,10.97,11.35,40603
02-14-2007,11.35,11.61,11.35,11.45,60818
02-15-2007,12.26,12.26,11.49,11.63,22189
02-16-2007,11.64,11.67,11.24,11.67,43142
02-20-2007,11.69,12.11,11.45,11.76,15340
02-21-2007,11.68,12.27,11.68,12.15,21298
02-22-2007,12.15,12.37,11.80,12.34,21765
02-23-2007,12.43,12.44,11.69,11.88,82100
02-26-2007,11.87,11.97,11.72,11.94,16788
02-27-2007,11.72,12.07,11.52,11.60,147777
02-28-2007,11.53,11.62,11.45,11.46,241456
03-01-2007,11.22,11.81,11.21,11.49,95570
03-02-2007,11.39,11.48,11.17,11.28,87589
03-05-2007,11.17,11.25,10.01,11.11,51382
03-06-2007,11.24,11.86,11.08,11.21,32092
03-07-2007,10.76,11.30,10.76,11.13,34347
03-08-2007,11.20,11.23,10.85,11.09,43972
03-09-2007,11.22,11.42,11.10,11.18,12268
03-12-2007,11.33,11.47,11.32,11.47,9031
03-13-2007,11.30,11.35,11.10,11.10,41689
03-14-2007,11.10,11.35,11.10,11.28,14539
03-15-2007,10.83,11.43,10.83,11.21,86655
03-16-2007,11.20,11.21,10.98,11.10,74011
03-19-2007,11.10,11.36,11.03,11.24,33274
