Date,Open,High,Low,Close,Volume
06-12-2007,18.78,19.12,18.51,18.78,1308780
06-13-2007,18.78,19.12,18.62,18.78,1999755
06-14-2007,18.89,18.97,18.58,18.89,293075
06-15-2007,19.01,19.12,18.81,19.01,288208
06-18-2007,18.89,19.08,18.85,18.89,438535
06-19-2007,19.12,19.12,18.85,19.12,193716
06-20-2007,18.93,19.20,18.93,18.93,386019
06-21-2007,19.01,19.01,18.74,19.01,80146
06-22-2007,18.98,18.98,18.70,18.98,139447
06-25-2007,19.04,19.08,18.74,19.04,163002
06-26-2007,18.81,19.08,18.74,18.81,139651
06-27-2007,19.06,19.12,18.74,19.06,585312
06-28-2007,18.97,19.16,18.97,18.97,199874
06-29-2007,19.10,19.20,18.81,19.10,180536
07-02-2007,19.10,19.20,18.89,19.10,22389
07-03-2007,19.04,19.12,18.89,19.04,58176
07-05-2007,19.08,19.12,18.81,19.08,11124
07-06-2007,18.89,19.89,18.89,18.89,53999
07-09-2007,18.85,19.12,18.85,18.85,68438
07-10-2007,18.97,19.08,18.97,19.01,454609
07-11-2007,18.97,19.01,18.67,18.78,133096
07-12-2007,18.70,18.81,18.67,18.74,113743
07-13-2007,18.70,18.78,18.70,18.72,36338
07-16-2007,18.63,18.74,18.58,18.70,70986
07-17-2007,18.67,18.73,18.67,18.70,237696
07-18-2007,18.70,18.77,18.64,18.74,262928
07-19-2007,18.67,18.74,18.66,18.74,83929
07-20-2007,18.73,18.81,18.66,18.81,61835
07-23-2007,18.81,18.81,18.62,18.70,52683
07-24-2007,18.62,18.69,18.43,18.47,57652
07-25-2007,18.36,18.36,18.09,18.32,36993
07-26-2007,18.13,18.14,17.67,17.97,96354
07-27-2007,18.05,18.43,17.90,18.31,90731
07-30-2007,17.97,18.13,17.88,17.95,53990
07-31-2007,18.03,18.32,17.93,18.31,63927
08-01-2007,18.20,18.24,17.97,18.09,124203
08-02-2007,18.04,18.24,17.93,18.16,279926
08-03-2007,17.93,18.36,17.93,18.10,70986
08-06-2007,18.20,18.20,17.79,17.97,122241
