Date,Open,High,Low,Close,Volume
10-05-1993,3.19,3.28,3.13,3.22,25536800
10-06-1993,3.25,3.25,3.16,3.19,4008000
10-07-1993,3.16,3.22,3.16,3.19,1502400
10-08-1993,3.19,3.22,3.13,3.19,1222400
10-11-1993,3.13,3.19,3.09,3.13,1073600
10-12-1993,3.09,3.16,3.09,3.09,765600
10-13-1993,3.09,3.16,3.09,3.13,960000
10-14-1993,3.13,3.19,3.13,3.13,1552800
10-15-1993,3.16,3.22,3.16,3.16,524800
10-18-1993,3.16,3.34,3.16,3.28,1245600
10-19-1993,3.28,3.44,3.28,3.39,1707200
10-20-1993,3.44,3.44,3.28,3.28,1695200
10-21-1993,3.28,3.31,3.28,3.28,719200
10-22-1993,3.28,3.31,3.28,3.28,396000
10-25-1993,3.31,3.31,3.28,3.31,292000
10-26-1993,3.28,3.34,3.28,3.28,436000
10-27-1993,3.28,3.41,3.28,3.34,317600
10-28-1993,3.34,3.41,3.34,3.34,440800
10-29-1993,3.34,3.41,3.28,3.28,1345600
11-01-1993,3.38,3.53,3.38,3.44,1580800
11-02-1993,3.47,3.47,3.31,3.39,1986400
11-03-1993,3.34,3.59,3.34,3.53,2524000
11-04-1993,3.59,3.66,3.53,3.56,1926400
11-05-1993,3.59,3.59,3.53,3.56,652800
11-08-1993,3.56,3.59,3.53,3.59,293600
11-09-1993,3.53,3.69,3.50,3.50,534400
11-10-1993,3.56,3.59,3.53,3.58,264800
11-11-1993,3.59,3.88,3.53,3.84,1232800
11-12-1993,3.78,4.03,3.78,3.95,1564800
11-15-1993,4.00,4.00,3.94,3.94,452800
11-16-1993,3.94,4.09,3.94,4.08,1070400
11-17-1993,4.13,4.13,4.06,4.13,164000
11-18-1993,4.13,4.13,3.97,3.97,1188000
11-19-1993,3.94,3.94,3.81,3.81,419200
11-22-1993,3.81,3.81,3.72,3.72,602400
11-23-1993,3.72,3.78,3.72,3.73,466400
11-24-1993,3.72,3.75,3.72,3.72,36000
11-26-1993,3.72,3.78,3.72,3.78,10400
11-29-1993,3.75,3.78,3.75,3.78,70400
11-30-1993,3.78,3.84,3.66,3.84,734400
12-01-1993,3.88,3.91,3.84,3.88,154400
12-02-1993,3.84,3.91,3.84,3.84,114400
12-03-1993,3.91,3.97,3.88,3.92,173600
12-06-1993,3.92,3.97,3.91,3.91,34400
12-07-1993,3.91,3.97,3.91,3.97,46400
12-08-1993,3.91,3.97,3.91,3.91,188800
12-09-1993,3.94,3.97,3.91,3.91,284800
12-10-1993,3.91,3.94,3.84,3.91,188000
12-13-1993,3.84,3.91,3.84,3.84,476800
12-14-1993,3.84,3.91,3.84,3.91,564000
12-15-1993,3.84,3.94,3.81,3.94,373600
12-16-1993,3.84,4.09,3.84,4.09,436000
12-17-1993,4.09,4.13,4.06,4.06,64800
12-20-1993,4.06,4.28,4.06,4.22,316800
12-21-1993,4.25,4.38,4.25,4.34,231200
12-22-1993,4.38,4.38,4.31,4.38,162400
12-23-1993,4.38,4.66,4.38,4.41,879200
12-27-1993,4.41,4.44,4.41,4.41,433600
12-28-1993,4.41,4.47,4.41,4.41,90400
12-29-1993,4.47,4.47,4.41,4.41,144800
12-30-1993,4.41,4.47,4.28,4.28,517600
12-31-1993,4.25,4.31,4.25,4.31,452000
01-03-1994,4.25,4.38,4.25,4.34,88000
01-04-1994,4.38,4.56,4.36,4.56,604000
01-05-1994,4.56,4.81,4.56,4.69,886400
01-06-1994,4.69,4.78,4.69,4.78,180000
01-07-1994,4.72,4.78,4.72,4.78,708000
01-10-1994,4.72,4.84,4.72,4.81,356000
