Date,Open,High,Low,Close,Volume
05-30-2013,9.25,9.25,9.25,9.25,0
05-31-2013,9.71,10.25,9.60,10.10,3179719
06-03-2013,10.34,10.54,10.19,10.54,502795
06-04-2013,10.55,10.55,10.11,10.21,184614
06-05-2013,10.12,10.12,9.70,9.92,278406
06-06-2013,10.03,10.03,9.75,9.82,160580
06-07-2013,9.84,10.10,9.84,10.10,115842
06-10-2013,10.07,10.35,10.07,10.35,32985
06-11-2013,10.25,10.49,10.11,10.29,66142
06-12-2013,10.27,10.54,10.19,10.54,35846
06-13-2013,10.49,14.87,10.20,11.01,45645
06-14-2013,10.77,10.99,10.65,10.80,71398
06-17-2013,11.06,11.10,10.91,10.98,73404
06-18-2013,10.89,11.14,10.65,10.91,26044
06-19-2013,10.80,10.95,10.65,10.67,24980
06-20-2013,10.70,10.70,10.33,10.46,62048
06-21-2013,10.44,10.77,10.44,10.77,6980
06-24-2013,10.59,10.63,10.33,10.50,52237
06-25-2013,10.83,10.97,10.70,10.71,99108
06-26-2013,10.93,10.99,10.72,10.82,69169
06-27-2013,11.40,11.40,11.02,11.05,62967
06-28-2013,11.00,11.41,11.00,11.16,26815
07-01-2013,11.60,12.00,11.56,11.83,75924
07-02-2013,11.75,11.98,11.62,11.84,27940
07-03-2013,11.62,11.85,11.55,11.70,56471
07-05-2013,12.01,12.27,11.90,12.19,75671
07-08-2013,12.30,12.99,12.30,12.59,36853
07-09-2013,12.61,12.91,12.40,12.53,15402
07-10-2013,12.79,12.79,12.22,12.34,32439
07-11-2013,12.45,12.97,12.12,12.12,24674
07-12-2013,12.13,12.44,12.08,12.23,31304
07-15-2013,12.30,12.62,12.28,12.29,29054
07-16-2013,12.30,12.75,12.30,12.61,8773
07-17-2013,12.54,13.57,12.31,13.10,345054
07-18-2013,13.07,13.08,12.71,12.90,132422
07-19-2013,13.07,13.49,12.95,13.05,29980
07-22-2013,12.80,12.95,12.63,12.84,77248
07-23-2013,12.86,13.00,12.76,12.90,119490
07-24-2013,12.74,12.98,12.36,12.55,75034
07-25-2013,12.56,12.66,12.32,12.59,18756
07-26-2013,12.54,12.90,12.52,12.68,18214
07-29-2013,12.72,12.99,12.53,12.65,17801
07-30-2013,12.51,12.63,12.41,12.41,22240
07-31-2013,12.39,12.75,12.39,12.63,72634
08-01-2013,12.86,12.88,12.66,12.84,17922
08-02-2013,12.90,12.99,12.80,12.96,17616
08-05-2013,13.29,13.91,13.26,13.50,49808
08-06-2013,13.47,13.68,13.23,13.61,33419
08-07-2013,13.62,13.67,13.21,13.53,25995
08-08-2013,13.25,13.38,12.97,13.30,23591
08-09-2013,13.36,13.46,13.09,13.23,48524
08-12-2013,13.05,13.05,12.80,12.90,22274
08-13-2013,13.09,13.35,13.09,13.26,15596
08-14-2013,13.20,13.46,13.18,13.46,28135
08-15-2013,13.31,13.31,12.94,13.05,26001
08-16-2013,13.05,13.06,12.86,12.94,18797
08-19-2013,13.36,13.65,13.05,13.27,166296
08-20-2013,13.37,13.67,13.20,13.37,82027
08-21-2013,13.50,13.50,13.10,13.30,75028
