Date,Open,High,Low,Close,Volume
02-14-2014,32.50,32.50,28.00,28.69,469696
02-18-2014,28.99,29.64,28.00,28.34,349674
02-19-2014,28.44,30.18,27.58,28.37,1117103
02-20-2014,28.15,29.36,28.15,29.09,493399
02-21-2014,29.40,29.40,28.74,29.00,641340
02-24-2014,29.20,29.25,28.93,29.02,1712718
02-25-2014,29.20,29.61,29.02,29.29,827426
02-26-2014,29.40,30.29,29.20,30.00,425107
02-27-2014,30.29,30.70,29.71,29.86,463929
02-28-2014,30.70,32.85,30.01,32.15,18716350
03-03-2014,31.23,31.78,30.30,31.30,5936939
03-04-2014,31.30,31.40,30.51,30.57,3279453
03-05-2014,30.26,31.00,30.13,30.30,2831603
03-06-2014,30.25,30.70,29.87,30.25,2871171
03-07-2014,29.75,30.08,29.51,29.53,4232063
03-10-2014,29.10,29.19,28.45,28.54,6595347
03-11-2014,28.13,29.70,27.87,28.97,5746171
03-12-2014,28.63,30.30,28.58,30.25,3619087
03-13-2014,30.53,31.26,29.98,31.17,3297412
03-14-2014,31.15,31.50,30.87,31.02,1551776
03-17-2014,31.00,31.57,30.75,31.43,2092446
03-18-2014,31.45,33.66,31.34,32.91,2002726
03-19-2014,32.78,33.10,31.51,32.01,2007192
03-20-2014,31.23,32.26,31.23,31.48,1600969
03-21-2014,31.57,32.17,31.25,31.92,1637732
03-24-2014,31.86,31.90,31.20,31.51,1100456
03-25-2014,30.99,32.39,30.79,32.05,1694936
03-26-2014,32.32,32.46,31.48,31.53,1619991
03-27-2014,31.31,31.96,31.21,31.61,823683
03-28-2014,31.51,32.28,31.30,31.60,775642
03-31-2014,31.52,31.80,30.75,31.57,1029418
04-01-2014,31.36,32.09,31.13,31.58,1166441
04-02-2014,31.23,31.71,31.02,31.61,927377
04-03-2014,31.41,31.70,30.93,31.65,926074
04-04-2014,31.59,32.22,30.92,31.25,1285751
04-07-2014,31.23,31.28,30.89,31.08,1010983
04-08-2014,30.96,31.50,30.94,31.29,635623
04-09-2014,31.25,31.71,31.22,31.64,1107004
04-10-2014,31.41,31.70,31.13,31.36,1203483
04-11-2014,31.35,31.59,30.72,30.82,509518
04-14-2014,30.82,31.20,29.94,30.20,578000
