Date,Open,High,Low,Close,Volume
05-26-1999,6.73,6.77,6.73,6.73,2931
05-27-1999,6.73,6.75,6.68,6.75,15562
05-28-1999,6.73,6.73,6.73,6.73,7399
06-01-1999,6.68,6.73,6.67,6.67,45638
06-02-1999,6.67,6.73,6.67,6.72,14077
06-03-1999,6.73,6.73,6.67,6.72,43777
06-04-1999,6.72,6.72,6.67,6.67,11842
06-07-1999,6.60,6.70,6.60,6.70,5168
06-08-1999,6.53,6.60,6.53,6.60,9625
06-09-1999,6.48,6.55,6.48,6.48,20015
06-10-1999,6.41,6.46,6.40,6.40,22249
06-11-1999,6.46,6.50,6.43,6.46,46007
06-14-1999,6.50,6.57,6.46,6.46,72742
06-15-1999,6.46,6.57,6.45,6.57,20385
06-16-1999,6.60,6.60,6.50,6.53,10735
06-17-1999,6.60,6.60,6.60,6.60,336
06-18-1999,6.70,6.70,6.70,6.70,3682
06-21-1999,6.70,6.70,6.70,6.70,7027
06-22-1999,6.70,6.70,6.70,6.70,336
06-23-1999,6.63,6.63,6.63,6.63,1826
06-24-1999,6.67,6.67,6.67,6.67,11108
06-25-1999,6.60,6.60,6.53,6.53,7399
06-28-1999,6.50,6.50,6.46,6.46,39326
06-29-1999,6.48,6.48,6.48,6.48,4425
06-30-1999,6.53,6.53,6.52,6.53,7767
07-01-1999,6.53,6.63,6.53,6.63,21127
07-02-1999,6.63,6.63,6.63,6.63,0
07-06-1999,6.53,6.67,6.53,6.67,28181
07-07-1999,6.53,6.67,6.53,6.67,21502
07-08-1999,6.60,6.60,6.55,6.60,2931
07-09-1999,6.60,6.60,6.50,6.50,11842
07-12-1999,6.50,6.60,6.46,6.60,29675
07-13-1999,6.60,6.60,6.46,6.60,31154
07-14-1999,6.60,6.60,6.46,6.60,9625
07-15-1999,6.46,6.60,6.46,6.60,9992
07-16-1999,6.60,6.60,6.60,6.60,35612
07-19-1999,6.53,6.60,6.09,6.40,137334
07-20-1999,6.33,6.53,6.33,6.46,28181
07-21-1999,6.46,6.46,6.33,6.46,23357
07-22-1999,6.46,6.46,6.35,6.46,39326
07-23-1999,6.50,6.50,6.36,6.46,7399
07-26-1999,6.46,6.46,6.40,6.40,18155
07-27-1999,6.38,6.46,6.33,6.46,43409
07-28-1999,6.46,6.46,6.46,6.46,5168
07-29-1999,6.46,6.46,6.23,6.46,16310
07-30-1999,6.26,6.46,6.26,6.45,17418
08-02-1999,6.45,6.45,6.23,6.43,24845
08-03-1999,6.23,6.25,6.09,6.16,23729
08-04-1999,6.26,6.26,6.06,6.26,48973
08-05-1999,6.06,6.20,6.06,6.20,18155
08-06-1999,6.20,6.20,6.20,6.20,10366
08-09-1999,6.16,6.16,6.03,6.16,35237
08-10-1999,6.16,6.20,5.99,5.99,35237
08-11-1999,6.06,6.06,5.93,6.06,40436
08-12-1999,6.06,6.13,6.06,6.13,75335
08-13-1999,6.01,6.20,6.01,6.20,33009
08-16-1999,6.26,6.26,6.20,6.20,22249
08-17-1999,6.20,6.36,6.20,6.36,18155
08-18-1999,6.40,6.40,6.30,6.30,5168
08-19-1999,6.33,6.40,6.26,6.33,8516
08-20-1999,6.30,6.43,6.30,6.43,17052
08-23-1999,6.35,6.46,6.35,6.46,22249
08-24-1999,6.36,6.40,6.26,6.26,5909
08-25-1999,6.13,6.13,6.13,6.13,5533
08-26-1999,6.20,6.20,6.13,6.20,19274
08-27-1999,5.98,6.06,5.93,6.06,8877
08-30-1999,6.13,6.20,6.04,6.11,18903
08-31-1999,6.16,6.20,6.09,6.09,8877
09-01-1999,6.09,6.09,6.09,6.09,2202
09-02-1999,6.16,6.20,6.09,6.09,31892
09-03-1999,6.04,6.13,5.99,6.06,23729
09-07-1999,5.93,6.03,5.89,6.03,50827
09-08-1999,5.93,6.03,5.93,6.03,30037
09-09-1999,5.93,6.06,5.89,5.89,22986
09-10-1999,5.93,6.04,5.93,5.93,18532
09-13-1999,5.99,6.06,5.89,5.89,21127
09-14-1999,5.89,5.93,5.89,5.93,7767
09-15-1999,5.88,5.96,5.86,5.86,18155
09-16-1999,5.93,5.93,5.89,5.89,8139
09-17-1999,5.89,5.89,5.88,5.88,8139
09-20-1999,5.89,5.94,5.89,5.93,5533
09-21-1999,5.89,5.93,5.89,5.91,7399
09-22-1999,5.89,5.89,5.83,5.83,10366
09-23-1999,5.83,5.84,5.83,5.83,9243
09-24-1999,5.83,5.83,5.83,5.83,2566
09-27-1999,5.89,5.96,5.84,5.96,9625
09-28-1999,5.86,5.99,5.81,5.99,9243
09-29-1999,5.86,6.09,5.84,5.84,33755
09-30-1999,5.81,5.81,5.81,5.81,9243
10-01-1999,5.76,5.79,5.76,5.79,5533
10-04-1999,5.77,5.79,5.77,5.79,4425
10-05-1999,5.79,5.83,5.79,5.79,32642
10-06-1999,5.79,5.89,5.76,5.84,39326
10-07-1999,5.83,5.83,5.79,5.83,8139
10-08-1999,5.79,5.79,5.79,5.79,3682
10-11-1999,5.83,5.83,5.76,5.76,9243
10-12-1999,5.77,5.83,5.77,5.77,11483
10-13-1999,5.76,5.76,5.71,5.72,47487
10-14-1999,5.72,5.79,5.69,5.79,41553
10-15-1999,5.74,5.74,5.69,5.69,9243
10-18-1999,5.69,5.72,5.67,5.72,22986
10-19-1999,5.79,5.86,5.69,5.69,37463
10-20-1999,5.72,5.72,5.67,5.69,22986
10-21-1999,5.66,5.76,5.66,5.72,41178
10-22-1999,5.69,5.69,5.66,5.69,11108
10-25-1999,5.72,5.72,5.66,5.71,20761
10-26-1999,5.66,5.66,5.62,5.64,10366
10-27-1999,5.64,5.66,5.64,5.66,21502
10-28-1999,5.66,5.66,5.66,5.66,5909
10-29-1999,5.67,5.93,5.67,5.86,108375
11-01-1999,5.86,5.99,5.83,5.83,8516
11-02-1999,5.76,5.83,5.66,5.76,54174
11-03-1999,5.86,5.93,5.67,5.72,123215
11-04-1999,5.84,5.86,5.79,5.86,35612
11-05-1999,5.79,5.99,5.79,5.99,47115
11-08-1999,5.81,5.86,5.81,5.86,63459
11-09-1999,5.77,6.06,5.77,6.06,74594
11-10-1999,5.93,6.06,5.93,6.06,34492
11-11-1999,5.86,5.86,5.76,5.76,22986
11-12-1999,5.72,5.72,5.66,5.66,9992
11-15-1999,5.62,5.71,5.56,5.56,60109
11-16-1999,5.59,5.79,5.57,5.79,96126
11-17-1999,5.79,5.79,5.45,5.45,42668
11-18-1999,5.52,5.62,5.47,5.62,84243
11-19-1999,5.54,5.69,5.52,5.52,244245
11-22-1999,5.52,5.69,5.44,5.45,58246
11-23-1999,5.52,5.52,5.40,5.47,18155
11-24-1999,5.45,5.52,5.45,5.49,15191
11-26-1999,5.47,5.47,5.47,5.47,3308
11-29-1999,5.49,5.52,5.37,5.37,15191
11-30-1999,5.32,5.37,5.22,5.22,80524
12-01-1999,5.25,5.34,5.19,5.19,111345
12-02-1999,5.25,5.27,5.20,5.20,47115
12-03-1999,5.17,5.25,5.13,5.19,85352
12-06-1999,5.12,5.12,4.95,4.95,58997
12-07-1999,5.02,5.05,4.95,4.95,46382
12-08-1999,4.98,5.12,4.97,5.12,105400
12-09-1999,5.02,5.12,5.00,5.10,77937
12-10-1999,5.03,5.10,5.00,5.08,26331
12-13-1999,5.00,5.19,4.88,4.88,177430
12-14-1999,4.92,4.98,4.65,4.75,61598
12-15-1999,4.61,4.78,4.61,4.76,91290
12-16-1999,4.76,4.82,4.75,4.78,25219
12-17-1999,4.76,4.82,4.72,4.73,80157
12-20-1999,4.75,4.78,4.61,4.63,95746
12-21-1999,4.65,4.71,4.48,4.58,91290
12-22-1999,4.58,4.70,4.46,4.48,97981
12-23-1999,4.46,4.65,4.46,4.55,116907
12-27-1999,4.55,4.61,4.44,4.55,107628
12-28-1999,4.58,4.60,4.50,4.51,102061
12-29-1999,4.51,4.85,4.51,4.82,63823
12-30-1999,4.78,4.88,4.71,4.71,84243
12-31-1999,4.75,4.95,4.73,4.95,36356
01-03-2000,5.02,5.02,4.85,4.92,43777
01-04-2000,4.78,4.85,4.75,4.75,9992
01-05-2000,4.75,4.80,4.75,4.80,14819
01-06-2000,4.80,4.82,4.75,4.82,27444
01-07-2000,4.78,4.85,4.73,4.85,97981
01-10-2000,4.75,4.85,4.75,4.82,18155
01-11-2000,4.80,4.98,4.78,4.92,46382
01-12-2000,4.92,4.98,4.85,4.93,74222
01-13-2000,4.92,4.92,4.80,4.82,46382
01-14-2000,4.85,4.92,4.82,4.85,43034
01-18-2000,4.90,4.95,4.82,4.82,22249
01-19-2000,4.75,4.85,4.68,4.82,18155
01-20-2000,4.75,4.85,4.75,4.85,9625
01-21-2000,4.78,4.85,4.78,4.80,27073
01-24-2000,4.76,4.92,4.76,4.85,43777
01-25-2000,4.82,4.95,4.82,4.95,9992
01-26-2000,4.82,4.98,4.82,4.98,26331
01-27-2000,4.98,5.05,4.90,4.98,24845
01-28-2000,4.98,5.02,4.98,5.02,2931
01-31-2000,4.98,5.05,4.97,5.05,7027
