Date,Open,High,Low,Close,Volume
05-07-2014,15.00,15.00,15.00,15.00,0
05-08-2014,15.00,15.23,14.51,15.00,5433455
05-09-2014,15.50,15.70,15.00,15.01,174490
05-12-2014,14.98,15.20,14.98,15.13,87551
05-13-2014,15.05,15.13,15.00,15.00,34934
05-14-2014,15.01,15.10,14.85,15.10,70848
05-15-2014,15.20,15.20,14.93,15.08,50168
05-16-2014,15.00,15.05,14.95,15.00,49531
05-19-2014,14.99,15.00,14.90,14.99,124440
05-20-2014,15.00,15.14,14.93,15.00,171944
05-21-2014,15.01,15.19,15.01,15.05,74532
05-22-2014,15.05,15.07,14.90,14.99,115294
05-23-2014,15.04,15.05,14.91,15.00,85815
05-27-2014,15.06,15.06,14.91,15.00,135157
05-28-2014,14.91,15.09,14.90,14.90,123860
05-29-2014,14.90,15.04,14.90,14.94,101793
05-30-2014,14.96,14.99,14.93,14.95,149011
06-02-2014,15.00,15.00,13.94,14.90,355454
06-03-2014,14.85,14.95,14.65,14.70,121118
06-04-2014,14.59,14.78,14.44,14.59,74852
06-05-2014,15.10,15.10,14.59,15.05,245664
06-06-2014,14.96,15.10,13.71,14.60,105141
06-09-2014,14.69,14.86,14.55,14.76,172070
06-10-2014,14.67,14.88,14.53,14.73,50115
06-11-2014,14.70,15.03,14.62,14.90,156711
06-12-2014,14.62,15.04,14.62,14.82,117597
06-13-2014,14.65,14.90,14.65,14.90,74559
06-16-2014,14.78,15.10,14.72,14.87,163332
06-17-2014,14.81,15.67,14.76,15.66,168090
06-18-2014,15.77,16.42,15.26,16.23,405060
06-19-2014,15.96,16.49,15.02,15.44,204500
06-20-2014,15.41,15.56,15.04,15.52,446969
06-23-2014,15.43,15.59,15.26,15.42,78720
06-24-2014,15.50,15.57,14.97,15.09,167196
06-25-2014,15.06,15.60,14.97,14.97,57815
06-26-2014,14.94,15.23,14.80,14.89,65018
06-27-2014,14.86,15.10,14.05,14.05,1140508
06-30-2014,14.32,15.10,14.06,14.88,329018
07-01-2014,14.86,15.00,14.53,14.85,118566
07-02-2014,14.80,15.07,14.75,15.04,53770
07-03-2014,15.04,15.26,15.00,15.15,20084
07-07-2014,15.21,15.58,15.00,15.14,54094
07-08-2014,15.11,15.30,15.00,15.28,73340
07-09-2014,15.30,15.70,15.07,15.62,62473
07-10-2014,15.34,15.76,15.25,15.73,168936
07-11-2014,15.66,16.45,15.59,15.82,104757
07-14-2014,15.90,16.20,15.90,16.06,32958
07-15-2014,16.01,16.10,15.94,16.02,53414
07-16-2014,16.10,16.48,15.50,16.06,91151
07-17-2014,16.00,16.13,15.66,15.82,66313
07-18-2014,15.79,16.25,15.67,15.90,72329
07-21-2014,15.81,16.12,15.50,15.91,105550
07-22-2014,15.98,16.10,15.50,15.74,83528
07-23-2014,15.70,15.91,15.55,15.60,63066
07-24-2014,15.67,15.94,15.50,15.87,69593
07-25-2014,15.74,16.28,15.74,16.19,74194
07-28-2014,16.25,16.37,15.88,16.30,73357
07-29-2014,16.23,17.16,16.23,17.01,68520
07-30-2014,17.14,17.54,17.14,17.47,41210
07-31-2014,17.39,17.98,16.63,16.97,98160
08-01-2014,17.03,17.05,16.50,16.89,41119
08-04-2014,16.87,17.15,16.63,16.84,50572
08-05-2014,16.87,17.00,16.58,16.66,82885
08-06-2014,16.60,17.46,16.60,16.98,111413
08-07-2014,16.86,16.86,16.27,16.56,100738
08-08-2014,16.50,16.59,15.86,15.92,133798
08-11-2014,15.94,16.30,15.60,15.78,74435
08-12-2014,15.56,15.61,14.55,14.74,95892
08-13-2014,14.70,15.03,14.36,14.61,62042
08-14-2014,14.64,14.78,14.13,14.34,59494
08-15-2014,14.47,15.00,14.21,14.93,95636
08-18-2014,15.06,15.38,14.82,14.99,290759
08-19-2014,14.96,15.19,14.51,14.57,31758
08-20-2014,14.56,14.56,13.82,14.08,51610
08-21-2014,14.15,14.67,13.94,14.17,101214
08-22-2014,14.11,14.37,13.96,13.99,113548
08-25-2014,14.02,14.18,13.90,14.03,77984
08-26-2014,14.06,14.58,14.06,14.43,47074
08-27-2014,14.37,14.99,14.37,14.78,237375
08-28-2014,14.75,14.82,14.15,14.16,61532
08-29-2014,14.21,14.38,14.10,14.21,16324
09-02-2014,14.28,14.49,14.15,14.35,80498
09-03-2014,14.42,15.00,14.34,14.96,418719
09-04-2014,14.94,14.94,14.41,14.58,64948
09-05-2014,14.62,14.80,14.13,14.34,98694
09-08-2014,14.64,15.09,14.35,14.40,84769
09-09-2014,14.40,14.68,13.82,13.96,90484
09-10-2014,14.19,14.66,13.66,13.73,131204
09-11-2014,13.73,14.27,13.55,13.84,100977
09-12-2014,13.89,14.82,13.86,14.11,140400
09-15-2014,14.05,14.20,13.65,14.04,72739
09-16-2014,13.94,14.17,13.74,14.07,67936
09-17-2014,14.04,14.40,13.79,14.18,169865
09-18-2014,14.23,14.55,13.77,14.40,84670
09-19-2014,14.42,14.67,13.99,14.14,124844
09-22-2014,14.12,14.12,13.67,14.00,56194
09-23-2014,13.99,13.99,13.23,13.63,110306
09-24-2014,13.62,13.75,13.05,13.50,91932
09-25-2014,13.36,13.61,13.24,13.52,111559
09-26-2014,13.50,13.55,13.04,13.26,161469
09-29-2014,13.17,13.38,12.31,12.96,173341
09-30-2014,13.00,14.44,12.76,14.43,344000
10-01-2014,14.51,14.61,13.88,14.25,204816
10-02-2014,14.16,14.32,13.90,14.25,87489
10-03-2014,14.36,14.81,13.93,14.00,161551
10-06-2014,14.02,14.41,13.84,13.89,32899
10-07-2014,13.85,13.93,13.27,13.53,48944
10-08-2014,13.46,14.03,13.44,13.97,92593
10-09-2014,14.03,14.24,13.81,14.00,62004
10-10-2014,13.91,14.19,13.54,13.93,77819
10-13-2014,14.00,14.59,13.86,14.39,95768
10-14-2014,14.40,14.69,14.20,14.46,182882
10-15-2014,14.39,14.50,14.24,14.44,80613
10-16-2014,14.32,15.00,13.93,14.86,110623
10-17-2014,15.00,15.07,14.63,14.66,81650
10-20-2014,14.63,14.80,14.41,14.47,52588
10-21-2014,14.47,14.72,14.19,14.37,86513
10-22-2014,14.37,14.91,14.26,14.43,62530
10-23-2014,14.57,14.69,14.11,14.27,56836
10-24-2014,14.23,14.47,13.81,13.84,33185
10-27-2014,13.88,14.16,13.70,14.10,55120
10-28-2014,14.09,15.50,14.09,15.29,80866
10-29-2014,14.09,15.35,14.09,14.68,47688
10-30-2014,15.20,15.69,15.02,15.61,124117
10-31-2014,15.60,16.33,15.21,16.10,344065
11-03-2014,16.08,16.33,15.69,15.73,137001
11-04-2014,15.65,17.96,15.48,16.70,381546
11-05-2014,16.79,17.50,16.64,17.06,170090
11-06-2014,17.03,17.68,16.61,17.24,96013
11-07-2014,17.18,17.33,16.76,17.00,73171
11-10-2014,17.04,17.31,16.76,16.90,129360
11-11-2014,16.97,17.44,16.87,17.31,133725
11-12-2014,17.23,17.24,16.74,16.92,36482
11-13-2014,16.90,17.13,16.71,16.88,54122
11-14-2014,16.94,17.00,16.34,16.71,58504
11-17-2014,16.62,17.50,16.62,17.33,84216
11-18-2014,17.36,19.13,17.15,18.87,312947
11-19-2014,18.77,19.37,18.14,18.19,184355
11-20-2014,18.19,18.41,17.59,17.78,76815
11-21-2014,17.99,18.20,17.50,17.97,43505
11-24-2014,18.07,18.72,17.34,18.65,148811
11-25-2014,18.60,19.00,17.80,18.82,203039
11-26-2014,19.07,19.31,18.77,19.03,59070
11-28-2014,18.96,19.48,18.74,18.91,28986
12-01-2014,18.90,19.06,18.59,18.84,106505
12-02-2014,18.79,19.31,18.63,19.14,53434
12-03-2014,19.20,19.30,18.97,19.14,75705
12-04-2014,19.18,19.39,18.86,19.36,87745
12-05-2014,19.34,19.57,19.08,19.11,56226
12-08-2014,19.03,19.37,18.60,19.03,53373
12-09-2014,18.83,19.58,18.35,19.52,137648
12-10-2014,19.50,20.10,19.30,19.55,130742
12-11-2014,19.85,20.16,19.64,20.04,164074
12-12-2014,19.85,20.55,19.41,19.86,131929
12-15-2014,19.80,20.00,19.32,19.79,91184
12-16-2014,19.83,20.25,19.80,20.06,75089
12-17-2014,20.16,20.74,19.88,20.72,65219
12-18-2014,20.75,21.00,20.40,21.00,44115
12-19-2014,20.94,21.59,20.76,21.15,151838
12-22-2014,21.28,21.94,21.19,21.50,62457
12-23-2014,21.50,21.97,20.38,20.61,84260
12-24-2014,20.71,23.63,20.40,20.53,47290
12-26-2014,20.60,23.60,20.19,20.40,82304
12-29-2014,20.35,20.58,20.16,20.33,119399
12-30-2014,21.41,22.35,20.13,20.65,72738
12-31-2014,20.62,21.05,20.38,20.87,78119
01-02-2015,21.03,21.51,20.54,20.95,347551
01-05-2015,20.87,21.50,20.57,21.38,170998
01-06-2015,21.36,21.79,21.22,21.61,114353
01-07-2015,22.06,22.84,21.60,22.80,110418
01-08-2015,22.91,23.06,22.17,22.98,147873
01-09-2015,22.91,23.09,22.08,22.36,116292
