Date,Open,High,Low,Close,Volume
12-14-2005,11.50,11.50,11.05,11.05,246300
12-15-2005,10.90,10.90,10.55,10.55,373000
12-16-2005,10.56,10.75,10.56,10.75,179000
12-19-2005,10.75,10.80,10.75,10.80,781300
12-20-2005,10.75,11.24,10.75,11.00,611400
12-21-2005,11.00,11.05,10.55,10.85,5796900
12-22-2005,10.60,11.12,10.59,10.60,4152500
12-23-2005,10.90,12.78,10.90,11.95,8844200
12-27-2005,12.20,12.79,12.13,12.50,3324100
12-28-2005,12.25,14.00,12.25,13.30,3187700
12-29-2005,13.80,13.83,13.21,13.21,1092100
12-30-2005,13.65,13.65,12.66,13.10,1208400
01-03-2006,12.90,13.50,12.81,13.50,1875500
01-04-2006,13.47,13.85,13.00,13.00,2342000
01-05-2006,13.30,13.31,12.95,13.00,2880600
01-06-2006,13.00,13.08,12.77,12.93,1627700
01-09-2006,12.83,13.75,12.82,13.75,1133300
01-10-2006,13.85,13.85,13.45,13.65,1382200
01-11-2006,13.60,14.60,13.48,14.32,2884200
01-12-2006,14.00,14.65,13.90,14.40,2363900
01-13-2006,14.40,14.77,14.37,14.77,2023000
01-17-2006,14.45,15.14,14.40,14.87,1754300
01-18-2006,14.40,14.65,14.31,14.49,1714500
01-19-2006,14.40,15.22,14.30,15.22,4355100
01-20-2006,15.40,16.75,15.30,16.56,3528300
01-23-2006,16.57,18.50,16.57,17.59,3088500
01-24-2006,17.39,17.80,17.30,17.59,1375600
01-25-2006,17.65,17.65,16.36,16.73,1517700
01-26-2006,16.80,17.45,16.45,16.57,811900
01-27-2006,16.57,17.40,16.57,17.05,1063900
01-30-2006,17.06,17.30,16.78,17.24,941200
01-31-2006,17.20,18.00,17.20,17.75,1478000
02-01-2006,17.76,17.85,17.26,17.51,403700
02-02-2006,17.50,17.58,17.25,17.40,804400
02-03-2006,17.28,17.74,17.25,17.65,243700
02-06-2006,17.70,17.75,17.49,17.64,338300
02-07-2006,17.75,18.15,17.54,17.76,322000
02-08-2006,17.76,17.87,17.51,17.87,210600
02-09-2006,17.92,19.00,17.90,18.95,836800
02-10-2006,19.00,19.30,18.98,19.07,456100
02-13-2006,19.00,19.56,19.00,19.40,718000
02-14-2006,19.40,19.40,18.92,19.02,436300
02-15-2006,19.00,19.12,18.97,19.07,674500
02-16-2006,19.08,19.08,18.45,18.50,1359700
02-17-2006,18.40,18.47,17.90,17.94,257000
02-21-2006,17.55,19.20,17.46,18.93,861700
02-22-2006,18.68,19.00,18.57,18.94,117900
02-23-2006,18.51,18.93,18.30,18.71,131000
02-24-2006,18.60,18.70,17.78,18.49,670600
02-27-2006,18.35,18.58,17.84,17.91,270300
02-28-2006,17.85,17.98,17.72,17.85,174200
03-01-2006,17.75,17.88,17.65,17.79,147200
03-02-2006,17.75,17.81,17.59,17.72,181000
03-03-2006,17.65,17.67,17.50,17.55,188000
03-06-2006,17.55,18.34,17.55,18.22,112700
03-07-2006,18.15,18.15,17.67,17.95,142100
03-08-2006,17.91,18.13,17.90,17.95,66400
03-09-2006,17.90,18.11,17.90,18.11,198000
03-10-2006,18.06,18.49,18.00,18.08,1187800
03-13-2006,18.00,18.03,17.93,17.98,90200
03-14-2006,17.90,18.23,17.83,18.21,141100
03-15-2006,18.12,18.12,17.94,18.00,143700
03-16-2006,18.00,18.70,18.00,18.50,263100
03-17-2006,18.50,18.60,18.23,18.51,556600
03-20-2006,18.45,18.88,18.39,18.61,171600
03-21-2006,18.55,18.95,18.55,18.85,254900
03-22-2006,18.85,19.00,18.60,19.00,116100
03-23-2006,19.00,19.02,18.82,18.85,258200
03-24-2006,18.82,19.11,18.51,18.85,271200
03-27-2006,18.83,18.85,18.47,18.72,120100
03-28-2006,18.62,19.09,18.61,18.93,123400
03-29-2006,18.98,19.03,18.65,18.99,114500
03-30-2006,18.92,19.10,18.90,19.02,237200
03-31-2006,19.09,19.99,19.09,19.84,238000
04-03-2006,19.86,19.90,19.15,19.17,150000
04-04-2006,19.10,19.28,18.92,19.02,156900
04-05-2006,19.06,19.10,18.95,19.00,119000
04-06-2006,18.98,19.25,18.97,19.19,810600
04-07-2006,19.10,19.25,19.05,19.20,57600
04-10-2006,19.18,19.21,19.00,19.06,98600
04-11-2006,19.06,19.15,18.96,19.00,135900
04-12-2006,19.00,19.25,18.87,19.17,256000
04-13-2006,19.10,19.25,19.10,19.20,216800
04-17-2006,19.16,19.44,19.16,19.39,128900
04-18-2006,19.33,19.55,19.26,19.30,86600
04-19-2006,19.35,19.44,19.18,19.24,179400
04-20-2006,19.24,19.25,19.15,19.23,77400
04-21-2006,19.23,19.43,19.11,19.16,223400
04-24-2006,19.15,19.35,19.15,19.25,228500
04-25-2006,19.25,19.44,19.16,19.21,136100
04-26-2006,19.21,19.56,19.21,19.36,144500
04-27-2006,19.25,19.38,19.01,19.15,116800
04-28-2006,19.00,19.25,19.00,19.00,211200
05-01-2006,19.05,19.57,19.05,19.41,207500
05-02-2006,19.30,19.49,19.30,19.36,176500
05-03-2006,19.35,19.49,19.30,19.39,71200
05-04-2006,19.44,19.60,19.33,19.50,168500
05-05-2006,19.60,20.50,19.55,20.24,316700
05-08-2006,20.34,20.34,19.97,20.14,113400
05-09-2006,20.12,21.18,20.12,21.00,393800
05-10-2006,20.95,21.35,20.95,21.25,166500
05-11-2006,21.20,21.20,20.71,20.95,206700
05-12-2006,20.87,21.16,20.72,21.06,211400
05-15-2006,21.13,21.71,21.00,21.69,201900
05-16-2006,21.61,21.62,21.15,21.61,149900
05-17-2006,21.65,21.65,20.68,20.81,167500
05-18-2006,21.00,21.70,21.00,21.66,247300
05-19-2006,21.62,21.99,20.94,21.80,183400
05-22-2006,21.79,21.86,21.28,21.31,474200
05-23-2006,21.35,21.44,21.29,21.41,276200
05-24-2006,21.41,21.48,21.00,21.23,570900
05-25-2006,21.33,22.12,21.08,22.05,254100
05-26-2006,22.18,23.72,22.18,23.34,326400
05-30-2006,23.40,23.40,22.57,22.65,192400
