Date,Open,High,Low,Close,Volume
07-02-2012,24.67,26.95,23.93,24.75,381533
07-03-2012,24.81,24.81,24.21,24.40,421327
07-05-2012,24.41,25.07,23.88,24.00,262859
07-06-2012,23.70,23.87,23.26,23.31,210663
07-09-2012,23.22,23.54,22.31,22.56,646700
07-10-2012,22.97,23.07,22.10,22.25,320470
07-11-2012,22.00,22.28,21.75,22.19,300517
07-12-2012,21.97,22.52,21.42,22.15,266529
07-13-2012,22.16,22.68,21.81,22.07,337622
07-16-2012,21.91,22.24,21.77,22.10,156992
07-17-2012,22.23,22.23,21.64,21.99,128322
07-18-2012,21.97,22.23,21.92,22.08,165314
07-19-2012,22.08,22.31,21.83,22.18,304417
07-20-2012,22.01,22.08,21.64,21.82,110536
07-23-2012,21.46,21.49,20.81,21.16,193693
07-24-2012,21.21,21.21,20.70,20.95,173371
07-25-2012,22.44,22.74,20.87,21.05,117773
07-26-2012,22.04,22.04,21.23,21.76,170992
07-27-2012,22.17,22.66,21.82,22.55,256006
07-30-2012,22.82,22.82,21.75,21.90,198016
07-31-2012,21.67,22.05,21.65,21.98,293924
08-01-2012,22.06,22.12,21.74,22.04,445886
08-02-2012,21.85,22.22,21.66,22.15,227047
08-03-2012,22.24,22.97,22.10,22.86,598169
08-06-2012,23.10,23.53,22.99,23.27,610532
08-07-2012,23.40,23.83,23.20,23.27,352318
08-08-2012,23.18,23.42,23.06,23.19,232405
08-09-2012,23.14,23.92,22.91,23.27,273787
08-10-2012,23.17,23.35,22.91,23.12,156654
08-13-2012,23.04,23.14,22.81,23.06,99096
08-14-2012,24.03,24.03,23.13,23.18,192213
08-15-2012,23.42,23.42,22.82,23.27,161498
08-16-2012,23.31,23.32,22.61,23.25,276954
08-17-2012,23.01,23.21,22.86,23.02,144734
08-20-2012,23.02,23.02,22.69,22.88,230303
08-21-2012,22.74,22.90,22.46,22.59,199607
08-22-2012,22.49,22.59,22.33,22.41,161190
08-23-2012,22.41,22.41,21.82,21.88,168338
08-24-2012,21.82,22.00,21.37,21.41,169747
08-27-2012,21.45,21.79,21.06,21.13,166989
08-28-2012,21.07,21.19,20.97,21.06,167949
08-29-2012,21.07,21.28,20.75,20.75,120302
08-30-2012,20.83,20.83,20.19,20.22,147978
08-31-2012,20.38,20.49,20.15,20.30,244488
09-04-2012,20.30,20.51,20.10,20.40,325646
09-05-2012,20.43,20.58,20.04,20.29,316715
