Date,Open,High,Low,Close,Volume
06-25-2015,18.00,18.00,18.00,18.00,0
06-26-2015,28.50,51.40,28.11,51.40,9079590
06-29-2015,41.95,43.85,35.90,38.00,2083617
06-30-2015,39.60,42.00,39.50,41.50,482593
07-01-2015,42.40,42.80,39.80,39.80,292964
07-02-2015,39.80,41.15,39.51,40.11,111244
07-06-2015,40.00,40.50,37.15,40.11,319180
07-07-2015,40.00,40.90,38.60,39.80,279150
07-08-2015,39.40,40.91,38.77,39.97,173121
07-09-2015,40.04,40.97,39.52,39.84,60755
07-10-2015,40.00,41.69,40.00,40.90,87291
07-13-2015,40.80,44.43,40.80,42.29,163322
07-14-2015,42.00,43.42,42.00,42.17,117048
07-15-2015,42.25,45.20,42.25,43.74,103411
07-16-2015,44.00,47.18,43.18,46.50,192590
07-17-2015,46.80,51.00,43.00,43.99,375544
07-20-2015,44.48,45.28,41.10,42.38,113726
07-21-2015,41.68,41.71,37.26,39.16,263713
07-22-2015,39.45,41.70,39.30,41.07,79502
07-23-2015,41.56,43.00,41.07,41.12,60779
07-24-2015,41.01,41.01,37.51,38.20,113264
07-27-2015,37.87,38.00,34.50,35.05,218084
07-28-2015,35.25,37.05,34.80,36.42,232065
07-29-2015,36.49,38.00,36.00,37.62,96995
07-30-2015,38.00,39.45,36.95,38.03,128808
07-31-2015,38.02,38.57,37.59,37.85,161626
08-03-2015,37.73,40.72,36.82,38.91,130168
08-04-2015,38.91,41.50,38.36,39.11,49474
08-05-2015,39.30,41.00,38.51,40.51,72995
08-06-2015,40.52,41.19,39.54,40.05,121187
08-07-2015,39.68,40.50,38.00,40.05,78736
08-10-2015,40.00,40.12,38.83,40.07,133610
08-11-2015,39.18,41.55,39.18,40.02,143912
08-12-2015,39.27,39.93,36.53,39.36,113159
08-13-2015,39.44,40.29,38.68,40.15,101100
08-14-2015,40.12,40.65,37.97,38.97,151285
08-17-2015,38.72,39.39,38.20,38.86,47898
08-18-2015,38.86,39.26,37.61,38.03,154975
08-19-2015,38.13,40.98,38.00,40.40,165142
08-20-2015,42.00,44.00,39.00,39.29,581112
08-21-2015,39.09,40.94,38.10,40.56,217999
08-24-2015,39.48,40.58,37.28,38.01,196295
08-25-2015,39.39,39.75,38.01,38.50,106318
08-26-2015,39.62,39.73,37.03,39.16,187239
08-27-2015,39.47,41.24,39.22,40.49,138477
08-28-2015,40.15,41.48,40.08,41.02,58407
08-31-2015,40.96,42.56,40.94,41.33,126366
09-01-2015,40.37,41.98,39.88,40.97,115790
09-02-2015,41.82,42.24,40.75,42.00,111457
09-03-2015,42.31,43.99,42.01,43.44,206005
09-04-2015,43.09,44.50,42.94,44.26,91475
09-08-2015,44.50,48.98,44.21,48.23,297499
09-09-2015,49.22,52.00,47.79,49.49,266262
09-10-2015,49.40,49.49,46.02,47.71,204313
09-11-2015,47.35,49.30,47.31,48.66,110073
09-14-2015,48.97,49.72,46.04,46.88,166226
09-15-2015,47.11,47.43,46.08,46.73,70870
09-16-2015,47.00,48.99,46.92,48.68,156010
09-17-2015,48.43,49.53,47.16,48.44,199183
09-18-2015,48.48,49.47,45.00,45.72,652693
09-21-2015,45.91,46.72,42.78,43.32,198207
09-22-2015,42.62,42.62,38.02,38.60,437917
09-23-2015,38.51,40.38,38.00,39.67,319040
09-24-2015,39.23,39.83,38.57,39.15,127520
09-25-2015,39.59,39.64,38.00,38.35,296174
09-28-2015,38.35,38.52,33.66,34.65,859592
09-29-2015,34.56,34.56,27.00,27.00,872511
09-30-2015,27.89,29.83,26.94,29.64,1665039
10-01-2015,29.65,30.02,25.02,25.83,633413
10-02-2015,25.50,27.44,25.00,26.15,409527
10-05-2015,26.84,27.84,26.63,27.74,337031
10-06-2015,27.27,28.70,27.27,28.17,408586
10-07-2015,28.18,30.46,27.69,29.30,270170
10-08-2015,29.15,29.46,28.44,29.22,274439
10-09-2015,29.17,30.69,29.06,29.80,136286
10-12-2015,29.87,30.80,29.00,29.34,262001
10-13-2015,29.10,30.16,28.75,29.05,166387
10-14-2015,28.98,29.68,28.32,29.08,99249
10-15-2015,29.32,30.59,28.73,30.41,73042
10-16-2015,30.58,31.42,30.34,30.93,173426
10-19-2015,30.87,32.01,30.44,31.49,107640
