Date,Open,High,Low,Close,Volume
08-01-1994,5.00,5.00,4.94,4.94,25707
08-02-1994,4.94,5.00,4.88,5.00,53770
08-03-1994,4.94,4.94,4.88,4.88,58235
08-04-1994,4.88,4.94,4.88,4.94,58235
08-05-1994,4.88,4.94,4.83,4.88,55339
08-08-1994,4.88,4.88,4.83,4.88,33959
08-09-1994,4.83,4.88,4.83,4.88,60448
08-10-1994,4.83,4.88,4.83,4.88,58235
08-11-1994,4.88,4.88,4.83,4.83,151102
08-12-1994,4.83,4.88,4.77,4.83,101888
08-15-1994,4.77,4.83,4.77,4.83,100327
08-16-1994,4.83,4.88,4.83,4.88,31506
08-17-1994,4.83,4.88,4.83,4.83,120150
08-18-1994,4.83,4.88,4.83,4.88,111012
08-19-1994,4.83,4.88,4.83,4.83,65582
08-22-1994,4.83,4.83,4.77,4.83,142863
08-23-1994,4.83,4.83,4.63,4.83,144867
08-24-1994,4.77,4.83,4.77,4.77,164907
08-25-1994,4.77,4.83,4.77,4.83,88292
08-26-1994,4.83,4.83,4.77,4.77,117021
08-29-1994,4.83,4.88,4.83,4.88,117927
08-30-1994,4.83,4.88,4.83,4.83,115245
08-31-1994,4.88,4.88,4.83,4.88,235737
09-01-1994,4.83,4.88,4.83,4.88,107234
09-02-1994,4.88,4.88,4.83,4.88,83842
09-06-1994,4.83,4.88,4.83,4.83,117474
09-07-1994,4.83,4.88,4.83,4.88,125931
09-08-1994,4.83,4.88,4.77,4.77,139295
09-09-1994,4.83,4.83,4.77,4.77,172259
09-12-1994,4.77,4.77,4.71,4.71,148206
09-13-1994,4.71,4.77,4.71,4.77,209900
09-14-1994,4.71,4.77,4.71,4.77,105221
09-15-1994,4.71,4.77,4.71,4.74,166693
09-16-1994,4.77,4.77,4.66,4.71,273141
09-19-1994,4.71,4.71,4.66,4.71,114132
09-20-1994,4.66,4.71,4.49,4.60,323270
09-21-1994,4.55,4.60,4.55,4.60,235737
09-22-1994,4.60,4.66,4.55,4.60,161347
09-23-1994,4.55,4.66,4.55,4.60,140182
09-26-1994,4.55,4.66,4.55,4.55,112131
09-27-1994,4.55,4.60,4.49,4.55,126830
09-28-1994,4.49,4.66,4.49,4.60,181169
09-29-1994,4.55,4.60,4.55,4.60,246426
09-30-1994,4.60,4.66,4.60,4.60,80946
10-03-1994,4.60,4.71,4.60,4.71,270489
10-04-1994,4.60,4.71,4.60,4.66,129272
10-05-1994,4.60,4.66,4.60,4.66,219040
10-06-1994,4.66,4.66,4.55,4.55,174262
10-07-1994,4.55,4.60,4.55,4.55,102998
10-10-1994,4.60,4.60,4.55,4.60,208793
10-11-1994,4.66,4.66,4.60,4.60,118810
10-12-1994,4.60,4.66,4.55,4.66,164250
10-13-1994,4.66,4.71,4.60,4.66,157789
10-14-1994,4.66,4.71,4.66,4.66,66028
10-17-1994,4.60,4.66,4.60,4.66,98543
10-18-1994,4.60,4.71,4.60,4.66,118138
10-19-1994,4.66,4.66,4.55,4.55,100770
10-20-1994,4.55,4.60,4.55,4.60,191870
10-21-1994,4.55,4.55,4.49,4.55,138632
10-24-1994,4.49,4.49,4.21,4.27,142632
10-25-1994,4.21,4.27,4.15,4.21,309681
10-26-1994,4.21,4.27,4.15,4.15,207667
10-27-1994,4.15,4.21,4.15,4.21,276051
10-28-1994,4.15,4.21,4.15,4.21,256220
10-31-1994,4.21,4.27,4.15,4.27,334175
11-01-1994,4.21,4.27,4.21,4.27,210794
11-02-1994,4.21,4.27,4.15,4.15,312356
11-03-1994,4.15,4.21,4.15,4.21,254886
11-04-1994,4.15,4.21,4.10,4.15,188515
