Date,Open,High,Low,Close,Volume
05-19-1992,7.38,7.46,7.29,7.29,20186
05-20-1992,7.38,7.38,7.11,7.11,48660
05-21-1992,7.11,7.20,7.11,7.20,15914
05-22-1992,7.20,7.38,7.11,7.38,53220
05-26-1992,7.29,7.38,7.11,7.20,83258
05-27-1992,7.20,7.20,7.20,7.20,0
05-28-1992,7.20,7.20,7.11,7.11,3672
05-29-1992,7.20,7.20,7.20,7.20,27447
06-01-1992,7.20,7.29,7.11,7.11,22033
06-02-1992,7.02,7.11,6.76,6.85,209110
06-03-1992,6.76,6.76,6.76,6.76,7086
06-04-1992,6.85,6.94,6.67,6.85,165262
06-05-1992,6.85,6.94,6.76,6.85,59053
06-08-1992,6.85,6.85,6.67,6.85,21614
06-09-1992,6.85,6.85,6.67,6.76,33570
06-10-1992,6.76,6.76,6.41,6.41,85107
06-11-1992,6.50,6.50,6.32,6.32,74573
06-12-1992,6.41,6.41,6.32,6.32,19900
06-15-1992,6.50,6.50,6.32,6.50,23887
06-16-1992,6.32,6.41,5.88,5.88,69732
06-17-1992,5.97,5.97,5.53,5.53,80407
06-18-1992,5.53,5.53,5.36,5.53,491428
06-19-1992,5.62,5.80,5.53,5.80,536549
06-22-1992,5.71,5.80,5.53,5.71,258650
06-23-1992,5.71,5.80,5.62,5.80,213379
06-24-1992,5.71,5.71,5.62,5.71,138925
06-25-1992,5.80,5.80,5.71,5.71,2249
06-26-1992,5.71,5.80,5.62,5.80,73577
06-29-1992,5.80,5.80,5.71,5.80,7371
06-30-1992,5.71,5.80,5.62,5.80,46098
07-01-1992,5.80,5.80,5.80,5.80,1966
07-02-1992,5.80,5.80,5.44,5.80,532565
07-06-1992,5.71,5.71,5.62,5.62,10512
07-07-1992,5.80,5.80,5.62,5.80,12496
07-08-1992,5.71,5.71,5.62,5.62,13779
07-09-1992,5.71,5.71,5.62,5.62,822
07-10-1992,5.62,5.62,5.44,5.44,30152
07-13-1992,5.62,5.62,5.62,5.62,1251
07-14-1992,5.44,5.44,5.44,5.44,1532
07-15-1992,5.62,5.71,5.44,5.71,118702
07-16-1992,5.80,5.80,5.71,5.80,72726
07-17-1992,5.71,5.80,5.71,5.80,8800
07-20-1992,6.06,6.06,5.62,5.71,401731
07-21-1992,5.71,5.71,5.44,5.44,275451
07-22-1992,5.62,5.62,5.18,5.36,494840
07-23-1992,5.44,5.44,5.00,5.18,97494
