Date,Open,High,Low,Close,Volume
09-28-1994,5.75,5.75,5.69,5.69,16736
09-29-1994,5.69,5.69,5.69,5.69,540
09-30-1994,5.80,5.80,5.52,5.58,71100
10-03-1994,5.58,5.63,5.52,5.58,30501
10-04-1994,5.58,5.58,5.47,5.47,34251
10-05-1994,5.52,5.52,5.41,5.41,17410
10-06-1994,5.47,5.47,5.41,5.47,22951
10-07-1994,5.47,5.47,5.41,5.47,16076
10-10-1994,5.52,5.58,5.47,5.58,52017
10-11-1994,5.52,5.63,5.52,5.63,47123
10-12-1994,5.58,5.58,5.52,5.52,22290
10-13-1994,5.58,5.63,5.58,5.58,63997
10-14-1994,5.58,5.58,5.52,5.58,27156
10-17-1994,5.52,5.58,5.47,5.52,34938
10-18-1994,5.52,5.52,5.47,5.52,40264
10-19-1994,5.52,5.52,5.47,5.47,36938
10-20-1994,5.47,5.47,5.41,5.47,20068
10-21-1994,5.41,5.41,5.30,5.30,43818
10-24-1994,5.30,5.30,5.24,5.24,56671
10-25-1994,5.18,5.24,5.13,5.13,19842
10-26-1994,5.13,5.13,5.07,5.13,26720
10-27-1994,5.18,5.18,4.96,5.01,64661
10-28-1994,4.96,5.07,4.96,5.07,98158
10-31-1994,5.07,5.13,5.07,5.13,36254
11-01-1994,5.07,5.07,5.01,5.01,54678
11-02-1994,5.01,5.07,4.96,4.96,59996
11-03-1994,5.07,5.07,4.90,4.90,84184
11-04-1994,4.96,4.96,4.84,4.90,69321
11-07-1994,4.90,4.96,4.79,4.79,85073
11-08-1994,4.79,4.84,4.68,4.68,46028
11-09-1994,4.79,4.96,4.73,4.84,105036
11-10-1994,4.79,4.90,4.73,4.90,77314
11-11-1994,4.90,4.90,4.84,4.90,31604
11-14-1994,4.90,4.90,4.84,4.90,58223
11-15-1994,4.96,5.07,4.90,4.96,98595
11-16-1994,4.96,5.07,4.96,5.07,80622
11-17-1994,5.01,5.18,5.01,5.18,60663
11-18-1994,5.13,5.18,5.07,5.18,67107
11-21-1994,5.18,5.18,5.07,5.18,128558
11-22-1994,5.13,5.18,5.07,5.13,122563
11-23-1994,5.18,5.41,5.18,5.35,181578
11-25-1994,5.41,5.47,5.41,5.41,40913
11-28-1994,5.41,5.41,5.35,5.41,105036
11-29-1994,5.35,5.47,5.35,5.41,55785
11-30-1994,5.41,5.63,5.35,5.63,73752
12-01-1994,5.58,5.58,5.52,5.52,103256
12-02-1994,5.52,5.58,5.47,5.52,76650
12-05-1994,5.52,5.69,5.52,5.69,59556
12-06-1994,5.69,5.86,5.69,5.80,69979
12-07-1994,5.80,5.86,5.63,5.69,50688
12-08-1994,5.63,5.63,5.52,5.52,76421
12-09-1994,5.58,5.63,5.52,5.58,63333
12-12-1994,5.58,5.63,5.58,5.63,39585
12-13-1994,5.58,5.58,5.47,5.47,52228
12-14-1994,5.47,5.58,5.47,5.58,57785
12-15-1994,5.58,5.63,5.52,5.52,43591
12-16-1994,5.58,5.63,5.58,5.58,38704
12-19-1994,5.52,5.52,5.41,5.47,103481
12-20-1994,5.52,5.52,5.30,5.35,57551
12-21-1994,5.30,5.41,5.30,5.41,503048
12-22-1994,5.41,5.47,5.41,5.47,59106
12-23-1994,5.41,5.47,5.41,5.47,29167
12-27-1994,5.41,5.47,5.41,5.41,12969
12-28-1994,5.41,5.47,5.35,5.35,34698
12-29-1994,5.41,5.41,5.35,5.41,37809
12-30-1994,5.35,5.35,5.24,5.24,87955
01-03-1995,5.30,5.41,5.30,5.41,36044
01-04-1995,5.47,5.58,5.41,5.58,40703
01-05-1995,5.63,5.63,5.58,5.63,16964
01-06-1995,5.63,5.63,5.63,5.63,2982
01-09-1995,5.63,5.63,5.58,5.63,14522
01-10-1995,5.58,5.63,5.58,5.63,20515
01-11-1995,5.58,5.63,5.58,5.63,25158
01-12-1995,5.58,5.58,5.58,5.58,5423
01-13-1995,5.58,5.69,5.58,5.63,32488
01-16-1995,5.63,5.69,5.58,5.63,59106
01-17-1995,5.63,5.69,5.63,5.69,41367
01-18-1995,5.69,5.75,5.69,5.75,14076
01-19-1995,5.69,5.75,5.69,5.75,16964
01-20-1995,5.75,5.75,5.69,5.69,20515
01-23-1995,5.69,5.69,5.69,5.69,5196
01-24-1995,5.69,5.69,5.69,5.69,4321
01-25-1995,5.69,5.69,5.69,5.69,15397
01-26-1995,5.75,5.80,5.69,5.80,13637
01-27-1995,5.80,5.86,5.75,5.80,29167
01-30-1995,5.80,5.92,5.80,5.92,59106
01-31-1995,5.92,6.03,5.92,6.03,22734
02-01-1995,6.08,6.20,6.08,6.20,35826
02-02-1995,6.20,6.20,6.14,6.14,17627
02-03-1995,6.20,6.31,6.20,6.20,24951
02-06-1995,6.20,6.25,6.14,6.14,47566
02-07-1995,5.97,6.03,5.97,6.03,42917
02-08-1995,6.03,6.03,6.03,6.03,8533
02-09-1995,6.08,6.08,5.92,5.97,17627
02-10-1995,5.97,5.97,5.92,5.92,4321
02-13-1995,5.92,5.92,5.86,5.92,10517
02-14-1995,5.92,5.97,5.92,5.92,12304
02-15-1995,5.92,5.97,5.86,5.97,34698
02-16-1995,5.97,6.03,5.92,5.92,6086
02-17-1995,5.97,6.03,5.97,6.03,31819
02-21-1995,6.03,6.08,6.03,6.03,17845
02-22-1995,6.08,6.08,6.03,6.03,25390
02-23-1995,6.08,6.08,6.03,6.03,28920
02-24-1995,6.08,6.14,6.08,6.14,18515
02-27-1995,6.08,6.14,6.08,6.14,30726
02-28-1995,6.08,6.20,6.08,6.20,29607
03-01-1995,6.14,6.14,6.14,6.14,22734
03-02-1995,6.14,6.14,6.08,6.08,7634
03-03-1995,6.08,6.14,6.03,6.03,22290
03-06-1995,6.03,6.03,5.97,5.97,8755
03-07-1995,6.03,6.03,5.92,5.92,8976
03-08-1995,5.97,5.97,5.97,5.97,5659
03-09-1995,5.97,5.97,5.92,5.97,13861
03-10-1995,5.92,5.97,5.92,5.97,18282
03-13-1995,5.97,6.03,5.97,5.97,13414
03-14-1995,6.03,6.03,6.03,6.03,12748
03-15-1995,5.97,6.03,5.97,6.03,4770
03-16-1995,5.97,6.03,5.97,6.03,20953
03-17-1995,6.03,6.08,6.03,6.03,11417
03-20-1995,5.97,5.97,5.97,5.97,33593
03-21-1995,5.97,6.03,5.97,6.03,33149
03-22-1995,6.03,6.08,6.03,6.08,25158
03-23-1995,6.03,6.03,6.03,6.03,27156
03-24-1995,6.08,6.08,6.08,6.08,11189
03-27-1995,6.03,6.14,6.03,6.14,10971
03-28-1995,6.14,6.14,6.08,6.08,17189
03-29-1995,6.08,6.14,6.08,6.08,29167
03-30-1995,6.08,6.08,6.03,6.03,32055
03-31-1995,6.08,6.08,5.97,6.03,35593
04-03-1995,6.03,6.08,5.97,6.08,34251
04-04-1995,6.08,6.08,6.03,6.03,25158
04-05-1995,6.03,6.08,6.03,6.08,6533
04-06-1995,6.08,6.14,6.08,6.08,31375
04-07-1995,6.08,6.14,6.08,6.08,17627
04-10-1995,6.14,6.20,6.14,6.20,12748
04-11-1995,6.14,6.14,6.14,6.14,13861
04-12-1995,6.08,6.14,6.03,6.03,34490
04-13-1995,6.03,6.08,6.03,6.08,8301
04-17-1995,6.03,6.03,6.03,6.03,4981
04-18-1995,6.08,6.08,5.97,6.03,22506
04-19-1995,6.03,6.03,5.97,6.03,19842
04-20-1995,6.03,6.03,5.97,6.03,11630
04-21-1995,5.97,6.03,5.97,5.97,50908
04-24-1995,5.97,6.03,5.92,5.97,24951
04-25-1995,5.97,5.97,5.92,5.92,28042
04-26-1995,5.86,5.92,5.86,5.92,15198
04-27-1995,5.86,5.92,5.80,5.80,32488
04-28-1995,5.86,5.86,5.80,5.86,26503
05-01-1995,5.75,5.86,5.75,5.86,30726
05-02-1995,5.80,5.86,5.80,5.86,25158
