Date,Open,High,Low,Close,Volume
01-02-1992,9.69,9.69,9.09,9.69,95139
01-03-1992,9.54,9.84,9.54,9.84,74847
01-06-1992,9.77,9.77,9.39,9.77,381244
01-07-1992,9.47,10.22,9.47,10.22,57878
01-08-1992,9.99,10.37,9.92,10.30,81166
01-09-1992,10.07,10.30,10.07,10.30,129740
01-10-1992,10.22,10.30,10.07,10.11,58879
01-13-1992,9.99,10.22,9.99,9.99,3652
01-14-1992,10.15,10.30,9.99,9.99,161344
01-15-1992,10.30,10.30,9.77,9.77,54552
01-16-1992,9.77,10.15,9.77,9.88,163670
01-17-1992,9.77,9.77,9.77,9.77,7642
01-20-1992,9.77,9.92,9.77,9.88,27605
01-21-1992,9.77,9.99,9.77,9.81,271128
01-22-1992,9.62,9.84,9.62,9.84,29267
01-23-1992,9.84,9.84,9.69,9.84,5314
01-24-1992,9.81,9.84,9.69,9.69,11967
01-27-1992,9.69,9.69,9.69,9.69,658
01-28-1992,9.69,9.84,9.69,9.69,988
01-29-1992,9.69,9.69,9.69,9.69,7642
01-30-1992,9.69,9.77,9.62,9.77,23945
01-31-1992,9.47,9.84,9.47,9.84,24277
02-03-1992,9.84,9.84,9.62,9.77,5980
02-04-1992,9.84,10.22,9.62,10.22,505668
02-05-1992,9.92,10.67,9.92,10.67,421500
02-06-1992,10.37,10.82,10.37,10.37,38248
02-07-1992,10.37,10.75,10.37,10.75,48564
02-10-1992,10.56,10.67,10.37,10.45,32594
02-11-1992,10.67,10.67,10.45,10.45,140715
02-12-1992,10.45,10.60,10.30,10.60,25608
02-13-1992,10.30,10.67,10.30,10.41,20284
02-14-1992,10.67,10.67,10.45,10.67,65198
02-18-1992,10.45,10.67,10.22,10.60,52888
02-19-1992,10.22,10.37,10.22,10.22,49894
02-20-1992,10.07,10.15,10.07,10.15,39911
02-21-1992,10.37,10.37,10.15,10.22,17291
02-24-1992,10.30,10.37,10.15,10.37,10305
02-25-1992,10.15,10.22,10.07,10.07,25275
02-26-1992,9.92,10.37,9.92,10.37,27605
02-27-1992,10.37,10.37,10.37,10.37,658
02-28-1992,10.37,10.37,10.07,10.07,2321
03-02-1992,10.30,10.37,9.99,10.15,20284
03-03-1992,10.15,10.15,10.15,10.15,38248
03-04-1992,9.99,10.37,9.99,10.37,8642
03-05-1992,9.99,10.22,9.92,10.22,17623
03-06-1992,9.92,10.22,9.92,9.96,99131
03-09-1992,9.96,9.96,9.96,9.96,0
03-10-1992,9.96,10.07,9.92,9.92,37917
03-11-1992,9.92,9.92,9.92,9.92,22282
03-12-1992,9.92,10.22,9.92,9.92,8310
03-13-1992,9.84,10.37,9.77,10.15,72850
03-16-1992,10.15,10.15,10.15,10.15,0
03-17-1992,10.07,10.45,10.07,10.45,85490
03-18-1992,10.30,10.67,10.30,10.60,45902
03-19-1992,10.60,10.63,10.60,10.60,38248
03-20-1992,10.60,10.82,10.60,10.82,17291
03-23-1992,10.52,10.60,10.41,10.45,16293
03-24-1992,10.45,10.48,10.45,10.45,15959
03-25-1992,10.45,10.67,9.99,10.15,72183
03-26-1992,10.15,10.15,9.77,9.77,25940
03-27-1992,9.62,9.92,9.62,9.92,39911
03-30-1992,9.69,9.92,9.69,9.84,33924
03-31-1992,9.92,9.92,9.47,9.69,80834
04-01-1992,9.84,9.84,9.39,9.47,89150
04-02-1992,9.77,9.77,9.54,9.77,76506
04-03-1992,9.77,9.84,9.62,9.77,225551
04-06-1992,9.99,9.99,9.62,9.77,4982
04-07-1992,9.99,9.99,9.62,9.62,33593
04-08-1992,9.47,9.84,9.39,9.62,28270
04-09-1992,9.39,9.77,9.39,9.77,3319
04-10-1992,9.77,9.77,9.39,9.39,19951
04-13-1992,9.32,9.32,9.32,9.32,5314
04-14-1992,9.39,9.77,9.39,9.77,11967
04-15-1992,9.77,9.77,9.47,9.62,12967
04-16-1992,9.62,9.62,9.32,9.62,23612
04-20-1992,9.62,9.62,9.24,9.24,17956
04-21-1992,9.62,9.62,9.24,9.24,26938
04-22-1992,9.62,9.62,9.17,9.32,25940
04-23-1992,9.54,9.54,9.32,9.32,4982
04-24-1992,9.32,9.62,9.32,9.62,3319
04-27-1992,9.32,9.51,9.32,9.32,15629
04-28-1992,9.32,9.32,9.32,9.32,0
04-29-1992,9.62,9.62,9.17,9.17,4649
04-30-1992,9.17,9.24,9.17,9.24,59210
05-01-1992,9.62,9.62,9.62,9.62,326
05-04-1992,9.17,9.62,9.17,9.32,17956
05-05-1992,9.62,9.62,9.24,9.24,6646
05-06-1992,9.32,9.54,9.32,9.54,40579
05-07-1992,9.54,9.54,9.54,9.54,0
05-08-1992,9.62,9.62,9.32,9.54,12635
05-11-1992,9.54,9.54,9.54,9.54,0
05-12-1992,9.54,9.77,9.51,9.66,140384
05-13-1992,9.77,9.77,9.54,9.54,20284
05-14-1992,9.54,9.77,9.47,9.58,8642
05-15-1992,9.77,9.77,9.24,9.28,76175
05-18-1992,9.32,9.47,9.32,9.39,19619
05-19-1992,9.32,9.47,9.32,9.47,4982
05-20-1992,9.39,9.39,9.39,9.39,2986
05-21-1992,9.69,9.69,9.47,9.54,135391
05-22-1992,9.54,9.69,9.54,9.54,252164
05-26-1992,9.69,9.69,9.62,9.62,210578
05-27-1992,9.62,9.69,9.62,9.62,128075
05-28-1992,9.62,9.77,9.62,9.77,119093
05-29-1992,9.69,9.77,9.62,9.77,11634
06-01-1992,9.77,9.99,9.62,9.99,7642
06-02-1992,9.69,9.99,9.69,9.99,14297
06-03-1992,9.92,10.07,9.92,10.07,1988
06-04-1992,9.92,10.15,9.84,9.84,40245
06-05-1992,9.92,10.15,9.92,10.15,12304
06-08-1992,10.22,10.22,10.22,10.22,4982
06-09-1992,10.22,10.22,10.22,10.22,1322
06-10-1992,10.22,10.22,9.92,10.15,64198
06-11-1992,9.92,10.22,9.92,10.22,17623
06-12-1992,10.22,10.22,10.15,10.22,13299
06-15-1992,10.22,10.22,9.92,9.92,7642
06-16-1992,10.22,10.22,10.15,10.22,14631
06-17-1992,10.15,10.22,9.99,10.22,33593
06-18-1992,9.99,10.22,9.99,9.99,13964
06-19-1992,10.07,10.22,9.92,9.92,28270
06-22-1992,9.92,10.22,9.92,10.22,8310
06-23-1992,10.22,10.26,10.15,10.15,41245
06-24-1992,10.15,10.37,10.15,10.22,57878
06-25-1992,10.37,10.67,10.26,10.52,153024
06-26-1992,10.60,10.60,10.52,10.60,370599
06-29-1992,10.52,10.60,10.52,10.52,18622
06-30-1992,10.52,10.75,10.52,10.60,16958
07-01-1992,10.52,10.75,10.45,10.52,38248
07-02-1992,10.52,10.52,10.30,10.52,5980
07-06-1992,10.37,10.48,10.37,10.37,174650
07-07-1992,10.37,10.60,10.37,10.52,218232
07-08-1992,10.52,10.90,10.52,10.67,214237
07-09-1992,10.90,10.90,10.78,10.90,50559
07-10-1992,10.60,10.78,10.60,10.60,34257
07-13-1992,10.60,10.75,10.60,10.75,21615
07-14-1992,10.82,10.82,10.60,10.60,5647
07-15-1992,10.82,10.82,10.82,10.82,13299
07-16-1992,10.82,10.82,10.48,10.82,96911
07-17-1992,10.82,10.82,10.48,10.82,3540
07-20-1992,10.82,10.82,10.48,10.82,1765
07-21-1992,10.48,10.60,10.37,10.60,25275
07-22-1992,10.48,10.60,10.37,10.37,124192
07-23-1992,10.54,10.60,10.20,10.60,369046
07-24-1992,10.60,10.60,10.37,10.37,4649
07-27-1992,10.60,10.60,10.37,10.37,436
07-28-1992,10.37,10.60,10.37,10.60,1322
07-29-1992,10.60,10.82,10.60,10.82,31265
07-30-1992,10.82,10.82,10.82,10.82,1988
07-31-1992,10.60,10.82,10.60,10.71,8642
08-03-1992,10.60,10.82,10.60,10.82,27272
08-04-1992,10.60,10.82,10.60,10.82,878
08-05-1992,10.82,11.27,10.82,10.93,36588
