Date,Open,High,Low,Close,Volume
05-05-2008,6.83,6.83,6.83,6.83,0
05-06-2008,6.83,6.83,5.43,5.47,1270590
05-07-2008,5.47,5.47,5.12,5.40,4208892
05-08-2008,5.19,5.40,5.19,5.40,13587
05-09-2008,5.33,5.40,5.28,5.29,50845
05-12-2008,5.30,5.40,5.28,5.28,22034
05-13-2008,5.39,5.39,5.30,5.33,4511
05-14-2008,5.28,5.28,5.12,5.12,419
05-15-2008,5.39,5.39,5.17,5.17,5539
05-16-2008,5.17,5.17,5.17,5.17,0
05-19-2008,5.33,5.33,5.16,5.17,6437
05-20-2008,5.17,5.17,5.17,5.17,0
05-21-2008,5.32,5.33,5.17,5.32,6703
05-22-2008,5.17,5.25,5.17,5.19,7148
05-23-2008,5.19,5.19,5.19,5.19,1442
05-27-2008,5.32,5.33,5.14,5.15,127813
05-28-2008,5.13,5.17,5.12,5.17,212923
05-29-2008,5.16,5.19,5.12,5.12,97113
05-30-2008,5.16,5.17,5.15,5.17,1236
06-02-2008,5.12,5.12,5.12,5.12,3488
06-03-2008,5.31,5.31,5.01,5.10,8466
06-04-2008,5.13,5.27,5.07,5.12,23558
06-05-2008,5.12,5.33,5.12,5.12,153210
06-06-2008,5.32,5.32,4.89,4.99,49664
06-09-2008,5.09,5.09,4.44,4.64,2492144
06-10-2008,4.67,5.47,4.67,5.15,41180
06-11-2008,5.15,5.47,4.84,5.01,35123
06-12-2008,5.18,5.29,4.95,5.10,32507
06-13-2008,5.00,5.30,4.99,5.22,53654
06-16-2008,5.30,5.39,4.99,5.21,120126
06-17-2008,5.21,5.44,5.12,5.13,56810
06-18-2008,5.21,5.26,5.12,5.12,55144
06-19-2008,5.23,5.23,5.06,5.19,18283
06-20-2008,5.25,5.25,5.08,5.19,95852
06-23-2008,5.36,5.36,4.75,4.91,120958
06-24-2008,5.24,5.24,4.75,4.84,38986
06-25-2008,4.80,4.84,4.63,4.84,47892
06-26-2008,4.95,4.99,4.71,4.73,102989
06-27-2008,4.73,5.16,4.47,4.61,7781875
06-30-2008,4.60,5.16,4.17,4.40,986475
07-01-2008,4.38,4.49,4.23,4.39,441337
07-02-2008,4.38,4.38,4.13,4.20,3521610
07-03-2008,4.20,4.21,3.81,3.82,464156
07-07-2008,3.82,5.04,3.54,3.59,1131685
07-08-2008,3.59,4.20,3.58,4.16,410913
07-09-2008,4.16,4.27,3.82,3.87,241900
07-10-2008,3.87,4.50,3.77,4.10,777645
07-11-2008,3.96,4.27,3.95,4.04,118217
07-14-2008,4.14,4.14,3.58,3.59,230293
07-15-2008,3.52,3.99,3.50,3.92,132310
07-16-2008,3.96,4.01,3.47,3.96,124780
07-17-2008,3.96,4.25,3.94,4.23,230997
07-18-2008,4.27,4.37,4.13,4.34,436579
07-21-2008,4.37,4.38,4.25,4.34,68747
07-22-2008,4.40,4.74,4.36,4.65,260304
07-23-2008,4.65,4.85,4.54,4.80,123030
07-24-2008,4.82,4.96,4.79,4.80,73009
07-25-2008,4.88,5.71,4.72,4.78,167403
07-28-2008,4.69,4.69,4.34,4.55,47130
07-29-2008,4.55,4.99,4.23,4.82,89484
07-30-2008,4.88,4.99,4.47,4.85,164654
07-31-2008,4.47,4.82,4.36,4.80,125323
08-01-2008,4.80,4.80,4.61,4.65,57872
08-04-2008,4.53,4.54,3.97,4.06,184965
08-05-2008,4.16,4.80,4.16,4.74,227529
08-06-2008,4.71,4.77,4.47,4.69,63368
08-07-2008,4.61,4.75,4.37,4.53,78183
08-08-2008,4.51,4.82,4.34,4.68,110525
08-11-2008,4.82,4.91,4.80,4.84,151011
08-12-2008,4.83,4.99,4.78,4.82,83798
08-13-2008,4.79,5.02,4.61,4.98,96041
08-14-2008,4.95,5.15,4.86,5.07,99116
08-15-2008,5.34,5.34,4.79,4.86,208258
08-18-2008,4.70,5.22,4.27,4.54,133648
08-19-2008,4.51,4.75,4.19,4.44,60860
08-20-2008,4.47,4.51,4.28,4.32,232807
08-21-2008,4.25,4.45,4.18,4.32,66078
08-22-2008,4.41,4.85,4.41,4.60,66846
08-25-2008,4.58,4.63,4.30,4.36,49705
08-26-2008,4.34,4.46,4.28,4.34,89802
08-27-2008,4.33,4.47,4.33,4.45,106268
08-28-2008,4.37,4.54,4.37,4.51,216982
08-29-2008,4.60,4.60,4.41,4.49,62992
09-02-2008,4.65,4.96,4.43,4.54,110574
09-03-2008,4.57,4.57,4.45,4.45,169287
09-04-2008,4.40,4.49,4.36,4.40,86734
09-05-2008,4.34,4.34,4.25,4.28,155446
09-08-2008,4.60,4.74,4.32,4.54,287014
09-09-2008,4.48,4.57,4.29,4.29,112755
09-10-2008,4.60,4.69,4.35,4.45,136392
09-11-2008,4.32,4.56,4.31,4.46,155399
09-12-2008,4.38,4.46,4.23,4.25,256678
09-15-2008,4.40,4.40,3.72,3.72,926137
09-16-2008,3.64,3.85,3.64,3.81,334786
09-17-2008,3.68,3.68,3.10,3.20,968867
09-18-2008,3.46,3.62,3.19,3.51,608825
09-19-2008,3.79,4.29,3.79,3.92,864332
09-22-2008,4.03,4.03,3.57,3.57,97864
09-23-2008,3.44,3.68,3.39,3.39,180289
09-24-2008,3.44,3.50,3.30,3.37,968143
09-25-2008,3.37,3.61,3.34,3.44,809753
09-26-2008,3.68,3.68,3.57,3.57,261991
09-29-2008,3.61,3.79,0.72,3.11,186667
09-30-2008,3.34,3.47,3.03,3.03,401936
10-01-2008,3.15,3.27,3.10,3.17,3611755
10-02-2008,3.15,3.47,3.08,3.08,162608
10-03-2008,3.41,3.41,3.04,3.04,814626
10-06-2008,2.92,3.36,2.92,3.24,137964
10-07-2008,3.41,3.41,2.87,2.96,470538
10-08-2008,3.16,3.16,2.75,2.87,885301
10-09-2008,2.94,3.48,2.71,2.72,388059
10-10-2008,2.60,3.17,2.46,2.51,639563
10-13-2008,2.73,3.62,2.52,3.62,248829
10-14-2008,3.61,3.61,2.98,3.24,211662
10-15-2008,3.11,3.48,2.55,2.61,118569
10-16-2008,2.64,2.92,2.46,2.88,210605
10-17-2008,2.81,2.83,2.54,2.58,248673
10-20-2008,2.61,2.68,2.60,2.64,207937
10-21-2008,2.65,3.03,2.65,2.80,197747
10-22-2008,2.71,2.71,2.54,2.55,86691
10-23-2008,2.57,2.97,2.46,2.86,165571
10-24-2008,2.60,3.00,2.49,2.80,88641
10-27-2008,2.78,2.81,2.44,2.44,193734
10-28-2008,2.55,2.63,2.41,2.61,332273
10-29-2008,2.71,2.78,2.53,2.70,3391620
10-30-2008,2.78,3.12,2.67,2.84,252126
10-31-2008,2.82,3.31,2.82,3.15,451677
11-03-2008,3.31,3.66,2.97,2.99,422488
11-04-2008,3.13,3.22,3.01,3.15,541676
11-05-2008,3.08,3.13,2.79,2.82,202550
11-06-2008,2.79,2.99,2.71,2.71,152688
11-07-2008,2.73,2.90,2.64,2.70,1307047
11-10-2008,2.75,3.06,2.67,2.69,97990
11-11-2008,2.74,2.74,2.28,2.28,122658
11-12-2008,2.35,2.78,2.22,2.22,260432
11-13-2008,2.25,2.76,2.00,2.12,1358253
11-14-2008,2.16,2.46,2.16,2.26,1931822
11-17-2008,2.28,2.45,2.28,2.43,214187
11-18-2008,2.44,2.55,2.16,2.32,1435000
11-19-2008,2.29,2.39,1.97,1.97,185256
11-20-2008,1.95,2.09,1.91,1.96,1326163
11-21-2008,1.98,2.44,1.98,2.40,293683
11-24-2008,2.43,2.67,2.33,2.57,389594
11-25-2008,2.63,2.71,2.38,2.58,125688
11-26-2008,2.51,2.81,2.46,2.78,214574
11-28-2008,2.75,2.89,2.57,2.89,134789
12-01-2008,2.79,2.81,2.26,2.30,210150
12-02-2008,2.36,2.76,2.30,2.73,103079
12-03-2008,2.66,2.78,2.44,2.70,235062
12-04-2008,2.64,2.74,2.53,2.58,1011660
12-05-2008,2.54,2.71,2.53,2.58,396567
12-08-2008,2.64,2.73,2.58,2.64,1081923
12-09-2008,2.63,2.78,2.56,2.56,215852
12-10-2008,2.60,2.71,2.57,2.62,128832
12-11-2008,2.58,2.63,2.50,2.51,136424
12-12-2008,2.45,2.58,2.45,2.51,231508
12-15-2008,2.51,2.71,2.43,2.43,362742
12-16-2008,2.48,2.53,2.43,2.48,968542
12-17-2008,2.46,2.60,2.46,2.50,240791
12-18-2008,2.63,2.70,2.44,2.48,292503
12-19-2008,2.48,2.60,2.29,2.30,833300
12-22-2008,2.33,2.47,2.24,2.32,281957
12-23-2008,2.35,2.41,2.28,2.31,252940
12-24-2008,2.31,2.35,2.28,2.28,82451
12-26-2008,2.29,2.35,2.29,2.29,56662
12-29-2008,2.33,2.37,2.10,2.29,3508843
12-30-2008,2.31,2.31,2.24,2.26,225872
12-31-2008,2.30,2.44,2.21,2.22,1288806
01-02-2009,2.25,2.44,2.13,2.32,978089
01-05-2009,2.31,2.81,2.30,2.81,378255
01-06-2009,2.84,2.91,2.79,2.90,553119
01-07-2009,2.85,2.85,2.69,2.75,168110
01-08-2009,2.73,2.81,2.70,2.80,3383325
01-09-2009,2.81,2.87,2.74,2.85,475929
01-12-2009,2.86,2.89,2.73,2.80,467409
01-13-2009,2.78,2.87,2.77,2.87,631279
01-14-2009,2.79,2.91,2.79,2.84,215499
01-15-2009,2.85,3.00,2.56,2.98,344256
01-16-2009,2.91,3.35,2.86,2.96,393410
01-20-2009,2.92,2.92,2.71,2.73,259879
01-21-2009,2.89,3.13,2.89,3.05,526780
01-22-2009,3.12,3.21,2.93,2.98,589972
01-23-2009,2.89,3.21,2.89,3.17,524439
01-26-2009,3.19,3.30,3.08,3.09,233009
01-27-2009,3.09,3.35,3.06,3.25,505033
01-28-2009,3.30,3.32,3.27,3.30,224546
01-29-2009,3.30,3.36,3.05,3.28,283096
01-30-2009,3.33,3.35,3.20,3.23,811996
02-02-2009,3.20,3.37,3.17,3.30,433739
02-03-2009,3.34,3.43,3.25,3.37,301446
02-04-2009,3.37,3.42,3.32,3.34,354581
02-05-2009,3.32,3.42,3.32,3.37,428457
02-06-2009,3.35,3.54,3.35,3.49,455047
02-09-2009,3.47,3.52,3.44,3.51,199412
02-10-2009,3.52,3.61,3.33,3.37,315445
02-11-2009,3.37,3.47,3.37,3.47,111171
02-12-2009,3.40,3.47,3.37,3.46,144509
02-13-2009,3.47,3.57,3.37,3.47,169808
02-17-2009,3.33,3.43,3.25,3.30,237889
02-18-2009,3.33,3.47,3.28,3.30,115763
02-19-2009,3.36,3.47,3.18,3.23,248925
02-20-2009,3.19,3.32,3.07,3.19,400079
02-23-2009,3.21,3.26,3.09,3.10,177735
02-24-2009,3.08,3.16,3.03,3.15,248520
02-25-2009,3.14,3.32,2.97,3.11,436513
02-26-2009,3.28,3.37,3.16,3.25,564235
02-27-2009,3.22,3.37,3.14,3.16,240799
03-02-2009,3.10,3.10,2.84,2.90,340987
03-03-2009,2.95,3.04,2.75,2.86,216364
