Date,Open,High,Low,Close,Volume
11-27-2013,18.49,18.60,18.44,18.44,93474
11-29-2013,18.53,18.53,18.34,18.41,71332
12-02-2013,18.41,18.48,18.03,18.26,347765
12-03-2013,18.34,18.38,18.07,18.15,236552
12-04-2013,18.07,18.13,17.91,18.00,137415
12-05-2013,18.00,18.03,17.58,17.72,227844
12-06-2013,17.75,17.81,17.67,17.70,98185
12-09-2013,17.71,17.81,17.61,17.61,99998
12-10-2013,17.67,17.84,17.52,17.76,207276
12-11-2013,17.68,17.76,17.26,17.51,187544
12-12-2013,17.54,17.54,15.14,15.50,653630
12-13-2013,15.94,16.51,15.89,16.48,309229
12-16-2013,16.64,16.89,16.50,16.89,109457
12-17-2013,16.94,16.98,16.51,16.55,154726
12-18-2013,16.29,16.52,15.57,15.86,224273
12-19-2013,15.77,15.86,15.34,15.86,180192
12-20-2013,16.21,16.37,15.84,15.85,170062
12-23-2013,15.87,16.12,15.80,15.84,138886
12-24-2013,15.96,15.99,15.65,15.65,64014
12-26-2013,15.70,15.77,15.54,15.62,100431
12-27-2013,15.57,15.71,15.28,15.65,138913
12-30-2013,15.65,15.65,15.36,15.51,153208
12-31-2013,15.46,15.74,15.46,15.65,140073
01-02-2014,15.74,16.11,15.74,16.11,98280
01-03-2014,16.26,16.78,16.26,16.74,119652
01-06-2014,16.86,17.26,16.86,17.01,280498
01-07-2014,17.05,17.05,16.79,16.90,193626
01-08-2014,16.75,17.00,16.67,16.71,95787
01-09-2014,16.86,16.98,16.73,16.92,129188
01-10-2014,16.92,17.20,16.92,17.20,104469
01-13-2014,17.28,17.31,16.95,17.01,104900
01-14-2014,17.05,17.12,16.82,16.95,99897
01-15-2014,17.01,17.32,16.98,17.15,123899
01-16-2014,17.21,17.22,17.09,17.09,42348
01-17-2014,17.09,17.18,16.98,17.01,85269
01-21-2014,16.94,17.16,16.94,17.09,69851
01-22-2014,17.20,17.27,17.10,17.17,73271
01-23-2014,17.20,17.20,17.01,17.09,55427
01-24-2014,17.13,17.23,17.08,17.09,60265
01-27-2014,17.13,17.22,16.99,17.19,229615
01-28-2014,17.09,17.26,17.01,17.20,69193
01-29-2014,17.32,17.34,17.20,17.26,63385
01-30-2014,17.32,17.32,17.12,17.24,68585
01-31-2014,17.28,17.30,17.17,17.24,94883
02-03-2014,17.27,17.28,17.21,17.25,55265
02-04-2014,17.27,17.27,17.17,17.21,65072
02-05-2014,17.15,17.24,17.04,17.20,58949
02-06-2014,17.28,17.28,17.11,17.25,48948
02-07-2014,17.24,17.28,17.22,17.28,98530
02-10-2014,17.29,17.30,17.19,17.28,57560
02-11-2014,17.39,17.39,17.24,17.33,102603
02-12-2014,17.48,17.60,17.35,17.53,87098
02-13-2014,17.62,18.03,17.57,17.94,63015
02-14-2014,18.06,18.57,17.89,18.48,163485
02-18-2014,18.53,18.71,18.26,18.33,72388
02-19-2014,18.52,18.68,18.30,18.57,73240
02-20-2014,18.56,18.57,18.37,18.53,54635
02-21-2014,18.56,18.78,18.47,18.68,61208
02-24-2014,18.80,18.84,18.64,18.67,59392
02-25-2014,18.60,18.71,18.60,18.70,53179
02-26-2014,18.55,18.80,18.55,18.70,40161
02-27-2014,18.77,18.77,18.63,18.70,26662
02-28-2014,18.75,18.77,18.65,18.71,84186
03-03-2014,18.71,18.78,18.60,18.70,56178
03-04-2014,18.76,18.99,18.61,18.61,81108
03-05-2014,18.75,18.92,18.63,18.85,51564
03-06-2014,18.90,19.09,18.84,18.95,94648
03-07-2014,19.06,19.06,18.95,18.99,28320
03-10-2014,19.13,19.13,18.83,18.95,48927
03-11-2014,19.15,19.15,18.97,18.97,42711
03-12-2014,19.14,19.14,18.97,19.05,246676
03-13-2014,19.10,19.10,18.88,18.89,31118
03-14-2014,18.98,19.07,18.84,18.97,224013
03-17-2014,19.07,19.11,18.96,19.02,51992
03-18-2014,19.11,19.29,18.98,19.25,109139
03-19-2014,19.25,19.25,19.05,19.09,62671
03-20-2014,19.06,19.20,19.06,19.15,73859
03-21-2014,19.16,19.47,19.15,19.34,115642
03-24-2014,19.36,19.36,19.20,19.27,68423
03-25-2014,19.33,19.33,19.23,19.25,55360
03-26-2014,19.26,19.26,19.20,19.24,79058
03-27-2014,19.22,19.32,19.19,19.30,91314
03-28-2014,19.32,19.34,19.25,19.33,226875
03-31-2014,19.26,19.34,19.26,19.33,80417
04-01-2014,19.34,19.39,19.28,19.38,146727
04-02-2014,19.34,19.40,19.31,19.34,65937
04-03-2014,19.39,19.41,19.26,19.41,299135
04-04-2014,19.41,19.42,19.34,19.37,50343
04-07-2014,19.40,19.40,19.28,19.28,39237
04-08-2014,19.30,19.39,19.30,19.39,93615
04-09-2014,19.35,19.42,19.35,19.41,64177
04-10-2014,19.45,19.53,19.43,19.47,58646
04-11-2014,19.42,19.42,19.30,19.41,47637
04-14-2014,19.41,19.41,19.33,19.33,28482
04-15-2014,19.39,19.47,19.35,19.37,60742
04-16-2014,19.38,19.45,19.34,19.45,48202
04-17-2014,19.45,19.47,19.36,19.46,36622
04-21-2014,19.46,19.47,19.36,19.39,46551
04-22-2014,19.40,19.46,19.32,19.43,64385
04-23-2014,19.40,19.44,19.38,19.42,43203
04-24-2014,19.42,19.60,19.37,19.54,344613
04-25-2014,19.62,19.85,19.56,19.70,67389
04-28-2014,19.70,19.77,19.47,19.67,107113
04-29-2014,19.67,19.77,19.65,19.69,78159
04-30-2014,19.78,19.88,19.65,19.79,57271
05-01-2014,19.84,19.84,19.61,19.81,471847
05-02-2014,19.81,19.83,19.72,19.81,14769
05-05-2014,19.82,19.84,19.80,19.80,48884
05-06-2014,19.77,20.08,19.77,19.86,52199
05-07-2014,19.87,20.01,19.79,19.99,35234
05-08-2014,20.00,20.00,19.83,19.90,49102
05-09-2014,19.87,19.93,19.87,19.91,31590
05-12-2014,19.96,20.03,19.94,20.01,69918
05-13-2014,20.14,20.14,19.99,19.99,57435
05-14-2014,20.06,20.06,19.92,19.92,68880
05-15-2014,19.92,19.96,19.88,19.91,96949
05-16-2014,19.91,19.98,19.84,19.88,20615
05-19-2014,19.97,20.02,19.90,20.01,51600
05-20-2014,20.06,20.08,19.93,20.04,40512
05-21-2014,20.06,20.08,19.95,19.99,72851
05-22-2014,20.08,20.10,20.02,20.07,45333
05-23-2014,20.09,20.14,20.09,20.12,44954
05-27-2014,20.14,20.14,20.02,20.05,40124
05-28-2014,20.12,20.12,20.06,20.10,21019
05-29-2014,20.14,20.14,20.08,20.08,51437
05-30-2014,20.14,20.14,20.02,20.14,30666
06-02-2014,20.14,20.14,19.95,20.14,71924
06-03-2014,20.06,20.12,20.03,20.03,203813
06-04-2014,20.12,20.14,20.06,20.12,76686
