Date,Open,High,Low,Close,Volume
06-30-2011,8.69,8.79,8.58,8.75,6074201
07-01-2011,8.78,8.91,8.71,8.85,654655
07-05-2011,8.86,8.90,8.78,8.80,250067
07-06-2011,8.78,8.84,8.78,8.79,109697
07-07-2011,8.79,8.86,8.77,8.81,96158
07-08-2011,8.80,8.88,8.77,8.87,248785
07-11-2011,8.85,8.89,8.84,8.89,114066
07-12-2011,8.85,8.89,8.83,8.83,98846
07-13-2011,8.89,8.89,8.82,8.87,113520
07-14-2011,8.87,8.88,8.82,8.88,145497
07-15-2011,8.89,8.89,8.85,8.87,257231
07-18-2011,8.87,8.87,8.78,8.87,55077
07-19-2011,8.85,8.87,8.80,8.85,57138
07-20-2011,8.89,8.89,8.81,8.85,130179
07-21-2011,8.85,8.85,8.78,8.82,88955
07-22-2011,8.85,8.85,8.79,8.82,57303
07-25-2011,8.82,8.85,8.69,8.70,95984
07-26-2011,8.74,8.86,8.74,8.80,80743
07-27-2011,8.79,8.79,8.71,8.72,54440
07-28-2011,8.72,8.76,8.71,8.72,34506
07-29-2011,8.69,8.69,8.00,8.60,163384
08-01-2011,8.59,8.59,8.42,8.56,103812
08-02-2011,8.59,8.60,8.50,8.57,61452
08-03-2011,8.59,8.62,8.25,8.58,257135
08-04-2011,8.56,8.60,8.38,8.40,126404
08-05-2011,8.47,8.52,7.80,8.27,141471
08-08-2011,8.09,8.31,8.02,8.20,181809
08-09-2011,8.24,8.57,7.95,8.51,265458
08-10-2011,8.47,8.55,8.24,8.42,239677
08-11-2011,8.42,8.54,8.36,8.48,105062
08-12-2011,8.54,8.56,8.41,8.55,52137
08-15-2011,8.53,8.65,8.48,8.60,86848
08-16-2011,8.61,8.62,8.55,8.57,64018
08-17-2011,8.63,8.69,8.62,8.65,67178
08-18-2011,8.63,8.63,8.47,8.50,71266
08-19-2011,8.44,8.51,8.40,8.47,29815
08-22-2011,8.60,8.60,8.13,8.28,58999
08-23-2011,8.28,8.37,8.23,8.33,93877
08-24-2011,8.41,8.58,8.07,8.40,164671
08-25-2011,8.39,8.39,8.16,8.27,170267
08-26-2011,8.19,8.39,8.11,8.34,51952
08-29-2011,8.40,8.42,8.33,8.33,28375
08-30-2011,8.30,8.42,8.28,8.40,27861
08-31-2011,8.52,8.52,8.18,8.21,68678
09-01-2011,8.21,8.21,7.89,7.97,120349
09-02-2011,7.87,8.00,7.81,7.98,183785
09-06-2011,7.82,7.89,7.76,7.89,46162
09-07-2011,7.99,8.46,7.99,8.14,103456
09-08-2011,8.05,8.11,7.99,8.03,33634
09-09-2011,8.02,8.05,7.97,7.97,32005
09-12-2011,7.92,8.11,7.91,7.96,116842
09-13-2011,8.00,8.34,7.98,8.13,79731
09-14-2011,8.13,8.13,7.98,7.99,20945
09-15-2011,8.07,8.12,7.99,8.09,27098
09-16-2011,8.13,8.46,8.13,8.45,32219
09-19-2011,8.45,8.45,8.03,8.33,67864
09-20-2011,8.37,8.45,8.25,8.45,36385
09-21-2011,8.36,8.36,8.22,8.22,61055
09-22-2011,8.04,8.61,8.02,8.33,29087
09-23-2011,8.28,8.43,8.25,8.28,71539
09-26-2011,8.33,8.33,8.13,8.24,38119
09-27-2011,8.44,8.44,7.96,8.24,35738
09-28-2011,8.27,8.29,8.06,8.11,65785
09-29-2011,8.24,8.47,8.12,8.40,43422
09-30-2011,8.34,8.59,8.20,8.52,1155203
10-03-2011,8.42,8.65,8.09,8.20,97839
10-04-2011,8.20,8.55,8.09,8.52,161010
10-05-2011,8.54,8.54,8.08,8.34,40513
10-06-2011,8.33,8.38,8.24,8.36,46759
10-07-2011,8.38,8.38,8.02,8.21,163759
10-10-2011,8.27,8.41,8.11,8.36,100191
10-11-2011,8.31,8.51,8.18,8.25,80104
10-12-2011,8.29,8.29,8.16,8.27,78082
10-13-2011,8.22,8.25,8.17,8.24,58409
10-14-2011,8.31,8.52,8.20,8.31,25167
10-17-2011,8.25,8.37,8.06,8.24,48689
10-18-2011,8.30,8.42,8.19,8.29,94449
