Date,Open,High,Low,Close,Volume
03-18-2008,18.02,18.49,17.85,18.49,0
03-19-2008,15.68,16.30,15.57,15.70,0
03-20-2008,13.78,14.44,13.78,14.16,0
03-24-2008,15.31,15.59,14.89,15.30,0
03-25-2008,14.48,14.78,14.41,14.48,0
03-26-2008,14.27,14.44,14.09,14.18,0
03-27-2008,15.16,16.49,14.98,15.82,0
03-28-2008,15.61,15.61,14.58,15.08,0
03-31-2008,15.04,15.37,14.87,15.25,0
04-01-2008,15.59,16.14,15.55,16.12,0
04-02-2008,16.09,16.10,15.63,15.76,0
04-03-2008,14.95,15.24,14.90,15.14,0
04-04-2008,15.38,15.53,15.26,15.42,0
04-07-2008,15.44,15.45,15.12,15.32,0
04-08-2008,14.46,14.59,14.32,14.55,0
04-09-2008,15.14,15.19,14.93,15.11,0
04-10-2008,15.00,15.00,14.59,14.73,0
04-11-2008,14.53,14.71,14.43,14.54,0
04-14-2008,14.67,14.83,14.62,14.76,0
04-15-2008,15.13,15.42,14.98,15.10,0
04-16-2008,14.77,14.97,14.69,14.97,0
04-17-2008,14.36,14.80,14.36,14.75,0
04-18-2008,14.61,14.95,14.43,14.71,0
04-21-2008,14.05,14.10,13.87,14.10,0
04-22-2008,14.22,14.30,13.80,13.99,0
04-23-2008,14.26,14.46,13.99,14.38,0
04-24-2008,13.74,13.92,13.36,13.78,0
04-25-2008,13.15,13.32,13.12,13.28,0
04-28-2008,12.98,13.44,12.98,13.23,0
04-29-2008,11.99,12.02,11.56,11.76,0
04-30-2008,11.18,11.49,11.09,11.16,0
05-01-2008,10.63,10.95,10.52,10.88,0
05-02-2008,11.72,11.72,10.78,10.85,0
05-05-2008,10.15,10.34,9.84,9.87,0
05-06-2008,9.03,9.38,9.03,9.34,0
05-07-2008,9.11,9.47,9.04,9.04,0
05-08-2008,9.42,9.70,9.37,9.67,0
05-09-2008,10.52,10.70,10.40,10.58,0
05-12-2008,10.82,11.22,10.75,11.20,0
05-13-2008,11.27,11.27,10.86,11.03,0
05-14-2008,10.98,11.25,10.98,11.09,0
05-15-2008,10.96,11.03,10.81,10.89,0
05-16-2008,10.86,10.98,10.72,10.94,0
05-19-2008,10.84,10.98,10.63,10.89,0
05-20-2008,10.94,11.03,10.62,10.75,0
05-21-2008,11.19,11.26,10.63,10.68,0
05-22-2008,11.44,11.88,11.41,11.80,0
05-23-2008,11.86,11.89,11.50,11.62,0
05-27-2008,11.21,11.52,11.18,11.41,0
05-28-2008,10.86,10.86,10.66,10.79,0
05-29-2008,10.08,10.56,10.03,10.54,0
05-30-2008,10.24,10.43,10.17,10.31,0
06-02-2008,10.37,10.49,10.12,10.39,0
06-03-2008,9.92,10.21,9.85,10.02,0
06-04-2008,10.32,10.63,10.29,10.50,0
06-05-2008,10.12,10.55,9.99,10.55,0
06-06-2008,11.04,11.22,10.90,11.09,0
06-09-2008,11.48,11.68,11.34,11.60,0
06-10-2008,11.84,12.15,11.84,12.07,0
06-11-2008,12.40,12.59,12.29,12.29,0
06-12-2008,11.18,11.98,11.18,11.76,0
06-13-2008,11.55,11.79,11.29,11.77,0
06-16-2008,11.20,11.23,10.69,11.10,0
06-17-2008,10.76,11.04,10.56,10.60,0
06-18-2008,10.69,11.02,10.56,10.60,0
06-19-2008,10.57,10.74,10.36,10.66,0
06-20-2008,10.71,10.71,10.40,10.59,0
06-23-2008,11.28,11.54,11.06,11.15,0
06-24-2008,10.67,11.06,10.54,10.81,0
06-25-2008,11.03,11.26,10.77,10.88,0
06-26-2008,11.89,12.20,11.15,11.15,0
06-27-2008,10.37,10.37,9.26,9.81,0
06-30-2008,10.07,10.31,9.88,9.93,0
07-01-2008,9.84,9.96,9.52,9.90,0
07-02-2008,10.57,10.57,10.18,10.43,0
07-03-2008,10.77,11.12,10.63,10.73,0
07-07-2008,11.42,11.67,11.29,11.48,0
07-08-2008,10.71,11.29,10.65,11.22,0
07-09-2008,12.03,12.29,11.79,12.07,0
07-10-2008,11.73,11.77,11.14,11.55,0
07-11-2008,11.96,12.51,11.87,12.40,0
07-14-2008,13.12,13.32,12.97,13.17,0
07-15-2008,13.88,15.13,13.79,15.00,0
07-16-2008,14.09,14.48,13.83,14.43,0
07-17-2008,13.90,14.40,13.49,14.34,0
07-18-2008,14.04,15.51,14.04,14.54,0
07-21-2008,14.85,14.96,14.57,14.82,0
07-22-2008,14.42,14.77,14.04,14.75,0
07-23-2008,14.74,15.03,14.58,14.97,0
07-24-2008,15.78,16.36,15.49,15.90,0
07-25-2008,15.60,15.65,15.12,15.29,0
07-28-2008,15.55,15.89,15.55,15.66,0
07-29-2008,14.45,14.87,14.22,14.85,0
07-30-2008,13.73,15.18,13.73,15.10,0
07-31-2008,15.33,16.37,15.24,15.67,0
08-01-2008,16.08,16.19,15.68,15.76,0
08-04-2008,15.62,16.30,15.50,16.19,0
08-05-2008,16.15,16.46,15.51,16.46,0
08-06-2008,16.97,17.64,16.53,17.56,0
08-07-2008,17.85,17.85,16.99,17.05,0
08-08-2008,16.27,16.96,16.27,16.96,0
08-11-2008,16.50,16.57,16.09,16.38,0
08-12-2008,16.65,17.18,16.55,17.00,0
08-13-2008,16.64,16.83,16.35,16.48,0
08-14-2008,15.01,15.90,14.36,15.72,0
08-15-2008,15.76,16.25,15.18,16.17,0
08-18-2008,16.35,16.43,15.99,16.08,0
08-19-2008,16.30,16.39,15.93,16.00,0
08-20-2008,15.85,15.85,15.43,15.66,0
08-21-2008,15.47,15.64,15.28,15.62,0
08-22-2008,15.78,15.99,15.74,15.82,0
08-25-2008,15.89,15.91,15.39,15.52,0
08-26-2008,15.45,15.64,15.32,15.43,0
08-27-2008,16.39,16.86,15.37,15.72,0
08-28-2008,15.57,15.83,15.32,15.76,0
08-29-2008,15.57,15.69,15.26,15.26,0
09-02-2008,15.73,16.16,15.53,15.59,0
09-03-2008,16.21,16.49,15.87,15.97,0
09-04-2008,16.43,16.66,16.18,16.20,0
09-05-2008,15.94,15.97,15.49,15.91,0
09-08-2008,16.48,17.16,16.41,16.93,0
09-09-2008,17.53,18.06,17.53,17.97,0
09-10-2008,17.82,17.82,16.75,17.11,0
09-11-2008,16.77,16.85,16.12,16.59,0
09-12-2008,16.21,17.17,16.21,17.17,0
09-15-2008,17.08,17.78,16.83,17.17,0
09-16-2008,17.87,17.91,17.28,17.82,0
09-17-2008,17.97,18.46,17.51,17.51,0
09-18-2008,17.17,17.62,16.22,16.62,0
09-19-2008,15.20,17.01,14.33,16.36,0
09-22-2008,17.16,17.62,16.51,16.66,0
09-23-2008,16.32,16.77,15.88,15.99,0
09-24-2008,16.43,16.67,15.81,16.06,0
09-25-2008,17.24,17.25,16.04,16.48,0
09-26-2008,16.89,17.49,16.83,17.22,0
09-29-2008,18.02,18.36,17.17,17.34,0
09-30-2008,16.97,17.05,15.92,17.03,0
