Date,Open,High,Low,Close,Volume
03-26-1990,2.70,2.73,2.70,2.70,0
03-27-1990,2.71,2.72,2.64,2.65,0
03-28-1990,2.65,2.69,2.65,2.65,0
03-29-1990,2.65,2.65,2.64,2.64,0
03-30-1990,2.65,2.77,2.65,2.75,0
04-02-1990,2.73,2.96,2.72,2.94,0
04-03-1990,2.99,3.00,2.90,2.90,0
04-04-1990,2.86,2.86,2.74,2.74,0
04-05-1990,2.74,2.81,2.74,2.77,0
04-06-1990,2.75,2.79,2.72,2.72,0
04-09-1990,2.71,2.71,2.65,2.69,0
04-10-1990,2.65,2.70,2.60,2.64,0
04-11-1990,2.64,2.67,2.64,2.64,0
04-12-1990,2.64,2.65,2.62,2.64,0
04-16-1990,2.62,2.70,2.62,2.64,0
04-17-1990,2.64,2.67,2.62,2.64,0
04-18-1990,2.65,2.67,2.62,2.62,0
04-19-1990,2.62,2.64,2.60,2.62,0
04-20-1990,2.60,2.60,2.58,2.60,0
04-23-1990,2.62,2.62,2.56,2.58,0
04-24-1990,2.60,2.62,2.56,2.60,0
04-25-1990,2.56,2.62,2.56,2.60,0
04-26-1990,2.60,2.63,2.58,2.60,0
04-27-1990,2.58,2.60,2.56,2.56,0
04-30-1990,2.56,2.60,2.56,2.56,0
05-01-1990,2.56,2.58,2.55,2.58,0
05-02-1990,2.58,2.58,2.58,2.58,0
05-03-1990,2.60,2.62,2.58,2.60,0
05-04-1990,2.60,2.62,2.58,2.62,0
05-07-1990,2.62,2.62,2.60,2.62,0
05-08-1990,2.58,2.67,2.58,2.65,0
05-09-1990,2.65,2.75,2.65,2.74,0
05-10-1990,2.73,2.76,2.67,2.69,0
05-11-1990,2.70,2.74,2.67,2.74,0
05-14-1990,2.72,2.75,2.72,2.74,0
05-15-1990,2.72,2.75,2.72,2.75,0
05-16-1990,2.72,2.77,2.72,2.75,0
05-17-1990,2.77,2.84,2.74,2.81,0
05-18-1990,2.84,2.84,2.77,2.77,0
05-21-1990,2.77,2.81,2.77,2.79,0
05-22-1990,2.81,2.83,2.77,2.81,0
05-23-1990,2.79,2.83,2.79,2.83,0
05-24-1990,2.81,2.84,2.79,2.79,0
05-25-1990,2.84,2.87,2.82,2.82,0
05-29-1990,2.81,2.88,2.81,2.88,0
05-30-1990,2.88,2.92,2.88,2.88,0
05-31-1990,2.88,2.90,2.88,2.90,0
